reward,counter_done_max_changes,is_done_success,rewards_sum,bonus_factor,experience_bonus,entropy_map,entropy,changes_penalty,counter_done_interations,segments,reward_game,agent,piece_penalty,representation,discount_reward,done_penalty,counter_done,done_bonus,counter_changes,discount_rewards,historical,reward_experience_bonus
7.982359239761056,0,True,6.582359239761056,3.464101615137755,1.0102,0.9788179629263809,2.584962500721156,,0,[16 39 17 14 36 35],3.0,,0,narrow-puzzle,,,0,50.0,15,6.776539596290603,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 7.982359239761056], 'action': [array([32], dtype=int64), array([39], dtype=int64), array([20], dtype=int64), array([8], dtype=int64), array([18], dtype=int64), array([16], dtype=int64), array([33], dtype=int64), array([29], dtype=int64), array([36], dtype=int64), array([14], dtype=int64), array([36], dtype=int64), array([35], dtype=int64), array([16], dtype=int64), array([39], dtype=int64), array([17], dtype=int64)]}",8.06377930400662
1.0290859839814104,0,True,0.5290859839814104,5.477225575051661,1.0104,0.9668100575025925,2.2516291673878226,,0,[ 5 32 39 10  5 35],0.0,,0,narrow-puzzle,,,1,10.0,6,0.7570077337686173,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 1.0290859839814104], 'action': [array([5], dtype=int64), array([32], dtype=int64), array([39], dtype=int64), array([10], dtype=int64), array([5], dtype=int64), array([35], dtype=int64)]}",1.039788478214817
7.982359239761056,0,True,7.482359239761056,5.477225575051661,1.0106,0.956764490628274,2.584962500721156,,0,[16 14  7 38 20 33],0.0,,0,narrow-puzzle,,,2,50.0,6,7.538749602139404,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 7.982359239761056], 'action': [array([16], dtype=int64), array([14], dtype=int64), array([7], dtype=int64), array([38], dtype=int64), array([20], dtype=int64), array([33], dtype=int64)]}",8.066972247702523
1.0290859839814104,0,True,0.22908598398141045,4.47213595499958,1.0108,0.956764490628274,2.2516291673878226,,0,[16 18 16  8 25 20],3.0,,0,narrow-puzzle,,,3,10.0,9,0.5980634848256579,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0290859839814104], 'action': [array([39], dtype=int64), array([39], dtype=int64), array([7], dtype=int64), array([8], dtype=int64), array([25], dtype=int64), array([20], dtype=int64), array([16], dtype=int64), array([18], dtype=int64), array([16], dtype=int64)]}",1.0402001126084095
1.0290859839814175,0,True,0.12908598398141757,4.242640687119285,1.011,0.9668100575025925,2.251629167387823,,0,[33 39  2 34 34  5],4.0,,0,narrow-puzzle,,,4,10.0,10,0.5457831633778092,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0290859839814175], 'action': [array([25], dtype=int64), array([5], dtype=int64), array([1], dtype=int64), array([10], dtype=int64), array([34], dtype=int64), array([5], dtype=int64), array([33], dtype=int64), array([39], dtype=int64), array([2], dtype=int64), array([34], dtype=int64)]}",1.040405929805213
7.982359239761056,0,True,7.082359239761056,4.242640687119285,1.0112,0.9453461763331195,2.584962500721156,,0,[20 39 24  8 22 29],3.0,,0,narrow-puzzle,,,5,50.0,10,7.194358769522043,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 7.982359239761056], 'action': [array([14], dtype=int64), array([18], dtype=int64), array([7], dtype=int64), array([3], dtype=int64), array([22], dtype=int64), array([29], dtype=int64), array([20], dtype=int64), array([39], dtype=int64), array([24], dtype=int64), array([8], dtype=int64)]}",8.071761663246381
1.0290859839814104,0,True,0.5290859839814104,5.477225575051661,1.0114,0.9856057373450678,2.2516291673878226,,0,[22 29 10 17 14 14],0.0,,0,narrow-puzzle,,,6,10.0,6,0.7570077337686173,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 1.0290859839814104], 'action': [array([22], dtype=int64), array([29], dtype=int64), array([10], dtype=int64), array([17], dtype=int64), array([14], dtype=int64), array([14], dtype=int64)]}",1.0408175641987985
1.0290859839814104,0,True,0.5290859839814104,5.477225575051661,1.0116,0.9626715710407068,2.2516291673878226,,0,[24 16 16  1 35 10],0.0,,0,narrow-puzzle,,,7,10.0,6,0.7570077337686173,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 1.0290859839814104], 'action': [array([24], dtype=int64), array([16], dtype=int64), array([16], dtype=int64), array([1], dtype=int64), array([35], dtype=int64), array([10], dtype=int64)]}",1.0410233813955947
-6.035411495425035,0,True,-7.035411495425035,4.242640687119285,1.0118,0.9888922525267978,1.9182958340544893,,0,[ 8  9 18  5 18  9],3.0,,0,narrow-puzzle,,,8,0.0,10,-6.227811326957809,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -6.035411495425035], 'action': [array([16], dtype=int64), array([9], dtype=int64), array([13], dtype=int64), array([3], dtype=int64), array([8], dtype=int64), array([9], dtype=int64), array([8], dtype=int64), array([9], dtype=int64), array([18], dtype=int64), array([5], dtype=int64), array([18], dtype=int64)]}",-6.10662935107105
7.982359239761056,0,True,7.482359239761056,5.477225575051661,1.012,0.9755025696892738,2.584962500721156,,0,[16 28 10 14 18 39],0.0,,0,narrow-puzzle,,,9,50.0,6,7.538749602139404,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 7.982359239761056], 'action': [array([16], dtype=int64), array([28], dtype=int64), array([10], dtype=int64), array([14], dtype=int64), array([18], dtype=int64), array([39], dtype=int64)]}",8.078147550638189
