#{"t_start": 1682944432.1517096, "env_id": null}
r,l,t
0.429086,7,0.44915
2.382359,17,1.34702
-14.170914,13,2.072544
-10.917641,30,3.631793
3.182359,9,4.149528
2.982359,11,4.758547
3.382359,7,5.185731
7.282359,8,5.6591
6.882359,12,6.308533
4.782359,13,7.013721
-3.570914,7,7.41998
-7.670914,8,7.920915
-0.017641,21,9.023281
7.482359,6,9.391872
3.182359,9,9.919028
4.382359,17,10.812757
-14.670914,18,11.740477
7.482359,6,12.11439
-1.470914,6,12.488827
2.182359,19,13.520907
5.382359,7,13.956618
-8.117641,22,15.115414
-14.270914,14,15.872019
-7.870914,10,16.437536
7.482359,6,16.81943
0.529086,6,17.207293
3.382359,7,17.629165
-1.217641,13,18.343599
7.482359,6,18.711395
-9.770914,9,19.232343
-1.617641,57,22.072216
7.482359,6,22.436172
7.282359,8,22.908349
7.482359,6,23.280002
-9.470914,26,24.608579
-0.017641,21,25.715093
-2.170914,13,26.431681
6.882359,12,27.099533
3.082359,10,27.692613
-16.070914,12,28.361241
7.282359,8,28.838774
7.482359,6,29.217813
6.582359,15,30.043166
3.582359,25,31.340119
-14.270914,14,32.086752
-7.217641,33,33.787087
7.482359,6,34.166715
7.282359,8,34.639053
5.382359,27,36.119967
2.982359,11,36.741533
-3.617641,17,37.63692
-3.770914,9,38.140957
-0.117641,22,39.298889
7.482359,6,39.668116
-1.570914,7,40.091988
6.582359,15,40.907265
-11.970914,31,42.485458
3.182359,9,43.020954
-0.717641,28,44.486458
7.382359,7,44.904837
4.882359,12,45.568527
7.182359,9,46.085073
-6.217641,43,48.233047
-4.370914,15,49.046319
6.382359,17,49.965897
-3.570914,7,50.392022
-0.170914,13,51.107515
2.782359,13,51.842705
2.282359,18,52.813608
6.782359,13,53.534545
1.582359,25,55.004432
7.382359,7,55.422599
6.682359,14,56.1898
-5.570914,27,57.610165
7.482359,6,57.982931
0.529086,6,58.35482
3.082359,10,58.921198
-39.035411,31,60.480332
0.782359,13,61.196715
7.482359,6,61.584655
-1.317641,14,62.334578
7.382359,7,62.764986
-9.517641,36,64.588102
-6.417641,25,65.872681
2.082359,20,66.914678
2.882359,12,67.583348
7.482359,6,67.968563
7.082359,10,68.530018
7.482359,6,68.889341
-0.817641,9,69.40412
3.182359,9,69.912141
4.782359,13,70.631232
-2.370914,15,71.437003
-12.821218,14,72.181523
-4.070914,12,72.844073
7.382359,7,73.25702
-1.317641,14,74.008649
7.282359,8,74.47262
-3.870914,10,75.052354
3.282359,8,75.526389
2.982359,11,76.127807
7.382359,7,76.547416
-9.970914,11,77.186831
-14.070914,12,77.852944
-1.417641,15,78.669749
-0.417641,25,79.964244
3.282359,8,80.440191
0.982359,31,82.005413
7.482359,6,82.37451
7.382359,7,82.799545
3.282359,8,83.255235
-3.870914,10,83.863029
-3.470914,6,84.2342
-3.670914,8,84.710618
-3.570914,7,85.155173
-1.570914,7,85.588769
-19.870914,30,87.138607
6.682359,14,87.920215
3.882359,22,89.084713
7.482359,6,89.458246
-16.021218,6,89.829245
-13.570914,27,91.204556
-32.017641,41,93.295114
0.129086,10,93.855044
-3.570914,7,94.272118
-0.070914,12,94.941473
0.329086,8,95.421564
3.382359,7,95.895947
-12.370914,15,96.713939
7.482359,6,97.090735
2.682359,14,97.847991
7.382359,7,98.266045
6.182359,19,99.254971
-4.570914,17,100.142896
7.482359,6,100.518921
7.382359,7,100.938642
-0.370914,15,101.749056
-14.870914,40,103.772837
-6.670914,18,104.727782
6.882359,12,105.396707
6.782359,13,106.120286
4.982359,11,106.74965
-1.470914,6,107.133516
-4.617641,27,108.546762
6.282359,18,109.514228
-5.770914,9,110.02962
7.382359,7,110.448505
-2.017641,21,111.558839
-3.570914,7,111.995335
-5.517641,36,113.842147
3.082359,10,114.408315
-1.217641,33,116.086752
-3.470914,6,116.476454
-9.070914,22,117.653759
-19.217641,33,119.329578
7.382359,7,119.746979
0.429086,7,120.164495
7.382359,7,120.58224
6.182359,19,121.576438
5.082359,10,122.162512
-13.670914,28,123.62954
-21.517641,36,125.468583
7.482359,6,125.844525
6.882359,12,126.518259
-12.770914,19,127.514233
3.182359,9,128.018416
-48.670914,58,130.901848
7.182359,9,131.433144
-8.370914,35,133.222235
6.782359,13,133.967172
6.882359,12,134.628047
2.782359,13,135.371334
-8.770914,19,136.403645
4.182359,19,137.43816
7.382359,7,137.868547
-3.917641,20,138.94063
-3.970914,11,139.557564
7.382359,7,139.975294
-1.617641,17,140.883857
-10.770914,19,141.898733
-6.217641,23,143.080659
-0.670914,18,144.030301
-13.670914,28,145.507088
2.582359,15,146.307106
3.082359,10,146.866794
-5.517641,36,148.692772
2.482359,16,149.563052
6.882359,12,150.255365
7.082359,10,150.812253
-1.970914,11,151.429733
6.682359,14,152.184877
0.529086,6,152.548133
-8.470914,16,153.396011
-1.570914,7,153.831919
-13.417641,55,156.699193
-8.535411,6,157.086351
6.982359,11,157.712573
3.982359,21,158.864002
-5.870914,10,159.428901
-2.070914,12,160.110922
3.382359,27,161.531337
6.882359,12,162.192616
-5.217641,33,163.901165
7.482359,6,164.282878
6.182359,19,165.312665
-2.870914,20,166.382555
-1.470914,6,166.762493
-3.670914,8,167.249177
7.282359,8,167.724859
-6.317641,24,168.964816
6.882359,12,169.634727
-14.870914,40,171.658108
-3.917641,20,172.686321
7.482359,6,173.080629
-3.470914,6,173.455869
-1.517641,16,174.330206
-7.070914,22,175.492736
4.982359,11,176.118304
7.482359,6,176.490268
-1.470914,6,176.850821
2.482359,16,177.710048
-4.870914,20,178.760051
7.182359,9,179.287278
2.682359,14,180.055542
-9.417641,15,180.864023
-1.817641,39,182.855913
4.282359,18,183.780402
