Episodes,Scores,Average,Total Rewards
0,-7.317640760238929,-7.317640760238929,-7.317640760238929
1,-1.917640760238939,-4.617640760238934,-9.235281520477873
2,-1.5176407602389403,-3.584307426905603,-10.752922280716824
3,-0.41764076023894425,-2.792640760238938,-11.17056304095576
4,-16.217640760238982,-5.4776407602389465,-27.388203801194795
5,-17.31764076023902,-7.450974093572292,-44.70584456143389
6,-15.117640760238967,-8.546212188810388,-59.823485321672806
7,-14.27091401601858,-9.261799917211412,-74.09439933769127
8,-4.51764076023893,-8.734671121992248,-78.61204009792985
9,-17.317640760239005,-9.592968085816924,-95.92968085816804
10,0.08235923976106374,-8.713392874400743,-95.84732161840677
11,-11.517640760238951,-8.947080198220593,-107.36496237864529
12,4.482359239761054,-7.914046395298929,-102.88260313888404
13,-33.51764076023912,-9.742874564223229,-136.400243899122
14,-17.017640760239033,-10.227858977290948,-153.4178846593602
15,2.582359239761061,-9.4272203387252,-150.83552541959895
16,-39.417640760239095,-11.191362716461311,-190.25316617983714
17,7.3823592397610565,-10.159489274448957,-182.87080694007605
18,-48.51764076023905,-12.178339352648436,-231.38844770031406
19,-34.00000000000012,-13.26942238501602,-265.38844770031454
20,-1.6176407602389347,-12.714575640979016,-267.00608846055474
21,-8.617640760238928,-12.528351328218104,-275.6237292207956
22,-52.00000000000016,-14.244509966121672,-327.6237292207997
23,-6.217640760238929,-13.910057082543224,-333.84136998104003
24,-15.117640760239002,-13.958360429651055,-348.95901074128193
25,6.282359239761056,-13.179871211596744,-342.67665150152123
26,-31.21764076023909,-13.847936750435348,-373.89429226176406
27,5.982359239761056,-13.139711893642618,-367.91193302200344
28,4.782359239761056,-12.52170944076663,-363.12957378224263
29,-40.00000000000013,-13.437652459407747,-403.1295737822467
30,-34.00000000000015,-14.100953992975244,-437.1295737822508
31,-47.317640760239115,-15.13897545445224,-484.44721454249367
32,1.1823592397610572,-14.644389554627594,-483.2648553027332
33,-42.00000000000012,-15.44896633243267,-525.2648553027373
34,-0.3176407602389375,-15.016642744655707,-525.5824960629767
35,7.082359239761056,-14.402781578421907,-518.5001368232158
36,4.382359239761055,-13.895075069822367,-514.1177775834556
37,-34.000000000000085,-14.424152041669151,-548.1177775834597
38,-12.870914016018585,-14.384325425626827,-560.9886915994796
39,-46.000000000000156,-15.174717289986159,-606.9886915994837
40,-4.217640760238929,-14.907471520967935,-611.2063323597245
41,-42.000000000000156,-15.552531722849654,-653.2063323597285
42,-42.81764076023909,-16.18660402604476,-696.0239731199713
43,3.5823592397610557,-15.737309406367352,-692.4416138802112
44,-38.000000000000085,-16.232035864003635,-730.4416138802153
45,-3.417640760238932,-15.953462057400055,-733.8592546404554
46,-14.617640760238977,-15.925040327673221,-748.4768954006959
47,1.282359239761064,-15.566552836685007,-747.1945361609363
48,-21.117640760238995,-15.679840345328966,-768.3121769211768
49,7.482359239761056,-15.216596353627164,-760.8298176814159
50,5.382359239761055,-14.812695263560729,-755.4474584416554
51,4.082359239761056,-14.44932883080454,-751.3650992018947
52,-48.00000000000008,-15.082360362298797,-799.3650992018988
53,-44.00000000000015,-15.617872207441414,-843.3650992019029
54,-11.317640760238948,-15.539686181128642,-854.6827399621435
55,2.2823592397610613,-15.221435370041325,-852.4003807223833
56,5.082359239761055,-14.865228447062336,-847.3180214826228
57,-32.00000000000009,-15.160655542802642,-879.3180214826269
58,-30.000000000000036,-15.412169855636495,-909.318021482631
59,-13.470914016018574,-15.379815591642863,-922.7889354986511
60,-38.000000000000114,-15.750638286861836,-960.7889354986552
61,7.482359239761056,-15.375912520303402,-953.3065762588942
62,-36.00000000000015,-15.703278988235095,-989.3065762588983
63,6.382359239761056,-15.358190890922655,-982.9242170191376
64,-19.717640760239043,-15.4252593504506,-1002.6418577793792
65,-11.117640760238931,-15.35999240211406,-1013.7594985396211
66,7.182359239761056,-15.023539392533834,-1006.5771392998602
67,0.3823592397610662,-14.796982059705968,-1006.1947800601004
68,-56.000000000000185,-15.394127247246464,-1062.1947800600892
69,-20.817640760239026,-15.471606011717787,-1083.0124208203147
70,-26.417640760239028,-15.625775515218086,-1109.4300615805441
71,5.482359239761055,-15.332606976954487,-1103.9477023407808
72,1.9823592397610614,-15.095415658917286,-1101.9653431010179
73,6.8823592397610565,-14.79841870082704,-1095.0829838612558
74,0.3823592397610671,-14.596008328285864,-1094.7006246214878
75,5.082359239761056,-14.337082439232617,-1089.618265381726
76,-16.017640760239015,-14.358907871972958,-1105.635906141954
77,-1.3176407602389393,-14.191712139771239,-1106.9535469021898
78,4.3823592397610565,-13.956597312182224,-1102.5711876624273
79,6.382359239761056,-13.702360355282934,-1096.1888284226648
80,-8.217640760238929,-13.634647767689799,-1104.4064691828962
81,-22.71764076023899,-13.745415974916009,-1127.1241099431254
82,4.582359239761054,-13.524599406064478,-1122.5417507033612
83,-14.317640760238927,-13.534040374566555,-1136.8593914635926
84,-48.00000000000013,-13.939522252512832,-1184.8593914635762
85,-2.3176407602389357,-13.804384095625926,-1187.1770322238094
86,2.4823592397610605,-13.617180149242168,-1184.6946729840452
87,6.782359239761056,-13.385367201639859,-1177.912313744283
88,1.282359239761064,-13.220561286567937,-1176.6299545045158
89,6.682359239761056,-12.999417725164282,-1169.9475952647535
90,7.482359239761056,-12.774343253022245,-1162.465236024992
91,-2.4176407602389283,-12.661770399839819,-1164.882876785225
92,-24.817640760239062,-12.792478683284973,-1189.7005175454524
93,-10.71764076023894,-12.77040593942278,-1200.4181583056816
94,3.282359239761057,-12.601429463852424,-1197.135799065918
95,7.082359239761056,-12.396389998189784,-1190.0534398261561
96,-3.4176407602389336,-12.303825573056272,-1193.4710805863901
97,-18.517640760238987,-12.367231850476502,-1211.9887213466177
98,-21.417640760238964,-12.458650122292285,-1233.4063621068462
99,5.182359239761055,-12.282240028671751,-1228.2240028670826
100,-7.717640760238918,-12.237045976509052,-1235.9416436273127
101,-9.71764076023894,-12.212345925369148,-1245.659284387541
102,-19.117640760238974,-12.279387622795069,-1264.7769251477735
103,7.482359239761056,-12.089370826039723,-1257.294565908012
104,-28.00000000000012,-12.240900627696488,-1285.2945659079955
105,-23.41764076023902,-12.346341572343116,-1308.7122066682223
106,3.3823592397610582,-12.199344368491676,-1305.3298474284607
107,-23.017640760238987,-12.299513779526373,-1328.3474881886877
108,-10.517640760238969,-12.283166320633827,-1338.8651289489208
109,-38.000000000000135,-12.516955717718977,-1376.8651289489044
110,-30.000000000000128,-12.674460621162952,-1406.865128948888
111,4.582359239761055,-12.520381872404702,-1402.2827697091257
112,-8.217640760238925,-12.482304517429784,-1410.5004104693571
113,-16.317640760238955,-12.515947817805303,-1426.8180512295867
114,-3.317640760238932,-12.435962539043855,-1430.135691989819
115,-10.070914016018582,-12.415574189707431,-1440.2066060058348
116,7.482359239761056,-12.245506382617956,-1432.7242467660733
117,-25.41764076023905,-12.357134640055422,-1458.1418875262964
118,-4.617640760238936,-12.292096876359485,-1462.759528286533
119,-52.00000000000014,-12.62299606905649,-1514.7595282865166
120,5.682359239761055,-12.471712140884446,-1509.0771690467534
121,1.9823592397610597,-12.353236145961121,-1507.0948098069905
122,5.682359239761055,-12.206605289166632,-1501.4124505672273
123,7.482359239761056,-12.04782331715915,-1493.9300913274658
124,4.382359239761055,-11.916381856703788,-1489.5477320877014
125,-20.31764076023899,-11.983058514668354,-1509.865372847931
126,-2.2176407602389343,-11.906165461483871,-1512.0830136081643
127,3.5823592397610575,-11.785161362255396,-1508.500654368401
128,-32.000000000000114,-11.94186553774179,-1540.5006543683846
129,-9.117640760238938,-11.920140731760998,-1549.618295128619
130,2.582359239761061,-11.809434625108159,-1547.0359358888566
131,-0.5709140160185899,-11.72429431746354,-1547.6068499048738
132,-22.817640760238984,-11.807702937334032,-1570.4244906650993
133,2.4823592397610597,-11.701060682281083,-1567.9421314253332
134,-31.817640760239083,-11.850072386562253,-1599.759772185556
