done_bonus,historical,entropy,bonus_factor,counter_changes,is_done_success,reward_distance,counter_done_interations,rewards_sum,representation,reward_experience_bonus,reward_game,experience_bonus,changes_penalty,reward,segments,reward_neighbors,agent,discount_reward,counter_done_max_changes,done_penalty,counter_done,entropy_map,discount_rewards,piece_penalty
50.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -4.1, -0.1, -0.1, -4.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -2.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 7.982359239761056], 'action': [array([199], dtype=int64), array([129], dtype=int64), array([155], dtype=int64), array([251], dtype=int64), array([54], dtype=int64), array([246], dtype=int64), array([199], dtype=int64), array([74], dtype=int64), array([74], dtype=int64), array([104], dtype=int64), array([31], dtype=int64), array([31], dtype=int64), array([204], dtype=int64), array([197], dtype=int64), array([202], dtype=int64), array([74], dtype=int64), array([288], dtype=int64), array([276], dtype=int64), array([101], dtype=int64), array([52], dtype=int64), array([89], dtype=int64), array([180], dtype=int64), array([265], dtype=int64), array([286], dtype=int64), array([195], dtype=int64), array([123], dtype=int64), array([298], dtype=int64), array([253], dtype=int64), array([123], dtype=int64), array([6], dtype=int64), array([6], dtype=int64), array([74], dtype=int64), array([199], dtype=int64), array([114], dtype=int64), array([117], dtype=int64), array([102], dtype=int64), array([280], dtype=int64), array([289], dtype=int64), array([29], dtype=int64), array([249], dtype=int64), array([146], dtype=int64), array([106], dtype=int64), array([205], dtype=int64), array([240], dtype=int64), array([185], dtype=int64), array([25], dtype=int64), array([91], dtype=int64), array([141], dtype=int64), array([76], dtype=int64), array([204], dtype=int64), array([155], dtype=int64), array([63], dtype=int64), array([102], dtype=int64), array([125], dtype=int64)]}",2.584962500721156,1.0,54,True,0,0,-7.317640760238929,narrow-puzzle,8.06377930400662,3.0,1.0102,,7.982359239761056,[ 76 204 155  63 102 125],0,,,0,,0,1.197368313391119,1.5288308675328512,0
50.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -4.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 7.982359239761056], 'action': [array([22], dtype=int64), array([199], dtype=int64), array([155], dtype=int64), array([67], dtype=int64), array([288], dtype=int64), array([230], dtype=int64), array([280], dtype=int64), array([85], dtype=int64), array([249], dtype=int64), array([52], dtype=int64), array([172], dtype=int64), array([102], dtype=int64), array([188], dtype=int64), array([287], dtype=int64), array([246], dtype=int64), array([271], dtype=int64), array([156], dtype=int64), array([6], dtype=int64), array([204], dtype=int64), array([38], dtype=int64), array([173], dtype=int64), array([76], dtype=int64), array([281], dtype=int64), array([244], dtype=int64), array([271], dtype=int64), array([141], dtype=int64), array([207], dtype=int64), array([279], dtype=int64), array([82], dtype=int64), array([195], dtype=int64), array([297], dtype=int64), array([53], dtype=int64), array([224], dtype=int64), array([12], dtype=int64), array([185], dtype=int64), array([204], dtype=int64), array([210], dtype=int64), array([85], dtype=int64), array([217], dtype=int64), array([289], dtype=int64), array([38], dtype=int64), array([257], dtype=int64), array([91], dtype=int64), array([240], dtype=int64), array([257], dtype=int64), array([48], dtype=int64), array([26], dtype=int64), array([156], dtype=int64), array([123], dtype=int64), array([146], dtype=int64), array([64], dtype=int64), array([260], dtype=int64), array([188], dtype=int64), array([6], dtype=int64), array([130], dtype=int64), array([2], dtype=int64), array([205], dtype=int64), array([139], dtype=int64), array([90], dtype=int64), array([32], dtype=int64)]}",2.584962500721156,1.0,60,True,0,0,-1.917640760238939,narrow-puzzle,8.065375775854571,6.0,1.0104,,7.982359239761056,[130   2 205 139  90  32],0,,,0,,1,1.202696946344147,1.1465564668739958,0
50.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -4.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 7.982359239761056], 'action': [array([74], dtype=int64), array([52], dtype=int64), array([288], dtype=int64), array([6], dtype=int64), array([209], dtype=int64), array([170], dtype=int64), array([229], dtype=int64), array([252], dtype=int64), array([280], dtype=int64), array([160], dtype=int64), array([246], dtype=int64), array([64], dtype=int64), array([265], dtype=int64), array([41], dtype=int64), array([74], dtype=int64), array([285], dtype=int64), array([9], dtype=int64), array([140], dtype=int64), array([253], dtype=int64), array([240], dtype=int64), array([16], dtype=int64), array([44], dtype=int64), array([188], dtype=int64), array([6], dtype=int64), array([156], dtype=int64), array([246], dtype=int64), array([25], dtype=int64), array([180], dtype=int64), array([286], dtype=int64), array([6], dtype=int64), array([224], dtype=int64), array([43], dtype=int64), array([85], dtype=int64), array([17], dtype=int64), array([246], dtype=int64), array([74], dtype=int64), array([201], dtype=int64), array([104], dtype=int64), array([41], dtype=int64), array([246], dtype=int64), array([162], dtype=int64), array([180], dtype=int64), array([144], dtype=int64), array([32], dtype=int64), array([224], dtype=int64), array([246], dtype=int64), array([289], dtype=int64), array([22], dtype=int64), array([205], dtype=int64), array([274], dtype=int64), array([242], dtype=int64), array([202], dtype=int64), array([158], dtype=int64), array([32], dtype=int64), array([280], dtype=int64), array([22], dtype=int64)]}",2.584962500721156,1.0,56,True,0,0,-1.5176407602389403,narrow-puzzle,8.066972247702523,6.0,1.0106,,7.982359239761056,[280  22 242 202 158  32],0,,,0,,2,1.2499153468846622,1.4562014780279,0
50.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -4.1, -0.1, -0.1, -0.1, -0.1, 7.982359239761056], 'action': [array([249], dtype=int64), array([288], dtype=int64), array([205], dtype=int64), array([281], dtype=int64), array([69], dtype=int64), array([167], dtype=int64), array([257], dtype=int64), array([85], dtype=int64), array([170], dtype=int64), array([76], dtype=int64), array([204], dtype=int64), array([155], dtype=int64), array([102], dtype=int64), array([157], dtype=int64), array([160], dtype=int64), array([249], dtype=int64), array([234], dtype=int64), array([280], dtype=int64), array([71], dtype=int64), array([204], dtype=int64), array([240], dtype=int64), array([274], dtype=int64), array([155], dtype=int64), array([229], dtype=int64), array([64], dtype=int64), array([205], dtype=int64), array([86], dtype=int64), array([209], dtype=int64), array([242], dtype=int64), array([124], dtype=int64), array([298], dtype=int64), array([240], dtype=int64), array([85], dtype=int64), array([4], dtype=int64), array([107], dtype=int64), array([280], dtype=int64), array([252], dtype=int64), array([22], dtype=int64), array([91], dtype=int64), array([252], dtype=int64), array([242], dtype=int64), array([74], dtype=int64), array([238], dtype=int64), array([205], dtype=int64), array([281], dtype=int64)]}",2.584962500721156,1.0,45,True,0,0,-0.41764076023894425,narrow-puzzle,8.068568719550475,10.0,1.0108,,7.982359239761056,[238 205 281 252 242  74],0,,,0,,3,1.215922074814425,1.5958451567049887,0
50.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -2.1, -0.1, -0.1, -0.1, -0.1, -0.1, -4.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -4.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -4.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 7.982359239761056], 'action': [array([128], dtype=int64), array([47], dtype=int64), array([163], dtype=int64), array([178], dtype=int64), array([180], dtype=int64), array([54], dtype=int64), array([104], dtype=int64), array([155], dtype=int64), array([195], dtype=int64), array([101], dtype=int64), array([53], dtype=int64), array([86], dtype=int64), array([114], dtype=int64), array([242], dtype=int64), array([156], dtype=int64), array([281], dtype=int64), array([209], dtype=int64), array([71], dtype=int64), array([32], dtype=int64), array([180], dtype=int64), array([74], dtype=int64), array([287], dtype=int64), array([180], dtype=int64), array([249], dtype=int64), array([204], dtype=int64), array([128], dtype=int64), array([257], dtype=int64), array([170], dtype=int64), array([170], dtype=int64), array([10], dtype=int64), array([229], dtype=int64), array([22], dtype=int64), array([106], dtype=int64), array([102], dtype=int64), array([141], dtype=int64), array([94], dtype=int64), array([129], dtype=int64), array([25], dtype=int64), array([204], dtype=int64), array([280], dtype=int64), array([292], dtype=int64), array([286], dtype=int64), array([141], dtype=int64), array([74], dtype=int64), array([102], dtype=int64), array([252], dtype=int64), array([203], dtype=int64), array([106], dtype=int64), array([167], dtype=int64), array([173], dtype=int64), array([281], dtype=int64), array([206], dtype=int64), array([85], dtype=int64), array([64], dtype=int64), array([198], dtype=int64), array([120], dtype=int64), array([217], dtype=int64), array([287], dtype=int64), array([246], dtype=int64), array([194], dtype=int64), array([185], dtype=int64), array([252], dtype=int64), array([280], dtype=int64), array([246], dtype=int64), array([257], dtype=int64), array([233], dtype=int64), array([63], dtype=int64), array([22], dtype=int64), array([85], dtype=int64), array([141], dtype=int64), array([140], dtype=int64), array([274], dtype=int64), array([53], dtype=int64), array([280], dtype=int64), array([59], dtype=int64), array([137], dtype=int64), array([205], dtype=int64), array([52], dtype=int64), array([8], dtype=int64), array([91], dtype=int64), array([160], dtype=int64), array([182], dtype=int64), array([280], dtype=int64), array([204], dtype=int64), array([187], dtype=int64), array([71], dtype=int64), array([180], dtype=int64), array([187], dtype=int64), array([246], dtype=int64), array([16], dtype=int64), array([199], dtype=int64), array([156], dtype=int64), array([288], dtype=int64), array([119], dtype=int64), array([297], dtype=int64), array([26], dtype=int64), array([43], dtype=int64), array([86], dtype=int64), array([74], dtype=int64), array([52], dtype=int64), array([280], dtype=int64), array([252], dtype=int64), array([281], dtype=int64)]}",2.584962500721156,1.0,103,True,0,0,-16.217640760238982,narrow-puzzle,8.070165191398427,6.0,1.011,,7.982359239761056,[281  86  74  52 280 252],0,,,0,,4,1.2383470283700384,-4.246765571747838,0
50.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -2.1, -0.1, -0.1, -0.1, -0.1, -0.1, -4.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -2.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -4.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -2.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 7.982359239761056], 'action': [array([262], dtype=int64), array([114], dtype=int64), array([236], dtype=int64), array([244], dtype=int64), array([91], dtype=int64), array([195], dtype=int64), array([85], dtype=int64), array([240], dtype=int64), array([74], dtype=int64), array([240], dtype=int64), array([217], dtype=int64), array([219], dtype=int64), array([102], dtype=int64), array([281], dtype=int64), array([94], dtype=int64), array([217], dtype=int64), array([86], dtype=int64), array([126], dtype=int64), array([93], dtype=int64), array([100], dtype=int64), array([188], dtype=int64), array([185], dtype=int64), array([8], dtype=int64), array([123], dtype=int64), array([60], dtype=int64), array([236], dtype=int64), array([299], dtype=int64), array([236], dtype=int64), array([167], dtype=int64), array([199], dtype=int64), array([281], dtype=int64), array([180], dtype=int64), array([188], dtype=int64), array([89], dtype=int64), array([125], dtype=int64), array([297], dtype=int64), array([239], dtype=int64), array([199], dtype=int64), array([126], dtype=int64), array([285], dtype=int64), array([10], dtype=int64), array([54], dtype=int64), array([246], dtype=int64), array([266], dtype=int64), array([261], dtype=int64), array([234], dtype=int64), array([185], dtype=int64), array([274], dtype=int64), array([199], dtype=int64), array([217], dtype=int64), array([207], dtype=int64), array([199], dtype=int64), array([280], dtype=int64), array([52], dtype=int64), array([197], dtype=int64), array([155], dtype=int64), array([123], dtype=int64), array([297], dtype=int64), array([63], dtype=int64), array([251], dtype=int64), array([32], dtype=int64), array([31], dtype=int64), array([280], dtype=int64), array([244], dtype=int64), array([257], dtype=int64), array([185], dtype=int64), array([126], dtype=int64), array([74], dtype=int64), array([61], dtype=int64), array([54], dtype=int64), array([285], dtype=int64), array([170], dtype=int64), array([22], dtype=int64), array([36], dtype=int64), array([297], dtype=int64), array([289], dtype=int64), array([192], dtype=int64), array([74], dtype=int64), array([74], dtype=int64), array([164], dtype=int64), array([242], dtype=int64), array([114], dtype=int64), array([67], dtype=int64), array([31], dtype=int64), array([123], dtype=int64), array([22], dtype=int64), array([212], dtype=int64), array([25], dtype=int64), array([241], dtype=int64), array([210], dtype=int64), array([241], dtype=int64), array([249], dtype=int64), array([43], dtype=int64), array([288], dtype=int64), array([167], dtype=int64), array([156], dtype=int64), array([3], dtype=int64), array([85], dtype=int64), array([180], dtype=int64), array([29], dtype=int64), array([49], dtype=int64), array([287], dtype=int64), array([102], dtype=int64), array([31], dtype=int64), array([114], dtype=int64), array([114], dtype=int64), array([167], dtype=int64), array([185], dtype=int64), array([180], dtype=int64), array([22], dtype=int64), array([2], dtype=int64), array([102], dtype=int64), array([43], dtype=int64), array([153], dtype=int64)]}",2.584962500721156,1.0,114,True,0,0,-17.31764076023902,narrow-puzzle,8.071761663246381,6.0,1.0112,,7.982359239761056,[180  22   2 102  43 153],0,,,0,,5,1.1886007255547653,-2.840846877049671,0
50.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -4.1, -2.1, -0.1, -0.1, -0.1, -0.1, -4.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -4.1, -0.1, -0.1, -0.1, -0.1, -0.1, -2.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 7.982359239761056], 'action': [array([53], dtype=int64), array([205], dtype=int64), array([111], dtype=int64), array([299], dtype=int64), array([217], dtype=int64), array([298], dtype=int64), array([123], dtype=int64), array([123], dtype=int64), array([217], dtype=int64), array([104], dtype=int64), array([155], dtype=int64), array([146], dtype=int64), array([92], dtype=int64), array([217], dtype=int64), array([86], dtype=int64), array([147], dtype=int64), array([16], dtype=int64), array([249], dtype=int64), array([108], dtype=int64), array([260], dtype=int64), array([198], dtype=int64), array([185], dtype=int64), array([246], dtype=int64), array([204], dtype=int64), array([108], dtype=int64), array([192], dtype=int64), array([252], dtype=int64), array([298], dtype=int64), array([280], dtype=int64), array([166], dtype=int64), array([217], dtype=int64), array([149], dtype=int64), array([54], dtype=int64), array([22], dtype=int64), array([298], dtype=int64), array([246], dtype=int64), array([41], dtype=int64), array([141], dtype=int64), array([54], dtype=int64), array([253], dtype=int64), array([217], dtype=int64), array([91], dtype=int64), array([93], dtype=int64), array([126], dtype=int64), array([288], dtype=int64), array([29], dtype=int64), array([91], dtype=int64), array([76], dtype=int64), array([252], dtype=int64), array([155], dtype=int64), array([277], dtype=int64), array([64], dtype=int64), array([155], dtype=int64), array([224], dtype=int64), array([202], dtype=int64), array([199], dtype=int64), array([141], dtype=int64), array([22], dtype=int64), array([297], dtype=int64), array([123], dtype=int64), array([102], dtype=int64), array([246], dtype=int64), array([156], dtype=int64), array([199], dtype=int64), array([276], dtype=int64), array([22], dtype=int64), array([149], dtype=int64), array([217], dtype=int64), array([85], dtype=int64), array([49], dtype=int64), array([79], dtype=int64), array([41], dtype=int64)]}",2.584962500721156,1.0,72,True,0,0,-15.117640760238967,narrow-puzzle,8.073358135094333,6.0,1.0114,,7.982359239761056,[149 217  85  49  79  41],0,,,0,,6,1.22393897547544,-1.774664085414262,0
10.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -4.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -2.9709140160185896], 'action': [array([115], dtype=int64), array([6], dtype=int64), array([64], dtype=int64), array([246], dtype=int64), array([280], dtype=int64), array([242], dtype=int64), array([137], dtype=int64), array([217], dtype=int64), array([288], dtype=int64), array([172], dtype=int64), array([179], dtype=int64), array([74], dtype=int64), array([188], dtype=int64), array([2], dtype=int64), array([188], dtype=int64), array([180], dtype=int64), array([17], dtype=int64), array([180], dtype=int64), array([287], dtype=int64), array([162], dtype=int64), array([213], dtype=int64), array([155], dtype=int64), array([185], dtype=int64), array([163], dtype=int64), array([243], dtype=int64), array([89], dtype=int64), array([156], dtype=int64), array([47], dtype=int64), array([236], dtype=int64), array([188], dtype=int64), array([91], dtype=int64), array([74], dtype=int64), array([31], dtype=int64), array([243], dtype=int64), array([7], dtype=int64), array([202], dtype=int64), array([246], dtype=int64), array([216], dtype=int64), array([288], dtype=int64), array([52], dtype=int64), array([155], dtype=int64), array([224], dtype=int64), array([141], dtype=int64), array([91], dtype=int64), array([257], dtype=int64), array([127], dtype=int64), array([156], dtype=int64), array([199], dtype=int64), array([6], dtype=int64), array([298], dtype=int64), array([64], dtype=int64), array([180], dtype=int64), array([199], dtype=int64), array([124], dtype=int64), array([287], dtype=int64), array([257], dtype=int64), array([167], dtype=int64), array([281], dtype=int64), array([111], dtype=int64), array([108], dtype=int64), array([280], dtype=int64), array([192], dtype=int64), array([224], dtype=int64), array([286], dtype=int64), array([212], dtype=int64), array([180], dtype=int64), array([111], dtype=int64), array([281], dtype=int64), array([193], dtype=int64), array([146], dtype=int64), array([205], dtype=int64), array([74], dtype=int64), array([126], dtype=int64), array([126], dtype=int64)]}",2.2516291673878226,1.0,74,True,-5.0,0,-14.27091401601858,narrow-puzzle,-3.0053766186044055,3.0,1.0116,,-2.9709140160185896,[126 126 193 146 205  74],-4,,,0,,7,1.226842487106777,-7.248612047508242,0
50.0,"{'rewards': [-0.1, -0.1, -0.1, -2.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -4.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 7.982359239761056], 'action': [array([22], dtype=int64), array([205], dtype=int64), array([199], dtype=int64), array([205], dtype=int64), array([86], dtype=int64), array([72], dtype=int64), array([1], dtype=int64), array([175], dtype=int64), array([55], dtype=int64), array([93], dtype=int64), array([63], dtype=int64), array([188], dtype=int64), array([182], dtype=int64), array([82], dtype=int64), array([6], dtype=int64), array([236], dtype=int64), array([217], dtype=int64), array([91], dtype=int64), array([199], dtype=int64), array([43], dtype=int64), array([86], dtype=int64), array([112], dtype=int64), array([91], dtype=int64), array([101], dtype=int64), array([181], dtype=int64), array([204], dtype=int64), array([6], dtype=int64), array([200], dtype=int64), array([205], dtype=int64), array([114], dtype=int64), array([22], dtype=int64), array([52], dtype=int64), array([209], dtype=int64), array([155], dtype=int64), array([288], dtype=int64), array([246], dtype=int64), array([125], dtype=int64), array([180], dtype=int64), array([237], dtype=int64), array([102], dtype=int64), array([53], dtype=int64), array([246], dtype=int64), array([217], dtype=int64), array([209], dtype=int64), array([59], dtype=int64), array([240], dtype=int64), array([49], dtype=int64), array([64], dtype=int64), array([63], dtype=int64), array([168], dtype=int64), array([163], dtype=int64), array([243], dtype=int64), array([169], dtype=int64), array([204], dtype=int64), array([6], dtype=int64), array([85], dtype=int64), array([122], dtype=int64), array([101], dtype=int64), array([287], dtype=int64), array([186], dtype=int64), array([252], dtype=int64), array([146], dtype=int64), array([250], dtype=int64), array([166], dtype=int64), array([185], dtype=int64), array([55], dtype=int64)]}",2.584962500721156,1.0,66,True,0,0,-4.51764076023893,narrow-puzzle,8.076551078790237,6.0,1.0118,,7.982359239761056,[252 146 250 166 185  55],0,,,0,,8,1.2398685940327105,1.8403449864937407,0
50.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -2.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -4.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -2.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -2.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -2.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 7.982359239761056], 'action': [array([54], dtype=int64), array([43], dtype=int64), array([188], dtype=int64), array([64], dtype=int64), array([128], dtype=int64), array([240], dtype=int64), array([22], dtype=int64), array([155], dtype=int64), array([58], dtype=int64), array([244], dtype=int64), array([147], dtype=int64), array([207], dtype=int64), array([89], dtype=int64), array([163], dtype=int64), array([205], dtype=int64), array([241], dtype=int64), array([54], dtype=int64), array([224], dtype=int64), array([287], dtype=int64), array([202], dtype=int64), array([162], dtype=int64), array([10], dtype=int64), array([217], dtype=int64), array([276], dtype=int64), array([31], dtype=int64), array([114], dtype=int64), array([209], dtype=int64), array([124], dtype=int64), array([52], dtype=int64), array([124], dtype=int64), array([10], dtype=int64), array([172], dtype=int64), array([244], dtype=int64), array([188], dtype=int64), array([25], dtype=int64), array([1], dtype=int64), array([156], dtype=int64), array([123], dtype=int64), array([249], dtype=int64), array([241], dtype=int64), array([280], dtype=int64), array([155], dtype=int64), array([202], dtype=int64), array([53], dtype=int64), array([85], dtype=int64), array([114], dtype=int64), array([217], dtype=int64), array([202], dtype=int64), array([240], dtype=int64), array([217], dtype=int64), array([287], dtype=int64), array([102], dtype=int64), array([6], dtype=int64), array([170], dtype=int64), array([91], dtype=int64), array([167], dtype=int64), array([217], dtype=int64), array([281], dtype=int64), array([281], dtype=int64), array([292], dtype=int64), array([134], dtype=int64), array([146], dtype=int64), array([153], dtype=int64), array([6], dtype=int64), array([114], dtype=int64), array([85], dtype=int64), array([108], dtype=int64), array([288], dtype=int64), array([166], dtype=int64), array([105], dtype=int64), array([281], dtype=int64), array([91], dtype=int64), array([53], dtype=int64), array([22], dtype=int64), array([64], dtype=int64), array([130], dtype=int64), array([280], dtype=int64), array([114], dtype=int64), array([280], dtype=int64), array([41], dtype=int64), array([7], dtype=int64), array([199], dtype=int64), array([297], dtype=int64), array([93], dtype=int64), array([149], dtype=int64), array([241], dtype=int64), array([6], dtype=int64), array([167], dtype=int64), array([22], dtype=int64), array([299], dtype=int64), array([206], dtype=int64), array([299], dtype=int64), array([49], dtype=int64), array([229], dtype=int64), array([22], dtype=int64), array([252], dtype=int64), array([280], dtype=int64), array([253], dtype=int64), array([86], dtype=int64), array([123], dtype=int64), array([246], dtype=int64), array([54], dtype=int64), array([102], dtype=int64), array([22], dtype=int64), array([90], dtype=int64), array([74], dtype=int64), array([252], dtype=int64), array([86], dtype=int64), array([252], dtype=int64), array([76], dtype=int64), array([54], dtype=int64), array([74], dtype=int64), array([102], dtype=int64), array([299], dtype=int64), array([238], dtype=int64), array([170], dtype=int64), array([217], dtype=int64), array([187], dtype=int64), array([32], dtype=int64), array([52], dtype=int64), array([102], dtype=int64), array([22], dtype=int64), array([76], dtype=int64), array([188], dtype=int64), array([63], dtype=int64), array([31], dtype=int64), array([205], dtype=int64), array([281], dtype=int64), array([242], dtype=int64), array([175], dtype=int64), array([52], dtype=int64), array([74], dtype=int64), array([172], dtype=int64), array([271], dtype=int64)]}",2.584962500721156,1.0,134,True,0,0,-17.317640760239005,narrow-puzzle,8.078147550638189,15.0,1.012,,7.982359239761056,[172 271 242 175  52  74],0,,,0,,9,1.2563235450942103,-4.707200216187134,0
