reward,counter_done_max_changes,is_done_success,rewards_sum,bonus_factor,experience_bonus,entropy_map,entropy,changes_penalty,counter_done_interations,segments,reward_game,agent,piece_penalty,representation,discount_reward,done_penalty,counter_done,done_bonus,counter_changes,discount_rewards,historical,reward_experience_bonus
2.584962500721156,0,True,-5.315037499278832,1.0,1.0102,1.2585912469906204,2.584962500721156,,0,[259 151 177  49 264 240],3.0,,0,narrow-puzzle,,,0,50.0,78,-1.3088754533732796,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.584962500721156], 'action': [array([199], dtype=int64), array([139], dtype=int64), array([157], dtype=int64), array([246], dtype=int64), array([46], dtype=int64), array([240], dtype=int64), array([201], dtype=int64), array([49], dtype=int64), array([49], dtype=int64), array([114], dtype=int64), array([31], dtype=int64), array([31], dtype=int64), array([223], dtype=int64), array([199], dtype=int64), array([209], dtype=int64), array([49], dtype=int64), array([272], dtype=int64), array([259], dtype=int64), array([99], dtype=int64), array([35], dtype=int64), array([77], dtype=int64), array([185], dtype=int64), array([257], dtype=int64), array([264], dtype=int64), array([199], dtype=int64), array([139], dtype=int64), array([277], dtype=int64), array([249], dtype=int64), array([139], dtype=int64), array([14], dtype=int64), array([28], dtype=int64), array([49], dtype=int64), array([202], dtype=int64), array([119], dtype=int64), array([129], dtype=int64), array([97], dtype=int64), array([259], dtype=int64), array([272], dtype=int64), array([31], dtype=int64), array([240], dtype=int64), array([151], dtype=int64), array([114], dtype=int64), array([228], dtype=int64), array([240], dtype=int64), array([198], dtype=int64), array([28], dtype=int64), array([83], dtype=int64), array([151], dtype=int64), array([49], dtype=int64), array([209], dtype=int64), array([154], dtype=int64), array([47], dtype=int64), array([96], dtype=int64), array([139], dtype=int64), array([28], dtype=int64), array([199], dtype=int64), array([155], dtype=int64), array([47], dtype=int64), array([266], dtype=int64), array([240], dtype=int64), array([259], dtype=int64), array([52], dtype=int64), array([240], dtype=int64), array([35], dtype=int64), array([177], dtype=int64), array([98], dtype=int64), array([197], dtype=int64), array([266], dtype=int64), array([240], dtype=int64), array([259], dtype=int64), array([157], dtype=int64), array([28], dtype=int64), array([212], dtype=int64), array([35], dtype=int64), array([177], dtype=int64), array([49], dtype=int64), array([264], dtype=int64), array([240], dtype=int64), array([259], dtype=int64), array([151], dtype=int64)]}",2.611329118228512
2.584962500721156,0,True,-0.8150374992788456,1.0,1.0104,1.21878743844075,2.584962500721156,,0,[212 141  74  35  49   4],9.0,,0,narrow-puzzle,,,1,50.0,33,0.6631418226652604,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.584962500721156], 'action': [array([223], dtype=int64), array([259], dtype=int64), array([51], dtype=int64), array([199], dtype=int64), array([274], dtype=int64), array([42], dtype=int64), array([240], dtype=int64), array([28], dtype=int64), array([195], dtype=int64), array([209], dtype=int64), array([231], dtype=int64), array([55], dtype=int64), array([240], dtype=int64), array([272], dtype=int64), array([35], dtype=int64), array([249], dtype=int64), array([89], dtype=int64), array([240], dtype=int64), array([249], dtype=int64), array([35], dtype=int64), array([29], dtype=int64), array([157], dtype=int64), array([139], dtype=int64), array([151], dtype=int64), array([47], dtype=int64), array([254], dtype=int64), array([199], dtype=int64), array([14], dtype=int64), array([139], dtype=int64), array([4], dtype=int64), array([212], dtype=int64), array([141], dtype=int64), array([74], dtype=int64), array([35], dtype=int64), array([49], dtype=int64)]}",2.611846110728656
2.584962500721156,0,True,0.28496250072115537,1.0,1.0106,1.2375276331967022,2.584962500721156,,0,[240  28  35 199  19 167],3.0,,0,narrow-puzzle,,,2,50.0,24,1.2384690042749533,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.584962500721156], 'action': [array([42], dtype=int64), array([266], dtype=int64), array([9], dtype=int64), array([231], dtype=int64), array([177], dtype=int64), array([240], dtype=int64), array([247], dtype=int64), array([259], dtype=int64), array([172], dtype=int64), array([240], dtype=int64), array([47], dtype=int64), array([257], dtype=int64), array([35], dtype=int64), array([47], dtype=int64), array([264], dtype=int64), array([28], dtype=int64), array([141], dtype=int64), array([249], dtype=int64), array([240], dtype=int64), array([28], dtype=int64), array([35], dtype=int64), array([199], dtype=int64), array([19], dtype=int64), array([167], dtype=int64)]}",2.6123631032288004
2.584962500721156,0,True,1.3849625007211561,3.721042037676254,1.0108,1.2569196452410836,2.584962500721156,,0,[114  51  28 240  49 204],3.0,,0,narrow-puzzle,,,3,50.0,13,1.856871789882128,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.584962500721156], 'action': [array([240], dtype=int64), array([28], dtype=int64), array([188], dtype=int64), array([264], dtype=int64), array([28], dtype=int64), array([240], dtype=int64), array([35], dtype=int64), array([51], dtype=int64), array([28], dtype=int64), array([240], dtype=int64), array([49], dtype=int64), array([204], dtype=int64), array([114], dtype=int64)]}",2.6128800957289444
2.584962500721156,0,True,2.084962500721156,5.477225575051661,1.011,1.235278006154168,2.584962500721156,,0,[ 35 240 167 177 151  32],3.0,,0,narrow-puzzle,,,4,50.0,6,2.2745020889369907,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.584962500721156], 'action': [array([35], dtype=int64), array([240], dtype=int64), array([167], dtype=int64), array([177], dtype=int64), array([151], dtype=int64), array([32], dtype=int64)]}",2.6133970882290884
2.2516291673878226,0,True,1.2516291673878226,4.242640687119285,1.0112,1.270478749212791,2.2516291673878226,,0,[240 209 170  35 259 259],6.0,,0,narrow-puzzle,,,5,10.0,10,1.6570626984876158,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.2516291673878226], 'action': [array([240], dtype=int64), array([240], dtype=int64), array([272], dtype=int64), array([28], dtype=int64), array([223], dtype=int64), array([259], dtype=int64), array([240], dtype=int64), array([209], dtype=int64), array([170], dtype=int64), array([35], dtype=int64), array([259], dtype=int64)]}",2.2768474140625665
2.584962500721156,0,True,1.0849625007211559,3.3541019662496843,1.0114,1.2220231700219362,2.584962500721156,,0,[157 100 167 168  49 210],6.0,,0,narrow-puzzle,,,6,50.0,16,1.6837398784033004,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.584962500721156], 'action': [array([28], dtype=int64), array([240], dtype=int64), array([266], dtype=int64), array([209], dtype=int64), array([264], dtype=int64), array([48], dtype=int64), array([172], dtype=int64), array([249], dtype=int64), array([51], dtype=int64), array([177], dtype=int64), array([49], dtype=int64), array([210], dtype=int64), array([157], dtype=int64), array([100], dtype=int64), array([167], dtype=int64), array([168], dtype=int64)]}",2.6144310732293774
2.584962500721156,0,True,0.6849625007211555,1.0,1.0116,1.2448303554984896,2.584962500721156,,0,[  9 114 139 274 240  52],3.0,,0,narrow-puzzle,,,7,50.0,19,1.4581718099016332,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.584962500721156], 'action': [array([241], dtype=int64), array([240], dtype=int64), array([259], dtype=int64), array([47], dtype=int64), array([209], dtype=int64), array([240], dtype=int64), array([259], dtype=int64), array([156], dtype=int64), array([240], dtype=int64), array([47], dtype=int64), array([223], dtype=int64), array([61], dtype=int64), array([231], dtype=int64), array([240], dtype=int64), array([139], dtype=int64), array([274], dtype=int64), array([240], dtype=int64), array([52], dtype=int64), array([9], dtype=int64), array([114], dtype=int64)]}",2.6149480657295214
2.584962500721156,0,True,-3.5150374992788382,1.0,1.0118,1.2277654933117805,2.584962500721156,,0,[264 231 209 113 172 177],9.0,,0,narrow-puzzle,,,8,50.0,60,-0.5870209739347741,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.584962500721156], 'action': [array([264], dtype=int64), array([245], dtype=int64), array([28], dtype=int64), array([81], dtype=int64), array([247], dtype=int64), array([240], dtype=int64), array([49], dtype=int64), array([240], dtype=int64), array([223], dtype=int64), array([264], dtype=int64), array([139], dtype=int64), array([35], dtype=int64), array([167], dtype=int64), array([177], dtype=int64), array([177], dtype=int64), array([42], dtype=int64), array([113], dtype=int64), array([157], dtype=int64), array([199], dtype=int64), array([96], dtype=int64), array([42], dtype=int64), array([61], dtype=int64), array([126], dtype=int64), array([240], dtype=int64), array([167], dtype=int64), array([264], dtype=int64), array([231], dtype=int64), array([47], dtype=int64), array([35], dtype=int64), array([186], dtype=int64), array([49], dtype=int64), array([266], dtype=int64), array([177], dtype=int64), array([245], dtype=int64), array([209], dtype=int64), array([139], dtype=int64), array([249], dtype=int64), array([177], dtype=int64), array([177], dtype=int64), array([28], dtype=int64), array([240], dtype=int64), array([28], dtype=int64), array([114], dtype=int64), array([104], dtype=int64), array([148], dtype=int64), array([92], dtype=int64), array([139], dtype=int64), array([28], dtype=int64), array([209], dtype=int64), array([259], dtype=int64), array([272], dtype=int64), array([264], dtype=int64), array([151], dtype=int64), array([49], dtype=int64), array([104], dtype=int64), array([247], dtype=int64), array([209], dtype=int64), array([113], dtype=int64), array([172], dtype=int64), array([177], dtype=int64), array([264], dtype=int64), array([231], dtype=int64)]}",2.615465058229666
2.2516291673878226,0,True,-15.848370832612165,1.0,1.012,1.2293334435155234,2.2516291673878226,,0,[151  28 151  87 239  68],9.0,,0,narrow-puzzle,,,9,10.0,178,-4.349092161317461,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.2516291673878226], 'action': [array([52], dtype=int64), array([47], dtype=int64), array([201], dtype=int64), array([129], dtype=int64), array([240], dtype=int64), array([266], dtype=int64), array([240], dtype=int64), array([199], dtype=int64), array([195], dtype=int64), array([247], dtype=int64), array([259], dtype=int64), array([240], dtype=int64), array([252], dtype=int64), array([240], dtype=int64), array([47], dtype=int64), array([28], dtype=int64), array([53], dtype=int64), array([151], dtype=int64), array([151], dtype=int64), array([259], dtype=int64), array([42], dtype=int64), array([264], dtype=int64), array([47], dtype=int64), array([141], dtype=int64), array([223], dtype=int64), array([35], dtype=int64), array([28], dtype=int64), array([86], dtype=int64), array([172], dtype=int64), array([192], dtype=int64), array([259], dtype=int64), array([223], dtype=int64), array([199], dtype=int64), array([49], dtype=int64), array([189], dtype=int64), array([199], dtype=int64), array([240], dtype=int64), array([28], dtype=int64), array([202], dtype=int64), array([157], dtype=int64), array([266], dtype=int64), array([139], dtype=int64), array([274], dtype=int64), array([31], dtype=int64), array([35], dtype=int64), array([74], dtype=int64), array([49], dtype=int64), array([35], dtype=int64), array([259], dtype=int64), array([249], dtype=int64), array([264], dtype=int64), array([254], dtype=int64), array([126], dtype=int64), array([240], dtype=int64), array([240], dtype=int64), array([86], dtype=int64), array([199], dtype=int64), array([57], dtype=int64), array([240], dtype=int64), array([49], dtype=int64), array([240], dtype=int64), array([238], dtype=int64), array([240], dtype=int64), array([113], dtype=int64), array([264], dtype=int64), array([94], dtype=int64), array([240], dtype=int64), array([74], dtype=int64), array([139], dtype=int64), array([96], dtype=int64), array([99], dtype=int64), array([199], dtype=int64), array([192], dtype=int64), array([28], dtype=int64), array([139], dtype=int64), array([47], dtype=int64), array([240], dtype=int64), array([298], dtype=int64), array([240], dtype=int64), array([177], dtype=int64), array([209], dtype=int64), array([264], dtype=int64), array([177], dtype=int64), array([195], dtype=int64), array([74], dtype=int64), array([139], dtype=int64), array([274], dtype=int64), array([240], dtype=int64), array([200], dtype=int64), array([139], dtype=int64), array([264], dtype=int64), array([28], dtype=int64), array([47], dtype=int64), array([240], dtype=int64), array([257], dtype=int64), array([254], dtype=int64), array([240], dtype=int64), array([195], dtype=int64), array([259], dtype=int64), array([199], dtype=int64), array([234], dtype=int64), array([223], dtype=int64), array([199], dtype=int64), array([264], dtype=int64), array([35], dtype=int64), array([202], dtype=int64), array([157], dtype=int64), array([139], dtype=int64), array([274], dtype=int64), array([47], dtype=int64), array([245], dtype=int64), array([31], dtype=int64), array([31], dtype=int64), array([259], dtype=int64), array([240], dtype=int64), array([249], dtype=int64), array([191], dtype=int64), array([139], dtype=int64), array([49], dtype=int64), array([47], dtype=int64), array([43], dtype=int64), array([264], dtype=int64), array([174], dtype=int64), array([28], dtype=int64), array([35], dtype=int64), array([274], dtype=int64), array([272], dtype=int64), array([199], dtype=int64), array([49], dtype=int64), array([49], dtype=int64), array([172], dtype=int64), array([240], dtype=int64), array([138], dtype=int64), array([47], dtype=int64), array([31], dtype=int64), array([139], dtype=int64), array([28], dtype=int64), array([231], dtype=int64), array([28], dtype=int64), array([240], dtype=int64), array([231], dtype=int64), array([240], dtype=int64), array([240], dtype=int64), array([35], dtype=int64), array([266], dtype=int64), array([174], dtype=int64), array([157], dtype=int64), array([6], dtype=int64), array([59], dtype=int64), array([186], dtype=int64), array([31], dtype=int64), array([35], dtype=int64), array([264], dtype=int64), array([95], dtype=int64), array([31], dtype=int64), array([126], dtype=int64), array([114], dtype=int64), array([172], dtype=int64), array([189], dtype=int64), array([177], dtype=int64), array([28], dtype=int64), array([4], dtype=int64), array([96], dtype=int64), array([35], dtype=int64), array([151], dtype=int64), array([35], dtype=int64), array([209], dtype=int64), array([119], dtype=int64), array([286], dtype=int64), array([240], dtype=int64), array([283], dtype=int64), array([139], dtype=int64), array([139], dtype=int64), array([240], dtype=int64), array([114], dtype=int64), array([156], dtype=int64), array([151], dtype=int64), array([87], dtype=int64), array([239], dtype=int64), array([68], dtype=int64), array([151], dtype=int64), array([28], dtype=int64)]}",2.2786487173964765
