#{"t_start": 1668648633.354913, "env_id": null}
r,l,t
-5.315037,80,3.367646
-0.815037,35,4.908906
0.284963,24,6.13141
1.384963,13,6.818854
2.084963,6,7.268357
1.251629,11,7.888669
1.084963,16,8.70628
0.684963,20,9.663737
-3.515037,62,12.290094
-15.848371,182,19.329973
-2.715037,54,21.624639
-0.515037,32,23.04865
-9.448371,118,27.763346
-0.915037,36,29.322346
-3.015037,57,31.643094
-0.715037,34,33.126716
-6.115037,88,36.646277
-3.915037,66,39.319213
-5.315037,80,42.514256
-11.715037,144,48.205484
2.084963,6,48.646751
-3.315037,60,51.09783
-18.4,184,58.08007
-1.215037,39,59.711215
1.284963,14,60.421246
0.684963,20,61.339507
-1.315037,40,62.989884
-1.815037,45,64.844214
-11.915037,146,70.368806
-18.2,182,77.16649
-12.615037,153,82.94784
-0.815037,35,84.432468
-18.6,186,91.250053
-8.915037,116,95.692348
-1.748371,41,97.366338
-3.315037,60,99.689001
-18.7,187,106.770571
-2.615037,53,108.931118
-14.215037,169,115.389356
-14.615037,173,122.215874
-4.715037,74,125.242139
-8.215037,109,129.630947
-1.515037,42,131.432055
-8.215037,109,135.713968
-0.915037,36,137.331362
-0.915037,36,138.856862
0.551629,18,139.73458
0.684963,20,140.719828
-2.615037,53,142.930852
0.084963,26,144.151661
-2.815037,55,146.45423
-12.915037,156,152.649531
-0.615037,33,154.083553
-0.415037,31,155.441748
-11.515037,142,161.073639
-5.915037,86,164.536996
-1.615037,43,166.376482
-4.415037,71,169.234848
-1.815037,45,171.141823
-1.215037,39,172.844457
-0.215037,29,174.144963
-0.415037,31,175.551922
1.984963,7,176.018285
-5.315037,80,179.350413
1.184963,15,180.102959
-1.915037,46,182.088976
-3.615037,63,184.715128
0.984963,17,185.578752
1.084963,16,186.416358
-15.015037,177,193.315894
1.184963,15,194.079334
-1.015037,37,195.674763
-7.148371,95,199.514575
-10.715037,134,204.866612
-1.115037,38,206.546113
-14.215037,169,213.102728
