#{"t_start": 1682617707.5552094, "env_id": null}
r,l,t
-1.515037,42,2.563678
-6.415037,91,7.649216
-2.215037,49,10.432793
-3.415037,61,13.903003
-11.915037,146,21.950052
1.784963,9,22.619556
1.884963,8,23.221663
-2.248371,46,25.849023
-0.715037,34,27.822993
-0.815037,35,29.891943
-3.715037,64,33.523881
-18.0,180,43.401373
-10.315037,130,50.55418
-6.715037,94,55.690478
0.151629,22,57.049829
-2.015037,47,59.74651
-4.515037,72,63.798739
-1.015037,37,65.91525
-6.715037,94,71.143618
-1.548371,39,73.43724
-3.915037,66,77.240031
-8.015037,107,83.225787
-3.015037,57,86.429678
-3.848371,62,89.903596
-18.0,180,99.692973
-7.115037,98,105.08463
-9.615037,123,111.899722
-2.548371,49,114.681964
-7.115037,98,120.086868
-4.415037,71,124.102669
1.084963,16,125.136539
-2.315037,50,127.990695
-18.0,180,137.90336
-4.248371,66,141.675205
-3.915037,66,145.387145
-11.215037,139,153.0745
1.384963,13,153.949224
1.684963,10,154.664497
-3.715037,64,158.283666
-1.215037,39,160.549854
-1.748371,41,162.864813
-13.715037,164,171.844864
-3.148371,55,174.97492
-0.215037,29,176.695403
-12.615037,153,185.171003
1.484963,12,186.002217
1.551629,8,186.627174
-14.615037,173,196.041995
-3.815037,65,199.760926
-2.215037,49,202.585375
-4.448371,68,206.44559
0.884963,18,207.584135
-8.248371,106,213.503012
-5.415037,81,218.079695
-0.115037,28,219.765321
-8.015037,107,225.829739
-5.115037,78,230.1687
-4.115037,68,233.949741
-18.0,180,243.772527
-1.348371,37,245.915819
-1.848371,42,248.359244
2.084963,6,248.880382
-5.015037,77,253.145453
-2.815037,55,256.2184
1.484963,12,257.118136
-8.715037,114,263.432687
-2.615037,53,266.493466
-6.015037,87,271.309893
-2.015037,47,274.018558
0.684963,20,275.275812
0.551629,18,276.404559
-1.315037,40,278.711641
-2.115037,48,281.453738
1.184963,15,282.449697
-5.715037,84,287.128457
-4.915037,76,291.340421
1.784963,9,291.993412
2.084963,6,292.492004
1.184963,15,293.477968
-2.515037,52,296.494564
-5.448371,78,300.87512
-2.315037,50,303.731129
1.684963,10,304.455837
0.451629,19,305.650341
-5.815037,85,310.377995
-4.115037,68,314.220831
1.084963,16,315.234514
-6.615037,93,320.515405
-7.915037,106,326.49545
-6.615037,93,331.599393
0.384963,23,333.022823
-3.315037,60,336.383938
-1.148371,35,338.415616
1.651629,7,338.970543
0.784963,19,340.135917
-1.315037,40,342.44113
-4.815037,75,346.633624
1.884963,8,347.256145
-1.315037,40,349.57234
-7.815037,105,355.370244
-18.0,180,365.127489
-3.815037,65,368.723064
-0.715037,34,370.703322
0.784963,19,371.889895
1.184963,15,372.872848
2.084963,6,373.38822
-0.615037,33,375.338134
1.084963,16,376.383254
-2.148371,45,378.994483
-18.0,180,388.884663
-2.315037,50,391.743094
-6.115037,88,396.68821
1.384963,13,397.557236
-10.115037,128,404.635787
-9.848371,122,411.345542
-11.315037,140,419.035975
-1.615037,43,421.535601
-1.815037,45,424.159837
0.851629,15,425.148147
-2.515037,52,428.114659
-2.815037,55,431.20889
-1.915037,46,433.853559
-5.648371,80,438.411868
-5.815037,85,443.215203
-14.715037,174,452.745876
-1.148371,35,454.779885
-1.115037,38,457.012357
-0.915037,36,459.11856
-8.415037,111,465.268728
-3.615037,63,468.814698
1.484963,12,469.623888
-18.0,180,479.426665
-3.315037,60,482.792858
-7.248371,96,488.140151
-0.415037,31,489.946866
-1.315037,40,492.270888
-6.315037,90,497.362934
-3.448371,58,500.645667
-11.815037,145,508.688572
-1.515037,42,511.12115
-18.0,180,520.824686
-8.315037,110,526.877765
0.284963,24,528.305581
-0.815037,35,530.364686
0.151629,22,531.718833
-3.815037,65,535.393215
0.184963,25,536.921331
1.351629,10,537.638598
-9.815037,125,544.53987
-0.915037,36,546.641195
-1.015037,37,548.782126
0.384963,23,550.20977
-4.115037,68,554.039974
0.984963,17,555.133491
-4.315037,70,559.118811
-1.115037,38,561.35671
-18.0,180,571.157281
-7.115037,98,576.580421
-5.815037,85,581.305349
-1.415037,41,583.689867
-0.615037,33,585.714747
-18.0,180,595.578453
-12.515037,152,603.916604
-1.715037,44,606.457911
-8.815037,115,612.798839
-0.315037,30,614.593094
-1.948371,43,617.111783
-1.315037,40,619.472753
-8.515037,112,625.66872
-0.215037,29,627.428343
-7.315037,100,632.945906
-5.515037,82,637.497713
-0.715037,34,639.46822
-10.715037,134,646.861932
-8.115037,108,652.775306
1.384963,13,653.656091
-1.015037,37,655.822721
1.984963,7,656.381093
-2.115037,48,659.134764
-9.515037,122,665.914874
1.251629,11,666.702677
-6.915037,96,672.022763
0.084963,26,673.63811
-18.0,180,683.476595
-4.315037,70,687.410852
-1.915037,46,690.071953
-0.915037,36,692.196268
-6.815037,95,697.50335
-4.215037,69,701.406139
-1.315037,40,703.725123
-7.448371,98,709.128022
-4.315037,70,713.059039
-3.815037,65,716.74899
0.784963,19,717.960069
-1.015037,37,720.108054
1.884963,8,720.729288
-3.515037,62,724.233821
-3.715037,64,727.82513
-1.715037,44,730.330156
1.684963,10,731.052785
0.484963,22,732.415288
-6.815037,95,737.765362
-10.515037,132,745.050482
1.884963,8,745.663137
-1.015037,37,747.817332
1.784963,9,748.477074
-0.315037,30,750.24299
0.784963,19,751.427732
0.884963,18,752.590421
-0.615037,33,754.535224
0.984963,17,755.606239
1.584963,11,756.382261
-18.0,180,766.170918
-0.348371,27,767.79688
1.584963,11,768.566104
-1.615037,43,771.043012
-18.0,180,780.907119
0.584963,21,782.203267
0.784963,19,783.411681
-3.415037,61,786.87677
1.484963,12,787.688266
1.884963,8,788.284808
-2.715037,54,791.354666
0.484963,22,792.720716
-0.015037,27,794.354754
-7.748371,101,800.059721
-0.215037,29,801.810988
-1.215037,39,804.100817
-6.815037,95,809.403733
-3.715037,64,813.01247
0.851629,15,813.985655
2.084963,6,814.510218
1.584963,11,815.282616
-18.0,180,825.031636
-0.115037,28,826.762955
1.584963,11,827.527364
-0.615037,33,829.460112
-0.515037,32,831.372957
-14.515037,172,840.736504
-3.715037,64,844.375622
-3.115037,58,847.655066
-0.248371,26,849.269058
1.084963,16,850.304983
2.084963,6,850.80236
1.184963,15,851.786261
0.384963,23,853.187324
-1.415037,41,855.540439
-5.515037,82,860.187792
-11.915037,146,868.199459
-4.815037,75,872.378143
-3.915037,66,876.082289
-0.515037,32,877.950918
-4.915037,76,882.246525
-1.315037,40,884.57381
-18.0,180,894.289455
-0.615037,33,896.258812
1.484963,12,897.086905
0.184963,25,898.610555
-0.115037,28,900.309722
-1.215037,39,902.556713
1.984963,7,903.121522
-1.115037,38,905.385359
0.584963,21,906.682595
1.384963,13,907.548399
-18.0,180,917.268958
-12.515037,152,925.602262
-8.015037,107,931.580001
-3.815037,65,935.269873
-4.915037,76,939.497193
-0.848371,32,941.41061
-3.015037,57,944.754785
0.351629,20,946.036273
1.484963,12,946.86176
-10.748371,131,954.006284
-3.615037,63,957.527444
-14.615037,173,966.976427
-4.215037,69,970.811329
-0.515037,32,972.70532
1.684963,10,973.42324
-18.0,180,983.29042
0.884963,18,984.443648
1.751629,6,984.950564
-18.0,180,994.734989
-5.615037,83,999.339557
-2.515037,52,1002.299558
-2.115037,48,1005.062032
-3.615037,63,1008.617202
-14.415037,171,1017.940661
0.584963,21,1019.242367
0.384963,23,1020.654443
-0.115037,28,1022.370623
1.884963,8,1022.998454
-0.915037,36,1025.116854
0.784963,19,1026.332879
-0.415037,31,1028.176492
-18.0,180,1038.017263
-8.815037,115,1044.426586
-7.415037,101,1050.071143
-0.015037,27,1051.70485
-18.0,180,1061.43272
-18.0,180,1071.157405
