reward,counter_done_max_changes,is_done_success,rewards_sum,bonus_factor,experience_bonus,entropy_map,entropy,changes_penalty,counter_done_interations,segments,reward_game,agent,piece_penalty,representation,discount_reward,done_penalty,counter_done,done_bonus,counter_changes,discount_rewards,historical,reward_experience_bonus
2.58,0,True,2.08,5.477225575051661,1.0102,0.9719417519338609,0.6500224216483541,,0,[17 18 17 17 17 17],0.0,,0,narrow-puzzle,,,0,0.0,6,2.269662008923667,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([17], dtype=int64), array([18], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([17], dtype=int64)]}",2.606316
2.58,0,True,2.08,5.477225575051661,1.0104,0.9719417519338609,0.6500224216483541,,0,[17 17 17 17 18 17],0.0,,0,narrow-puzzle,,,1,0.0,6,2.269662008923667,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([17], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([18], dtype=int64), array([17], dtype=int64)]}",2.606832
2.58,0,True,2.08,5.477225575051661,1.0106,0.9947240240065337,1.2516291673878228,,0,[17 29 17 17 17 18],0.0,,0,narrow-puzzle,,,2,0.0,6,2.269662008923667,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([17], dtype=int64), array([29], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([18], dtype=int64)]}",2.607348
2.58,0,True,2.08,5.477225575051661,1.0108,0.9418285354475157,0.0,,0,[17 17 17 17 17 17],0.0,,0,narrow-puzzle,,,3,0.0,6,2.269662008923667,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([17], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([17], dtype=int64)]}",2.6078639999999997
2.58,0,True,2.08,5.477225575051661,1.011,0.9997892080780693,1.4591479170272446,,0,[18 17 17 38 38 17],0.0,,0,narrow-puzzle,,,4,0.0,6,2.269662008923667,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([18], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([38], dtype=int64), array([38], dtype=int64), array([17], dtype=int64)]}",2.60838
2.58,0,True,2.08,5.477225575051661,1.0112,0.9418285354475157,0.0,,0,[17 17 17 17 17 17],0.0,,0,narrow-puzzle,,,5,0.0,6,2.269662008923667,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([17], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([17], dtype=int64)]}",2.6088960000000005
2.58,0,True,2.08,5.477225575051661,1.0114,0.9743429593269619,0.6500224216483541,,0,[17 17 16 17 17 17],0.0,,0,narrow-puzzle,,,6,0.0,6,2.269662008923667,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([17], dtype=int64), array([17], dtype=int64), array([16], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([17], dtype=int64)]}",2.6094120000000003
2.58,0,True,2.08,5.477225575051661,1.0116,0.9957274520849256,1.2516291673878228,,0,[17 29 16 17 17 17],0.0,,0,narrow-puzzle,,,7,0.0,6,2.269662008923667,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([17], dtype=int64), array([29], dtype=int64), array([16], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([17], dtype=int64)]}",2.609928
2.58,0,True,2.08,5.477225575051661,1.0118,0.9957274520849256,1.2516291673878228,,0,[17 16 17 17 17 29],0.0,,0,narrow-puzzle,,,8,0.0,6,2.269662008923667,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([17], dtype=int64), array([16], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([29], dtype=int64)]}",2.610444
2.58,0,True,2.08,5.477225575051661,1.012,0.9418285354475157,0.0,,0,[17 17 17 17 17 17],0.0,,0,narrow-puzzle,,,9,0.0,6,2.269662008923667,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([17], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([17], dtype=int64)]}",2.61096
