#{"t_start": 1668643822.443128, "env_id": null}
r,l,t
2.08,6,0.487005
2.08,6,0.85764
2.08,6,1.24661
2.08,6,1.625197
2.08,6,2.034096
2.08,6,2.426411
2.08,6,2.816703
2.08,6,3.198169
2.08,6,3.578862
2.08,6,3.965081
2.08,6,4.341266
2.08,6,4.715133
2.08,6,5.099934
2.08,6,5.478163
2.08,6,5.859475
2.08,6,6.241004
2.08,6,6.629093
2.08,6,7.014681
2.08,6,7.405322
2.08,6,7.802274
2.08,6,8.182184
2.08,6,8.559506
2.08,6,8.930628
2.08,6,9.322268
2.08,6,9.720239
2.08,6,10.116534
2.08,6,10.512628
2.08,6,10.93339
2.08,6,11.301032
2.08,6,11.689133
2.08,6,12.064401
2.08,6,12.461971
2.08,6,12.846535
2.08,6,13.231663
2.08,6,13.613688
2.08,6,13.971881
2.08,6,14.374896
2.08,6,14.771233
2.08,6,15.172864
2.08,6,15.558402
2.08,6,15.956181
2.08,6,16.341734
2.08,6,16.725565
2.08,6,17.106644
2.08,6,17.473265
2.08,6,17.858423
2.08,6,18.272877
2.08,6,18.656681
2.08,6,19.061852
2.08,6,19.441461
2.08,6,19.828713
2.08,6,20.223858
2.08,6,20.607635
2.08,6,20.983929
2.08,6,21.36507
2.08,6,21.748723
2.08,6,22.127004
2.08,6,22.516753
2.08,6,22.906092
2.08,6,23.288738
2.08,6,23.666221
2.08,6,24.029067
2.08,6,24.42139
2.08,6,24.841574
2.08,6,25.215678
2.08,6,25.618782
2.08,6,26.012954
2.08,6,26.4197
2.08,6,26.820564
2.08,6,27.196781
2.08,6,27.609226
2.08,6,27.991128
2.08,6,28.392456
2.08,6,28.779395
2.08,6,29.181787
2.08,6,29.565423
2.08,6,29.942498
2.08,6,30.343387
2.08,6,30.72648
2.08,6,31.112738
2.08,6,31.498457
2.08,6,31.892381
2.08,6,32.263388
2.08,6,32.656226
2.08,6,33.039837
2.08,6,33.424954
2.08,6,33.80507
2.08,6,34.188617
2.08,6,34.581076
2.08,6,34.980182
2.08,6,35.35359
2.08,6,35.744379
2.08,6,36.12305
2.08,6,36.50046
2.08,6,36.903311
2.08,6,37.284291
2.08,6,37.668427
2.08,6,38.044303
2.08,6,38.431718
2.08,6,38.851191
2.08,6,39.221257
2.08,6,39.595526
2.08,6,39.956617
2.08,6,40.334604
2.08,6,40.714189
2.08,6,41.095591
2.08,6,41.473582
2.08,6,41.867673
2.08,6,42.24526
2.08,6,42.63167
2.08,6,43.00235
2.08,6,43.392059
2.08,6,43.772223
2.08,6,44.153373
2.08,6,44.525014
2.08,6,44.916089
2.08,6,45.306916
2.08,6,45.687554
2.08,6,46.054828
2.08,6,46.432881
2.08,6,46.825791
2.08,6,47.213482
2.08,6,47.597668
2.08,6,47.975757
