reward,counter_done_max_changes,is_done_success,rewards_sum,bonus_factor,experience_bonus,entropy_map,entropy,changes_penalty,counter_done_interations,segments,reward_game,agent,piece_penalty,representation,discount_reward,done_penalty,counter_done,done_bonus,counter_changes,discount_rewards,historical,reward_experience_bonus
2.58,0,True,2.08,5.477225575051661,1.0102,1.0381847351922342,2.2516291673878226,,0,[75 27 47 41 12 12],0.0,,0,narrow-puzzle,,,0,10.0,6,2.269662008923667,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([75], dtype=int64), array([27], dtype=int64), array([47], dtype=int64), array([41], dtype=int64), array([12], dtype=int64), array([12], dtype=int64)]}",2.606316
2.58,0,True,1.98,5.070925528371099,1.0104,1.0397332858016008,1.2516291673878228,,0,[12 27 60 12 12 12],3.0,,0,narrow-puzzle,,,1,0.0,7,2.208827476143797,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([27], dtype=int64), array([27], dtype=int64), array([60], dtype=int64), array([12], dtype=int64), array([12], dtype=int64), array([12], dtype=int64), array([12], dtype=int64)]}",2.606832
2.58,0,True,0.07999999999999918,1.0,1.0106,1.0397729775917095,1.2516291673878228,,0,[12 12 27 12 12 75],3.0,,0,narrow-puzzle,,,2,0.0,22,1.1263739452736385,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([27], dtype=int64), array([1], dtype=int64), array([76], dtype=int64), array([29], dtype=int64), array([12], dtype=int64), array([12], dtype=int64), array([34], dtype=int64), array([12], dtype=int64), array([12], dtype=int64), array([27], dtype=int64), array([12], dtype=int64), array([9], dtype=int64), array([27], dtype=int64), array([12], dtype=int64), array([27], dtype=int64), array([60], dtype=int64), array([27], dtype=int64), array([12], dtype=int64), array([12], dtype=int64), array([27], dtype=int64), array([27], dtype=int64), array([12], dtype=int64), array([12], dtype=int64), array([75], dtype=int64), array([12], dtype=int64), array([12], dtype=int64)]}",2.607348
2.58,0,True,1.6800000000000002,4.242640687119285,1.0108,1.039667131193232,1.7924812503605778,,0,[60 41 12 12 28 12],3.0,,0,narrow-puzzle,,,3,0.0,10,2.028734963892395,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([0], dtype=int64), array([12], dtype=int64), array([27], dtype=int64), array([27], dtype=int64), array([28], dtype=int64), array([12], dtype=int64), array([60], dtype=int64), array([41], dtype=int64), array([12], dtype=int64), array([12], dtype=int64)]}",2.6078639999999997
2.58,0,True,1.3800000000000001,3.8729833462074175,1.011,1.0381847351922342,2.251629167387823,,0,[57  0 28 12  9 12],6.0,,0,narrow-puzzle,,,4,10.0,12,1.8521963897921743,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([27], dtype=int64), array([27], dtype=int64), array([12], dtype=int64), array([36], dtype=int64), array([12], dtype=int64), array([27], dtype=int64), array([27], dtype=int64), array([0], dtype=int64), array([28], dtype=int64), array([12], dtype=int64), array([9], dtype=int64), array([12], dtype=int64), array([57], dtype=int64)]}",2.60838
2.58,0,True,-0.42000000000000126,1.0,1.0112,1.0549947745356947,2.2516291673878226,,0,[27 12 57  9 12 60],3.0,,0,narrow-puzzle,,,5,10.0,26,0.8633019669279924,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([26], dtype=int64), array([9], dtype=int64), array([12], dtype=int64), array([57], dtype=int64), array([12], dtype=int64), array([0], dtype=int64), array([12], dtype=int64), array([12], dtype=int64), array([12], dtype=int64), array([36], dtype=int64), array([12], dtype=int64), array([9], dtype=int64), array([12], dtype=int64), array([60], dtype=int64), array([60], dtype=int64), array([23], dtype=int64), array([12], dtype=int64), array([60], dtype=int64), array([60], dtype=int64), array([76], dtype=int64), array([12], dtype=int64), array([23], dtype=int64), array([9], dtype=int64), array([12], dtype=int64), array([47], dtype=int64), array([12], dtype=int64), array([57], dtype=int64), array([9], dtype=int64), array([12], dtype=int64), array([60], dtype=int64), array([27], dtype=int64)]}",2.6088960000000005
2.58,0,True,2.08,5.477225575051661,1.0114,1.0389392963884174,2.2516291673878226,,0,[ 0 75 27 36 12 12],0.0,,0,narrow-puzzle,,,6,10.0,6,2.269662008923667,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([0], dtype=int64), array([75], dtype=int64), array([27], dtype=int64), array([36], dtype=int64), array([12], dtype=int64), array([12], dtype=int64)]}",2.6094120000000003
2.58,0,True,1.98,5.070925528371099,1.0116,1.0544377269074985,2.251629167387823,,0,[75  9 51 12 27 12],3.0,,0,narrow-puzzle,,,7,10.0,7,2.208827476143797,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([27], dtype=int64), array([9], dtype=int64), array([51], dtype=int64), array([12], dtype=int64), array([27], dtype=int64), array([12], dtype=int64), array([75], dtype=int64)]}",2.609928
2.58,0,True,2.08,5.477225575051661,1.0118,1.0526064097483934,2.584962500721156,,0,[52 27 57 12  3 36],0.0,,0,narrow-puzzle,,,8,50.0,6,2.269662008923667,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([52], dtype=int64), array([27], dtype=int64), array([57], dtype=int64), array([12], dtype=int64), array([3], dtype=int64), array([36], dtype=int64)]}",2.610444
2.58,0,True,1.18,3.5856858280031805,1.012,1.0549947745356947,1.7924812503605778,,0,[75 23 12 12 12 27],3.0,,0,narrow-puzzle,,,9,0.0,14,1.7364393240839353,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([1], dtype=int64), array([27], dtype=int64), array([9], dtype=int64), array([60], dtype=int64), array([27], dtype=int64), array([27], dtype=int64), array([12], dtype=int64), array([12], dtype=int64), array([27], dtype=int64), array([12], dtype=int64), array([12], dtype=int64), array([27], dtype=int64), array([75], dtype=int64), array([23], dtype=int64), array([12], dtype=int64)]}",2.61096
