reward,counter_done_max_changes,is_done_success,rewards_sum,bonus_factor,experience_bonus,entropy_map,entropy,changes_penalty,counter_done_interations,segments,reward_game,agent,piece_penalty,representation,discount_reward,done_penalty,counter_done,done_bonus,counter_changes,discount_rewards,historical,reward_experience_bonus
2.58,0,True,-0.6200000000000014,1.0,1.0102,1.2482286550886448,2.584962500721156,,0,[ 26  86 195 231 111  19],3.0,,0,narrow-puzzle,,,0,50.0,32,0.7604542421627238,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([185], dtype=int64), array([122], dtype=int64), array([134], dtype=int64), array([231], dtype=int64), array([85], dtype=int64), array([229], dtype=int64), array([185], dtype=int64), array([86], dtype=int64), array([86], dtype=int64), array([101], dtype=int64), array([58], dtype=int64), array([57], dtype=int64), array([196], dtype=int64), array([185], dtype=int64), array([195], dtype=int64), array([86], dtype=int64), array([266], dtype=int64), array([242], dtype=int64), array([91], dtype=int64), array([71], dtype=int64), array([86], dtype=int64), array([174], dtype=int64), array([233], dtype=int64), array([265], dtype=int64), array([185], dtype=int64), array([111], dtype=int64), array([290], dtype=int64), array([231], dtype=int64), array([111], dtype=int64), array([19], dtype=int64), array([26], dtype=int64), array([86], dtype=int64), array([195], dtype=int64)]}",2.606316
2.58,0,True,1.8800000000000001,4.743416490252569,1.0104,1.2760004060530947,2.584962500721156,,0,[231 130  93 242 266  48],13.0,,0,narrow-puzzle,,,1,50.0,8,2.1483968012095644,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([110], dtype=int64), array([111], dtype=int64), array([93], dtype=int64), array([242], dtype=int64), array([266], dtype=int64), array([48], dtype=int64), array([231], dtype=int64), array([130], dtype=int64)]}",2.606832
2.58,0,True,-6.419999999999984,1.0,1.0106,1.2261383889331232,2.584962500721156,,0,[130 233  71  86 265  32],9.0,,0,narrow-puzzle,,,2,50.0,89,-1.7149592682751478,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([102], dtype=int64), array([203], dtype=int64), array([217], dtype=int64), array([178], dtype=int64), array([48], dtype=int64), array([86], dtype=int64), array([130], dtype=int64), array([86], dtype=int64), array([195], dtype=int64), array([130], dtype=int64), array([86], dtype=int64), array([93], dtype=int64), array([113], dtype=int64), array([40], dtype=int64), array([186], dtype=int64), array([130], dtype=int64), array([86], dtype=int64), array([266], dtype=int64), array([212], dtype=int64), array([242], dtype=int64), array([86], dtype=int64), array([231], dtype=int64), array([71], dtype=int64), array([155], dtype=int64), array([91], dtype=int64), array([179], dtype=int64), array([266], dtype=int64), array([229], dtype=int64), array([235], dtype=int64), array([137], dtype=int64), array([25], dtype=int64), array([203], dtype=int64), array([71], dtype=int64), array([155], dtype=int64), array([86], dtype=int64), array([257], dtype=int64), array([229], dtype=int64), array([235], dtype=int64), array([130], dtype=int64), array([203], dtype=int64), array([240], dtype=int64), array([86], dtype=int64), array([185], dtype=int64), array([285], dtype=int64), array([80], dtype=int64), array([209], dtype=int64), array([32], dtype=int64), array([177], dtype=int64), array([195], dtype=int64), array([203], dtype=int64), array([86], dtype=int64), array([203], dtype=int64), array([266], dtype=int64), array([71], dtype=int64), array([233], dtype=int64), array([89], dtype=int64), array([217], dtype=int64), array([233], dtype=int64), array([71], dtype=int64), array([48], dtype=int64), array([133], dtype=int64), array([111], dtype=int64), array([130], dtype=int64), array([86], dtype=int64), array([233], dtype=int64), array([179], dtype=int64), array([19], dtype=int64), array([122], dtype=int64), array([6], dtype=int64), array([203], dtype=int64), array([128], dtype=int64), array([86], dtype=int64), array([69], dtype=int64), array([86], dtype=int64), array([80], dtype=int64), array([266], dtype=int64), array([15], dtype=int64), array([203], dtype=int64), array([155], dtype=int64), array([209], dtype=int64), array([231], dtype=int64), array([251], dtype=int64), array([141], dtype=int64), array([231], dtype=int64), array([86], dtype=int64), array([233], dtype=int64), array([71], dtype=int64), array([86], dtype=int64), array([265], dtype=int64), array([32], dtype=int64), array([130], dtype=int64)]}",2.607348
2.58,1,True,-8.519999999999976,1.0,1.0108,1.2435505333484473,2.584962500721156,,0,[156  44   2  95 151 177],3.0,,0,narrow-puzzle,,,3,50.0,111,-2.4120756836445514,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([233], dtype=int64), array([111], dtype=int64), array([212], dtype=int64), array([229], dtype=int64), array([86], dtype=int64), array([185], dtype=int64), array([86], dtype=int64), array([217], dtype=int64), array([86], dtype=int64), array([217], dtype=int64), array([203], dtype=int64), array([203], dtype=int64), array([95], dtype=int64), array([257], dtype=int64), array([89], dtype=int64), array([203], dtype=int64), array([86], dtype=int64), array([112], dtype=int64), array([89], dtype=int64), array([89], dtype=int64), array([179], dtype=int64), array([177], dtype=int64), array([31], dtype=int64), array([111], dtype=int64), array([86], dtype=int64), array([217], dtype=int64), array([296], dtype=int64), array([217], dtype=int64), array([151], dtype=int64), array([195], dtype=int64), array([262], dtype=int64), array([158], dtype=int64), array([179], dtype=int64), array([86], dtype=int64), array([113], dtype=int64), array([287], dtype=int64), array([217], dtype=int64), array([191], dtype=int64), array([113], dtype=int64), array([265], dtype=int64), array([32], dtype=int64), array([85], dtype=int64), array([229], dtype=int64), array([233], dtype=int64), array([233], dtype=int64), array([212], dtype=int64), array([177], dtype=int64), array([239], dtype=int64), array([185], dtype=int64), array([203], dtype=int64), array([203], dtype=int64), array([185], dtype=int64), array([257], dtype=int64), array([76], dtype=int64), array([185], dtype=int64), array([130], dtype=int64), array([111], dtype=int64), array([277], dtype=int64), array([86], dtype=int64), array([231], dtype=int64), array([63], dtype=int64), array([55], dtype=int64), array([242], dtype=int64), array([229], dtype=int64), array([231], dtype=int64), array([177], dtype=int64), array([113], dtype=int64), array([86], dtype=int64), array([86], dtype=int64), array([85], dtype=int64), array([265], dtype=int64), array([151], dtype=int64), array([40], dtype=int64), array([71], dtype=int64), array([282], dtype=int64), array([266], dtype=int64), array([185], dtype=int64), array([86], dtype=int64), array([86], dtype=int64), array([145], dtype=int64), array([229], dtype=int64), array([111], dtype=int64), array([86], dtype=int64), array([48], dtype=int64), array([111], dtype=int64), array([40], dtype=int64), array([203], dtype=int64), array([48], dtype=int64), array([229], dtype=int64), array([203], dtype=int64), array([225], dtype=int64), array([231], dtype=int64), array([71], dtype=int64), array([266], dtype=int64), array([151], dtype=int64), array([136], dtype=int64), array([7], dtype=int64), array([86], dtype=int64), array([172], dtype=int64), array([48], dtype=int64), array([71], dtype=int64), array([266], dtype=int64), array([93], dtype=int64), array([53], dtype=int64), array([111], dtype=int64), array([104], dtype=int64), array([151], dtype=int64), array([177], dtype=int64), array([156], dtype=int64), array([44], dtype=int64), array([2], dtype=int64), array([95], dtype=int64)]}",2.6078639999999997
2.58,1,True,-1.8200000000000003,1.0,1.011,1.220384399653087,2.584962500721156,,0,[203  86  89 130  85 231],6.0,,0,narrow-puzzle,,,4,50.0,43,0.17063685625888783,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([71], dtype=int64), array([130], dtype=int64), array([76], dtype=int64), array([195], dtype=int64), array([102], dtype=int64), array([292], dtype=int64), array([203], dtype=int64), array([292], dtype=int64), array([111], dtype=int64), array([111], dtype=int64), array([203], dtype=int64), array([101], dtype=int64), array([130], dtype=int64), array([130], dtype=int64), array([89], dtype=int64), array([203], dtype=int64), array([86], dtype=int64), array([130], dtype=int64), array([33], dtype=int64), array([231], dtype=int64), array([101], dtype=int64), array([233], dtype=int64), array([185], dtype=int64), array([178], dtype=int64), array([229], dtype=int64), array([195], dtype=int64), array([102], dtype=int64), array([185], dtype=int64), array([231], dtype=int64), array([292], dtype=int64), array([257], dtype=int64), array([145], dtype=int64), array([203], dtype=int64), array([130], dtype=int64), array([85], dtype=int64), array([40], dtype=int64), array([292], dtype=int64), array([231], dtype=int64), array([71], dtype=int64), array([130], dtype=int64), array([85], dtype=int64), array([231], dtype=int64), array([203], dtype=int64), array([86], dtype=int64), array([89], dtype=int64)]}",2.60838
2.58,1,True,-5.4199999999999875,1.0,1.0112,1.2652028578705767,2.584962500721156,,0,[292  86 177 136 185  19],18.0,,0,narrow-puzzle,,,5,50.0,78,-1.3500538380953766,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([113], dtype=int64), array([266], dtype=int64), array([48], dtype=int64), array([86], dtype=int64), array([86], dtype=int64), array([231], dtype=int64), array([130], dtype=int64), array([241], dtype=int64), array([86], dtype=int64), array([130], dtype=int64), array([209], dtype=int64), array([195], dtype=int64), array([195], dtype=int64), array([130], dtype=int64), array([40], dtype=int64), array([275], dtype=int64), array([111], dtype=int64), array([92], dtype=int64), array([229], dtype=int64), array([137], dtype=int64), array([192], dtype=int64), array([240], dtype=int64), array([40], dtype=int64), array([130], dtype=int64), array([203], dtype=int64), array([86], dtype=int64), array([71], dtype=int64), array([86], dtype=int64), array([71], dtype=int64), array([111], dtype=int64), array([31], dtype=int64), array([86], dtype=int64), array([229], dtype=int64), array([257], dtype=int64), array([229], dtype=int64), array([130], dtype=int64), array([203], dtype=int64), array([266], dtype=int64), array([155], dtype=int64), array([155], dtype=int64), array([86], dtype=int64), array([182], dtype=int64), array([2], dtype=int64), array([179], dtype=int64), array([155], dtype=int64), array([34], dtype=int64), array([172], dtype=int64), array([266], dtype=int64), array([142], dtype=int64), array([203], dtype=int64), array([130], dtype=int64), array([177], dtype=int64), array([144], dtype=int64), array([229], dtype=int64), array([86], dtype=int64), array([137], dtype=int64), array([71], dtype=int64), array([212], dtype=int64), array([179], dtype=int64), array([86], dtype=int64), array([86], dtype=int64), array([58], dtype=int64), array([229], dtype=int64), array([31], dtype=int64), array([195], dtype=int64), array([229], dtype=int64), array([203], dtype=int64), array([266], dtype=int64), array([74], dtype=int64), array([130], dtype=int64), array([208], dtype=int64), array([130], dtype=int64), array([86], dtype=int64), array([233], dtype=int64), array([113], dtype=int64), array([136], dtype=int64), array([185], dtype=int64), array([19], dtype=int64), array([292], dtype=int64), array([86], dtype=int64), array([177], dtype=int64)]}",2.6088960000000005
2.58,1,True,-1.320000000000002,1.0,1.0114,1.2132237434976019,2.584962500721156,,0,[ 24 212 203  89 177  86],14.0,,0,narrow-puzzle,,,6,50.0,38,0.41083819298354685,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([185], dtype=int64), array([111], dtype=int64), array([266], dtype=int64), array([233], dtype=int64), array([150], dtype=int64), array([257], dtype=int64), array([104], dtype=int64), array([102], dtype=int64), array([245], dtype=int64), array([181], dtype=int64), array([204], dtype=int64), array([265], dtype=int64), array([203], dtype=int64), array([177], dtype=int64), array([104], dtype=int64), array([257], dtype=int64), array([185], dtype=int64), array([130], dtype=int64), array([203], dtype=int64), array([86], dtype=int64), array([122], dtype=int64), array([113], dtype=int64), array([44], dtype=int64), array([195], dtype=int64), array([189], dtype=int64), array([198], dtype=int64), array([86], dtype=int64), array([86], dtype=int64), array([2], dtype=int64), array([155], dtype=int64), array([86], dtype=int64), array([89], dtype=int64), array([86], dtype=int64), array([179], dtype=int64), array([177], dtype=int64), array([86], dtype=int64), array([24], dtype=int64), array([212], dtype=int64), array([203], dtype=int64), array([89], dtype=int64)]}",2.6094120000000003
2.58,1,True,-1.1200000000000019,1.0,1.0116,1.2588224392061893,2.584962500721156,,0,[ 26  86 143 229 151 195],3.0,,0,narrow-puzzle,,,7,50.0,38,0.5091136704456011,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([190], dtype=int64), array([71], dtype=int64), array([86], dtype=int64), array([102], dtype=int64), array([86], dtype=int64), array([89], dtype=int64), array([176], dtype=int64), array([195], dtype=int64), array([21], dtype=int64), array([195], dtype=int64), array([203], dtype=int64), array([111], dtype=int64), array([48], dtype=int64), array([71], dtype=int64), array([203], dtype=int64), array([130], dtype=int64), array([266], dtype=int64), array([231], dtype=int64), array([113], dtype=int64), array([177], dtype=int64), array([217], dtype=int64), array([94], dtype=int64), array([76], dtype=int64), array([229], dtype=int64), array([203], dtype=int64), array([203], dtype=int64), array([86], dtype=int64), array([219], dtype=int64), array([71], dtype=int64), array([86], dtype=int64), array([86], dtype=int64), array([151], dtype=int64), array([143], dtype=int64), array([229], dtype=int64), array([151], dtype=int64), array([195], dtype=int64), array([26], dtype=int64), array([86], dtype=int64)]}",2.609928
2.58,1,True,-0.42000000000000126,1.0,1.0118,1.2915450542744416,2.584962500721156,,0,[142 223  85 204 266 195],21.0,,0,narrow-puzzle,,,8,50.0,31,0.8633019669279924,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([111], dtype=int64), array([91], dtype=int64), array([266], dtype=int64), array([178], dtype=int64), array([231], dtype=int64), array([130], dtype=int64), array([231], dtype=int64), array([151], dtype=int64), array([178], dtype=int64), array([86], dtype=int64), array([85], dtype=int64), array([71], dtype=int64), array([179], dtype=int64), array([86], dtype=int64), array([121], dtype=int64), array([223], dtype=int64), array([40], dtype=int64), array([130], dtype=int64), array([86], dtype=int64), array([229], dtype=int64), array([130], dtype=int64), array([203], dtype=int64), array([86], dtype=int64), array([144], dtype=int64), array([199], dtype=int64), array([223], dtype=int64), array([85], dtype=int64), array([204], dtype=int64), array([266], dtype=int64), array([195], dtype=int64), array([142], dtype=int64)]}",2.610444
2.58,1,True,-2.0199999999999996,1.0,1.012,1.1840175139501585,2.584962500721156,,0,[ 25 109  86 102 266 130],17.0,,0,narrow-puzzle,,,9,50.0,47,0.07670326014617262,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([32], dtype=int64), array([203], dtype=int64), array([239], dtype=int64), array([48], dtype=int64), array([111], dtype=int64), array([203], dtype=int64), array([111], dtype=int64), array([71], dtype=int64), array([113], dtype=int64), array([32], dtype=int64), array([155], dtype=int64), array([229], dtype=int64), array([179], dtype=int64), array([48], dtype=int64), array([2], dtype=int64), array([137], dtype=int64), array([111], dtype=int64), array([231], dtype=int64), array([224], dtype=int64), array([257], dtype=int64), array([130], dtype=int64), array([195], dtype=int64), array([80], dtype=int64), array([86], dtype=int64), array([111], dtype=int64), array([203], dtype=int64), array([195], dtype=int64), array([217], dtype=int64), array([203], dtype=int64), array([266], dtype=int64), array([93], dtype=int64), array([23], dtype=int64), array([155], dtype=int64), array([86], dtype=int64), array([151], dtype=int64), array([203], dtype=int64), array([257], dtype=int64), array([262], dtype=int64), array([266], dtype=int64), array([128], dtype=int64), array([130], dtype=int64), array([130], dtype=int64), array([25], dtype=int64), array([109], dtype=int64), array([86], dtype=int64), array([102], dtype=int64), array([266], dtype=int64)]}",2.61096
