#{"t_start": 1668602484.723204, "env_id": null}
r,l,t
7.482359,6,0.331198
6.782359,13,0.837888
6.782359,13,1.343109
7.082359,10,1.759023
-2.1,21,2.48042
7.482359,6,2.775606
6.382359,17,3.415742
6.782359,13,3.922561
-0.370914,15,4.486677
-0.170914,13,5.003617
7.482359,6,5.301176
-2.2,22,6.060367
5.882359,22,6.851585
7.182359,9,7.253873
7.282359,8,7.625055
-0.770914,19,8.299428
6.582359,15,8.872535
6.882359,12,9.346265
7.282359,8,9.707216
-0.870914,20,10.45702
0.429086,7,10.79025
-2.2,22,11.523062
7.482359,6,11.816146
0.429086,7,12.140855
6.282359,18,12.808495
0.529086,6,13.110111
6.282359,18,13.781601
5.782359,23,14.61568
-0.470914,16,15.220013
7.182359,9,15.586916
-0.670914,18,16.281338
-2.2,22,17.018883
6.982359,11,17.475589
6.182359,19,18.185276
7.282359,8,18.551849
6.582359,15,19.131289
7.482359,6,19.441435
-2.2,22,20.181087
6.682359,14,20.715071
-0.970914,21,21.494058
-2.2,22,22.229067
-0.670914,18,22.902873
7.082359,10,23.3226
0.529086,6,23.612954
6.982359,11,24.072015
0.429086,7,24.393476
6.482359,16,25.011475
0.329086,8,25.368427
6.582359,15,25.950225
0.229086,9,26.332841
7.382359,7,26.654985
-1.170914,23,27.483031
7.082359,10,27.890331
7.082359,10,28.30627
-0.870914,20,29.034553
6.982359,11,29.461596
-7.335411,14,30.027965
-2.1,21,30.742758
0.529086,6,31.034433
7.482359,6,31.335043
-0.170914,13,31.843566
6.582359,15,32.444235
7.482359,6,32.732427
-0.270914,14,33.273262
-0.270914,14,33.815624
6.582359,15,34.389704
-6.735411,8,34.752437
6.982359,11,35.202548
6.782359,13,35.710052
6.382359,17,36.35097
6.682359,14,36.881846
7.182359,9,37.270656
0.129086,10,37.699336
6.882359,12,38.176635
7.382359,7,38.497188
0.129086,10,38.917058
-0.170914,13,39.443369
7.482359,6,39.734612
7.382359,7,40.070803
-2.2,22,40.827391
0.129086,10,41.246845
0.129086,10,41.674187
6.982359,11,42.132454
-2.2,22,42.87691
0.129086,10,43.306561
6.782359,13,43.8215
7.282359,8,44.158482
0.529086,6,44.462193
7.482359,6,44.758415
-2.2,22,45.509321
7.482359,6,45.79388
0.429086,7,46.124265
6.782359,13,46.644531
7.382359,7,46.961279
6.782359,13,47.468572
7.382359,7,47.791142
-2.1,21,48.529642
7.082359,10,48.951064
7.482359,6,49.282272
0.229086,9,49.673681
6.482359,16,50.284936
-8.921218,15,50.87995
-2.2,22,51.628657
-8.221218,8,51.981592
-2.1,21,52.702141
0.429086,7,53.021151
6.782359,13,53.532413
6.282359,18,54.215329
-0.470914,16,54.830556
6.782359,13,55.355257
-0.170914,13,55.866723
7.482359,6,56.158736
6.982359,11,56.630188
7.382359,7,56.940122
6.782359,13,57.457369
7.482359,6,57.744652
-6.935411,10,58.177358
-2.4,24,59.003864
6.182359,19,59.732477
-0.070914,12,60.22173
-0.070914,12,60.697125
6.482359,16,61.323544
-2.3,23,62.08732
6.582359,15,62.679173
7.482359,6,62.965033
0.429086,7,63.275125
0.529086,6,63.573601
0.529086,6,63.867401
-0.570914,17,64.498342
-2.1,21,65.209961
-8.421218,10,65.650506
5.982359,21,66.41443
-0.470914,16,67.032514
0.429086,7,67.355499
-0.370914,15,67.931245
7.282359,8,68.298993
7.182359,9,68.687222
-2.2,22,69.452832
7.382359,7,69.789205
-0.470914,16,70.400634
0.529086,6,70.699265
0.429086,7,71.03679
-2.4,24,71.848618
7.482359,6,72.144576
0.429086,7,72.472816
-0.270914,14,73.019465
-7.235411,13,73.53349
7.282359,8,73.891316
0.329086,8,74.24792
-8.621218,12,74.732049
7.382359,7,75.059677
6.982359,11,75.484794
6.882359,12,75.96605
0.429086,7,76.290273
7.482359,6,76.586808
-2.3,23,77.360986
6.482359,16,77.964952
7.482359,6,78.266281
-0.970914,21,79.034482
-1.070914,22,79.825521
7.482359,6,80.130619
7.482359,6,80.435272
-2.1,21,81.17285
7.482359,6,81.466382
0.329086,8,81.823441
-0.670914,18,82.497124
-2.1,21,83.22199
6.982359,11,83.664123
6.782359,13,84.203627
7.382359,7,84.535939
7.182359,9,84.923839
6.582359,15,85.529371
7.482359,6,85.814515
6.782359,13,86.32644
7.482359,6,86.627032
7.082359,10,87.044821
6.582359,15,87.617102
7.382359,7,87.934046
7.082359,10,88.356884
7.382359,7,88.685885
7.382359,7,89.020956
-0.470914,16,89.63665
-2.3,23,90.40741
-0.670914,18,91.083479
6.982359,11,91.542018
6.982359,11,92.002793
6.882359,12,92.4965
7.482359,6,92.810394
-2.3,23,93.600016
7.382359,7,93.927725
6.782359,13,94.440123
-2.2,22,95.183341
-2.1,21,95.895068
0.429086,7,96.232733
0.329086,8,96.59046
6.782359,13,97.112954
5.982359,21,97.86701
-2.1,21,98.58364
6.982359,11,99.033601
7.482359,6,99.328521
-9.421218,20,100.03124
-0.870914,20,100.833933
-0.270914,14,101.363438
6.282359,18,102.027549
0.529086,6,102.33122
-8.321218,9,102.720503
0.529086,6,103.00905
6.282359,18,103.693995
7.482359,6,103.995361
-2.1,21,104.719115
0.129086,10,105.132051
0.229086,9,105.494647
-2.1,21,106.211618
-2.2,22,106.962018
7.482359,6,107.260144
7.382359,7,107.60245
0.529086,6,107.898295
-0.070914,12,108.381807
7.382359,7,108.714127
0.129086,10,109.188195
7.282359,8,109.542755
7.482359,6,109.840174
7.382359,7,110.1643
7.382359,7,110.487973
7.382359,7,110.813448
7.282359,8,111.17646
0.129086,10,111.599635
6.882359,12,112.099038
7.482359,6,112.403702
7.182359,9,112.79903
0.129086,10,113.22793
6.682359,14,113.79678
-0.370914,15,114.368414
7.082359,10,114.793379
-0.370914,15,115.370228
0.329086,8,115.733196
7.082359,10,116.151314
7.282359,8,116.506948
7.282359,8,116.866149
0.429086,7,117.200001
6.382359,17,117.869985
7.282359,8,118.228556
7.482359,6,118.52147
-8.021218,6,118.817199
0.529086,6,119.108535
6.082359,20,119.8535
-2.1,21,120.582603
6.982359,11,121.045821
7.382359,7,121.38091
7.482359,6,121.681206
6.882359,12,122.178419
7.482359,6,122.481746
-2.2,22,123.221518
6.082359,20,123.963015
6.382359,17,124.607719
7.482359,6,124.905485
-2.1,21,125.636402
0.329086,8,126.003698
0.529086,6,126.299781
-2.1,21,127.022774
7.082359,10,127.464001
6.482359,16,128.07792
7.382359,7,128.401706
6.182359,19,129.087632
7.482359,6,129.393294
7.282359,8,129.749992
7.382359,7,130.074819
0.229086,9,130.471994
0.429086,7,130.791768
7.482359,6,131.088904
6.382359,17,131.729923
-2.1,21,132.453109
-0.270914,14,133.013681
0.129086,10,133.435637
-2.2,22,134.203302
0.329086,8,134.570536
7.382359,7,134.907687
-2.2,22,135.642952
6.782359,13,136.158502
-0.470914,16,136.77879
-2.1,21,137.515375
