bonus_factor,reward_game,representation,is_done_success,piece_penalty,counter_done_interations,counter_done_max_changes,segments,done_bonus,historical,done_penalty,discount_reward,reward,agent,rewards_sum,changes_penalty,entropy_map,discount_rewards,counter_changes,experience_bonus,entropy,reward_experience_bonus,counter_done
1.8708286933869707,0.0,narrow-puzzle,True,0,0,1,[278 210 118 289 266 106],50.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 7.982359239761056], 'action': [array([278], dtype=int64), array([210], dtype=int64), array([118], dtype=int64), array([289], dtype=int64), array([266], dtype=int64), array([106], dtype=int64)]}",,,7.982359239761056,,7.482359239761056,,1.2602175923800105,7.538749602139404,6,1.0102,2.584962500721156,8.06377930400662,0
1.7320508075688774,6.0,narrow-puzzle,True,0,0,2,[179  49  90 128  42 210],50.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 7.982359239761056], 'action': [array([170], dtype=int64), array([49], dtype=int64), array([90], dtype=int64), array([128], dtype=int64), array([42], dtype=int64), array([210], dtype=int64), array([179], dtype=int64)]}",,,7.982359239761056,,7.3823592397610565,,1.241841626710636,7.4517902680670165,7,1.0104,2.584962500721156,8.065375775854571,1
1.4491376746189437,6.0,narrow-puzzle,True,0,0,2,[ 42 195  90 210  88 266],50.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 7.982359239761056], 'action': [array([77], dtype=int64), array([278], dtype=int64), array([264], dtype=int64), array([278], dtype=int64), array([88], dtype=int64), array([266], dtype=int64), array([42], dtype=int64), array([195], dtype=int64), array([90], dtype=int64), array([210], dtype=int64)]}",,,7.982359239761056,,7.082359239761056,,1.2482286550886448,7.194358769522043,10,1.0106,2.584962500721156,8.066972247702523,2
1.0,6.0,narrow-puzzle,True,0,0,5,[210  90  88  42 266  85],50.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 7.982359239761056], 'action': [array([266], dtype=int64), array([265], dtype=int64), array([42], dtype=int64), array([42], dtype=int64), array([210], dtype=int64), array([29], dtype=int64), array([195], dtype=int64), array([266], dtype=int64), array([42], dtype=int64), array([199], dtype=int64), array([278], dtype=int64), array([38], dtype=int64), array([261], dtype=int64), array([42], dtype=int64), array([88], dtype=int64), array([42], dtype=int64), array([266], dtype=int64), array([85], dtype=int64), array([210], dtype=int64), array([90], dtype=int64)]}",,,7.982359239761056,,6.082359239761056,,1.2437877602912162,6.372314315974113,19,1.0108,2.584962500721156,8.068568719550475,3
1.0,6.0,narrow-puzzle,True,0,0,8,[266 210 137  85 278 195],50.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 7.982359239761056], 'action': [array([48], dtype=int64), array([90], dtype=int64), array([175], dtype=int64), array([210], dtype=int64), array([90], dtype=int64), array([47], dtype=int64), array([88], dtype=int64), array([106], dtype=int64), array([266], dtype=int64), array([191], dtype=int64), array([278], dtype=int64), array([210], dtype=int64), array([78], dtype=int64), array([42], dtype=int64), array([195], dtype=int64), array([85], dtype=int64), array([278], dtype=int64), array([195], dtype=int64), array([266], dtype=int64), array([210], dtype=int64), array([137], dtype=int64)]}",,,7.982359239761056,,5.982359239761056,,1.2454830700467634,6.293056318859453,20,1.011,2.584962500721156,8.070165191398427,4
1.0,18.0,narrow-puzzle,True,0,0,9,[ 48  42  88 167 266 264],50.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 7.982359239761056], 'action': [array([195], dtype=int64), array([195], dtype=int64), array([278], dtype=int64), array([210], dtype=int64), array([88], dtype=int64), array([49], dtype=int64), array([210], dtype=int64), array([106], dtype=int64), array([240], dtype=int64), array([278], dtype=int64), array([266], dtype=int64), array([210], dtype=int64), array([210], dtype=int64), array([266], dtype=int64), array([278], dtype=int64), array([266], dtype=int64), array([266], dtype=int64), array([264], dtype=int64), array([48], dtype=int64), array([42], dtype=int64), array([88], dtype=int64), array([167], dtype=int64)]}",,,7.982359239761056,,5.882359239761056,,1.2915450542744416,6.214318186765868,20,1.0112,2.584962500721156,8.071761663246381,5
1.2709778186044849,18.0,narrow-puzzle,True,0,0,16,[106 210  88 167  42 266],50.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 7.982359239761056], 'action': [array([106], dtype=int64), array([106], dtype=int64), array([231], dtype=int64), array([91], dtype=int64), array([173], dtype=int64), array([164], dtype=int64), array([89], dtype=int64), array([210], dtype=int64), array([88], dtype=int64), array([167], dtype=int64), array([42], dtype=int64), array([266], dtype=int64), array([106], dtype=int64)]}",,,7.982359239761056,,6.782359239761056,,1.2892627815446338,6.942007413469155,13,1.0114,2.584962500721156,8.073358135094333,6
1.0,9.0,narrow-puzzle,True,0,0,17,[114  90 266 163  42 289],50.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 7.982359239761056], 'action': [array([89], dtype=int64), array([89], dtype=int64), array([137], dtype=int64), array([278], dtype=int64), array([42], dtype=int64), array([89], dtype=int64), array([88], dtype=int64), array([266], dtype=int64), array([175], dtype=int64), array([278], dtype=int64), array([62], dtype=int64), array([179], dtype=int64), array([264], dtype=int64), array([210], dtype=int64), array([210], dtype=int64), array([163], dtype=int64), array([42], dtype=int64), array([289], dtype=int64), array([114], dtype=int64), array([90], dtype=int64), array([266], dtype=int64)]}",,,7.982359239761056,,5.982359239761056,,1.2409328213236963,6.293056318859453,20,1.0116,2.584962500721156,8.074954606942285,7
1.5275252316519468,12.0,narrow-puzzle,True,0,0,18,[278 195 210 195  42 199],10.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0290859839814104], 'action': [array([210], dtype=int64), array([5], dtype=int64), array([207], dtype=int64), array([195], dtype=int64), array([42], dtype=int64), array([199], dtype=int64), array([278], dtype=int64), array([195], dtype=int64), array([210], dtype=int64)]}",,,1.0290859839814104,,0.22908598398141045,,1.2516552523021658,0.5980634848256579,9,1.0118,2.2516291673878226,1.0412291985923912,8
1.620185174601965,6.0,narrow-puzzle,True,0,0,29,[ 42  80 210 278 266 195],50.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 7.982359239761056], 'action': [array([49], dtype=int64), array([42], dtype=int64), array([210], dtype=int64), array([278], dtype=int64), array([266], dtype=int64), array([195], dtype=int64), array([42], dtype=int64), array([80], dtype=int64)]}",,,7.982359239761056,,7.282359239761056,,1.2659601897783221,7.365408224683186,8,1.012,2.584962500721156,8.078147550638189,9
