bonus_factor,reward_game,representation,is_done_success,piece_penalty,counter_done_interations,counter_done_max_changes,segments,done_bonus,historical,done_penalty,discount_reward,reward,agent,rewards_sum,changes_penalty,entropy_map,discount_rewards,counter_changes,experience_bonus,entropy,reward_experience_bonus,counter_done
1.8708286933869707,0.0,narrow-puzzle,True,0,0,0,[24 38 18 13 18 17],10.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.2516291673878226], 'action': [array([24], dtype=int64), array([38], dtype=int64), array([18], dtype=int64), array([13], dtype=int64), array([18], dtype=int64), array([17], dtype=int64)]}",,,2.2516291673878226,,1.7516291673878226,,0.984716982408986,1.9493918078314352,6,1.0102,2.2516291673878226,2.2745957848951783,0
1.8708286933869707,0.0,narrow-puzzle,True,0,0,0,[24 24 38 16 39 38],0.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 1.9182958340544893], 'action': [array([24], dtype=int64), array([24], dtype=int64), array([38], dtype=int64), array([16], dtype=int64), array([39], dtype=int64), array([38], dtype=int64)]}",,,1.9182958340544893,,1.4182958340544893,,0.9117517586347538,1.6242815267258799,6,1.0104,1.9182958340544893,1.938246110728656,1
1.8708286933869707,0.0,narrow-puzzle,True,0,0,0,[10 38 17  5 35 39],50.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.584962500721156], 'action': [array([10], dtype=int64), array([38], dtype=int64), array([17], dtype=int64), array([5], dtype=int64), array([35], dtype=int64), array([39], dtype=int64)]}",,,2.584962500721156,,2.084962500721156,,0.980892449782821,2.2745020889369907,6,1.0106,2.584962500721156,2.6123631032288004,2
1.8708286933869707,0.0,narrow-puzzle,True,0,0,0,[ 9  2 30 17 16  6],50.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.584962500721156], 'action': [array([9], dtype=int64), array([2], dtype=int64), array([30], dtype=int64), array([17], dtype=int64), array([16], dtype=int64), array([6], dtype=int64)]}",,,2.584962500721156,,2.084962500721156,,0.9923985003332222,2.2745020889369907,6,1.0108,2.584962500721156,2.6128800957289444,3
1.8708286933869707,0.0,narrow-puzzle,True,0,0,0,[38 17 29 39 39  6],10.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.251629167387823], 'action': [array([38], dtype=int64), array([17], dtype=int64), array([29], dtype=int64), array([39], dtype=int64), array([39], dtype=int64), array([6], dtype=int64)]}",,,2.251629167387823,,1.751629167387823,,0.9640787648082292,1.9493918078314358,6,1.011,2.251629167387823,2.2763970882290887,4
1.8708286933869707,0.0,narrow-puzzle,True,0,0,0,[ 9 18 18 17 18 17],0.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 1.4591479170272446], 'action': [array([9], dtype=int64), array([18], dtype=int64), array([18], dtype=int64), array([17], dtype=int64), array([18], dtype=int64), array([17], dtype=int64)]}",,,1.4591479170272446,,0.9591479170272446,,0.9991567090571561,1.1764604016046063,6,1.0112,1.4591479170272446,1.4754903736979499,5
1.7320508075688774,3.0,narrow-puzzle,True,0,0,0,[29  5  1 14 35  6],50.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.584962500721156], 'action': [array([19], dtype=int64), array([5], dtype=int64), array([1], dtype=int64), array([14], dtype=int64), array([35], dtype=int64), array([6], dtype=int64), array([29], dtype=int64)]}",,,2.584962500721156,,1.984962500721156,,0.9798687566511527,2.2136435584295544,7,1.0114,2.584962500721156,2.6144310732293774,6
1.8708286933869707,0.0,narrow-puzzle,True,0,0,0,[38  1 29 16 19  6],50.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.584962500721156], 'action': [array([38], dtype=int64), array([1], dtype=int64), array([29], dtype=int64), array([16], dtype=int64), array([19], dtype=int64), array([6], dtype=int64)]}",,,2.584962500721156,,2.084962500721156,,0.97663491144401,2.2745020889369907,6,1.0116,2.584962500721156,2.6149480657295214,7
1.8708286933869707,0.0,narrow-puzzle,True,0,0,0,[ 2 17 24 24 39 18],10.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.2516291673878226], 'action': [array([2], dtype=int64), array([17], dtype=int64), array([24], dtype=int64), array([24], dtype=int64), array([39], dtype=int64), array([18], dtype=int64)]}",,,2.2516291673878226,,1.7516291673878226,,0.9755025696892738,1.9493918078314352,6,1.0118,2.2516291673878226,2.278198391562999,8
1.620185174601965,3.0,narrow-puzzle,True,0,0,0,[16 18 17 14 18 16],0.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.9182958340544893], 'action': [array([9], dtype=int64), array([18], dtype=int64), array([25], dtype=int64), array([14], dtype=int64), array([18], dtype=int64), array([16], dtype=int64), array([16], dtype=int64), array([18], dtype=int64), array([17], dtype=int64)]}",,,1.9182958340544893,,1.1182958340544893,,0.984716982408986,1.4525225448143115,8,1.012,1.9182958340544893,1.9413153840631432,9
1.620185174601965,3.0,narrow-puzzle,True,0,0,0,[16  5 30 14 17 10],50.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.584962500721156], 'action': [array([13], dtype=int64), array([1], dtype=int64), array([30], dtype=int64), array([14], dtype=int64), array([17], dtype=int64), array([10], dtype=int64), array([16], dtype=int64), array([5], dtype=int64)]}",,,2.584962500721156,,1.8849625007211561,,0.9888922525267978,2.1531890450797455,8,1.0122,2.584962500721156,2.616499043229954,10
