#{"t_start": 1668600222.0188007, "env_id": null}
r,l,t
1.751629,6,0.555614
1.418296,6,0.96306
2.084963,6,1.37299
2.084963,6,1.759227
1.751629,6,2.148958
0.959148,6,2.541174
1.984963,7,2.963376
2.084963,6,3.36494
1.751629,6,3.748872
1.118296,9,4.248431
1.884963,8,4.704524
1.292481,6,5.093463
1.751629,6,5.490119
0.751629,6,5.865743
1.292481,6,6.266546
1.751629,6,6.656073
2.084963,6,7.046625
1.751629,6,7.424167
1.151629,12,8.030362
1.751629,6,8.444642
2.084963,6,8.844678
1.751629,6,9.247751
1.292481,6,9.648858
1.451629,9,10.154789
2.084963,6,10.556398
2.084963,6,10.962481
1.418296,6,11.353938
1.751629,6,11.741801
1.751629,6,12.14572
2.084963,6,12.538018
2.084963,6,12.960492
2.084963,6,13.354824
2.084963,6,13.757339
2.084963,6,14.164312
2.084963,6,14.546696
2.084963,6,14.927369
1.751629,6,15.32096
1.751629,6,15.746241
1.751629,6,16.140131
1.251629,11,16.729058
1.751629,6,17.119331
1.418296,6,17.523659
1.751629,6,17.920057
1.751629,6,18.326584
1.292481,6,18.711723
1.751629,6,19.109471
2.084963,6,19.515221
2.084963,6,19.91569
1.551629,8,20.36742
1.751629,6,20.7645
1.292481,6,21.163668
2.084963,6,21.556699
2.084963,6,21.952465
1.751629,6,22.371392
2.084963,6,22.780291
1.751629,6,23.183886
2.084963,6,23.550154
2.084963,6,23.95074
1.751629,6,24.34845
1.751629,6,24.79734
1.418296,6,25.183207
1.751629,6,25.580923
1.751629,6,25.965564
2.084963,6,26.365852
1.984963,7,26.816834
2.084963,6,27.213143
1.751629,6,27.614058
1.784963,9,28.104217
1.292481,6,28.510161
1.751629,6,28.919462
1.751629,6,29.312968
1.418296,6,29.717179
1.751629,6,30.107773
1.751629,6,30.510393
1.418296,6,30.902204
1.751629,6,31.318213
2.084963,6,31.768612
2.084963,6,32.173049
1.751629,6,32.591038
1.651629,7,33.030812
1.418296,6,33.421292
2.084963,6,33.814904
1.292481,6,34.207528
1.751629,6,34.606279
1.292481,6,35.017089
1.684963,10,35.560359
2.084963,6,35.96952
1.751629,6,36.360851
2.084963,6,36.764766
2.084963,6,37.165473
2.084963,6,37.578853
1.218296,8,38.039271
1.251629,11,38.600144
1.751629,6,39.020907
1.251629,11,39.605029
1.751629,6,39.967695
2.084963,6,40.362801
2.084963,6,40.755472
