Episodes,Scores,Average,Total Rewards
0,-2.1000000000000005,-2.1000000000000005,-2.1000000000000005
1,-2.1000000000000005,-2.1000000000000005,-4.200000000000001
2,1.0849625007211559,-1.0383458330929483,-3.1150374992788397
3,-2.1000000000000005,-1.3037593748197114,-5.215037499278836
4,1.8849625007211561,-0.6660149997115379,-3.330074998557677
5,-2.1000000000000005,-0.9050124997596151,-5.430074998557672
6,-2.1000000000000005,-1.0757249997939557,-7.530074998557665
7,-2.1000000000000005,-1.2037593748197115,-9.630074998557658
8,-2.1000000000000005,-1.3033416665064104,-11.730074998557651
9,-2.1000000000000005,-1.3830074998557695,-13.830074998557643
10,-2.1000000000000005,-1.4481886362325178,-15.930074998557636
11,-2.1000000000000005,-1.502506249879808,-18.030074998557666
12,-2.1000000000000005,-1.5484673075813615,-20.130074998557696
13,-2.1000000000000005,-1.5878624998969786,-22.230074998557726
14,1.3849625007211561,-1.3896741665224364,-20.84511249783659
15,1.4849625007211562,-1.2100093748197118,-19.36014999711545
16,-2.1000000000000005,-1.2623617645361995,-21.46014999711548
17,1.3516291673878231,-1.117140046095976,-20.10852082972767
18,-2.1000000000000005,-1.1688695173540826,-22.2085208297277
19,-2.1000000000000005,-1.2154260414863785,-24.30852082972773
20,-2.1000000000000005,-1.257548610939408,-26.40852082972776
21,-2.1000000000000005,-1.2958418558967078,-28.50852082972779
22,-2.1000000000000005,-1.3308052534664163,-30.60852082972782
23,0.8516291673878229,-1.239870485930823,-29.756891662340013
24,-2.1000000000000005,-1.2742756664935901,-31.856891662340043
25,-2.1000000000000005,-1.306034294705375,-33.95689166234007
26,-2.1000000000000005,-1.3354404319385094,-36.0568916623401
27,-2.1000000000000005,-1.3627461307978483,-38.15689166234013
28,-2.1000000000000005,-1.3881686780117157,-40.25689166234016
29,-2.1000000000000005,-1.4118963887446585,-42.35689166234019
30,-2.1000000000000005,-1.4340932794303147,-44.45689166234022
31,-2.1000000000000005,-1.4549028644481174,-46.55689166234025
32,-2.1000000000000005,-1.4744512624951442,-48.65689166234028
33,-2.1000000000000005,-1.4928497547746988,-50.75689166234031
34,-2.1000000000000005,-1.5101969046382788,-52.85689166234034
35,-2.1000000000000005,-1.5265803239538824,-54.95689166234037
36,-2.1000000000000005,-1.54207815303621,-57.0568916623404
37,-2.1000000000000005,-1.5567603069036782,-59.15689166234043
38,2.084962500721156,-1.4633827990158619,-57.07192916161928
39,-2.1000000000000005,-1.4792982290404653,-59.17192916161931
40,-2.1000000000000005,-1.4944372966248443,-61.27192916161934
41,-2.1000000000000005,-1.5088554562290146,-63.37192916161937
42,1.0849625007211559,-1.4485341083929641,-62.28696666089818
43,-2.1000000000000005,-1.4633401513840332,-64.38696666089818
44,-2.1000000000000005,-1.4774881480199433,-66.48696666089806
45,-2.1000000000000005,-1.4910210143673357,-68.58696666089794
46,1.7849625007211563,-1.4213192374505594,-66.80200416017674
47,-2.1000000000000005,-1.4354584200036726,-68.90200416017662
48,-2.1000000000000005,-1.449020493064822,-71.0020041601765
49,-2.1000000000000005,-1.4620400832035256,-73.10200416017638
50,-2.1000000000000005,-1.474549101179927,-75.20200416017626
51,0.6849625007211555,-1.4330200319125983,-74.51704165945499
52,-2.1000000000000005,-1.4456045596123606,-76.61704165945487
53,-2.1000000000000005,-1.4577229936936131,-78.71704165945475
54,-2.1000000000000005,-1.4694007574446382,-80.81704165945463
55,0.6849625007211555,-1.4309299849773918,-80.13207915873336
