segments,segments
0,1
3,1
4,1
6,1
7,2
8,1
11,2
13,2
14,135
16,2
19,1
22,1
26,11
29,1
30,27
32,11
33,2
34,7
35,4
36,19
37,1
38,2
42,83
43,1
49,7
52,3
54,1
55,1
57,11
60,1
63,1
64,3
67,1
68,40
76,2
81,3
84,1
85,89
86,21
87,1
88,3
89,4
91,1
93,1
94,1
95,2
98,1
100,10
101,1
104,2
106,3
108,26
111,10
113,30
114,14
116,114
118,27
122,1
127,5
128,2
132,1
133,2
135,1
136,5
139,1
142,7
143,3
145,5
149,5
150,3
151,1
155,1
161,12
162,10
163,8
164,10
167,6
170,9
172,6
175,1
176,2
177,11
179,2
180,1
182,2
193,7
194,3
195,7
196,1
198,1
199,169
201,11
203,2
207,86
209,3
210,3
211,3
214,1
217,246
218,5
225,9
229,2
230,3
231,14
235,1
239,3
241,3
245,4
246,50
247,1
251,1
253,6
254,1
257,6
258,7
259,5
261,2
263,1
265,1
267,2
268,2
271,26
274,1
275,8
276,1
278,5
281,5
282,5
284,2
287,2
288,1
289,7
290,3
292,2
293,1
297,1
