#{"t_start": 1668598918.7224889, "env_id": null}
r,l,t
1.78,9,0.41602
1.28,14,0.963029
2.08,6,1.273664
1.98,7,1.59741
1.88,8,1.939876
2.08,6,2.240856
1.48,12,2.74079
1.28,14,3.300213
1.58,11,3.768084
-2.1,21,4.513762
2.08,6,4.798639
-2.1,21,5.545967
1.98,7,5.883431
1.08,16,6.495633
-2.4,24,7.295013
1.88,8,7.668035
1.88,8,8.036991
-2.5,25,8.902767
2.08,6,9.195041
0.78,19,9.900466
1.98,7,10.240276
0.78,19,10.934322
1.58,11,11.382257
2.08,6,11.687419
1.88,8,12.063784
1.98,7,12.391201
1.88,8,12.748526
1.38,13,13.272815
1.88,8,13.639984
1.28,14,14.150895
-2.4,24,14.99757
2.08,6,15.309061
1.98,7,15.622907
1.98,7,15.944487
-2.2,22,16.705116
2.08,6,17.000467
2.08,6,17.294034
1.98,7,17.632352
1.38,13,18.154534
1.58,11,18.602171
1.98,7,18.943699
1.68,10,19.380997
1.28,14,19.936097
1.98,7,20.262793
2.08,6,20.569924
1.98,7,20.899288
1.78,9,21.289102
-2.2,22,22.063508
1.38,13,22.583812
2.08,6,22.869729
1.98,7,23.189237
-2.3,23,23.994914
0.88,18,24.681421
1.78,9,25.064815
1.78,9,25.457148
1.98,7,25.797452
1.18,15,26.383682
2.08,6,26.702481
2.08,6,27.005072
1.98,7,27.348899
0.88,18,28.046475
2.08,6,28.351262
1.98,7,28.677519
1.98,7,29.02927
1.28,14,29.599846
2.08,6,29.887157
1.98,7,30.217041
2.08,6,30.533086
1.18,15,31.131357
1.78,9,31.534007
1.98,7,31.852511
1.98,7,32.181269
1.88,8,32.552727
2.08,6,32.859912
1.18,15,33.420991
2.08,6,33.719689
2.08,6,34.031666
2.08,6,34.336042
1.68,10,34.759222
1.98,7,35.090216
2.08,6,35.390645
1.58,11,35.842153
1.78,9,36.224989
1.18,15,36.810837
1.98,7,37.145087
1.68,10,37.59686
2.08,6,37.901536
1.48,12,38.383912
2.08,6,38.678286
-2.2,22,39.435777
2.08,6,39.738193
2.08,6,40.037127
2.08,6,40.339866
2.08,6,40.632789
1.58,11,41.089398
1.28,14,41.640436
2.08,6,41.932291
0.88,18,42.593277
1.78,9,42.983288
1.98,7,43.313217
2.08,6,43.606766
1.28,14,44.131253
1.58,11,44.589124
2.08,6,44.876035
1.78,9,45.269139
2.08,6,45.568308
0.88,18,46.244291
1.08,16,46.859428
2.08,6,47.150057
1.98,7,47.475487
1.28,14,48.019232
0.58,21,48.801342
