segments,segments
0,17
1,3
2,8
3,50
5,5
6,7
8,1
10,49
12,1
14,7
15,5
17,1
18,1
19,2
20,4
22,3
23,45
24,3
26,1
27,4
28,2
29,4
30,1
31,16
32,226
36,26
40,7
41,2
42,3
43,1
49,24
50,1
55,59
56,2
57,23
58,15
59,1
60,1
61,5
62,1
64,11
65,1
68,13
70,4
71,7
73,2
76,2
77,10
79,2
81,1
82,2
83,3
84,9
85,4
86,52
88,193
90,10
91,2
92,7
93,67
95,4
97,2
98,1
99,50
101,1
104,50
109,2
110,4
111,8
112,1
113,16
114,7
118,8
119,41
120,1
122,1
123,216
125,10
126,3
127,1
128,16
129,1
133,1
134,3
136,12
137,2
138,2
142,160
143,3
144,1
145,8
147,2
150,1
151,5
154,5
155,12
157,58
162,1
163,4
164,1
167,2
168,43
169,1
170,10
171,19
172,10
173,1
174,2
176,80
178,15
182,5
183,5
185,10
187,1
188,1
190,3
191,1
192,103
193,1
194,7
195,57
196,11
197,1
199,2
200,2
201,117
202,2
204,9
205,12
206,1
207,5
208,2
209,2
210,6
211,113
212,31
213,1
214,1
215,4
217,116
221,1
222,1
223,348
224,57
227,3
228,2
229,2
230,1
231,2
232,1
233,17
235,51
236,2
237,1
238,1
240,1
241,47
242,5
244,1
245,7
246,8
252,63
253,132
254,2
257,4
259,49
260,1
261,1
262,6
263,7
264,8
265,1
269,1
270,1
274,4
276,1
278,8
281,2
282,4
284,1
285,6
287,153
290,4
292,1
293,6
294,1
295,2
296,4
298,1
