segments,segments
0,2
2,56
3,1
4,6
6,2
7,2
9,3
10,3
11,5
12,22
15,3
17,15
19,105
21,3
22,196
23,99
26,2
27,5
29,4
30,1
31,159
33,1
35,1
37,2
38,235
39,14
40,1
42,5
43,3
44,1
47,37
48,41
49,2
50,5
52,65
54,1
55,102
56,18
58,5
60,1
61,2
64,1
65,73
66,1
68,5
69,12
70,3
71,21
73,1
76,3
77,301
78,4
79,1
80,5
81,4
83,3
84,6
85,155
86,1
87,4
88,17
89,2
90,16
91,1
92,28
93,62
94,1
95,112
96,5
97,484
99,82
100,6
102,47
105,1
106,3
107,3
108,1
110,16
111,1
112,13
113,6
114,5
117,179
118,1
119,92
120,135
121,2
122,3
127,3
128,83
130,146
132,80
133,1
134,2
135,2
136,1
138,119
139,54
140,22
142,14
143,2
145,8
146,2
147,215
148,1
149,695
