#{"t_start": 1682922525.0005348, "env_id": null}
r,l,t
6.882359,12,0.908535
-6.1,61,4.271711
-6.1,61,7.669628
5.982359,21,8.9965
-12.1,61,12.460824
-16.1,61,15.848762
-18.1,61,19.264215
-8.1,61,22.618356
-18.1,61,26.027507
6.282359,18,27.209742
2.182359,19,28.421245
7.382359,7,28.973982
-20.1,61,32.365894
-8.1,61,35.845104
3.682359,24,37.304881
-12.1,61,40.787124
5.282359,28,42.443957
-22.1,61,45.87591
-10.1,61,49.310128
-4.017641,41,51.745096
-7.017641,51,54.647737
-2.917641,30,56.464159
-22.1,61,59.82623
-16.1,61,63.209385
7.282359,8,63.807231
1.182359,49,66.683021
-8.1,61,70.046021
5.082359,30,71.839787
-14.1,61,75.223714
-10.1,61,78.608343
-5.717641,58,81.90556
6.582359,15,82.893311
-10.1,61,86.258662
-10.1,61,89.633735
-14.1,61,93.032587
-8.1,61,96.470205
-18.1,61,99.919227
4.882359,12,100.79455
2.482359,36,102.954542
5.882359,22,104.327394
-12.1,61,107.735789
-12.1,61,111.176401
-12.1,61,114.718766
-10.1,61,118.087562
-8.1,61,121.545083
-12.1,61,124.961696
-8.1,61,128.36065
-10.1,61,131.767246
-12.1,61,135.168128
-10.1,61,138.584417
7.482359,6,139.114292
2.082359,20,140.371974
-12.1,61,143.733671
-6.1,61,147.129868
-6.1,61,150.532927
-14.1,61,153.908586
-1.717641,58,157.214737
-6.1,61,160.639234
4.182359,39,162.868893
-0.717641,28,164.54474
2.682359,14,165.462039
-5.817641,59,168.800048
7.482359,6,169.299278
-10.1,61,172.740903
6.782359,13,173.594724
-20.1,61,176.994834
-10.1,61,180.391799
-22.1,61,183.781854
-14.1,61,187.150608
-0.717641,48,189.935873
-7.817641,59,193.209778
-12.1,61,196.600759
2.482359,16,197.617252
-8.1,61,201.032695
1.682359,24,202.534846
-9.717641,58,205.873697
-14.1,61,209.278913
-6.1,61,212.635155
-18.1,61,216.016165
-16.1,61,219.424463
-10.1,61,222.850021
-14.1,61,226.258296
-10.1,61,229.637533
7.282359,8,230.252003
7.382359,7,230.805933
-9.817641,39,233.108914
0.082359,40,235.431026
-10.1,61,238.818493
1.382359,47,241.549196
4.782359,33,243.534836
5.082359,30,245.331499
2.382359,17,246.396203
-12.1,61,249.808809
-1.917641,40,252.130788
2.082359,40,254.529242
-6.1,61,257.975539
-10.1,61,261.384486
-18.1,61,264.803276
5.782359,23,266.217156
-14.1,61,269.609805
-8.1,61,273.022122
-14.1,61,276.389147
5.182359,9,277.04711
-22.1,61,280.474352
-2.617641,47,283.167995
-18.1,61,286.590383
-8.1,61,289.97991
-14.1,61,293.431183
7.282359,8,294.035018
6.682359,14,295.106822
1.082359,30,296.906629
-1.117641,52,299.901955
6.582359,15,300.879104
-24.1,61,304.273061
-8.1,61,307.674129
-10.1,61,311.072067
-6.1,61,314.418075
-22.1,61,317.804134
-10.1,61,321.261146
-10.1,61,324.641896
-7.417641,55,327.786815
4.882359,32,329.695134
-10.1,61,333.07362
6.582359,15,334.065127
4.382359,37,336.238435
-4.217641,43,338.746799
-20.1,61,342.256345
-22.1,61,345.650779
3.882359,22,347.014984
-10.1,61,350.458989
4.882359,32,352.358429
-5.317641,54,355.451741
7.282359,8,356.053925
-8.1,61,359.409259
-16.1,61,362.865005
-0.317641,24,364.366521
4.682359,34,366.372834
0.482359,56,369.537947
-10.1,61,372.953755
-6.1,61,376.371849
-12.1,61,379.751467
-10.1,61,383.156355
4.282359,38,385.405338
-10.1,61,388.803644
-12.1,61,392.223017
-6.1,61,395.576035
-2.317641,44,398.123181
-16.1,61,401.541595
-0.217641,43,404.040629
6.982359,11,404.781093
-6.1,61,408.175456
2.782359,53,411.163276
-6.1,61,414.586311
-16.1,61,417.977732
-8.1,61,421.405707
-12.1,61,424.820856
-12.1,61,428.240705
-12.1,61,431.677756
1.482359,46,434.341033
-10.1,61,437.681084
-18.1,61,441.105244
3.282359,28,442.824999
-10.1,61,446.317521
-18.1,61,449.703644
2.082359,20,450.947603
-14.1,61,454.364163
2.482359,36,456.468554
-16.1,61,459.987448
3.882359,42,462.493254
-16.1,61,465.896322
-10.1,61,469.2721
-0.317641,44,471.814893
-18.1,61,475.380137
-10.1,61,478.807751
-12.1,61,482.229541
-12.1,61,485.584405
6.482359,16,486.640589
-12.1,61,490.090092
-18.1,61,493.497324
-8.1,61,496.929916
-18.1,61,500.316045
-18.1,61,503.706043
-3.917641,20,504.908854
-6.1,61,508.332783
-16.1,61,511.738456
-12.1,61,515.182096
7.382359,7,515.727589
-3.817641,39,518.026225
-8.1,61,521.493611
5.282359,28,523.185996
-7.917641,60,526.60977
-14.1,61,530.023717
0.982359,31,531.85587
-10.1,61,535.252191
-14.1,61,538.670321
-14.570914,37,540.877346
-14.1,61,544.321058
7.482359,6,544.815668
-12.1,61,548.202722
-14.1,61,551.572507
3.282359,48,554.313657
3.382359,7,554.872854
-16.1,61,558.262051
-14.1,61,561.686983
-14.1,61,565.05301
-14.1,61,568.444006
5.682359,24,569.899881
-16.1,61,573.318805
-6.1,61,576.690487
-14.1,61,580.159862
7.182359,9,580.874893
6.582359,15,581.882231
-10.1,61,585.309519
6.682359,14,586.289964
-0.517641,46,588.902922
-14.1,61,592.269892
-1.117641,52,595.231817
-12.1,61,598.66185
0.482359,36,600.770389
6.282359,18,601.915017
7.082359,10,602.662035
-18.1,61,606.061041
-14.1,61,609.519231
-6.1,61,612.912196
-12.1,61,616.340016
-0.217641,23,617.79446
-16.1,61,621.172313
-16.1,61,624.579597
-10.1,61,627.9874
-6.1,61,631.411482
-10.1,61,634.813926
-22.1,61,638.304297
0.382359,57,641.648662
-12.1,61,645.025769
6.682359,14,645.939517
-1.870914,10,646.687598
4.282359,38,648.89927
7.482359,6,649.396376
-0.117641,42,651.861137
7.082359,10,652.568362
6.782359,13,653.45569
-12.370914,35,655.702491
5.982359,21,657.026678
-16.1,61,660.367623
-18.1,61,663.799019
4.782359,33,665.749026
-10.1,61,669.112056
1.882359,22,670.475196
-5.817641,59,673.810708
-12.1,61,677.247413
-12.1,61,680.609913
4.782359,33,682.674514
6.782359,13,683.538989
4.982359,31,685.385406
-14.1,61,688.74957
-20.1,61,692.095443
-8.1,61,695.497705
-28.1,61,698.864151
-4.770914,39,701.22131
-8.1,61,704.61301
-8.1,61,708.022055
1.082359,50,710.866061
-8.917641,50,713.720578
-8.1,61,717.107284
