Episodes,Scores,Average,Total Rewards
0,-3.2176407602389414,-3.2176407602389414,-3.2176407602389414
1,-8.099999999999989,-5.658820380119465,-11.317640760238923
2,-8.099999999999994,-6.472546920079641,-19.41764076023893
3,-10.09999999999999,-7.379410190059729,-29.51764076023901
4,-6.099999999999994,-7.123528152047783,-35.6176407602391
5,-6.099999999999994,-6.952940126706484,-41.717640760239185
6,-16.099999999999987,-8.259662965748413,-57.81764076023927
7,-20.099999999999998,-9.739705095029862,-77.91764076023908
8,6.782359239761056,-7.903920168941983,-71.13528152047796
9,6.682359239761056,-6.445292228071679,-64.45292228071683
10,-20.09999999999999,-7.686629298246981,-84.55292228071649
11,-10.099999999999987,-7.887743523393065,-94.65292228071614
12,-16.099999999999987,-8.519455560055137,-110.7529222807158
13,3.0823592397610584,-7.690754502925408,-107.67056304095458
14,-22.100000000000023,-8.651370869397049,-129.77056304095424
15,-14.099999999999994,-8.991910190059732,-143.8705630409539
16,0.6823592397610643,-8.422835517717331,-143.18820380119254
17,-12.099999999999985,-8.627122433399702,-155.2882038011922
18,-12.099999999999994,-8.80990546322077,-167.38820380119185
19,-0.017640760238936792,-8.37029222807168,-167.40584456143057
20,-38.10000000000003,-9.785992598163505,-205.50584456143022
21,-6.099999999999994,-9.618447480065164,-211.60584456142988
22,-0.11764076023893111,-9.205368927029241,-211.7234853216686
23,-16.099999999999987,-9.492645221736355,-227.82348532166824
24,-18.100000000000016,-9.836939412866903,-245.9234853216679
25,-8.09999999999999,-9.77013405083356,-254.02348532166755
26,-6.099999999999994,-9.634203160061945,-260.1234853216684
27,-3.4176407602389265,-9.412183074353981,-263.54112608190854
28,-16.09999999999999,-9.642797451100396,-279.64112608190993
29,-20.100000000000005,-9.99137086939705,-299.7411260819113
30,4.082359239761054,-9.53737957555324,-295.6587668421511
31,6.782359239761056,-9.027387737574669,-288.8764076023903
32,6.8823592397610565,-8.54527419280692,-281.9940483626295
33,5.182359239761055,-8.141520268319626,-276.81168912286904
34,-18.1,-8.426048260653351,-294.9116891228704
35,-12.099999999999987,-8.528102475635201,-307.0116891228718
36,0.1823592397610554,-8.292684591435302,-306.8293298831116
37,-3.917640760238939,-8.177551859035399,-310.74697064335186
38,-14.099999999999985,-8.329409503675516,-324.84697064335325
39,2.2823592397610604,-8.064115285089603,-322.56461140359346
40,-16.09999999999998,-8.260112473258147,-338.66461140359485
41,-1.7176407602389379,-8.104339337233881,-340.3822521638346
42,-7.617640760238933,-8.09302076567586,-347.9998929240748
43,-12.099999999999989,-8.184088475546861,-360.0998929240762
44,-22.10000000000001,-8.493330953868043,-382.1998929240776
45,-10.099999999999989,-8.528258541827432,-392.29989292407896
46,5.882359239761056,-8.221649652857465,-386.41753368431836
47,4.382359239761055,-7.959066134261246,-382.0351744445581
48,-12.099999999999984,-8.043574988664076,-394.1351744445595
49,-2.9709140160185914,-7.942121769211167,-397.106088460579
50,-6.099999999999994,-7.9060017345207525,-403.20608846058036
51,-18.100000000000016,-8.102040162703046,-421.30608846058175
52,-10.09999999999999,-8.139737518123743,-431.40608846058313
53,-8.099999999999985,-8.139001638158488,-439.5060884605845
54,-18.10000000000002,-8.320110699282878,-457.6060884605859
55,-14.099999999999987,-8.423323008224255,-471.7060884605873
56,7.082359239761056,-8.151293495101706,-464.6237292208264
57,-14.099999999999987,-8.253857400358573,-478.7237292208278
58,-14.099999999999985,-8.352944563064359,-492.8237292208292
59,-18.10000000000002,-8.515395487013286,-510.9237292208306
60,-6.099999999999994,-8.4757988396852,-517.0237292208319
61,-18.017640760238958,-8.629699515823164,-535.0413699810722
62,7.482359239761056,-8.373952551448811,-527.5590107413112
63,-14.099999999999985,-8.463422042832423,-541.6590107413126
64,-6.217640760238938,-8.428871561561754,-547.876651501552
65,-16.099999999999984,-8.54510078032597,-563.9766515015534
66,-16.099999999999987,-8.657860470171853,-580.0766515015548
67,-8.099999999999987,-8.64965663972815,-588.1766515015562
68,-14.09999999999999,-8.72864712321035,-602.2766515015576
69,6.982359239761056,-8.504204175167901,-595.2942922617967
70,-20.100000000000016,-8.667525243123283,-615.3942922617981
71,-1.2176407602389396,-8.564054625305445,-616.6119330220382
72,6.782359239761056,-8.353829777838781,-609.8295737822774
73,1.6823592397610634,-8.21820560192527,-608.1472145425173
74,-10.099999999999994,-8.243296193899601,-618.2472145425187
75,-24.100000000000037,-8.451937033453554,-642.3472145425201
76,-16.099999999999984,-8.551262526525585,-658.4472145425215
77,-1.7176407602389396,-8.463651991060372,-660.1648553027617
78,2.2823592397610604,-8.32762653244238,-657.882496063001
79,-14.099999999999984,-8.399781200786851,-671.9824960630024
80,2.682359239761059,-8.26296465213811,-669.3001368232425
81,-12.099999999999993,-8.309757766136427,-681.4001368232439
82,-22.1,-8.475905262929965,-703.5001368232453
83,-14.099999999999994,-8.542858771704609,-717.6001368232467
84,-12.099999999999985,-8.584707492037495,-729.700136823248
85,-12.099999999999982,-8.625582986316129,-741.8001368232494
86,-16.099999999999984,-8.711495825553875,-757.9001368232508
87,-10.099999999999993,-8.727274282081673,-768.0001368232522
88,-12.099999999999982,-8.765170076665024,-780.1001368232536
89,-22.099999999999987,-8.91333485359097,-802.200136823255
90,-24.100000000000044,-9.080221283771289,-826.3001368232564
91,-14.099999999999993,-9.134784095904209,-840.4001368232578
92,-18.10000000000002,-9.231184266915992,-858.5001368232591
93,-6.099999999999994,-9.197873795991354,-864.6001368232605
94,-6.099999999999994,-9.165264598138814,-870.7001368232619
95,-18.100000000000016,-9.258334758574868,-888.8001368232633
96,4.182359239761055,-9.119770902921921,-884.6177775835026
97,-3.8176407602389357,-9.065667534119035,-888.4354183437424
98,-6.099999999999994,-9.03571129640066,-894.5354183437438
99,-12.099999999999987,-9.066354183436653,-906.6354183437452
100,-3.9176407602389336,-9.015376822810934,-910.5530591039854
101,-4.71764076023894,-8.973242155530816,-915.2706998642254
102,-8.099999999999987,-8.964764076350905,-923.3706998642268
103,-18.1,-9.05260288330907,-941.4706998642282
104,-10.099999999999994,-9.062578093944222,-951.5706998642296
105,-20.099999999999998,-9.166704715699465,-971.670699864231
106,-22.1,-9.28757663424433,-993.7706998642324
107,-8.099999999999989,-9.276580554297624,-1001.8706998642338
108,-8.099999999999994,-9.265786237285718,-1009.9706998642351
109,-14.099999999999994,-9.309733635128575,-1024.0706998642365
110,-18.099999999999994,-9.38892522400129,-1042.170699864231
111,-10.099999999999994,-9.395274105929849,-1052.2706998642254
112,6.682359239761056,-9.25299416481754,-1045.5883406244632
113,-16.099999999999987,-9.313055619512122,-1061.6883406244576
114,-8.099999999999994,-9.302507309777234,-1069.788340624452
115,-6.099999999999994,-9.274899488141221,-1075.8883406244465
116,-12.099999999999984,-9.299045646362236,-1087.988340624441
117,-14.099999999999987,-9.339731700206624,-1102.0883406244354
118,7.482359239761056,-9.198369591467399,-1094.605981384674
119,-16.099999999999984,-9.25588317820517,-1110.7059813846683
