counter_done,agent,counter_done_max_changes,reward_game,representation,done_penalty,counter_changes,reward_experience_bonus,entropy,reward,changes_penalty,piece_penalty,discount_reward,done_bonus,is_done_success,segments,discount_rewards,rewards_sum,experience_bonus,historical,bonus_factor,counter_done_interations,entropy_map
0,,0,0.0,narrow-puzzle,,6,2.606316,1.7924812503605778,2.58,,0,,0.0,True,[29 38 18 17 18 18],2.269662008923667,2.08,1.0102,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([29], dtype=int64), array([38], dtype=int64), array([18], dtype=int64), array([17], dtype=int64), array([18], dtype=int64), array([18], dtype=int64)]}",3.188521078284832,0,0.9731560354421096
1,,0,0.0,narrow-puzzle,,6,2.606832,0.6500224216483541,2.58,,0,,0.0,True,[29 29 29 17 29 29],2.269662008923667,2.08,1.0104,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([29], dtype=int64), array([29], dtype=int64), array([29], dtype=int64), array([17], dtype=int64), array([29], dtype=int64), array([29], dtype=int64)]}",3.188521078284832,0,0.9453461763331195
2,,0,0.0,narrow-puzzle,,6,2.607348,1.9182958340544893,2.58,,0,,0.0,True,[17 39 17 16 29 39],2.269662008923667,2.08,1.0106,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([17], dtype=int64), array([39], dtype=int64), array([17], dtype=int64), array([16], dtype=int64), array([29], dtype=int64), array([39], dtype=int64)]}",3.188521078284832,0,0.9864676098415691
3,,0,0.0,narrow-puzzle,,6,2.6078639999999997,1.9182958340544896,2.58,,0,,0.0,True,[17 16 29 18 18 17],2.269662008923667,2.08,1.0108,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([17], dtype=int64), array([16], dtype=int64), array([29], dtype=int64), array([18], dtype=int64), array([18], dtype=int64), array([17], dtype=int64)]}",3.188521078284832,0,0.993614428200075
4,,0,0.0,narrow-puzzle,,6,2.60838,1.9182958340544893,2.58,,0,,0.0,True,[29 18 29 39 39 17],2.269662008923667,2.08,1.011,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([29], dtype=int64), array([18], dtype=int64), array([29], dtype=int64), array([39], dtype=int64), array([39], dtype=int64), array([17], dtype=int64)]}",3.188521078284832,0,0.9582831238219733
5,,0,0.0,narrow-puzzle,,6,2.6088960000000005,1.2516291673878228,2.58,,0,,0.0,True,[17 24 18 18 18 18],2.269662008923667,2.08,1.0112,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([17], dtype=int64), array([24], dtype=int64), array([18], dtype=int64), array([18], dtype=int64), array([18], dtype=int64), array([18], dtype=int64)]}",3.188521078284832,0,0.9798687566511527
6,,0,0.0,narrow-puzzle,,6,2.6094120000000003,2.2516291673878226,2.58,,0,,10.0,True,[24 16 14 17 29 16],2.269662008923667,2.08,1.0114,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([24], dtype=int64), array([16], dtype=int64), array([14], dtype=int64), array([17], dtype=int64), array([29], dtype=int64), array([16], dtype=int64)]}",3.188521078284832,0,0.9731560354421096
7,,0,0.0,narrow-puzzle,,6,2.609928,2.2516291673878226,2.58,,0,,10.0,True,[29 39 16 29 17 24],2.269662008923667,2.08,1.0116,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([29], dtype=int64), array([39], dtype=int64), array([16], dtype=int64), array([29], dtype=int64), array([17], dtype=int64), array([24], dtype=int64)]}",3.188521078284832,0,0.9552178476322735
8,,0,0.0,narrow-puzzle,,6,2.610444,1.9182958340544893,2.58,,0,,0.0,True,[16 16 18 29 29 39],2.269662008923667,2.08,1.0118,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([16], dtype=int64), array([16], dtype=int64), array([18], dtype=int64), array([29], dtype=int64), array([29], dtype=int64), array([39], dtype=int64)]}",3.188521078284832,0,0.9245731266076261
9,,0,0.0,narrow-puzzle,,6,2.61096,1.4591479170272448,2.58,,0,,0.0,True,[18 17 18 29 17 18],2.269662008923667,2.08,1.012,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([18], dtype=int64), array([17], dtype=int64), array([18], dtype=int64), array([29], dtype=int64), array([17], dtype=int64), array([18], dtype=int64)]}",3.188521078284832,0,0.9947240240065337
10,,0,0.0,narrow-puzzle,,6,2.611476,1.4591479170272448,2.58,,0,,0.0,True,[17 17 18 18 18 12],2.269662008923667,2.08,1.0122,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([17], dtype=int64), array([17], dtype=int64), array([18], dtype=int64), array([18], dtype=int64), array([18], dtype=int64), array([12], dtype=int64)]}",3.188521078284832,0,0.9997892080780693
11,,0,0.0,narrow-puzzle,,6,2.611992,1.2516291673878228,2.58,,0,,0.0,True,[29 17 17 17 17 16],2.269662008923667,2.08,1.0124,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([29], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([16], dtype=int64)]}",3.188521078284832,0,0.9957274520849256
12,,0,0.0,narrow-puzzle,,6,2.612508,1.2516291673878228,2.58,,0,,0.0,True,[17 17 17 17 24 16],2.269662008923667,2.08,1.0126,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([17], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([24], dtype=int64), array([16], dtype=int64)]}",3.188521078284832,0,0.9952389993710233
13,,0,0.0,narrow-puzzle,,6,2.613024,1.4591479170272448,2.58,,0,,0.0,True,[17 17 29 17 18 29],2.269662008923667,2.08,1.0128,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([17], dtype=int64), array([17], dtype=int64), array([29], dtype=int64), array([17], dtype=int64), array([18], dtype=int64), array([29], dtype=int64)]}",3.188521078284832,0,0.9995256892936493
14,,0,0.0,narrow-puzzle,,6,2.61354,1.2516291673878228,2.58,,0,,0.0,True,[39 29 29 18 29 29],2.269662008923667,2.08,1.013,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([39], dtype=int64), array([29], dtype=int64), array([29], dtype=int64), array([18], dtype=int64), array([29], dtype=int64), array([29], dtype=int64)]}",3.188521078284832,0,0.9072395311383639
15,,0,0.0,narrow-puzzle,,6,2.614056,1.4591479170272448,2.58,,0,,0.0,True,[29 29 17 16 17 17],2.269662008923667,2.08,1.0132,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([29], dtype=int64), array([29], dtype=int64), array([17], dtype=int64), array([16], dtype=int64), array([17], dtype=int64), array([17], dtype=int64)]}",3.188521078284832,0,0.9991567090571561
