reward,agent,experience_bonus,reward_game,counter_changes,representation,changes_penalty,entropy_map,piece_penalty,reward_experience_bonus,discount_rewards,is_done_success,rewards_sum,counter_done_max_changes,bonus_factor,done_penalty,segments,counter_done,entropy,historical,discount_reward,done_bonus,counter_done_interations
2.58,,1.0102,0.0,6,narrow-puzzle,,1.0517831350700257,0,2.606316,2.269662008923667,True,2.08,0,3.188521078284832,,[69 27 51 35  1  1],0,2.2516291673878226,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([69], dtype=int64), array([27], dtype=int64), array([51], dtype=int64), array([35], dtype=int64), array([1], dtype=int64), array([1], dtype=int64)]}",,10.0,0
2.58,,1.0104,3.0,7,narrow-puzzle,,1.0389392963884174,0,2.606832,2.208827476143797,True,1.98,0,2.951996902824546,,[ 1 27 63  1  1  1],1,1.2516291673878228,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([27], dtype=int64), array([27], dtype=int64), array([63], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([1], dtype=int64)]}",,0.0,0
2.58,,1.0106,3.0,18,narrow-puzzle,,1.0384627621935911,0,2.607348,1.1263739452736385,True,0.07999999999999918,0,1.0,,[ 1  1 27  1  1 69],2,1.2516291673878228,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([27], dtype=int64), array([0], dtype=int64), array([76], dtype=int64), array([28], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([27], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([27], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([27], dtype=int64), array([1], dtype=int64), array([27], dtype=int64), array([63], dtype=int64), array([27], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([27], dtype=int64), array([27], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([69], dtype=int64), array([1], dtype=int64), array([1], dtype=int64)]}",,0.0,0
2.58,,1.0108,3.0,10,narrow-puzzle,,1.0387142794950388,0,2.6078639999999997,2.028734963892395,True,1.6800000000000002,0,2.469817807045694,,[63 35  1  1 28  1],3,1.7924812503605778,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([0], dtype=int64), array([9], dtype=int64), array([27], dtype=int64), array([27], dtype=int64), array([28], dtype=int64), array([1], dtype=int64), array([63], dtype=int64), array([35], dtype=int64), array([1], dtype=int64), array([1], dtype=int64)]}",,0.0,0
2.58,,1.011,6.0,11,narrow-puzzle,,1.0375491099917848,0,2.60838,1.8521963897921743,True,1.3800000000000001,0,2.354878881270658,,[62  0 27  1  1  1],4,1.792481250360578,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([27], dtype=int64), array([27], dtype=int64), array([9], dtype=int64), array([36], dtype=int64), array([1], dtype=int64), array([27], dtype=int64), array([27], dtype=int64), array([0], dtype=int64), array([27], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([62], dtype=int64)]}",,0.0,0
2.58,,1.0112,0.0,6,narrow-puzzle,,1.0371914882712843,0,2.6088960000000005,2.269662008923667,True,2.08,0,3.188521078284832,,[27  1  1 62 14  0],5,2.2516291673878226,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([27], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([62], dtype=int64), array([14], dtype=int64), array([0], dtype=int64)]}",,10.0,0
2.58,,1.0114,3.0,24,narrow-puzzle,,1.0544377269074985,0,2.6094120000000003,1.1800291950349335,True,0.17999999999999927,0,1.0,,[27  1 62  1  1 63],6,1.7924812503605778,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([27], dtype=int64), array([1], dtype=int64), array([15], dtype=int64), array([41], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([63], dtype=int64), array([63], dtype=int64), array([15], dtype=int64), array([14], dtype=int64), array([62], dtype=int64), array([63], dtype=int64), array([76], dtype=int64), array([1], dtype=int64), array([9], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([36], dtype=int64), array([1], dtype=int64), array([62], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([63], dtype=int64), array([27], dtype=int64)]}",,0.0,0
2.58,,1.0116,0.0,6,narrow-puzzle,,1.0344875326052765,0,2.609928,2.269662008923667,True,2.08,0,3.188521078284832,,[ 0 69 27 41  1  1],7,2.2516291673878226,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([0], dtype=int64), array([69], dtype=int64), array([27], dtype=int64), array([41], dtype=int64), array([1], dtype=int64), array([1], dtype=int64)]}",,10.0,0
2.58,,1.0118,0.0,6,narrow-puzzle,,1.0381847351922342,0,2.610444,2.269662008923667,True,2.08,0,3.188521078284832,,[41  1 62  1 27  1],8,1.7924812503605778,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([41], dtype=int64), array([1], dtype=int64), array([62], dtype=int64), array([1], dtype=int64), array([27], dtype=int64), array([1], dtype=int64)]}",,0.0,0
2.58,,1.012,3.0,21,narrow-puzzle,,1.0384627621935911,0,2.61096,1.3431235618127337,True,0.47999999999999954,0,1.0,,[27 69  1  1  1  1],9,1.2516291673878228,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([69], dtype=int64), array([62], dtype=int64), array([9], dtype=int64), array([62], dtype=int64), array([9], dtype=int64), array([1], dtype=int64), array([34], dtype=int64), array([0], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([63], dtype=int64), array([27], dtype=int64), array([27], dtype=int64), array([1], dtype=int64), array([16], dtype=int64), array([27], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([27], dtype=int64), array([69], dtype=int64), array([1], dtype=int64), array([1], dtype=int64)]}",,0.0,0
