reward,agent,experience_bonus,reward_game,counter_changes,representation,changes_penalty,entropy_map,piece_penalty,reward_experience_bonus,discount_rewards,is_done_success,rewards_sum,counter_done_max_changes,bonus_factor,done_penalty,segments,counter_done,entropy,historical,discount_reward,done_bonus,counter_done_interations
2.58,,1.0102,3.0,46,narrow-puzzle,,1.232181782437113,0,2.606316,-0.016030353721318516,True,-2.219999999999999,0,1.0,,[ 85 188 170  40  85 123],0,2.2516291673878226,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([172], dtype=int64), array([97], dtype=int64), array([123], dtype=int64), array([195], dtype=int64), array([69], dtype=int64), array([190], dtype=int64), array([172], dtype=int64), array([85], dtype=int64), array([85], dtype=int64), array([87], dtype=int64), array([42], dtype=int64), array([42], dtype=int64), array([174], dtype=int64), array([170], dtype=int64), array([172], dtype=int64), array([85], dtype=int64), array([259], dtype=int64), array([209], dtype=int64), array([85], dtype=int64), array([57], dtype=int64), array([85], dtype=int64), array([170], dtype=int64), array([203], dtype=int64), array([240], dtype=int64), array([170], dtype=int64), array([97], dtype=int64), array([275], dtype=int64), array([199], dtype=int64), array([97], dtype=int64), array([14], dtype=int64), array([19], dtype=int64), array([85], dtype=int64), array([173], dtype=int64), array([97], dtype=int64), array([97], dtype=int64), array([87], dtype=int64), array([228], dtype=int64), array([259], dtype=int64), array([42], dtype=int64), array([191], dtype=int64), array([123], dtype=int64), array([87], dtype=int64), array([183], dtype=int64), array([188], dtype=int64), array([170], dtype=int64), array([40], dtype=int64), array([85], dtype=int64), array([123], dtype=int64), array([85], dtype=int64)]}",,10.0,0
2.58,,1.0104,11.0,28,narrow-puzzle,,1.2406028749189046,0,2.606832,0.967500183822473,True,-0.22000000000000108,0,1.0,,[ 42 169  85 240 190 175],1,2.584962500721156,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([176], dtype=int64), array([123], dtype=int64), array([76], dtype=int64), array([85], dtype=int64), array([97], dtype=int64), array([40], dtype=int64), array([172], dtype=int64), array([123], dtype=int64), array([85], dtype=int64), array([256], dtype=int64), array([188], dtype=int64), array([212], dtype=int64), array([85], dtype=int64), array([191], dtype=int64), array([57], dtype=int64), array([168], dtype=int64), array([85], dtype=int64), array([170], dtype=int64), array([250], dtype=int64), array([190], dtype=int64), array([204], dtype=int64), array([124], dtype=int64), array([20], dtype=int64), array([175], dtype=int64), array([42], dtype=int64), array([169], dtype=int64), array([85], dtype=int64), array([240], dtype=int64), array([190], dtype=int64)]}",,50.0,0
2.58,,1.0106,6.0,14,narrow-puzzle,,1.2411928345284469,0,2.607348,1.7941262526160915,True,1.28,0,2.0873770280289223,,[187  85 188  31 170 174],2,2.584962500721156,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([206], dtype=int64), array([116], dtype=int64), array([183], dtype=int64), array([211], dtype=int64), array([85], dtype=int64), array([170], dtype=int64), array([274], dtype=int64), array([62], dtype=int64), array([188], dtype=int64), array([31], dtype=int64), array([170], dtype=int64), array([174], dtype=int64), array([187], dtype=int64), array([85], dtype=int64)]}",,50.0,0
2.58,,1.0108,3.0,24,narrow-puzzle,,1.2556516925365386,0,2.6078639999999997,1.2340374526882718,True,0.27999999999999936,1,1.0,,[235  85 130 199  85 154],3,2.2516291673878226,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([169], dtype=int64), array([121], dtype=int64), array([42], dtype=int64), array([188], dtype=int64), array([190], dtype=int64), array([259], dtype=int64), array([40], dtype=int64), array([183], dtype=int64), array([210], dtype=int64), array([190], dtype=int64), array([174], dtype=int64), array([126], dtype=int64), array([42], dtype=int64), array([230], dtype=int64), array([40], dtype=int64), array([193], dtype=int64), array([257], dtype=int64), array([183], dtype=int64), array([235], dtype=int64), array([85], dtype=int64), array([130], dtype=int64), array([199], dtype=int64), array([85], dtype=int64), array([154], dtype=int64)]}",,10.0,0
2.58,,1.011,12.0,17,narrow-puzzle,,1.1985478192076735,0,2.60838,1.62220368958941,True,0.9799999999999998,3,1.8942637868358374,,[ 97 188 190  85 170 203],4,2.584962500721156,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([257], dtype=int64), array([97], dtype=int64), array([272], dtype=int64), array([42], dtype=int64), array([52], dtype=int64), array([85], dtype=int64), array([85], dtype=int64), array([57], dtype=int64), array([230], dtype=int64), array([199], dtype=int64), array([235], dtype=int64), array([203], dtype=int64), array([97], dtype=int64), array([188], dtype=int64), array([190], dtype=int64), array([85], dtype=int64), array([170], dtype=int64)]}",,50.0,0
2.58,,1.0112,12.0,10,narrow-puzzle,,1.242818166723722,0,2.6088960000000005,1.9106526150924463,True,1.4800000000000002,3,2.469817807045694,,[ 87 236  85 188  85  97],5,2.2516291673878226,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([85], dtype=int64), array([188], dtype=int64), array([85], dtype=int64), array([188], dtype=int64), array([188], dtype=int64), array([188], dtype=int64), array([87], dtype=int64), array([236], dtype=int64), array([85], dtype=int64), array([188], dtype=int64), array([85], dtype=int64), array([97], dtype=int64)]}",,10.0,0
2.58,,1.0114,6.0,9,narrow-puzzle,,1.2527574661875744,0,2.6094120000000003,2.088366962842194,True,1.7800000000000002,3,2.6034165586355513,,[ 70 188 297 170  31  97],6,2.584962500721156,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([85], dtype=int64), array([85], dtype=int64), array([170], dtype=int64), array([170], dtype=int64), array([31], dtype=int64), array([97], dtype=int64), array([70], dtype=int64), array([188], dtype=int64), array([297], dtype=int64)]}",,50.0,0
2.58,,1.0116,3.0,14,narrow-puzzle,,1.2239795491416197,0,2.609928,1.7941262526160915,True,1.28,3,2.0873770280289223,,[246  31 274 188 172  98],7,2.584962500721156,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([188], dtype=int64), array([128], dtype=int64), array([172], dtype=int64), array([240], dtype=int64), array([170], dtype=int64), array([170], dtype=int64), array([85], dtype=int64), array([97], dtype=int64), array([274], dtype=int64), array([188], dtype=int64), array([172], dtype=int64), array([98], dtype=int64), array([246], dtype=int64), array([31], dtype=int64)]}",,50.0,0
2.58,,1.0118,6.0,42,narrow-puzzle,,1.2210051134467907,0,2.610444,0.31382620280302304,True,-1.5200000000000014,3,1.0,,[ 85  85 130 188  97  85],8,1.7924812503605778,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([69], dtype=int64), array([190], dtype=int64), array([205], dtype=int64), array([205], dtype=int64), array([188], dtype=int64), array([170], dtype=int64), array([214], dtype=int64), array([172], dtype=int64), array([188], dtype=int64), array([183], dtype=int64), array([172], dtype=int64), array([232], dtype=int64), array([58], dtype=int64), array([170], dtype=int64), array([123], dtype=int64), array([97], dtype=int64), array([274], dtype=int64), array([74], dtype=int64), array([196], dtype=int64), array([42], dtype=int64), array([42], dtype=int64), array([210], dtype=int64), array([188], dtype=int64), array([199], dtype=int64), array([170], dtype=int64), array([97], dtype=int64), array([85], dtype=int64), array([77], dtype=int64), array([69], dtype=int64), array([240], dtype=int64), array([138], dtype=int64), array([40], dtype=int64), array([42], dtype=int64), array([274], dtype=int64), array([259], dtype=int64), array([170], dtype=int64), array([85], dtype=int64), array([85], dtype=int64), array([130], dtype=int64), array([188], dtype=int64), array([97], dtype=int64), array([85], dtype=int64)]}",,0.0,0
2.58,,1.012,9.0,31,narrow-puzzle,,1.239804533462056,0,2.61096,0.8633019669279924,True,-0.42000000000000126,3,1.0,,[123 169  40   5  85  49],9,2.584962500721156,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([42], dtype=int64), array([97], dtype=int64), array([32], dtype=int64), array([188], dtype=int64), array([42], dtype=int64), array([188], dtype=int64), array([188], dtype=int64), array([188], dtype=int64), array([193], dtype=int64), array([49], dtype=int64), array([253], dtype=int64), array([138], dtype=int64), array([124], dtype=int64), array([6], dtype=int64), array([85], dtype=int64), array([170], dtype=int64), array([42], dtype=int64), array([57], dtype=int64), array([240], dtype=int64), array([85], dtype=int64), array([42], dtype=int64), array([97], dtype=int64), array([97], dtype=int64), array([126], dtype=int64), array([170], dtype=int64), array([169], dtype=int64), array([40], dtype=int64), array([5], dtype=int64), array([85], dtype=int64), array([49], dtype=int64), array([123], dtype=int64)]}",,50.0,0
2.58,,1.0122,6.0,46,narrow-puzzle,,1.223403060628072,0,2.611476,0.07670326014617262,True,-2.0199999999999996,3,1.0,,[ 85  97 256  42  85  85],10,1.7924812503605778,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([62], dtype=int64), array([174], dtype=int64), array([97], dtype=int64), array([282], dtype=int64), array([188], dtype=int64), array([277], dtype=int64), array([97], dtype=int64), array([97], dtype=int64), array([188], dtype=int64), array([95], dtype=int64), array([123], dtype=int64), array([123], dtype=int64), array([85], dtype=int64), array([188], dtype=int64), array([85], dtype=int64), array([123], dtype=int64), array([31], dtype=int64), array([193], dtype=int64), array([97], dtype=int64), array([201], dtype=int64), array([170], dtype=int64), array([170], dtype=int64), array([190], dtype=int64), array([174], dtype=int64), array([97], dtype=int64), array([170], dtype=int64), array([195], dtype=int64), array([276], dtype=int64), array([232], dtype=int64), array([130], dtype=int64), array([188], dtype=int64), array([123], dtype=int64), array([69], dtype=int64), array([40], dtype=int64), array([277], dtype=int64), array([190], dtype=int64), array([48], dtype=int64), array([121], dtype=int64), array([62], dtype=int64), array([199], dtype=int64), array([188], dtype=int64), array([85], dtype=int64), array([85], dtype=int64), array([97], dtype=int64), array([256], dtype=int64), array([42], dtype=int64), array([85], dtype=int64)]}",,0.0,0
2.58,,1.0124,12.0,60,narrow-puzzle,,1.2105493173831057,0,2.611992,-0.5481938617426597,True,-3.4199999999999946,3,1.0,,[172  85  85  42 188  30],11,2.2516291673878226,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([85], dtype=int64), array([196], dtype=int64), array([123], dtype=int64), array([225], dtype=int64), array([85], dtype=int64), array([123], dtype=int64), array([188], dtype=int64), array([173], dtype=int64), array([172], dtype=int64), array([123], dtype=int64), array([35], dtype=int64), array([274], dtype=int64), array([97], dtype=int64), array([85], dtype=int64), array([190], dtype=int64), array([124], dtype=int64), array([172], dtype=int64), array([212], dtype=int64), array([38], dtype=int64), array([123], dtype=int64), array([188], dtype=int64), array([85], dtype=int64), array([50], dtype=int64), array([85], dtype=int64), array([42], dtype=int64), array([97], dtype=int64), array([27], dtype=int64), array([84], dtype=int64), array([190], dtype=int64), array([232], dtype=int64), array([190], dtype=int64), array([103], dtype=int64), array([188], dtype=int64), array([257], dtype=int64), array([167], dtype=int64), array([170], dtype=int64), array([85], dtype=int64), array([170], dtype=int64), array([5], dtype=int64), array([170], dtype=int64), array([170], dtype=int64), array([31], dtype=int64), array([170], dtype=int64), array([247], dtype=int64), array([125], dtype=int64), array([188], dtype=int64), array([123], dtype=int64), array([170], dtype=int64), array([126], dtype=int64), array([188], dtype=int64), array([85], dtype=int64), array([124], dtype=int64), array([49], dtype=int64), array([188], dtype=int64), array([170], dtype=int64), array([85], dtype=int64), array([85], dtype=int64), array([42], dtype=int64), array([188], dtype=int64), array([30], dtype=int64), array([172], dtype=int64)]}",,10.0,0
