#{"t_start": 1668469511.354258, "env_id": null}
r,l,t
-2.22,49,2.094568
-0.22,29,3.372491
1.28,14,4.087074
-6.3,63,6.528455
0.28,24,7.59128
-6.5,65,10.129061
-6.3,63,12.561275
0.98,17,13.410567
1.48,12,14.057379
1.78,9,14.594564
1.28,14,15.306155
-1.52,42,17.063241
-0.42,31,18.409618
-2.02,47,20.348894
-3.42,61,22.832379
-6.3,63,25.302838
-6.3,63,27.738178
-1.12,38,29.345502
-0.22,29,30.650743
-6.5,65,33.186545
0.18,25,34.320698
-6.3,63,36.746633
-6.4,64,39.247992
1.08,16,40.041143
1.18,15,40.793103
-6.3,63,43.293324
-6.3,63,45.776275
1.98,7,46.249381
-0.32,30,47.556739
-6.5,65,50.062217
0.18,25,51.183919
-6.2,62,53.619133
-2.02,47,55.590907
0.98,17,56.431058
-6.2,62,58.850732
0.98,17,59.684713
-6.2,62,62.087528
-2.32,50,64.097967
0.48,22,65.077357
2.08,6,65.511169
-6.3,63,67.927169
-0.22,29,69.233741
0.78,19,70.152559
-6.3,63,72.60563
-2.32,50,74.713815
-6.4,64,77.258022
0.88,18,78.125569
0.48,22,79.15271
-6.3,63,81.625382
-0.42,31,82.98346
-6.4,64,85.50047
-6.5,65,88.021461
-6.7,67,90.637482
1.88,8,91.121464
-6.1,61,93.587159
-2.12,48,95.534409
-6.3,63,98.001763
-6.3,63,100.541131
-6.2,62,103.082166
0.08,26,104.231226
-6.4,64,106.717001
-6.5,65,109.273796
-1.02,37,110.869792
-1.02,37,112.448854
-3.02,57,114.765185
-3.02,57,117.101255
1.08,16,117.881882
-6.7,67,120.471545
0.98,17,121.328616
-6.3,63,123.786054
-0.72,34,125.245261
-0.22,29,126.502789
-0.72,34,127.976132
-6.5,65,130.578607
-6.3,63,133.00681
-0.72,34,134.479409
-2.62,53,136.663897
-0.32,30,137.992468
-1.02,37,139.54248
-6.4,64,142.021577
1.28,14,142.745234
1.78,9,143.292954
-6.2,62,145.719789
0.98,17,146.574279
-1.72,44,148.435802
-6.3,63,150.902274
1.58,11,151.517748
-6.1,61,153.932706
-6.3,63,156.393109
-6.3,63,158.866681
-1.62,43,160.67857
0.48,22,161.754312
-6.5,65,164.279698
-6.2,62,166.770474
1.58,11,167.397961
-0.82,35,168.865196
-0.02,27,170.077256
1.58,11,170.699967
-1.92,46,172.62817
-6.2,62,175.069749
-0.12,28,176.29957
1.68,10,176.878434
0.08,26,178.046905
-2.02,47,179.976194
-1.42,41,181.717011
1.78,9,182.266588
-6.3,63,184.729441
1.88,8,185.257414
-2.42,51,187.412982
-6.3,63,189.883136
-6.2,62,192.28983
-6.4,64,194.832361
-6.2,62,197.265215
-1.42,41,199.022798
-6.4,64,201.510383
-6.5,65,204.073405
-6.4,64,206.586262
-2.12,48,208.568631
0.68,20,209.523705
-3.12,58,211.909338
0.58,21,212.905228
1.88,8,213.416665
-2.62,53,215.600842
-0.12,28,216.834262
0.98,17,217.671061
-6.4,64,220.150349
0.78,19,221.103415
-6.4,64,223.590272
-2.12,48,225.576541
1.08,16,226.364343
-0.32,30,227.755713
-6.3,63,230.287948
0.98,17,231.128768
-6.3,63,233.555334
-0.12,28,234.781244
0.88,18,235.652847
-0.12,28,236.889171
-6.5,65,239.421087
-0.52,32,240.834103
-2.22,49,242.869341
-2.52,52,245.04576
0.98,17,245.899419
-6.2,62,248.333998
-2.12,48,250.313128
2.08,6,250.72913
-6.5,65,253.265012
-6.5,65,255.793141
1.28,14,256.522744
-6.8,68,259.150675
-6.4,64,261.665168
-6.6,66,264.26208
1.38,13,264.936748
-1.62,43,266.727163
1.78,9,267.2784
-3.42,61,269.76625
-6.4,64,272.255511
1.68,10,272.833932
-6.2,62,275.274273
-6.1,61,277.669958
