segments,segments
0,3
1,8
2,39
3,1
4,1
6,21
7,4
8,1
9,47
10,5
11,29
12,3
14,1
16,1
17,15
18,2
20,1
21,22
22,56
23,5
25,1
27,2
31,2
32,43
33,822
35,65
36,5
37,9
38,9
39,1
40,1
41,1
45,1
46,3
47,90
49,16
50,51
52,6
54,1
55,6
56,2
57,152
60,1
65,67
67,1
69,1
71,22
73,2
74,1
76,16
77,27
78,2
80,12
85,46
87,119
88,64
89,1
90,1
91,3
92,121
93,13
94,17
95,28
96,2
98,1
99,10
101,12
103,1
104,4
105,9
106,22
108,2
109,5
110,1
111,1
112,1
115,615
116,7
117,11
119,1519
120,5
121,14
122,47
123,1
124,5
126,1
127,11
128,86
132,9
137,2
138,647
139,10
140,33
141,1
142,1
145,23
147,17
149,1
