reward_game,rewards_sum,counter_done_interations,reward_experience_bonus,entropy,experience_bonus,done_penalty,agent,counter_done,representation,historical,discount_rewards,entropy_map,is_done_success,counter_done_max_changes,changes_penalty,reward,counter_changes,done_bonus,bonus_factor,piece_penalty,segments,discount_reward
4.0,5.244660805685807,0,8.631816345903804,3.0,1.0102,,,0,narrow-puzzle,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([1], dtype=int64), array([1], dtype=int64), array([46], dtype=int64), array([3], dtype=int64), array([28], dtype=int64), array([52], dtype=int64), array([12], dtype=int64), array([28], dtype=int64), array([29], dtype=int64), array([9], dtype=int64), array([12], dtype=int64), array([14], dtype=int64), array([28], dtype=int64), array([69], dtype=int64), array([29], dtype=int64), array([17], dtype=int64), array([36], dtype=int64), array([40], dtype=int64), array([54], dtype=int64), array([34], dtype=int64), array([6], dtype=int64), array([55], dtype=int64), array([68], dtype=int64), array([56], dtype=int64), array([28], dtype=int64), array([68], dtype=int64), array([46], dtype=int64), array([28], dtype=int64), array([52], dtype=int64), array([36], dtype=int64), array([23], dtype=int64), array([41], dtype=int64), array([1], dtype=int64), array([35], dtype=int64)]}",5.787330063340498,1.041891890554042,True,0,,8.544660805685808,33,50.0,1.0,0,[ 1 35 46 28 52 36 23 41],
3.0,7.044660805685808,0,8.63352527806494,3.0,1.0104,,,1,narrow-puzzle,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([46], dtype=int64), array([12], dtype=int64), array([24], dtype=int64), array([1], dtype=int64), array([46], dtype=int64), array([35], dtype=int64), array([28], dtype=int64), array([28], dtype=int64), array([28], dtype=int64), array([38], dtype=int64), array([23], dtype=int64), array([14], dtype=int64), array([9], dtype=int64), array([34], dtype=int64), array([1], dtype=int64), array([15], dtype=int64)]}",7.216657814787935,1.029457066273873,True,0,,8.544660805685808,16,50.0,3.3541019662496843,0,[28 38 23 14  9 34  1 15],
3.0,6.844660805685808,0,8.635234210226077,3.0,1.0106,,,2,narrow-puzzle,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([1], dtype=int64), array([7], dtype=int64), array([3], dtype=int64), array([35], dtype=int64), array([41], dtype=int64), array([75], dtype=int64), array([4], dtype=int64), array([34], dtype=int64), array([73], dtype=int64), array([9], dtype=int64), array([6], dtype=int64), array([37], dtype=int64), array([28], dtype=int64), array([12], dtype=int64), array([1], dtype=int64), array([47], dtype=int64), array([3], dtype=int64), array([23], dtype=int64)]}",7.049367566205181,1.029457066273873,True,0,,8.544660805685808,18,50.0,3.162277660168379,0,[ 3 23  6 37 28 12  1 47],
3.0,-0.8000000000000005,0,1.0108,2.75,1.0108,,,3,narrow-puzzle,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([12], dtype=int64), array([35], dtype=int64), array([9], dtype=int64), array([36], dtype=int64), array([0], dtype=int64), array([41], dtype=int64), array([63], dtype=int64), array([2], dtype=int64), array([41], dtype=int64), array([7], dtype=int64), array([15], dtype=int64), array([41], dtype=int64), array([12], dtype=int64), array([12], dtype=int64), array([35], dtype=int64), array([28], dtype=int64), array([46], dtype=int64), array([7], dtype=int64), array([55], dtype=int64)]}",0.06392177793971517,1.0301764888081681,True,0,,1.0,18,10.0,3.162277660168379,0,[46  7 55 41 12 12 35 28],
7.0,5.144660805685806,0,8.638652074548352,3.0,1.011,,,4,narrow-puzzle,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([1], dtype=int64), array([35], dtype=int64), array([34], dtype=int64), array([28], dtype=int64), array([9], dtype=int64), array([46], dtype=int64), array([2], dtype=int64), array([54], dtype=int64), array([9], dtype=int64), array([28], dtype=int64), array([40], dtype=int64), array([3], dtype=int64), array([60], dtype=int64), array([15], dtype=int64), array([47], dtype=int64), array([28], dtype=int64), array([51], dtype=int64), array([75], dtype=int64), array([28], dtype=int64), array([43], dtype=int64), array([15], dtype=int64), array([28], dtype=int64), array([15], dtype=int64), array([41], dtype=int64), array([41], dtype=int64), array([28], dtype=int64), array([29], dtype=int64), array([43], dtype=int64), array([28], dtype=int64), array([14], dtype=int64), array([54], dtype=int64), array([6], dtype=int64), array([36], dtype=int64), array([15], dtype=int64), array([12], dtype=int64)]}",5.712748306792201,1.030578641875804,True,0,,8.544660805685808,34,50.0,1.0,0,[36 15 12 43 28 14 54  6],
3.0,-0.9000000000000006,0,1.0112,2.75,1.0112,,,5,narrow-puzzle,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([28], dtype=int64), array([9], dtype=int64), array([28], dtype=int64), array([35], dtype=int64), array([34], dtype=int64), array([38], dtype=int64), array([9], dtype=int64), array([23], dtype=int64), array([33], dtype=int64), array([33], dtype=int64), array([12], dtype=int64), array([28], dtype=int64), array([28], dtype=int64), array([75], dtype=int64), array([3], dtype=int64), array([9], dtype=int64), array([47], dtype=int64), array([9], dtype=int64), array([15], dtype=int64), array([69], dtype=int64)]}",0.015118432152302103,1.0421553822651266,True,0,,1.0,20,10.0,3.0,0,[47  9 15 69 28 75  3  9],
6.0,-1.8000000000000012,0,1.0114,2.75,1.0114,,,6,narrow-puzzle,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([3], dtype=int64), array([23], dtype=int64), array([3], dtype=int64), array([39], dtype=int64), array([34], dtype=int64), array([9], dtype=int64), array([2], dtype=int64), array([46], dtype=int64), array([9], dtype=int64), array([3], dtype=int64), array([15], dtype=int64), array([15], dtype=int64), array([9], dtype=int64), array([36], dtype=int64), array([57], dtype=int64), array([35], dtype=int64), array([26], dtype=int64), array([23], dtype=int64), array([28], dtype=int64), array([47], dtype=int64), array([27], dtype=int64), array([35], dtype=int64), array([28], dtype=int64), array([41], dtype=int64), array([12], dtype=int64), array([15], dtype=int64), array([12], dtype=int64), array([9], dtype=int64), array([52], dtype=int64)]}",-0.40997599188813877,1.0309188666379003,True,0,,1.0,29,10.0,1.0,0,[12 15 12  9 52 35 28 41],
0.0,7.844660805685808,0,8.643778871031763,3.0,1.0116,,,7,narrow-puzzle,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([28], dtype=int64), array([63], dtype=int64), array([1], dtype=int64), array([14], dtype=int64), array([34], dtype=int64), array([36], dtype=int64), array([6], dtype=int64), array([7], dtype=int64)]}",7.908417965922883,1.030578641875804,True,0,,8.544660805685808,8,50.0,4.743416490252569,0,[28 63  1 14 34 36  6  7],
3.0,0.10000000000000009,0,1.0118,2.75,1.0118,,,8,narrow-puzzle,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([23], dtype=int64), array([28], dtype=int64), array([15], dtype=int64), array([68], dtype=int64), array([12], dtype=int64), array([15], dtype=int64), array([41], dtype=int64), array([28], dtype=int64), array([36], dtype=int64), array([9], dtype=int64)]}",0.5179717490315061,1.0314986714773284,True,0,,1.0,10,10.0,4.242640687119285,0,[36  9 15 68 12 15 41 28],
4.0,-8.310051650250491,0,-7.296572270053498,2.5,1.012,,,9,narrow-puzzle,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -7.210051650250492], 'action': [array([35], dtype=int64), array([41], dtype=int64), array([9], dtype=int64), array([55], dtype=int64), array([40], dtype=int64), array([75], dtype=int64), array([41], dtype=int64), array([75], dtype=int64), array([3], dtype=int64), array([9], dtype=int64), array([28], dtype=int64), array([41], dtype=int64)]}",-7.358497169481967,1.041891890554042,True,0,,-7.210051650250492,12,0.0,3.8729833462074175,0,[ 3  9 28 41 40 75 41 75],
