#{"t_start": 1668916942.4905503, "env_id": null}
r,l,t
7.844661,8,0.733075
1.744661,69,4.043033
1.644661,70,7.499902
6.344661,23,8.775361
-8.855339,175,16.914283
5.844661,28,18.453323
6.944661,17,19.477554
-19.0,190,28.309041
-18.8,188,36.852027
5.344661,33,38.598051
-5.855339,145,45.429845
5.944661,27,46.903233
7.344661,13,47.754869
-2.955339,116,53.410417
-1.7,28,54.919624
7.844661,8,55.612065
2.144661,65,58.868166
7.444661,12,59.690696
-1.155339,98,64.380026
-19.0,190,73.14501
7.544661,11,73.89249
-9.6,107,79.00665
3.444661,52,81.615241
-5.655339,143,88.286032
-11.2,123,94.100013
3.344661,53,96.751894
-18.5,185,105.102597
-16.4,175,113.333304
7.744661,9,113.999574
3.244661,54,116.707187
-5.155339,138,123.308353
1.444661,72,126.78261
1.244661,74,130.334398
0.044661,86,134.511323
-18.4,184,143.013437
7.744661,9,143.685195
3.144661,55,146.423741
-0.4,15,147.363931
0.644661,80,151.209157
-0.1,12,152.016473
-3.2,43,154.247258
4.544661,41,156.283558
7.844661,8,156.908215
-0.655339,93,161.38351
-2.7,38,163.397816
-8.2,93,167.822752
5.644661,30,169.454865
4.144661,45,171.746724
-0.2,13,172.583706
-18.4,184,181.086844
-8.8,99,185.865332
-1.955339,106,190.9025
6.544661,21,192.103097
-0.5,16,193.081283
-4.655339,133,199.317268
1.244661,74,202.946682
7.344661,13,203.796932
-0.355339,90,208.135787
6.544661,21,209.379884
-15.2,163,216.964184
-5.055339,137,223.474802
6.544661,21,224.698102
-18.4,184,233.242198
-2.6,37,235.216492
7.344661,13,236.081688
7.344661,13,236.963365
-5.8,69,240.317879
-8.555339,172,248.413912
-0.255339,89,252.716481
-18.6,186,261.366847
-8.3,94,265.846739
7.444661,12,266.644865
-3.355339,120,272.336554
-6.155339,148,279.463216
7.144661,15,280.431205
-5.9,70,283.846971
-18.3,183,292.335621
-8.055339,167,300.192653
-18.8,188,308.746188
7.444661,12,309.612079
4.844661,38,311.629869
0.544661,81,315.508786
-4.9,60,318.448059
4.844661,38,320.450361
-11.6,127,326.330332
7.344661,13,327.180319
3.444661,52,329.76751
0.1,10,330.489612
4.244661,44,332.71807
-2.655339,113,338.067026
4.244661,44,340.321916
4.244661,44,342.57011
-3.355339,120,348.180923
3.444661,52,350.794164
5.244661,34,352.620511
-0.2,13,353.478125
-2.055339,107,358.529624
7.644661,10,359.241975
5.644661,30,360.854485
0.944661,77,364.660879
-0.455339,91,369.036435
6.444661,22,370.295815
4.544661,41,372.382161
-9.855339,185,380.965828
2.344661,63,384.096368
7.444661,12,384.913802
-7.355339,160,392.368457
-5.455339,141,398.948967
-8.255339,169,406.857698
-4.3,54,409.49074
-0.855339,95,413.977755
2.044661,66,417.153614
3.044661,56,419.895052
0.144661,85,423.881582
1.244661,74,427.451357
4.844661,38,429.397317
-0.4,15,430.32708
0.0,11,431.069735
5.044661,36,432.890311
-18.3,183,441.148751
-18.5,185,449.458297
0.744661,79,453.293679
0.844661,78,457.042316
7.844661,8,457.663674
7.844661,8,458.29006
3.244661,54,461.0261
6.644661,20,462.219436
3.044661,56,465.048058
6.444661,22,466.303773
3.844661,48,468.718428
-18.3,183,477.271755
-0.555339,92,481.661083
-5.2,63,484.793986
-18.8,188,493.555219
-18.7,187,502.187878
6.244661,24,503.544068
2.344661,63,506.629139
2.944661,57,509.454186
-6.1,72,512.98384
-18.6,186,521.585089
-15.910052,88,525.864884
1.344661,73,529.485379
-18.6,186,538.164286
-18.6,186,546.715239
-4.6,57,549.53985
2.844661,58,552.440347
6.144661,25,553.826646
1.144661,75,557.529592
-7.155339,158,564.964456
-1.3,24,566.300923
-1.355339,100,571.110047
0.244661,84,575.116139
3.144661,55,577.802817
2.844661,58,580.665891
2.744661,59,583.601551
-4.955339,136,590.000342
7.544661,11,590.775161
-18.6,186,599.374758
1.744661,69,602.708035
-3.555339,122,608.457974
-1.4,25,609.89051
-7.255339,159,617.303187
-2.1,32,618.996649
-5.755339,144,625.829048
2.944661,57,628.633179
-0.155339,88,632.817094
-9.655339,183,641.403957
-0.8,19,642.512375
2.044661,66,645.749529
-2.055339,107,650.850127
-8.455339,171,658.766646
-18.4,184,667.158874
7.844661,8,667.800424
7.144661,15,668.775039
6.944661,17,669.782814
-0.6,17,670.813766
-7.555339,162,678.343931
2.844661,58,681.264445
6.944661,17,682.316937
0.244661,84,686.382952
7.844661,8,687.006225
-6.1,72,690.474915
-2.255339,109,695.595413
-18.7,187,704.077852
-18.7,187,712.674208
-18.2,182,721.020797
-0.255339,89,725.263534
5.344661,33,727.007534
3.144661,55,729.779872
7.644661,10,730.528883
6.344661,23,731.808158
-18.8,188,740.389329
3.844661,48,742.865881
6.844661,18,743.944223
-1.6,27,745.377102
-4.755339,134,751.747946
-18.3,183,760.128899
7.544661,11,760.871714
-2.055339,107,765.886942
-0.955339,96,770.542153
7.744661,9,771.214346
-5.6,67,774.507976
3.244661,54,777.224418
0.944661,77,780.94251
-4.955339,136,787.369405
1.444661,72,790.912024
-18.8,188,799.51452
-18.7,187,808.134648
-3.0,41,810.237945
0.944661,77,813.973711
-6.8,79,817.84007
-18.2,182,826.304265
6.244661,24,827.680195
-5.0,61,830.678606
1.844661,68,834.022701
-18.7,187,842.569267
1.744661,69,845.939074
-3.6,47,848.324008
5.044661,36,850.22703
-3.255339,119,855.879886
2.444661,62,858.942948
0.544661,81,862.862573
7.344661,13,863.697499
-6.6,77,867.431172
-1.455339,101,872.287944
-2.0,31,873.923461
4.344661,43,876.089567
7.144661,15,877.015139
0.2,9,877.689057
6.144661,25,879.102234
-18.4,184,887.514719
7.544661,11,888.291223
-18.5,185,896.793433
6.244661,24,898.156337
-3.555339,122,903.905826
-18.9,189,912.461753
0.744661,79,916.325188
-18.3,183,924.713341
0.0,11,925.488795
5.844661,28,927.017861
-6.0,71,930.50973
-18.3,183,939.041748
-3.655339,123,944.824356
1.344661,73,948.470377
-18.4,184,957.088845
-18.4,184,965.714379
4.944661,37,967.681864
-4.6,57,970.494145
-8.5,96,975.124366
-18.5,185,983.675679
-12.0,131,989.905427
-17.0,181,998.324949
2.444661,62,1001.379841
0.844661,78,1005.121511
3.244661,54,1007.763081
-18.5,185,1016.216819
2.644661,60,1019.186398
-18.7,187,1027.740345
-0.855339,95,1032.269404
6.644661,20,1033.438527
6.344661,23,1034.744896
-1.6,27,1036.174234
4.744661,39,1038.226166
-19.0,190,1046.902203
-18.7,187,1055.532839
6.344661,23,1056.839163
6.644661,20,1058.021449
-5.955339,146,1064.946256
-1.855339,105,1069.965979
2.744661,59,1072.902663
3.744661,49,1075.325358
-18.8,188,1083.888412
1.144661,75,1087.455764
-6.655339,153,1094.606217
3.544661,51,1097.233655
-4.055339,127,1103.184752
-0.855339,95,1107.76769
6.044661,26,1109.211668
5.944661,27,1110.675796
1.044661,76,1114.355216
-11.0,121,1120.105387
-12.0,131,1126.220263
0.644661,80,1130.098344
1.244661,74,1133.677473
-18.7,187,1142.172963
-11.010052,39,1144.191384
6.044661,26,1145.618913
2.444661,62,1148.644566
3.344661,53,1151.293195
-2.955339,116,1156.837212
-18.6,186,1165.301478
-18.4,184,1173.871471
1.144661,75,1177.506568
0.444661,82,1181.388239
-2.0,31,1183.071795
2.144661,65,1186.326428
0.344661,83,1190.298516
-9.1,102,1195.17844
6.644661,20,1196.351679
-0.755339,94,1200.854259
2.944661,57,1203.669885
6.544661,21,1204.865682
6.344661,23,1206.183542
-18.2,182,1214.522745
7.644661,10,1215.242458
2.744661,59,1218.174669
-7.655339,163,1225.76714
2.344661,63,1228.840915
-11.1,122,1234.502167
-5.355339,140,1241.065953
7.044661,16,1242.057138
-1.355339,100,1246.849299
-3.655339,123,1252.619903
2.144661,65,1255.767422
-19.1,191,1264.540618
-6.855339,155,1271.665202
6.344661,23,1272.965451
-2.055339,107,1278.023811
0.2,9,1278.719649
-1.555339,102,1283.551341
4.844661,38,1285.5633
7.544661,11,1286.291675
7.844661,8,1286.903362
-2.555339,112,1292.215863
6.344661,23,1293.568045
-2.955339,116,1298.999128
-9.9,110,1304.259764
3.644661,50,1306.766804
6.644661,20,1307.986327
4.244661,44,1310.223099
3.644661,50,1312.753897
3.044661,56,1315.590413
0.644661,80,1319.404404
-8.955339,176,1327.789264
5.144661,35,1329.653344
7.644661,10,1330.366966
0.344661,83,1334.431105
-10.4,115,1339.931236
0.1,10,1340.662442
2.844661,58,1343.47648
7.644661,10,1344.194092
-17.2,183,1352.8409
4.044661,46,1355.188027
5.644661,30,1356.781352
-19.23546,101,1361.586378
-13.9,150,1368.774432
-6.5,76,1372.411004
-0.655339,93,1376.899838
2.244661,64,1380.064636
-17.8,189,1388.887948
1.344661,73,1392.474273
-18.3,183,1400.949344
-5.355339,140,1407.516554
6.444661,22,1408.771316
4.344661,43,1410.980793
-5.0,61,1413.966619
-17.3,184,1422.482392
-3.955339,126,1428.546509
2.344661,63,1431.548541
5.744661,29,1433.141008
1.244661,74,1436.729548
-5.8,69,1440.119747
-2.1,32,1441.873008
4.344661,43,1444.147253
-0.5,16,1445.128624
6.944661,17,1446.163553
2.844661,58,1449.005269
-18.8,188,1457.591003
-1.4,25,1458.982184
7.244661,14,1459.879711
3.044661,56,1462.673866
-7.4,85,1466.756701
6.444661,22,1467.979271
5.444661,32,1469.714257
-10.7,118,1475.278716
-18.8,188,1483.91996
6.144661,25,1485.328967
0.3,8,1485.951651
-0.3,14,1486.846855
6.544661,21,1488.096271
-18.3,183,1496.561683
3.344661,53,1499.226998
-4.055339,127,1505.214704
-10.6,117,1510.762043
-6.455339,151,1517.904636
4.144661,45,1520.177027
7.544661,11,1520.938665
-4.555339,132,1527.11396
-13.4,145,1533.893695
4.444661,42,1536.088587
-1.155339,98,1540.739568
-8.7,98,1545.429995
4.244661,44,1547.744585
-4.355339,130,1553.96734
7.844661,8,1554.587177
7.844661,8,1555.233589
-0.4,15,1556.211777
-2.755339,114,1561.714896
-4.355339,130,1567.91397
6.444661,22,1569.211566
-11.1,122,1575.066042
1.144661,75,1578.782876
-0.855339,95,1583.428162
7.444661,12,1584.230756
4.744661,39,1586.230922
-18.4,184,1594.729749
7.844661,8,1595.366641
-14.53546,54,1598.053387
-2.055339,107,1603.23406
-10.0,111,1608.546394
3.544661,51,1611.135623
-6.8,79,1614.89525
-0.255339,89,1619.106463
-3.855339,125,1624.962529
-1.455339,101,1629.733478
6.944661,17,1630.769984
-8.1,92,1635.183156
1.044661,76,1638.803509
-19.0,190,1647.470338
2.744661,59,1650.375029
-13.3,144,1657.168074
3.044661,56,1659.935959
7.444661,12,1660.716086
-0.7,18,1661.746915
-8.655339,173,1669.927202
-18.5,185,1678.536909
4.944661,37,1680.475798
-1.7,28,1682.036615
-19.0,190,1690.742625
5.744661,29,1692.296556
1.344661,73,1695.889157
-0.355339,90,1700.206901
0.1,10,1700.925888
3.644661,50,1703.434382
-2.4,35,1705.30917
3.344661,53,1707.979074
2.344661,63,1711.14362
-4.755339,134,1717.452277
2.844661,58,1720.312723
-18.5,185,1729.012994
1.144661,75,1732.652705
6.144661,25,1734.04997
-9.255339,179,1742.412373
-11.0,121,1748.183733
-7.255339,159,1755.688589
1.044661,76,1759.339742
-6.155339,148,1766.258041
6.444661,22,1767.558988
-18.7,187,1776.079041
-4.1,52,1778.728614
7.544661,11,1779.499704
-1.455339,101,1784.288867
2.844661,58,1787.222474
3.644661,50,1789.808691
0.044661,86,1793.934746
-0.855339,95,1798.444727
3.644661,50,1800.952171
-18.4,184,1809.382699
-4.555339,132,1815.610081
3.244661,54,1818.307568
3.344661,53,1820.91959
-7.9,90,1825.233219
6.844661,18,1826.345867
1.244661,74,1829.954941
-18.9,189,1838.714237
-18.5,185,1847.193019
-18.4,184,1855.812157
1.344661,73,1859.407917
0.0,11,1860.131267
-0.4,15,1861.074913
-4.855339,135,1867.445746
-8.9,100,1872.228419
2.544661,61,1875.24223
-4.455339,131,1881.392497
-5.0,61,1884.40996
2.044661,66,1887.690755
7.344661,13,1888.52656
2.744661,59,1891.451995
4.044661,46,1893.81528
7.144661,15,1894.772827
-1.9,30,1896.384557
7.344661,13,1897.240075
1.044661,76,1900.890874
-6.055339,147,1907.952799
6.144661,25,1909.340347
7.044661,16,1910.356516
-1.855339,105,1915.340437
0.244661,84,1919.381364
-6.155339,148,1926.377728
-3.955339,126,1932.379979
4.444661,42,1934.513282
3.844661,48,1936.968715
0.044661,86,1941.125897
-2.355339,110,1946.432255
5.544661,31,1948.078014
-0.855339,95,1952.599114
-0.755339,94,1957.089973
7.844661,8,1957.698421
-7.555339,162,1965.198385
-0.255339,89,1969.498942
-18.8,188,1978.048968
-7.6,87,1982.213515
-18.5,185,1990.844308
-1.455339,101,1995.666803
-5.1,62,1998.781298
5.244661,34,2000.574583
5.444661,32,2002.290257
0.0,11,2003.088399
0.3,8,2003.719907
