#{"t_start": 1683082024.5031343, "env_id": null}
r,l,t
7.444661,12,1.046926
-4.4,15,2.158509
0.1,10,2.957837
-6.1,12,4.011674
-7.910052,8,4.674505
-1.7,8,5.361636
-2.9,20,6.73134
7.844661,8,7.404744
-21.83546,27,9.177591
-16.923058,8,9.861672
-15.1,22,11.374049
-2.1,12,12.26944
-2.255339,29,14.153358
7.844661,8,14.886084
7.844661,8,15.565257
-10.010052,9,16.300396
-21.910052,28,18.129516
-1.7,8,18.794494
0.3,8,19.468939
-6.2,13,20.45153
-10.1,12,21.362563
-23.510052,24,22.971205
-2.0,11,23.819435
5.444661,12,24.722362
-8.9,40,27.25515
-2.1,12,28.142454
-23.610052,25,29.749053
-4.9,20,31.13384
3.544661,11,32.004719
0.2,9,32.749977
-6.2,13,33.702315
-3.7,8,34.388829
-3.7,8,35.071628
-3.8,9,35.870952
0.3,8,36.562755
-1.7,8,37.230825
-10.0,31,39.241665
7.844661,8,39.917834
-26.710052,36,42.237637
7.344661,13,43.228655
-0.4,15,44.280753
7.544661,11,45.155038
-11.910052,8,45.838251
-26.874642,8,46.515293
7.844661,8,47.180308
7.644661,10,47.983147
-9.3,24,49.607071
-9.910052,8,50.284224
-9.755339,44,53.023052
7.444661,12,53.929523
7.644661,10,54.70453
-3.355339,20,56.068952
0.3,8,56.766244
-8.6,17,57.98139
3.744661,9,58.715852
2.844661,18,59.980549
7.844661,8,60.670492
0.2,9,61.419273
7.844661,8,62.112365
7.744661,9,62.845953
7.744661,9,63.555839
-21.0,41,66.087891
-4.1,12,66.989457
-8.1,12,67.91468
-18.632015,9,68.670166
-9.910052,8,69.344437
-5.655339,23,70.890622
-12.610052,15,71.971577
-23.910052,28,73.79165
-28.03546,29,75.701075
-12.6,17,76.923012
-19.110052,20,78.279065
-6.7,18,79.529829
0.2,9,80.3075
-1.7,8,80.959317
-11.910052,8,81.641527
-13.910052,8,82.324134
-7.9,10,83.096274
-4.1,12,83.986427
7.844661,8,84.684576
7.344661,13,85.642608
0.3,8,86.325652
7.844661,8,87.01843
4.644661,20,88.401098
7.844661,8,89.068444
-17.93546,8,89.747774
-3.2,23,91.253557
-12.310052,32,93.302513
-12.810052,17,94.507045
-3.7,8,95.184588
0.3,8,95.869486
-14.923058,8,96.551789
-11.93546,8,97.234075
