Episodes,Scores,Average,Total Rewards
0,-13.455339194314199,-13.455339194314199,-13.455339194314199
1,3.84466080568581,-4.805339194314195,-9.610678388628397
2,-17.19999999999999,-8.93689279620946,-26.81067838862844
3,-7.899999999999997,-8.677669597157093,-34.71067838862845
4,-1.7000000000000002,-7.282135677725675,-36.41067838862846
5,-28.52305775186015,-10.822289356748087,-64.93373614048865
6,-29.135459868534014,-13.438456572717504,-94.06919600902255
7,7.644660805685808,-10.803066900417091,-86.42453520333669
8,-16.89999999999999,-11.480503911481858,-103.32453520333647
9,-3.855339194314187,-10.717987439765091,-107.17987439765052
10,2.04466080568581,-9.557746690178645,-105.13521359196457
11,-1.9000000000000004,-8.91960113266376,-107.03521359196452
12,0.30000000000000004,-8.210401045535777,-106.73521359196448
13,-11.999999999999996,-8.481086685140365,-118.73521359196431
14,0.20000000000000007,-7.902347572797674,-118.53521359196426
15,3.4446608056858086,-7.193159549142456,-115.0905527862784
16,-1.8000000000000003,-6.875914869781134,-116.89055278627835
17,0.30000000000000004,-6.477252932571072,-116.59055278627831
18,-17.93545986853401,-7.08031645551649,-134.5260126548123
19,-8.299999999999997,-7.141300632740666,-142.82601265481222
20,-13.155339194314202,-7.427683421387025,-155.9813518491262
21,-41.60000000000002,-8.980970538596706,-197.58135184912595
22,7.444660805685809,-8.266812654062685,-190.13669104344007
23,-1.7000000000000002,-7.993195460143405,-191.83669104344003
24,-2.400000000000001,-7.76946764173767,-194.23669104343995
25,-14.83545986853401,-8.041236573537528,-209.07215091197386
26,-5.999999999999998,-7.965635218962064,-215.0721509119738
27,3.544660805685809,-7.554553218081783,-211.52749010628793
28,-31.110051650250497,-8.366811784708291,-242.6375417565382
29,7.844660805685808,-7.8264293650284875,-234.79288095085235
30,-7.9999999999999964,-7.832028417769504,-242.79288095085218
31,-3.7553391943141783,-7.704631879536525,-246.5482201451661
32,3.24466080568581,-7.372835131499485,-243.30355933948022
33,-3.999999999999999,-7.273634098220088,-247.30355933948016
34,-19.755339194314203,-7.630254243822778,-267.0588985337955
35,-15.600000000000001,-7.851636070383257,-282.6588985337961
36,3.044660805685809,-7.557141560219228,-279.61423772811065
