reward_game,rewards_sum,counter_done_interations,reward_experience_bonus,entropy,experience_bonus,done_penalty,agent,counter_done,representation,historical,discount_rewards,entropy_map,is_done_success,counter_done_max_changes,changes_penalty,reward,counter_changes,done_bonus,bonus_factor,piece_penalty,segments,discount_reward
3.0,0.9556390622295663,0,2.177626580664308,2.1556390622295662,1.0102,,,0,narrow-puzzle,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.1556390622295662], 'action': [array([1], dtype=int64), array([1], dtype=int64), array([47], dtype=int64), array([3], dtype=int64), array([35], dtype=int64), array([49], dtype=int64), array([12], dtype=int64), array([35], dtype=int64), array([35], dtype=int64), array([12], dtype=int64), array([12], dtype=int64), array([15], dtype=int64), array([29], dtype=int64)]}",1.452386439505087,1.0314986714773284,True,0,,2.1556390622295662,13,0.0,3.721042037676254,0,[35 12 12 15 29 49 12 35],
0.0,1.8,0,2.526,2.5,1.0104,,,1,narrow-puzzle,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.5], 'action': [array([62], dtype=int64), array([35], dtype=int64), array([28], dtype=int64), array([41], dtype=int64), array([41], dtype=int64), array([49], dtype=int64), array([35], dtype=int64), array([9], dtype=int64)]}",2.071141495637484,1.0424033449693637,True,0,,2.5,8,0.0,4.743416490252569,0,[62 35 28 41 41 49 35  9],
3.0,1.3499999999999999,0,2.77915,2.75,1.0106,,,2,narrow-puzzle,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.75], 'action': [array([52], dtype=int64), array([60], dtype=int64), array([52], dtype=int64), array([35], dtype=int64), array([60], dtype=int64), array([47], dtype=int64), array([28], dtype=int64), array([49], dtype=int64), array([41], dtype=int64), array([28], dtype=int64), array([41], dtype=int64), array([1], dtype=int64), array([35], dtype=int64), array([47], dtype=int64), array([14], dtype=int64)]}",1.8950398554904744,1.029457066273873,True,0,,2.75,14,10.0,3.5856858280031805,0,[41 28 41  1 35 47 14 49],
3.0,0.8499999999999994,0,2.7796999999999996,2.75,1.0108,,,3,narrow-puzzle,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.75], 'action': [array([28], dtype=int64), array([1], dtype=int64), array([47], dtype=int64), array([36], dtype=int64), array([35], dtype=int64), array([28], dtype=int64), array([35], dtype=int64), array([41], dtype=int64), array([28], dtype=int64), array([15], dtype=int64), array([12], dtype=int64), array([35], dtype=int64), array([1], dtype=int64), array([27], dtype=int64), array([1], dtype=int64), array([12], dtype=int64), array([9], dtype=int64), array([35], dtype=int64), array([41], dtype=int64), array([67], dtype=int64)]}",1.6084327281765312,1.0309188666379003,True,0,,2.75,19,10.0,3.077935056255462,0,[ 9 35 41 67  1 27  1 12],
0.0,2.05,0,2.7802499999999997,2.75,1.011,,,4,narrow-puzzle,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.75], 'action': [array([9], dtype=int64), array([35], dtype=int64), array([62], dtype=int64), array([12], dtype=int64), array([12], dtype=int64), array([41], dtype=int64), array([28], dtype=int64), array([14], dtype=int64)]}",2.312564325550234,1.0314136431896277,True,0,,2.75,8,10.0,4.743416490252569,0,[ 9 35 62 12 12 41 28 14],
0.0,2.3,0,3.0336000000000003,3.0,1.0112,,,5,narrow-puzzle,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([1], dtype=int64), array([49], dtype=int64), array([9], dtype=int64), array([28], dtype=int64), array([14], dtype=int64), array([36], dtype=int64), array([12], dtype=int64), array([41], dtype=int64)]}",2.553987155462983,1.0314986714773284,True,0,,3.0,8,50.0,4.743416490252569,0,[ 1 49  9 28 14 36 12 41],
0.0,1.7056390622295663,0,2.4330633475389836,2.4056390622295662,1.0114,,,6,narrow-puzzle,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.4056390622295662], 'action': [array([1], dtype=int64), array([41], dtype=int64), array([60], dtype=int64), array([3], dtype=int64), array([41], dtype=int64), array([12], dtype=int64), array([28], dtype=int64), array([41], dtype=int64)]}",1.9800179571184482,1.0299521785287842,True,0,,2.4056390622295662,8,0.0,4.743416490252569,0,[ 1 41 60  3 41 12 28 41],
0.0,2.05,0,2.7819000000000003,2.75,1.0116,,,7,narrow-puzzle,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.75], 'action': [array([15], dtype=int64), array([15], dtype=int64), array([41], dtype=int64), array([28], dtype=int64), array([47], dtype=int64), array([12], dtype=int64), array([52], dtype=int64), array([1], dtype=int64)]}",2.312564325550234,1.0301764888081681,True,0,,2.75,8,10.0,4.743416490252569,0,[15 15 41 28 47 12 52  1],
0.0,2.05,0,2.78245,2.75,1.0118,,,8,narrow-puzzle,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.75], 'action': [array([36], dtype=int64), array([35], dtype=int64), array([28], dtype=int64), array([12], dtype=int64), array([47], dtype=int64), array([1], dtype=int64), array([49], dtype=int64), array([12], dtype=int64)]}",2.312564325550234,1.0316223430027769,True,0,,2.75,8,10.0,4.743416490252569,0,[36 35 28 12 47  1 49 12],
3.0,-0.050000000000001155,0,2.783,2.75,1.012,,,9,narrow-puzzle,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.75], 'action': [array([28], dtype=int64), array([41], dtype=int64), array([9], dtype=int64), array([52], dtype=int64), array([28], dtype=int64), array([49], dtype=int64), array([35], dtype=int64), array([49], dtype=int64), array([62], dtype=int64), array([28], dtype=int64), array([41], dtype=int64), array([28], dtype=int64), array([35], dtype=int64), array([28], dtype=int64), array([41], dtype=int64), array([41], dtype=int64), array([35], dtype=int64), array([35], dtype=int64), array([41], dtype=int64), array([35], dtype=int64), array([15], dtype=int64), array([49], dtype=int64), array([9], dtype=int64), array([41], dtype=int64), array([15], dtype=int64), array([12], dtype=int64), array([33], dtype=int64), array([12], dtype=int64), array([28], dtype=int64)]}",1.1157096457660198,1.0310657652773902,True,0,,2.75,27,10.0,1.0,0,[15 12 33 12 28 49  9 41],
