segments,segments
0,5
1,1
2,6
3,4
4,4
5,66
6,29
7,1
9,11
10,2
11,7
12,5
13,4
15,125
16,2
17,18
18,3
19,1
20,7
21,4
22,389
23,45
24,3
26,817
27,18
28,8
29,11
30,382
31,57
32,2
33,50
35,26
37,5
38,1
39,2
40,3
43,5
46,5
47,286
48,1
49,3
50,1
52,123
54,3
55,22
56,2
58,3
59,3
61,23
64,42
65,1
66,2
67,1
68,2
70,5
71,2
72,4
73,13
74,334
75,1
76,2
77,5
79,3
81,6
82,3
83,25
84,61
85,2177
86,126
88,128
89,32
90,75
91,263
92,1
93,6
95,4
96,4
97,2
98,8
99,1
100,115
101,5
102,6
103,7
105,3
106,4
107,4
108,5
109,2
112,161
113,36
115,17
116,22
117,1
118,67
119,172
120,327
121,4
123,17
124,285
126,1
127,6
128,52
130,2
131,2
132,36
133,3
134,3
135,9
137,15
138,8
139,108
140,13
142,7
145,3
148,16
149,1
