reward_game,rewards_sum,counter_done_interations,reward_experience_bonus,entropy,experience_bonus,done_penalty,agent,counter_done,representation,historical,discount_rewards,entropy_map,is_done_success,counter_done_max_changes,changes_penalty,reward,counter_changes,done_bonus,bonus_factor,piece_penalty,segments,discount_reward
3.0,-3.3999999999999932,0,3.0305999999999997,2.75,1.0102,,,0,narrow-puzzle,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([77], dtype=int64), array([271], dtype=int64), array([28], dtype=int64), array([123], dtype=int64), array([238], dtype=int64), array([226], dtype=int64), array([28], dtype=int64), array([40], dtype=int64), array([170], dtype=int64), array([17], dtype=int64), array([131], dtype=int64), array([227], dtype=int64), array([30], dtype=int64), array([161], dtype=int64), array([282], dtype=int64), array([25], dtype=int64), array([226], dtype=int64), array([40], dtype=int64), array([102], dtype=int64), array([28], dtype=int64), array([233], dtype=int64), array([84], dtype=int64), array([199], dtype=int64), array([110], dtype=int64), array([40], dtype=int64), array([233], dtype=int64), array([131], dtype=int64), array([155], dtype=int64), array([123], dtype=int64), array([32], dtype=int64), array([226], dtype=int64), array([233], dtype=int64), array([288], dtype=int64), array([30], dtype=int64), array([213], dtype=int64), array([242], dtype=int64), array([226], dtype=int64), array([202], dtype=int64), array([131], dtype=int64), array([34], dtype=int64), array([242], dtype=int64), array([30], dtype=int64), array([237], dtype=int64), array([288], dtype=int64), array([213], dtype=int64), array([261], dtype=int64), array([77], dtype=int64), array([150], dtype=int64), array([238], dtype=int64), array([104], dtype=int64), array([152], dtype=int64), array([102], dtype=int64), array([202], dtype=int64), array([123], dtype=int64), array([104], dtype=int64), array([131], dtype=int64), array([131], dtype=int64), array([237], dtype=int64), array([226], dtype=int64), array([242], dtype=int64), array([78], dtype=int64), array([202], dtype=int64), array([226], dtype=int64), array([241], dtype=int64), array([123], dtype=int64)]}",-0.40681045300613583,1.1718841367973418,True,0,,3.0,64,10.0,1.0,0,[123 237 226 242  78 202 226 241],
3.0,0.19999999999999885,0,3.0312,3.0,1.0104,,,1,narrow-puzzle,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([226], dtype=int64), array([74], dtype=int64), array([213], dtype=int64), array([104], dtype=int64), array([226], dtype=int64), array([226], dtype=int64), array([123], dtype=int64), array([295], dtype=int64), array([226], dtype=int64), array([104], dtype=int64), array([4], dtype=int64), array([118], dtype=int64), array([249], dtype=int64), array([238], dtype=int64), array([30], dtype=int64), array([104], dtype=int64), array([238], dtype=int64), array([226], dtype=int64), array([89], dtype=int64), array([226], dtype=int64), array([208], dtype=int64), array([263], dtype=int64), array([123], dtype=int64), array([40], dtype=int64), array([131], dtype=int64), array([152], dtype=int64), array([156], dtype=int64), array([65], dtype=int64), array([106], dtype=int64)]}",1.333664736859471,1.2149878793333797,True,0,,3.0,28,50.0,1.0,0,[131 152 156  65 106 263 123  40],
3.0,-12.79999999999996,0,3.0317999999999996,3.0,1.0106,,,2,narrow-puzzle,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([123], dtype=int64), array([190], dtype=int64), array([104], dtype=int64), array([61], dtype=int64), array([104], dtype=int64), array([122], dtype=int64), array([226], dtype=int64), array([131], dtype=int64), array([261], dtype=int64), array([225], dtype=int64), array([77], dtype=int64), array([32], dtype=int64), array([161], dtype=int64), array([97], dtype=int64), array([288], dtype=int64), array([161], dtype=int64), array([238], dtype=int64), array([202], dtype=int64), array([123], dtype=int64), array([238], dtype=int64), array([152], dtype=int64), array([150], dtype=int64), array([28], dtype=int64), array([226], dtype=int64), array([30], dtype=int64), array([110], dtype=int64), array([106], dtype=int64), array([123], dtype=int64), array([104], dtype=int64), array([123], dtype=int64), array([30], dtype=int64), array([202], dtype=int64), array([242], dtype=int64), array([295], dtype=int64), array([283], dtype=int64), array([123], dtype=int64), array([86], dtype=int64), array([107], dtype=int64), array([238], dtype=int64), array([201], dtype=int64), array([112], dtype=int64), array([150], dtype=int64), array([152], dtype=int64), array([260], dtype=int64), array([213], dtype=int64), array([102], dtype=int64), array([74], dtype=int64), array([190], dtype=int64), array([122], dtype=int64), array([226], dtype=int64), array([286], dtype=int64), array([233], dtype=int64), array([183], dtype=int64), array([170], dtype=int64), array([238], dtype=int64), array([242], dtype=int64), array([226], dtype=int64), array([238], dtype=int64), array([226], dtype=int64), array([74], dtype=int64), array([30], dtype=int64), array([102], dtype=int64), array([123], dtype=int64), array([123], dtype=int64), array([241], dtype=int64), array([59], dtype=int64), array([247], dtype=int64), array([74], dtype=int64), array([123], dtype=int64), array([219], dtype=int64), array([52], dtype=int64), array([28], dtype=int64), array([104], dtype=int64), array([131], dtype=int64), array([161], dtype=int64), array([242], dtype=int64), array([203], dtype=int64), array([170], dtype=int64), array([77], dtype=int64), array([161], dtype=int64), array([174], dtype=int64), array([233], dtype=int64), array([28], dtype=int64), array([199], dtype=int64), array([131], dtype=int64), array([288], dtype=int64), array([122], dtype=int64), array([295], dtype=int64), array([30], dtype=int64), array([40], dtype=int64), array([104], dtype=int64), array([77], dtype=int64), array([50], dtype=int64), array([242], dtype=int64), array([238], dtype=int64), array([259], dtype=int64), array([240], dtype=int64), array([122], dtype=int64), array([226], dtype=int64), array([226], dtype=int64), array([104], dtype=int64), array([188], dtype=int64), array([104], dtype=int64), array([226], dtype=int64), array([97], dtype=int64), array([226], dtype=int64), array([226], dtype=int64), array([226], dtype=int64), array([107], dtype=int64), array([261], dtype=int64), array([104], dtype=int64), array([226], dtype=int64), array([104], dtype=int64), array([123], dtype=int64), array([104], dtype=int64), array([104], dtype=int64), array([174], dtype=int64), array([161], dtype=int64), array([28], dtype=int64), array([123], dtype=int64), array([74], dtype=int64), array([226], dtype=int64), array([297], dtype=int64), array([226], dtype=int64), array([150], dtype=int64), array([199], dtype=int64), array([270], dtype=int64), array([156], dtype=int64), array([174], dtype=int64), array([104], dtype=int64), array([123], dtype=int64), array([295], dtype=int64), array([226], dtype=int64), array([192], dtype=int64), array([123], dtype=int64), array([276], dtype=int64), array([28], dtype=int64), array([65], dtype=int64), array([233], dtype=int64), array([241], dtype=int64), array([240], dtype=int64), array([226], dtype=int64), array([161], dtype=int64), array([241], dtype=int64), array([192], dtype=int64), array([226], dtype=int64), array([219], dtype=int64), array([192], dtype=int64), array([247], dtype=int64), array([57], dtype=int64), array([190], dtype=int64), array([123], dtype=int64), array([122], dtype=int64), array([295], dtype=int64), array([74], dtype=int64), array([238], dtype=int64), array([32], dtype=int64), array([31], dtype=int64), array([242], dtype=int64)]}",-3.477924750109497,1.2117530890956165,True,0,,3.0,153,50.0,1.0,0,[122 295  74 238  32  31 242 123],
6.0,0.6999999999999993,0,3.0324,2.75,1.0108,,,3,narrow-puzzle,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([261], dtype=int64), array([180], dtype=int64), array([123], dtype=int64), array([213], dtype=int64), array([102], dtype=int64), array([123], dtype=int64), array([123], dtype=int64), array([30], dtype=int64), array([203], dtype=int64), array([192], dtype=int64), array([203], dtype=int64), array([104], dtype=int64), array([78], dtype=int64), array([4], dtype=int64), array([152], dtype=int64), array([72], dtype=int64), array([104], dtype=int64), array([74], dtype=int64), array([174], dtype=int64), array([161], dtype=int64), array([102], dtype=int64), array([24], dtype=int64), array([226], dtype=int64), array([226], dtype=int64)]}",1.6091007062756386,1.1382367441826768,True,1,,3.0,24,10.0,1.0,0,[104  74 174 161 102  24 226 226],
3.0,1.2999999999999996,0,3.0329999999999995,3.0,1.011,,,4,narrow-puzzle,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([104], dtype=int64), array([192], dtype=int64), array([40], dtype=int64), array([104], dtype=int64), array([120], dtype=int64), array([104], dtype=int64), array([104], dtype=int64), array([161], dtype=int64), array([202], dtype=int64), array([18], dtype=int64), array([199], dtype=int64), array([213], dtype=int64), array([122], dtype=int64), array([30], dtype=int64), array([52], dtype=int64), array([226], dtype=int64), array([123], dtype=int64), array([288], dtype=int64)]}",1.951783895271449,1.169463652284763,True,1,,3.0,18,50.0,3.162277660168379,0,[123 288 199 213 122  30  52 226],
0.0,2.3,0,3.0336000000000003,2.75,1.0112,,,5,narrow-puzzle,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([237], dtype=int64), array([123], dtype=int64), array([161], dtype=int64), array([226], dtype=int64), array([104], dtype=int64), array([61], dtype=int64), array([233], dtype=int64), array([226], dtype=int64)]}",2.553987155462983,1.1569672785807603,True,1,,3.0,8,10.0,4.743416490252569,0,[237 123 161 226 104  61 233 226],
3.0,-1.9999999999999982,0,3.0342000000000002,3.0,1.0114,,,6,narrow-puzzle,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([219], dtype=int64), array([74], dtype=int64), array([226], dtype=int64), array([47], dtype=int64), array([74], dtype=int64), array([74], dtype=int64), array([150], dtype=int64), array([136], dtype=int64), array([226], dtype=int64), array([152], dtype=int64), array([203], dtype=int64), array([28], dtype=int64), array([102], dtype=int64), array([122], dtype=int64), array([104], dtype=int64), array([288], dtype=int64), array([171], dtype=int64), array([238], dtype=int64), array([123], dtype=int64), array([238], dtype=int64), array([138], dtype=int64), array([165], dtype=int64), array([65], dtype=int64), array([65], dtype=int64), array([40], dtype=int64), array([174], dtype=int64), array([74], dtype=int64), array([123], dtype=int64), array([226], dtype=int64), array([30], dtype=int64), array([123], dtype=int64), array([74], dtype=int64), array([226], dtype=int64), array([123], dtype=int64), array([225], dtype=int64), array([104], dtype=int64), array([131], dtype=int64), array([204], dtype=int64), array([226], dtype=int64), array([65], dtype=int64), array([226], dtype=int64), array([288], dtype=int64), array([200], dtype=int64), array([133], dtype=int64), array([28], dtype=int64), array([226], dtype=int64), array([241], dtype=int64), array([31], dtype=int64), array([122], dtype=int64), array([225], dtype=int64), array([123], dtype=int64)]}",0.222690031254711,1.19204632768419,True,1,,3.0,50,50.0,1.0,0,[122 225 123 133  28 226 241  31],
3.0,-7.299999999999979,0,3.0348,3.0,1.0116,,,7,narrow-puzzle,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([47], dtype=int64), array([123], dtype=int64), array([28], dtype=int64), array([152], dtype=int64), array([226], dtype=int64), array([170], dtype=int64), array([30], dtype=int64), array([4], dtype=int64), array([123], dtype=int64), array([122], dtype=int64), array([237], dtype=int64), array([226], dtype=int64), array([246], dtype=int64), array([123], dtype=int64), array([201], dtype=int64), array([65], dtype=int64), array([104], dtype=int64), array([122], dtype=int64), array([226], dtype=int64), array([201], dtype=int64), array([226], dtype=int64), array([226], dtype=int64), array([288], dtype=int64), array([104], dtype=int64), array([21], dtype=int64), array([152], dtype=int64), array([104], dtype=int64), array([145], dtype=int64), array([226], dtype=int64), array([261], dtype=int64), array([269], dtype=int64), array([295], dtype=int64), array([123], dtype=int64), array([123], dtype=int64), array([123], dtype=int64), array([28], dtype=int64), array([122], dtype=int64), array([104], dtype=int64), array([118], dtype=int64), array([288], dtype=int64), array([146], dtype=int64), array([118], dtype=int64), array([266], dtype=int64), array([104], dtype=int64), array([61], dtype=int64), array([30], dtype=int64), array([74], dtype=int64), array([123], dtype=int64), array([242], dtype=int64), array([122], dtype=int64), array([242], dtype=int64), array([40], dtype=int64), array([28], dtype=int64), array([199], dtype=int64), array([295], dtype=int64), array([104], dtype=int64), array([123], dtype=int64), array([226], dtype=int64), array([28], dtype=int64), array([142], dtype=int64), array([30], dtype=int64), array([295], dtype=int64), array([207], dtype=int64), array([297], dtype=int64), array([41], dtype=int64), array([226], dtype=int64), array([30], dtype=int64), array([238], dtype=int64), array([246], dtype=int64), array([238], dtype=int64), array([104], dtype=int64), array([123], dtype=int64), array([233], dtype=int64), array([65], dtype=int64), array([104], dtype=int64), array([30], dtype=int64), array([104], dtype=int64), array([81], dtype=int64), array([238], dtype=int64), array([104], dtype=int64), array([238], dtype=int64), array([97], dtype=int64), array([65], dtype=int64), array([82], dtype=int64), array([107], dtype=int64), array([297], dtype=int64), array([226], dtype=int64), array([150], dtype=int64), array([226], dtype=int64), array([170], dtype=int64), array([32], dtype=int64), array([52], dtype=int64), array([104], dtype=int64), array([30], dtype=int64), array([102], dtype=int64), array([174], dtype=int64), array([74], dtype=int64), array([31], dtype=int64), array([203], dtype=int64), array([271], dtype=int64), array([226], dtype=int64), array([156], dtype=int64), array([50], dtype=int64), array([78], dtype=int64)]}",-1.8951150819752836,1.168523566009502,True,1,,3.0,101,50.0,1.0,0,[ 74  31 203 271 226 156  50  78],
12.0,-3.8999999999999915,0,3.0354,2.75,1.0118,,,8,narrow-puzzle,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([152], dtype=int64), array([241], dtype=int64), array([226], dtype=int64), array([131], dtype=int64), array([161], dtype=int64), array([47], dtype=int64), array([31], dtype=int64), array([122], dtype=int64), array([28], dtype=int64), array([268], dtype=int64), array([28], dtype=int64), array([131], dtype=int64), array([226], dtype=int64), array([271], dtype=int64), array([271], dtype=int64), array([238], dtype=int64), array([190], dtype=int64), array([238], dtype=int64), array([263], dtype=int64), array([269], dtype=int64), array([213], dtype=int64), array([226], dtype=int64), array([231], dtype=int64), array([106], dtype=int64), array([295], dtype=int64), array([288], dtype=int64), array([238], dtype=int64), array([1], dtype=int64), array([65], dtype=int64), array([74], dtype=int64), array([47], dtype=int64), array([104], dtype=int64), array([297], dtype=int64), array([31], dtype=int64), array([104], dtype=int64), array([104], dtype=int64), array([131], dtype=int64), array([74], dtype=int64), array([102], dtype=int64), array([65], dtype=int64), array([152], dtype=int64), array([74], dtype=int64), array([102], dtype=int64), array([202], dtype=int64), array([226], dtype=int64), array([240], dtype=int64), array([196], dtype=int64), array([30], dtype=int64), array([104], dtype=int64), array([61], dtype=int64), array([226], dtype=int64), array([65], dtype=int64), array([102], dtype=int64), array([274], dtype=int64), array([152], dtype=int64), array([61], dtype=int64), array([86], dtype=int64), array([44], dtype=int64), array([226], dtype=int64), array([102], dtype=int64), array([156], dtype=int64), array([170], dtype=int64), array([238], dtype=int64), array([226], dtype=int64), array([104], dtype=int64), array([28], dtype=int64), array([138], dtype=int64), array([226], dtype=int64), array([222], dtype=int64), array([294], dtype=int64)]}",-0.6184322497181366,1.1644189904030833,True,1,,3.0,67,10.0,1.0,0,[104  28 138 226 222 294 238 226],
4.0,-2.7999999999999954,0,3.036,2.75,1.012,,,9,narrow-puzzle,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([238], dtype=int64), array([189], dtype=int64), array([233], dtype=int64), array([102], dtype=int64), array([226], dtype=int64), array([288], dtype=int64), array([238], dtype=int64), array([196], dtype=int64), array([233], dtype=int64), array([238], dtype=int64), array([288], dtype=int64), array([81], dtype=int64), array([226], dtype=int64), array([30], dtype=int64), array([104], dtype=int64), array([238], dtype=int64), array([238], dtype=int64), array([240], dtype=int64), array([152], dtype=int64), array([273], dtype=int64), array([242], dtype=int64), array([4], dtype=int64), array([170], dtype=int64), array([122], dtype=int64), array([240], dtype=int64), array([226], dtype=int64), array([77], dtype=int64), array([74], dtype=int64), array([131], dtype=int64), array([78], dtype=int64), array([174], dtype=int64), array([240], dtype=int64), array([161], dtype=int64), array([190], dtype=int64), array([226], dtype=int64), array([242], dtype=int64), array([245], dtype=int64), array([246], dtype=int64), array([225], dtype=int64), array([288], dtype=int64), array([226], dtype=int64), array([226], dtype=int64), array([40], dtype=int64), array([238], dtype=int64), array([123], dtype=int64), array([32], dtype=int64), array([240], dtype=int64), array([123], dtype=int64), array([40], dtype=int64), array([34], dtype=int64), array([151], dtype=int64), array([226], dtype=int64), array([238], dtype=int64), array([28], dtype=int64), array([44], dtype=int64), array([174], dtype=int64), array([156], dtype=int64), array([226], dtype=int64), array([295], dtype=int64)]}",-0.14387322561188165,1.1454983273469677,True,1,,3.0,58,10.0,1.0,0,[156 226 295 226 238  28  44 174],
