#{"t_start": 1682725865.9866734, "env_id": null}
r,l,t
-0.3,34,2.35402
-3.0,61,6.16878
2.3,8,6.87405
-5.1,82,11.977222
-1.8,49,15.108165
-0.5,36,17.463418
-0.4,35,19.762564
-0.8,39,22.275986
-0.0,31,24.30818
1.3,18,25.570326
-3.1,62,29.468726
-3.8,69,33.724563
1.5,16,34.933392
-3.9,70,39.332852
-14.2,173,49.791966
-2.1,52,53.055033
-1.4,45,56.072917
-2.3,54,59.53604
-3.8,69,63.904706
0.7,24,65.541188
-0.7,38,67.987476
2.0,11,68.871698
-0.6,37,71.384452
-18.0,180,82.089769
-1.3,44,84.852885
-1.9,50,88.084395
-4.9,80,93.003643
-3.3,64,96.994557
-8.7,118,104.186889
-0.2,33,106.347541
0.5,26,108.124985
-2.2,53,111.51953
-4.7,78,116.403987
-5.6,87,121.780777
-3.3,64,125.862556
-5.3,84,131.089874
0.3,28,132.977434
-11.5,146,141.80883
-8.6,117,149.033557
-1.4,45,151.891379
-18.0,180,162.500503
-12.3,154,171.824026
-5.3,84,177.145707
-14.0,171,187.41864
-18.0,180,198.089174
-18.0,180,208.890823
-11.9,150,217.973954
-0.3,34,220.220014
-1.2,43,223.010665
-14.5,176,233.6752
-5.8,89,239.171119
-5.1,82,244.296515
-18.0,180,255.221932
0.5,26,257.012951
1.3,18,258.340645
-5.6,87,263.731529
0.3,28,265.597164
-3.7,68,269.85868
-0.0,31,271.921001
-18.0,180,282.722952
-2.6,57,286.34376
1.5,16,287.50071
-1.9,50,290.723354
-3.7,68,295.079449
1.3,18,296.401114
-18.0,180,307.261956
-1.0,41,309.920647
2.3,8,310.630651
-0.2,33,312.795636
-18.0,180,323.469521
-18.0,180,334.153128
-2.6,57,337.785519
-1.8,49,340.922545
-7.8,109,347.696039
-1.2,43,350.47178
1.0,21,351.953712
-12.9,160,361.809447
0.7,24,363.454729
-18.0,180,374.216694
0.8,23,375.861131
-7.6,107,382.40446
-9.2,123,389.875322
-3.8,69,394.186423
-8.1,112,401.075028
-1.4,45,403.984086
-18.0,180,414.98251
-0.6,37,417.479262
-6.4,95,423.412158
-2.9,60,427.184633
-2.0,51,430.413385
0.8,23,432.137578
-2.1,52,435.386176
0.1,30,437.407729
0.2,29,439.349821
2.0,11,440.234216
-3.9,70,444.621505
-12.5,156,454.037762
-6.8,99,460.206459
-18.0,180,471.034773
0.9,22,472.577766
1.5,16,473.832482
-2.9,60,477.723329
0.9,22,479.265937
1.0,21,480.747741
-5.4,85,486.104947
-0.9,40,488.700487
0.8,23,490.282897
-5.4,85,495.530697
-18.0,180,506.359367
0.5,26,508.1195
-1.6,47,511.182636
-10.4,135,519.425886
-8.9,120,526.671494
1.5,16,527.87042
-5.7,88,533.30259
-4.9,80,538.465486
0.1,30,540.468832
-0.5,36,542.911369
-6.1,92,548.682941
-3.3,64,552.71935
-0.5,36,555.098017
-0.3,34,557.367065
-8.3,114,564.392908
-0.4,35,566.681425
0.4,27,568.48864
-18.0,180,579.127593
-8.0,111,585.917765
-2.2,53,589.278692
-2.3,54,592.711986
-6.8,99,598.934425
2.0,11,599.829005
-8.6,117,607.052751
-1.4,45,609.946852
1.9,12,610.898435
-0.1,32,613.131331
-0.5,36,615.53716
-6.8,99,621.565285
-10.6,137,629.896617
-12.8,159,639.505574
-11.8,149,648.540613
-12.7,158,658.181819
-5.5,86,663.517658
2.1,10,664.3678
-2.1,52,667.580256
-3.8,69,672.002752
1.9,12,672.936904
-5.5,86,678.302904
