segments,segments
0,7
1,1
2,1
3,6
4,74
5,4
6,3
8,1
9,4
10,5
11,2
13,1
14,1
16,1
17,4
18,2
19,1
21,2
22,2
23,11
24,7
25,3
27,1
28,234
29,13
30,268
31,31
32,41
33,9
34,11
35,4
36,13
37,4
38,6
39,4
40,85
42,1
43,4
44,13
45,2
47,67
49,2
50,20
52,27
54,2
56,21
57,3
58,1
59,2
61,49
62,1
63,2
64,2
65,103
66,1
69,2
70,5
71,2
72,8
73,3
74,150
76,9
77,81
78,53
80,1
81,14
82,1
83,1
84,2
85,2
86,11
88,2
89,6
90,2
91,8
92,4
93,4
94,3
95,5
96,2
97,19
98,1
99,1
100,4
101,1
102,112
104,471
106,43
107,18
108,2
109,2
110,24
111,6
112,3
113,7
115,1
116,2
117,3
118,47
120,9
122,177
123,638
124,7
125,2
127,5
128,3
131,113
132,1
133,13
134,1
135,3
136,10
138,37
139,1
141,2
142,6
143,10
145,4
146,5
147,1
148,3
149,12
150,49
151,6
152,129
153,5
154,1
155,4
156,45
158,4
159,4
161,80
162,1
164,1
165,8
166,1
167,3
168,13
169,12
170,37
171,7
172,1
173,2
174,100
175,2
176,2
177,2
178,1
179,3
180,22
181,4
182,5
183,33
184,2
187,4
188,8
190,69
192,60
196,44
199,43
200,6
201,64
202,39
203,50
204,2
207,1
208,1
211,1
213,82
214,4
215,5
216,2
217,3
218,1
219,11
222,1
223,4
224,2
225,24
226,819
227,1
228,1
229,1
230,1
231,13
233,106
234,5
236,1
237,41
238,236
239,14
240,98
241,93
242,197
245,11
246,10
247,21
249,10
251,1
252,5
255,1
257,7
258,2
259,6
260,1
261,13
262,10
263,6
264,7
265,2
266,14
267,1
268,2
269,14
271,9
273,1
274,7
278,2
280,3
281,1
282,3
283,1
284,1
285,17
287,8
288,130
289,3
291,5
292,1
293,1
294,1
295,240
297,38
298,1
299,3
