#{"t_start": 1668768825.3141196, "env_id": null}
r,l,t
-2.1,21,1.155019
7.844661,8,1.695631
6.544661,21,2.783382
0.3,8,3.330739
6.744661,19,4.313284
-0.1,12,5.012979
-0.3,14,5.814896
-1.0,21,6.879113
0.1,10,7.497187
-8.310052,12,8.176482
0.3,8,8.743183
-0.3,14,9.572637
7.844661,8,10.133131
-7.910052,8,10.700193
7.844661,8,11.272878
7.844661,8,11.842601
6.644661,20,12.899992
-0.2,13,13.669173
7.544661,11,14.347059
0.3,8,14.906549
7.844661,8,15.45712
-0.1,12,16.184647
7.844661,8,16.745788
0.3,8,17.32101
0.2,9,17.940407
-2.1,21,18.949313
6.744661,19,19.942372
0.3,8,20.513892
0.3,8,21.064773
-2.2,22,22.077634
-9.110052,20,23.087631
-2.1,21,24.06006
7.444661,12,24.807737
0.3,8,25.374684
6.944661,17,26.279266
-9.110052,20,27.323056
-0.2,13,28.082468
6.844661,18,29.047514
-2.1,21,30.063421
-2.1,21,31.047504
7.344661,13,31.796957
-2.2,22,32.82099
-0.8,19,33.805899
7.444661,12,34.527192
-0.5,16,35.413491
-2.2,22,36.438567
-2.1,21,37.416817
-0.4,15,38.271842
-11.13546,20,39.341118
0.3,8,39.91222
-2.1,21,40.876177
0.3,8,41.440677
0.3,8,42.002748
6.744661,19,42.985669
-9.010052,19,43.934736
0.3,8,44.489618
-0.9,20,45.49762
-0.8,19,46.491061
7.044661,16,47.360752
7.444661,12,48.081554
7.244661,14,48.874152
0.1,10,49.508238
-2.2,22,50.504728
-0.2,13,51.257444
-15.732015,20,52.368564
0.3,8,52.975101
7.144661,15,53.832113
0.3,8,54.409422
0.3,8,54.971582
0.0,11,55.649802
-2.1,21,56.634654
7.844661,8,57.20305
-10.23546,11,57.892092
-0.2,13,58.641704
6.844661,18,59.615587
-8.510052,14,60.429355
6.944661,17,61.350444
-2.1,21,62.321649
-10.23546,11,63.011256
0.0,11,63.693122
7.844661,8,64.250995
7.844661,8,64.824161
7.444661,12,65.526971
7.344661,13,66.285901
7.844661,8,66.861761
6.744661,19,67.874133
-8.410052,13,68.659237
-2.1,21,69.639406
-2.1,21,70.620838
-0.8,19,71.616801
-1.0,21,72.695181
7.844661,8,73.271613
-7.910052,8,73.84803
-0.1,12,74.566308
-8.410052,13,75.320261
-8.310052,12,76.053214
0.3,8,76.619663
-8.610052,15,77.507602
-2.2,22,78.482015
6.544661,21,79.551107
7.444661,12,80.27654
-0.7,18,81.213821
-8.310052,12,81.931136
6.944661,17,82.849815
7.844661,8,83.407443
6.544661,21,84.458495
-0.3,14,85.299558
-2.2,22,86.312387
7.844661,8,86.899945
-0.2,13,87.655026
-1.0,21,88.757442
6.544661,21,89.819553
-0.1,12,90.54774
-0.3,14,91.342625
0.3,8,91.877862
6.644661,20,92.919784
-2.1,21,93.907701
-8.110052,10,94.539867
7.444661,12,95.269949
7.644661,10,95.899246
-2.1,21,96.911196
0.3,8,97.462177
0.3,8,98.040836
7.844661,8,98.608897
-0.2,13,99.367953
-0.2,13,100.136691
7.344661,13,100.906898
-2.2,22,101.929564
7.844661,8,102.487354
7.844661,8,103.05772
7.044661,16,103.931726
-2.1,21,104.930457
0.3,8,105.492105
-7.910052,8,106.042455
0.3,8,106.669474
-10.43546,13,107.439405
7.844661,8,108.015516
-0.8,19,109.010673
-2.3,23,110.061386
0.3,8,110.626076
-0.2,13,111.371442
-2.1,21,112.352242
-2.1,21,113.393803
-2.2,22,114.439823
0.3,8,115.016592
-2.1,21,115.966999
-0.6,17,116.863647
0.3,8,117.429413
7.844661,8,117.996203
-0.1,12,118.731041
0.3,8,119.273392
7.844661,8,119.822254
7.744661,9,120.437701
-2.1,21,121.439287
0.0,11,122.127481
7.844661,8,122.720423
7.644661,10,123.371155
-2.1,21,124.386809
7.344661,13,125.154244
7.844661,8,125.728249
-0.4,15,126.634694
0.3,8,127.192782
-10.83546,17,128.128626
-9.210052,21,129.24742
-8.710052,16,130.087899
-0.5,16,130.981524
-2.1,21,131.987427
-2.1,21,132.974302
7.744661,9,133.553215
-7.910052,8,134.12479
0.3,8,134.687819
7.844661,8,135.263115
-7.910052,8,135.840306
0.3,8,136.389311
-2.1,21,137.384991
7.844661,8,137.956265
-8.710052,16,138.79889
-2.3,23,139.856364
7.444661,12,140.56591
-1.0,21,141.641229
6.644661,20,142.664471
7.444661,12,143.398322
-10.03546,9,144.052028
0.0,11,144.704683
7.844661,8,145.25848
6.944661,17,146.172612
-0.1,12,146.913496
-0.2,13,147.684997
-2.2,22,148.685164
6.744661,19,149.670846
-2.1,21,150.656768
-8.310052,12,151.376037
-0.8,19,152.371173
7.844661,8,152.944802
-11.13546,20,153.989091
-2.2,22,154.986191
-2.1,21,155.961057
-9.93546,8,156.511487
0.3,8,157.079629
0.3,8,157.650046
7.744661,9,158.259228
-2.1,21,159.252343
6.544661,21,160.32426
7.444661,12,161.051597
-13.023058,9,161.646261
0.2,9,162.230505
-9.110052,20,163.322538
-0.1,12,164.040298
7.244661,14,164.821509
-2.1,21,165.830748
0.3,8,166.385729
-7.910052,8,166.95172
7.344661,13,167.714635
-2.1,21,168.686173
7.244661,14,169.502696
-0.1,12,170.233014
-7.910052,8,170.821419
-9.93546,8,171.411719
-0.1,12,172.167595
7.544661,11,172.850114
0.2,9,173.462945
0.3,8,174.044007
0.3,8,174.608672
0.0,11,175.3067
7.844661,8,175.872264
6.944661,17,176.818512
7.844661,8,177.381448
7.844661,8,177.942336
-0.6,17,178.827254
-2.1,21,179.791241
0.3,8,180.373098
6.744661,19,181.411328
-2.1,21,182.412056
-2.1,21,183.376073
-2.2,22,184.39944
7.444661,12,185.109263
-2.1,21,186.080055
6.644661,20,187.125179
-0.4,15,187.946709
-2.1,21,188.899651
-1.1,22,189.983303
7.844661,8,190.548368
-2.1,21,191.528413
-0.8,19,192.519485
0.0,11,193.208161
7.644661,10,193.849606
-2.4,24,194.951276
-9.93546,8,195.49831
-8.410052,13,196.263213
-0.6,17,197.167976
-8.710052,16,198.047307
0.3,8,198.609436
7.844661,8,199.17559
-0.4,15,200.02362
-2.3,23,201.067809
-11.13546,20,202.080726
-0.1,12,202.795874
7.444661,12,203.501412
-0.2,13,204.274291
-0.1,12,204.960299
-1.0,21,206.058957
-0.5,16,206.959637
-8.910052,18,207.911236
7.844661,8,208.468701
-0.5,16,209.371213
7.744661,9,209.969078
0.3,8,210.520615
-10.73546,16,211.396819
-8.210052,11,212.042476
7.744661,9,212.643435
-0.1,12,213.393233
0.1,10,214.049751
-0.5,16,214.931291
6.544661,21,215.985991
-0.2,13,216.754754
-0.4,15,217.576086
-2.2,22,218.614907
-2.2,22,219.749538
0.1,10,220.416576
-2.1,21,221.381016
0.3,8,221.943667
7.844661,8,222.516431
-8.010052,9,223.111925
-7.910052,8,223.668557
-15.732015,20,224.769618
7.844661,8,225.46489
7.344661,13,226.305803
-9.93546,8,226.938012
7.844661,8,227.500532
-0.2,13,228.252945
-2.1,21,229.233924
0.3,8,229.812089
7.444661,12,230.532672
-14.932015,12,231.2979
0.3,8,231.882339
-8.610052,15,232.762417
-7.910052,8,233.34123
-2.3,23,234.423121
7.144661,15,235.249632
-2.1,21,236.275114
7.344661,13,237.026862
6.944661,17,237.980141
0.3,8,238.547313
-0.5,16,239.412098
-2.1,21,240.372742
-2.1,21,241.360296
6.544661,21,242.441013
-2.1,21,243.401555
7.444661,12,244.117546
7.744661,9,244.709102
-2.2,22,245.768441
6.644661,20,246.818987
7.844661,8,247.384701
6.844661,18,248.327038
-2.1,21,249.283607
6.744661,19,250.24253
-1.0,21,251.292593
-2.1,21,252.24715
7.744661,9,252.845131
7.144661,15,253.685514
7.644661,10,254.31434
7.644661,10,254.967557
-8.410052,13,255.739822
-0.7,18,256.685683
7.644661,10,257.319605
-2.1,21,258.291122
7.844661,8,258.862011
7.544661,11,259.561751
7.144661,15,260.391741
7.844661,8,260.958804
-2.1,21,261.935277
7.844661,8,262.495717
6.644661,20,263.535715
0.3,8,264.118581
-0.1,12,264.851458
-0.4,15,265.674584
7.144661,15,266.499026
-0.1,12,267.211675
7.644661,10,267.830845
-2.1,21,268.791136
-0.8,19,269.78636
-2.1,21,270.809561
-8.210052,11,271.481576
7.544661,11,272.160713
-14.632015,9,272.786107
-0.9,20,273.819259
-8.410052,13,274.583145
-0.4,15,275.423467
-0.9,20,276.436477
-0.3,14,277.222526
7.544661,11,277.91418
-0.1,12,278.607253
-2.2,22,279.621066
0.3,8,280.197186
7.844661,8,280.808956
0.0,11,281.500506
7.344661,13,282.251356
-2.1,21,283.188296
-8.010052,9,283.792522
-2.2,22,284.798662
-1.0,21,285.85939
-0.8,19,286.857182
-9.210052,21,287.95297
0.3,8,288.530612
-9.110052,20,289.571429
7.844661,8,290.134322
-2.1,21,291.139396
-2.2,22,292.139412
-8.510052,14,292.916582
-8.210052,11,293.575781
6.644661,20,294.572836
-2.1,21,295.54546
-10.63546,15,296.380642
-2.1,21,297.364077
0.3,8,297.957434
7.344661,13,298.695316
-8.810052,17,299.60674
-7.910052,8,300.169822
7.844661,8,300.759877
7.744661,9,301.352038
7.744661,9,301.992244
7.444661,12,302.71533
-7.910052,8,303.25989
7.044661,16,304.143445
7.444661,12,304.880243
7.144661,15,305.72283
-0.5,16,306.683713
-0.9,20,307.728592
-2.1,21,308.719074
7.344661,13,309.481673
-2.1,21,310.457758
-2.2,22,311.489767
-2.3,23,312.525511
0.1,10,313.17225
-1.2,23,314.304496
-2.2,22,315.34435
6.644661,20,316.354185
0.2,9,316.949694
0.2,9,317.555981
0.3,8,318.135141
-0.2,13,318.916923
-7.910052,8,319.478948
-8.110052,10,320.108303
-8.310052,12,320.824961
-2.1,21,321.861577
7.444661,12,322.59296
-18.517797,12,323.31602
-0.1,12,324.076457
7.844661,8,324.656884
-0.9,20,325.714573
-2.1,21,326.709297
-14.932015,12,327.446675
-2.1,21,328.424183
-2.2,22,329.437218
-8.210052,11,330.108561
-9.110052,20,331.17099
0.3,8,331.735126
6.444661,22,332.803287
6.844661,18,333.755813
-2.1,21,334.766325
0.1,10,335.395732
-9.110052,20,336.420405
-2.1,21,337.393733
-2.1,21,338.363413
-2.1,21,339.348938
-0.1,12,340.060966
-2.1,21,341.05304
7.844661,8,341.624128
-2.1,21,342.594724
-2.2,22,343.613368
7.844661,8,344.160597
-2.2,22,345.173445
-2.2,22,346.16941
-0.5,16,347.046489
7.844661,8,347.619593
0.0,11,348.280726
-2.1,21,349.291627
-2.1,21,350.274318
0.0,11,350.954342
7.744661,9,351.555468
-2.1,21,352.596477
7.444661,12,353.367677
-2.2,22,354.380243
7.744661,9,354.970515
0.0,11,355.635313
6.544661,21,356.708134
7.844661,8,357.270632
7.844661,8,357.817433
0.3,8,358.393533
-2.1,21,359.356102
0.3,8,359.913918
-0.6,17,360.821628
6.744661,19,361.790817
-0.1,12,362.528639
7.844661,8,363.11867
7.444661,12,363.837045
7.444661,12,364.561533
7.044661,16,365.436295
-0.3,14,366.267081
7.744661,9,366.926305
7.444661,12,367.648173
-2.1,21,368.637205
0.0,11,369.326356
-10.43546,13,370.06241
-0.1,12,370.803292
-0.7,18,371.774262
-2.1,21,372.775555
7.144661,15,373.621898
-2.1,21,374.611447
7.544661,11,375.286452
-2.2,22,376.320535
6.544661,21,377.405807
-2.3,23,378.482675
0.3,8,379.057105
0.0,11,379.736938
0.1,10,380.392068
-0.9,20,381.451922
0.3,8,382.016425
7.844661,8,382.590458
-2.3,23,383.651665
7.344661,13,384.432325
7.844661,8,385.006298
0.1,10,385.659105
-0.3,14,386.460695
7.844661,8,387.083814
-8.710052,16,387.974033
-0.4,15,388.823778
7.144661,15,389.66995
-10.33546,12,390.408912
7.144661,15,391.261855
-1.0,21,392.345938
-7.910052,8,392.920662
-2.1,21,393.90502
0.3,8,394.465429
-2.1,21,395.470072
-2.1,21,396.478427
6.644661,20,397.528274
7.844661,8,398.101785
0.3,8,398.651368
-0.3,14,399.484839
0.3,8,400.071768
-2.1,21,401.146348
-2.1,21,402.139538
-8.110052,10,402.801393
7.144661,15,403.64145
7.844661,8,404.220226
-2.1,21,405.189324
-2.1,21,406.175383
0.2,9,406.795945
-2.1,21,407.796676
-0.3,14,408.602764
7.844661,8,409.175206
7.244661,14,409.994902
-7.910052,8,410.574116
-2.3,23,411.633603
0.3,8,412.225431
-2.2,22,413.271366
-2.1,21,414.276808
-0.1,12,414.992631
0.3,8,415.571658
0.3,8,416.156047
-2.1,21,417.146108
-0.3,14,417.955774
-0.1,12,418.689486
-2.2,22,419.664461
-0.9,20,420.687955
-0.4,15,421.552184
-8.110052,10,422.187665
-2.1,21,423.199701
-2.4,24,424.250101
-2.1,21,425.299543
-9.010052,19,426.312048
-2.2,22,427.347063
-2.2,22,428.370262
-2.2,22,429.396073
-0.3,14,430.199263
7.644661,10,430.856342
-2.2,22,431.844499
0.3,8,432.395073
-7.910052,8,432.963031
-0.6,17,433.890621
0.3,8,434.476504
-0.1,12,435.206608
6.744661,19,436.180344
-0.7,18,437.13776
-15.232015,15,437.949471
-2.1,21,438.91412
-0.8,19,439.910753
-0.1,12,440.640173
-0.2,13,441.397892
0.1,10,442.055138
-2.1,21,443.026347
-2.2,22,444.062253
7.644661,10,444.723432
-2.2,22,445.768476
-7.910052,8,446.344384
-10.23546,11,447.079257
0.3,8,447.650248
0.3,8,448.258103
-1.0,21,449.340905
7.744661,9,449.953519
-11.13546,20,450.977724
0.3,8,451.550624
-0.8,19,452.52871
-11.13546,20,453.558375
7.444661,12,454.294123
-14.632015,9,454.916778
-2.3,23,455.943745
-1.0,21,457.03226
7.844661,8,457.597742
7.844661,8,458.172575
7.244661,14,458.986611
6.544661,21,460.052868
-8.210052,11,460.743211
-2.1,21,461.716196
-9.93546,8,462.288877
-2.1,21,463.265515
7.444661,12,464.049616
-0.2,13,464.817813
-2.1,21,465.837478
-2.2,22,466.891432
-2.1,21,467.893701
0.3,8,468.464336
-7.910052,8,469.043353
6.844661,18,469.995119
7.544661,11,470.6858
-2.2,22,471.694762
-0.3,14,472.504118
0.3,8,473.089153
-8.410052,13,473.855663
-2.2,22,474.883013
0.3,8,475.477391
-13.723058,16,476.363351
6.744661,19,477.358328
-2.2,22,478.36811
7.844661,8,478.937575
7.444661,12,479.663753
-0.6,17,480.602565
7.844661,8,481.18336
-14.532015,8,481.82481
-0.1,12,482.577212
7.844661,8,483.150202
-0.6,17,484.053071
-7.910052,8,484.608666
0.3,8,485.188695
-2.2,22,486.225327
-2.1,21,487.243294
7.744661,9,487.851578
-2.3,23,488.902854
-2.1,21,489.878436
-0.1,12,490.610004
7.744661,9,491.223062
7.144661,15,492.062631
-2.2,22,493.04974
-0.1,12,493.778496
0.0,11,494.459557
-2.2,22,495.490557
-0.9,20,496.53794
-0.7,18,497.488729
-0.2,13,498.257947
-2.1,21,499.264384
-0.8,19,500.298552
-0.9,20,501.339046
-14.832015,11,502.014705
-8.510052,14,502.820519
0.2,9,503.420179
7.844661,8,503.991395
6.744661,19,504.982872
-2.1,21,505.966244
0.3,8,506.533938
7.744661,9,507.132098
-8.510052,14,507.911602
-9.93546,8,508.503192
0.3,8,509.062929
7.444661,12,509.794267
6.644661,20,510.868644
0.2,9,511.508172
-8.310052,12,512.228534
-7.910052,8,512.813476
7.844661,8,513.368961
7.844661,8,513.919744
-2.1,21,514.887843
-2.1,21,515.883897
6.744661,19,516.890437
-2.1,21,517.889463
0.3,8,518.468657
7.844661,8,519.024905
7.144661,15,519.872651
-2.1,21,520.871453
-0.1,12,521.588737
7.844661,8,522.157635
7.844661,8,522.765038
-7.910052,8,523.337364
7.844661,8,523.921782
-9.010052,19,524.921236
6.744661,19,525.908345
-0.9,20,526.949862
-0.6,17,527.869598
7.744661,9,528.475995
-2.1,21,529.462571
0.3,8,530.008045
6.544661,21,531.089086
-0.8,19,532.090967
0.3,8,532.6775
-10.43546,13,533.44199
-2.2,22,534.479382
6.944661,17,535.392856
-2.2,22,536.412525
-8.310052,12,537.123913
-2.1,21,538.098201
-8.110052,10,538.735094
-20.698304,16,539.616106
7.844661,8,540.194272
-2.1,21,541.213116
-2.3,23,542.280109
-10.03546,9,542.949192
-2.1,21,543.930386
-2.1,21,544.94206
-1.0,21,546.018067
-8.010052,9,546.633936
-2.2,22,547.66987
-2.1,21,548.664721
-0.6,17,549.589415
7.744661,9,550.21939
6.644661,20,551.228234
-1.0,21,552.314838
-2.3,23,553.38947
7.844661,8,553.955894
7.044661,16,554.856432
-8.610052,15,555.703445
-0.1,12,556.440882
6.844661,18,557.403311
-2.1,21,558.368831
-2.1,21,559.361528
7.844661,8,559.918985
0.2,9,560.527809
-2.1,21,561.513649
-2.1,21,562.49493
-8.310052,12,563.223087
-2.1,21,564.228237
-2.2,22,565.280282
-8.610052,15,566.143889
-8.310052,12,566.877523
7.444661,12,567.606934
-0.2,13,568.39051
-2.1,21,569.390395
-2.1,21,570.440805
-7.910052,8,570.999744
-0.4,15,571.803014
7.844661,8,572.378315
-14.532015,8,572.960171
-0.2,13,573.727373
0.3,8,574.296351
7.744661,9,574.907359
-2.2,22,575.959956
7.844661,8,576.533422
7.444661,12,577.242829
7.844661,8,577.818396
7.444661,12,578.543812
-2.3,23,579.608846
6.644661,20,580.652226
-2.1,21,581.671722
-8.910052,18,582.635302
-2.2,22,583.665786
-2.1,21,584.651569
-2.1,21,585.656342
6.744661,19,586.670513
-0.6,17,587.580507
-0.5,16,588.505087
6.544661,21,589.609707
7.844661,8,590.201253
-8.910052,18,591.203543
-0.5,16,592.068639
-2.2,22,593.126874
7.544661,11,593.817932
-2.1,21,594.817721
0.1,10,595.484837
-0.7,18,596.472385
-9.93546,8,597.03883
7.844661,8,597.650688
-0.2,13,598.416483
-0.1,12,599.153618
7.444661,12,599.866068
7.844661,8,600.45445
7.844661,8,601.026892
7.844661,8,601.59551
-7.910052,8,602.168133
-0.6,17,603.097383
6.944661,17,604.026873
7.844661,8,604.615089
-8.410052,13,605.364312
6.844661,18,606.297807
0.2,9,606.916491
0.0,11,607.63971
-2.1,21,608.664345
0.2,9,609.28704
-8.310052,12,609.986792
-2.1,21,610.957442
6.644661,20,612.014424
-0.4,15,612.85325
-9.310052,22,614.004218
0.3,8,614.577606
-0.6,17,615.505056
7.844661,8,616.088824
-0.6,17,617.00939
-0.9,20,618.057943
0.0,11,618.742093
7.144661,15,619.54922
-2.2,22,620.553165
-0.1,12,621.237921
7.344661,13,622.030764
-0.4,15,622.882491
0.3,8,623.457567
-0.2,13,624.239763
-0.1,12,624.9288
-2.1,21,625.950573
0.3,8,626.523978
0.2,9,627.141098
6.644661,20,628.15893
-2.2,22,629.194492
-2.4,24,630.240538
-2.3,23,631.299626
-0.4,15,632.13745
7.744661,9,632.747343
-2.2,22,633.757228
-2.2,22,634.782364
0.0,11,635.49509
-2.1,21,636.489748
-0.2,13,637.280207
0.3,8,637.840792
-0.2,13,638.601531
7.744661,9,639.215194
-2.1,21,640.19555
-7.910052,8,640.75954
-7.910052,8,641.321978
0.3,8,641.892576
-7.910052,8,642.467764
0.1,10,643.097087
-0.1,12,643.822699
-2.1,21,644.780214
-9.93546,8,645.350334
0.2,9,645.9619
0.2,9,646.575945
0.3,8,647.173632
6.544661,21,648.305377
0.3,8,648.883323
7.244661,14,649.689552
7.844661,8,650.246906
-0.2,13,651.001967
-2.1,21,651.994833
6.644661,20,653.040939
0.0,11,653.717371
-2.2,22,654.746118
-8.110052,10,655.377951
0.3,8,655.943667
-2.1,21,656.976468
7.544661,11,657.645076
0.3,8,658.208052
-2.1,21,659.173706
0.2,9,659.786734
0.3,8,660.361291
-7.910052,8,660.920683
7.844661,8,661.482095
7.044661,16,662.372072
0.3,8,662.958993
6.644661,20,664.018515
-2.2,22,665.084435
7.844661,8,665.655874
-13.023058,9,666.273401
-0.1,12,666.995017
-2.2,22,667.997382
-2.1,21,669.036145
0.2,9,669.631414
-0.2,13,670.371655
7.844661,8,670.945867
7.844661,8,671.506264
0.1,10,672.127358
-2.1,21,673.095634
0.3,8,673.66341
-2.1,21,674.646415
-2.1,21,675.610339
-0.1,12,676.32057
7.844661,8,676.893989
0.3,8,677.468492
7.144661,15,678.313301
7.844661,8,678.883274
-7.910052,8,679.455357
-1.2,23,680.657733
-2.1,21,681.67882
-1.0,21,682.745393
7.044661,16,683.602769
-8.310052,12,684.331548
6.644661,20,685.378379
-8.310052,12,686.081573
7.844661,8,686.643035
7.644661,10,687.288676
-10.53546,14,688.086714
-14.532015,8,688.669453
7.444661,12,689.369291
-1.0,21,690.462954
-0.1,12,691.193551
7.744661,9,691.789515
-2.1,21,692.785303
-9.93546,8,693.356459
-8.310052,12,694.141168
-10.63546,15,694.993482
-2.1,21,695.996611
7.544661,11,696.669739
-7.910052,8,697.230476
0.3,8,697.820848
-8.210052,11,698.513543
7.444661,12,699.241213
7.844661,8,699.823639
7.844661,8,700.390507
-2.3,23,701.437112
-2.3,23,702.474231
-2.1,21,703.491045
7.544661,11,704.158888
-0.9,20,705.223034
0.2,9,705.831135
-2.1,21,706.833244
0.3,8,707.408681
-2.1,21,708.42526
7.244661,14,709.223578
-0.5,16,710.080489
-7.910052,8,710.647447
-2.2,22,711.671
-0.2,13,712.403362
-2.1,21,713.402426
-7.910052,8,713.971525
-2.1,21,714.985832
-2.1,21,715.974599
0.3,8,716.557139
7.744661,9,717.16777
7.844661,8,717.735738
7.844661,8,718.326362
