Episodes,Scores,Average,Total Rewards
0,6.944660805685808,6.944660805685808,6.944660805685808
1,6.444660805685808,6.694660805685808,13.389321611371624
2,-2.1000000000000005,3.7631072037905384,11.289321611371632
3,-2.1000000000000005,2.2973304028429036,9.18932161137164
4,0.30000000000000004,1.897864322274323,9.489321611371642
5,-2.1000000000000005,1.231553601895269,7.389321611371649
6,-2.1000000000000005,0.7556173730530877,5.289321611371657
7,-2.3000000000000007,0.37366520142145165,2.98932161137166
8,-0.6000000000000003,0.2654801790412903,2.3893216113716584
9,-2.1000000000000005,0.028932161137161218,0.28932161137165746
10,-2.1000000000000005,-0.16460712623894438,-1.8106783886283433
11,-2.1000000000000005,-0.3258898657190324,-3.910678388628345
12,-2.1000000000000005,-0.46235987604833767,-6.010678388628338
13,-2.2000000000000006,-0.5864770277591707,-8.210678388628331
14,7.144660805685808,-0.07106783886283878,-1.0660175829425178
15,-7.910051650250492,-0.561004327074567,-8.97606923319301
16,1.1102230246251565e-16,-0.528004072540769,-8.976069233193007
17,-2.1000000000000005,-0.6153371796218374,-11.076069233193
18,7.044660805685808,-0.21217939092143503,-4.031408427507186
19,-2.2000000000000006,-0.31157042137536334,-6.231408427507178
20,-2.3000000000000007,-0.40625754416701276,-8.53140842750717
21,-2.1000000000000005,-0.4832458376139667,-10.631408427507163
22,-0.19999999999999996,-0.47093080119596814,-10.831408427507158
23,-2.1000000000000005,-0.5388086844794695,-12.93140842750715
24,0.20000000000000007,-0.5092563371002907,-12.731408427507148
25,-2.2000000000000006,-0.5742849395195104,-14.93140842750714
26,-2.1000000000000005,-0.6307929047224915,-17.031408427507152
27,-2.1000000000000005,-0.6832645866966882,-19.131408427507182
28,-2.1000000000000005,-0.7321175319830094,-21.231408427507212
29,-2.1000000000000005,-0.7777136142502424,-23.33140842750724
30,-2.1000000000000005,-0.8203680137905572,-25.43140842750727
31,-0.8000000000000005,-0.8197315133596024,-26.231408427507297
32,-2.1000000000000005,-0.8585275281062811,-28.331408427507327
33,-2.1000000000000005,-0.8950414243384494,-30.431408427507357
34,1.1102230246251565e-16,-0.8694688122144937,-30.43140842750737
35,-2.1000000000000005,-0.9036502340974244,-32.5314084275074
36,7.744660805685808,-0.6699120978870668,-24.786747621821604
37,-2.2000000000000006,-0.7101775689953019,-26.986747621821635
38,-2.1000000000000005,-0.745814041585166,-29.086747621821665
39,-2.2000000000000006,-0.7821686905455368,-31.286747621821696
40,-2.1000000000000005,-0.8143109176054018,-33.386747621821726
41,6.944660805685808,-0.6295734956222777,-26.44208681613594
42,-2.2000000000000006,-0.6660950422357131,-28.642086816135972
43,-2.1000000000000005,-0.6986837912758106,-30.742086816136002
44,6.944660805685808,-0.5288316891211079,-23.797426010450216
45,-2.1000000000000005,-0.5629875219663013,-25.897426010450246
46,-2.2000000000000006,-0.5978175746904225,-28.097426010450278
47,-2.1000000000000005,-0.6291130418843721,-30.197426010450307
48,-0.19999999999999996,-0.6203556328663237,-30.397426010450324
49,-0.7000000000000004,-0.6219485202089972,-31.09742601045035
50,-2.2000000000000006,-0.6528907060872522,-33.29742601045038
51,-0.09999999999999987,-0.6422581925086512,-33.397426010450395
52,-2.1000000000000005,-0.6697627549141484,-35.497426010450425
53,7.844660805685808,-0.5120882445326677,-27.652765204764627
54,-2.2000000000000006,-0.5427775491775283,-29.85276520476466
55,-2.3000000000000007,-0.5741565215136438,-32.15276520476469
56,-2.1000000000000005,-0.6009257053467377,-34.25276520476472
57,-0.40000000000000013,-0.5974614690476561,-34.65276520476474
58,-2.2000000000000006,-0.6246231390637975,-36.85276520476477
59,-2.2000000000000006,-0.6508794200794009,-39.0527652047648
60,-2.2000000000000006,-0.6762748394223617,-41.252765204764835
61,-8.010051650250492,-0.7945615621776541,-49.26281685501534
62,-0.19999999999999996,-0.785124077063723,-49.462816855015355
63,-16.974642067435443,-1.0380852956632811,-66.43745892245082
64,-2.1000000000000005,-1.054422444960769,-68.5374589224507
65,-2.1000000000000005,-1.07026452912803,-70.63745892245058
66,-2.1000000000000005,-1.0856337152604474,-72.73745892245046
67,-2.1000000000000005,-1.1005508665066173,-74.83745892245034
68,-2.1000000000000005,-1.1150356365572458,-76.93745892245022
69,-2.2000000000000006,-1.1305351274635709,-79.1374589224501
70,6.544660805685808,-1.022433776292453,-72.59279811676417
71,-2.2000000000000006,-1.0387888627328357,-74.79279811676405
72,-9.210051650250492,-1.1507239694111595,-84.00284976701442
73,-2.1000000000000005,-1.1635520238785764,-86.1028497670143
74,-2.1000000000000005,-1.1760379968935286,-88.20284976701419
75,-14.732014705537482,-1.354406111480949,-102.93486447255162
76,-0.9000000000000006,-1.348504733409768,-103.83486447255152
77,-2.1000000000000005,-1.3581392881096426,-105.9348644725514
78,-2.1000000000000005,-1.3675299300323052,-108.03486447255128
79,7.744660805685808,-1.2536275458358288,-100.29020366686542
80,-2.2000000000000006,-1.2653111563810655,-102.4902036668653
81,7.044660805685808,-1.163970034892445,-95.4455428611794
82,-2.1000000000000005,-1.1752475043515722,-97.54554286117929
83,7.444660805685809,-1.0726295482796986,-90.10088205549341
84,1.1102230246251565e-16,-1.0600103771234668,-90.10088205549336
85,7.244660805685808,-0.9634444331373124,-82.85622124980748
86,6.544660805685808,-0.8771443729209547,-76.31156044412155
87,-2.1000000000000005,-0.8910404595923075,-78.41156044412143
88,-2.2000000000000006,-0.9057478701586861,-80.61156044412131
89,-2.3000000000000007,-0.9212395604902561,-82.91156044412118
90,-0.7000000000000004,-0.9188083565288248,-83.61156044412108
91,7.344660805685808,-0.828988039548231,-76.2668996384352
92,-2.1000000000000005,-0.8426548348219058,-78.36689963843509
93,-0.09999999999999987,-0.8347542514727366,-78.46689963843502
94,-2.2000000000000006,-0.849125259351971,-80.6668996384349
95,-0.5000000000000002,-0.8454885379003879,-81.16689963843481
96,-8.510051650250492,-0.9245046524606982,-89.67695128868523
97,-2.2000000000000006,-0.9375199111090585,-91.8769512886851
98,-2.1000000000000005,-0.9492621342291689,-93.97695128868499
99,7.344660805685808,-0.8663229048300193,-86.63229048299911
100,-0.7000000000000004,-0.8646761433960587,-87.33229048299901
101,6.944660805685808,-0.7881140164442756,-80.38762967731311
102,-0.7000000000000004,-0.7872585405564672,-81.08762967731302
103,-2.1000000000000005,-0.799881054589578,-83.1876296773129
104,-2.1000000000000005,-0.8122631397839629,-85.28762967731278
105,-2.1000000000000005,-0.8244116007293971,-87.38762967731266
106,-2.2000000000000006,-0.8372675670777205,-89.58762967731253
107,0.30000000000000004,-0.8267373118270009,-89.2876296773125
108,-2.1000000000000005,-0.8384186208928083,-91.38762967731238
109,-2.1000000000000005,-0.8498875425210554,-93.48762967731226
110,-0.8000000000000005,-0.8494381052010459,-94.28762967731215
111,-8.310051650250491,-0.9160507261389873,-102.59768132756258
112,-2.1000000000000005,-0.9265281533412971,-104.69768132756246
113,-2.1000000000000005,-0.9368217660312856,-106.79768132756234
114,-2.1000000000000005,-0.946936359370144,-108.89768132756222
115,-2.1000000000000005,-0.9568765631686772,-110.9976813275621
116,-2.3000000000000007,-0.9683562506629619,-113.29768132756197
117,-2.1000000000000005,-0.97794645192853,-115.39768132756186
118,0.30000000000000004,-0.9672074061140046,-115.09768132756182
119,-2.1000000000000005,-0.9766473443963879,-117.1976813275617
120,-2.1000000000000005,-0.9859312506410458,-119.29768132756158
121,-2.1000000000000005,-0.995062961701365,-121.39768132756146
122,-2.2000000000000006,-1.0048591977850938,-123.59768132756133
123,-7.910051650250492,-1.0605462336920728,-131.50773297781177
124,-8.710051650250492,-1.1217422770245402,-140.2177846280622
125,-2.2000000000000006,-1.130299878000536,-142.41778462806207
126,-9.935459868534009,-1.1996318464299331,-152.35324449659603
127,-2.1000000000000005,-1.2066659726296993,-154.45324449659591
128,-8.910051650250493,-1.2663821406732714,-163.36329614684632
129,-2.2000000000000006,-1.2735638165142462,-165.5632961468462
130,-2.2000000000000006,-1.2806358484492517,-167.76329614684607
131,-2.1000000000000005,-1.2868431526276665,-169.86329614684595
132,-9.110051650250492,-1.3456642691511462,-178.97334779709632
133,-2.1000000000000005,-1.351293640276884,-181.0733477970962
134,6.544660805685808,-1.2928050888253084,-174.52868699141027
135,-2.1000000000000005,-1.2987403455251223,-176.62868699141015
136,-2.1000000000000005,-1.3045889561417272,-178.72868699141003
137,-2.1000000000000005,-1.3103528042856276,-180.8286869914099
138,-2.1000000000000005,-1.3160337193627094,-182.9286869914098
139,-2.2000000000000006,-1.3223477642244044,-185.12868699140967
140,-2.2000000000000006,-1.328572248166075,-187.32868699140954
141,7.544660805685808,-1.2660846914488084,-179.7840261857237
142,-2.1000000000000005,-1.2719162670330824,-181.88402618572357
143,7.744660805685808,-1.2093011484725347,-174.1393653800377
144,-2.2000000000000006,-1.2161335543451377,-176.33936538003758
145,-0.5000000000000002,-1.211228530000308,-176.8393653800375
146,-2.1000000000000005,-1.2172745944220746,-178.93936538003737
147,-2.3000000000000007,-1.2245903066219255,-181.23936538003724
148,-2.2000000000000006,-1.2311366804029864,-183.43936538003712
149,0.10000000000000009,-1.2222624358669665,-183.33936538003707
150,0.20000000000000007,-1.2128434793380463,-183.13936538003702
151,7.844660805685808,-1.153254635357626,-175.29470457435116
152,-2.2000000000000006,-1.1600961083291448,-177.49470457435103
153,-2.3000000000000007,-1.167498081651683,-179.7947045743509
154,7.644660805685808,-1.1106454436688604,-172.15004376866506
155,-2.1000000000000005,-1.1169874600555985,-174.25004376866494
156,7.644660805685808,-1.0611807832037423,-166.6053829629791
157,7.844660805685808,-1.0048146971981122,-158.76072215729323
158,-9.110051650250492,-1.0557910302361775,-167.87077380754363
159,-2.2000000000000006,-1.0629423362972013,-170.0707738075435
160,-2.1000000000000005,-1.0693836882456658,-172.17077380754338
161,-0.8000000000000005,-1.0677208259725446,-172.97077380754328
162,-0.7000000000000004,-1.0654648699849827,-173.67077380754318
163,-2.3000000000000007,-1.0729925232167818,-175.97077380754305
164,7.144660805685808,-1.0231885636476752,-168.82611300185715
165,-7.910051650250492,-1.064675690675403,-176.73616465210762
166,6.644660805685808,-1.0185119990804254,-170.0915038464217
167,-2.1000000000000005,-1.0249494276573277,-172.19150384642157
168,0.30000000000000004,-1.0171094902155684,-171.89150384642153
169,-2.1000000000000005,-1.023479434390771,-173.9915038464214
170,-2.1000000000000005,-1.0297748762949184,-176.0915038464213
171,-2.2000000000000006,-1.036578510735064,-178.29150384642116
172,-2.1000000000000005,-1.042725455759717,-180.39150384642105
173,-2.1000000000000005,-1.0488017462438564,-182.49150384642093
174,-0.6000000000000003,-1.0462371648367486,-183.09150384642084
175,-2.1000000000000005,-1.0522244536729035,-185.19150384642072
176,7.044660805685808,-1.0064793392132496,-178.14684304073484
