historical,done_penalty,bonus_factor,counter_done_max_changes,segments,rewards_sum,entropy_map,reward_game,agent,entropy,reward,is_done_success,changes_penalty,representation,counter_done_interations,discount_reward,done_bonus,reward_experience_bonus,discount_rewards,piece_penalty,experience_bonus,counter_changes,counter_done
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([4], dtype=int64), array([4], dtype=int64), array([54], dtype=int64), array([5], dtype=int64), array([34], dtype=int64), array([60], dtype=int64), array([14], dtype=int64), array([34], dtype=int64), array([34], dtype=int64), array([12], dtype=int64), array([14], dtype=int64), array([15], dtype=int64), array([28], dtype=int64), array([75], dtype=int64), array([34], dtype=int64), array([17], dtype=int64), array([35], dtype=int64)]}",,1.1114378604524227,0,[35 12 14 15 28 75 34 17],6.944660805685808,1.0432400081016662,3.0,,3.0,8.544660805685808,True,,narrow-puzzle,0,,50.0,8.631816345903804,7.132736505407453,0,1.0102,17,0
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([44], dtype=int64), array([64], dtype=int64), array([35], dtype=int64), array([12], dtype=int64), array([67], dtype=int64), array([75], dtype=int64), array([68], dtype=int64), array([34], dtype=int64), array([75], dtype=int64), array([51], dtype=int64), array([28], dtype=int64), array([58], dtype=int64), array([35], dtype=int64), array([26], dtype=int64), array([47], dtype=int64), array([4], dtype=int64), array([35], dtype=int64), array([51], dtype=int64), array([15], dtype=int64), array([26], dtype=int64), array([3], dtype=int64), array([52], dtype=int64)]}",,1.0,1,[35 51 15 26  3 52 47  4],6.444660805685808,1.0379666885986893,3.0,,3.0,8.544660805685808,True,,narrow-puzzle,0,,50.0,8.63352527806494,6.721333778282979,0,1.0104,21,1
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([15], dtype=int64), array([35], dtype=int64), array([28], dtype=int64), array([54], dtype=int64), array([12], dtype=int64), array([66], dtype=int64), array([4], dtype=int64), array([35], dtype=int64)]}",,1.620185174601965,3,[15 35 28 54 12 66  4 35],0.30000000000000004,1.0424033449693637,0.0,,2.75,1.0,True,,narrow-puzzle,0,,10.0,1.0106,0.6226045161609863,0,1.0106,8,2
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([14], dtype=int64), array([40], dtype=int64), array([69], dtype=int64), array([38], dtype=int64), array([27], dtype=int64), array([26], dtype=int64), array([28], dtype=int64), array([54], dtype=int64), array([26], dtype=int64), array([35], dtype=int64), array([28], dtype=int64), array([47], dtype=int64), array([14], dtype=int64), array([15], dtype=int64), array([14], dtype=int64), array([12], dtype=int64), array([60], dtype=int64)]}",,1.1114378604524227,6,[60 35 28 47 14 15 14 12],-0.6000000000000003,1.0311971924185719,9.0,,2.75,1.0,True,,narrow-puzzle,0,,10.0,1.0108,0.1624992516282605,0,1.0108,17,3
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([12], dtype=int64), array([3], dtype=int64), array([17], dtype=int64), array([26], dtype=int64), array([12], dtype=int64), array([27], dtype=int64), array([78], dtype=int64), array([34], dtype=int64), array([0], dtype=int64), array([69], dtype=int64), array([60], dtype=int64), array([9], dtype=int64), array([4], dtype=int64), array([44], dtype=int64), array([28], dtype=int64)]}",,1.1832159566199232,11,[ 0 69 60  9  4 44 28 34],7.144660805685808,1.0392241552719612,10.0,,3.0,8.544660805685808,True,,narrow-puzzle,0,,50.0,8.638652074548352,7.301135638445869,0,1.011,15,4
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -7.210051650250492], 'action': [array([0], dtype=int64), array([14], dtype=int64), array([26], dtype=int64), array([0], dtype=int64), array([35], dtype=int64), array([35], dtype=int64), array([76], dtype=int64), array([75], dtype=int64)]}",,1.620185174601965,11,[ 0 14 26  0 35 35 76 75],-7.910051650250492,1.040682514260047,0.0,,2.5,-7.210051650250492,True,,narrow-puzzle,0,,0.0,-7.290804228733298,-7.30577109637227,0,1.0112,8,5
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([75], dtype=int64), array([27], dtype=int64), array([28], dtype=int64), array([34], dtype=int64), array([34], dtype=int64), array([47], dtype=int64), array([4], dtype=int64), array([16], dtype=int64), array([6], dtype=int64), array([29], dtype=int64), array([3], dtype=int64)]}",,1.381698559415515,11,[ 6 29  3 34 34 47  4 16],1.1102230246251565e-16,1.0251819868803838,6.0,,2.75,1.0,True,,narrow-puzzle,0,,10.0,1.0114,0.4661745741283555,0,1.0114,11,6
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([28], dtype=int64), array([33], dtype=int64), array([76], dtype=int64), array([34], dtype=int64), array([28], dtype=int64), array([9], dtype=int64), array([65], dtype=int64), array([45], dtype=int64), array([47], dtype=int64), array([14], dtype=int64), array([36], dtype=int64), array([26], dtype=int64), array([34], dtype=int64), array([16], dtype=int64), array([76], dtype=int64), array([12], dtype=int64)]}",,1.1456439237389602,12,[47 14 36 26 34 16 76 12],7.044660805685808,1.0430541110796498,3.0,,3.0,8.544660805685808,True,,narrow-puzzle,0,,50.0,8.643778871031763,7.216657814787935,0,1.0116,16,7
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([26], dtype=int64), array([14], dtype=int64), array([60], dtype=int64), array([28], dtype=int64), array([49], dtype=int64), array([44], dtype=int64), array([0], dtype=int64), array([34], dtype=int64), array([14], dtype=int64), array([52], dtype=int64), array([28], dtype=int64), array([49], dtype=int64), array([14], dtype=int64)]}",,1.2709778186044849,15,[14 52 28 49 14 44  0 34],-0.19999999999999996,1.0396121134385912,4.0,,2.75,1.0,True,,narrow-puzzle,0,,10.0,1.0118,0.36360574624117026,0,1.0118,13,8
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([75], dtype=int64), array([66], dtype=int64), array([14], dtype=int64), array([28], dtype=int64), array([51], dtype=int64), array([14], dtype=int64), array([9], dtype=int64), array([0], dtype=int64), array([1], dtype=int64)]}",,1.5275252316519468,16,[ 1 66 14 28 51 14  9  0],0.20000000000000007,1.041318296917377,4.0,,2.75,1.0,True,,narrow-puzzle,0,,10.0,1.012,0.5701141964438902,0,1.012,9,9
