reward_game,done_penalty,agent,piece_penalty,reward_experience_bonus,segments,rewards_sum,is_done_success,discount_reward,done_bonus,experience_bonus,counter_done_interations,counter_done_max_changes,counter_changes,entropy,counter_done,historical,representation,changes_penalty,bonus_factor,entropy_map,reward,discount_rewards
6.0,,,0,8.631816345903804,[151  90 163 246  88 145 213 104],7.544660805685808,True,,50.0,1.0102,0,2,11,3.0,0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([203], dtype=int64), array([264], dtype=int64), array([164], dtype=int64), array([246], dtype=int64), array([88], dtype=int64), array([145], dtype=int64), array([213], dtype=int64), array([104], dtype=int64), array([151], dtype=int64), array([90], dtype=int64), array([163], dtype=int64)]}",narrow-puzzle,,1.381698559415515,1.1729459756332499,8.544660805685808,7.644696128209407
6.0,,,0,1.0104,[164 189 122 287 169  88 164 104],-0.9000000000000006,True,,10.0,1.0104,0,2,19,2.75,1,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([127], dtype=int64), array([104], dtype=int64), array([129], dtype=int64), array([129], dtype=int64), array([203], dtype=int64), array([169], dtype=int64), array([244], dtype=int64), array([88], dtype=int64), array([163], dtype=int64), array([177], dtype=int64), array([226], dtype=int64), array([129], dtype=int64), array([169], dtype=int64), array([88], dtype=int64), array([164], dtype=int64), array([104], dtype=int64), array([164], dtype=int64), array([189], dtype=int64), array([122], dtype=int64), array([287], dtype=int64)]}",narrow-puzzle,,1.0513149660756935,1.179147863682991,1.0,0.015118432152302103
6.0,,,0,8.635234210226077,[205 179  90 169 246 203  41 104],7.444660805685809,True,,50.0,1.0106,0,2,12,3.0,2,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([177], dtype=int64), array([104], dtype=int64), array([27], dtype=int64), array([104], dtype=int64), array([246], dtype=int64), array([203], dtype=int64), array([41], dtype=int64), array([104], dtype=int64), array([205], dtype=int64), array([179], dtype=int64), array([90], dtype=int64), array([169], dtype=int64)]}",narrow-puzzle,,1.3228756555322954,1.1829263286087297,8.544660805685808,7.557950136823856
0.0,,,0,8.636943142387214,[104 195 129 163 226  41 126 168],7.844660805685808,True,,50.0,1.0108,0,15,8,3.0,3,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([104], dtype=int64), array([195], dtype=int64), array([129], dtype=int64), array([163], dtype=int64), array([226], dtype=int64), array([41], dtype=int64), array([126], dtype=int64), array([168], dtype=int64)]}",narrow-puzzle,,1.620185174601965,1.153781025444297,8.544660805685808,7.908417965922883
6.0,,,0,8.638652074548352,[189  36 163 203 164 104  88  53],6.544660805685808,True,,50.0,1.011,0,17,21,3.0,4,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([161], dtype=int64), array([257], dtype=int64), array([129], dtype=int64), array([164], dtype=int64), array([126], dtype=int64), array([163], dtype=int64), array([129], dtype=int64), array([189], dtype=int64), array([104], dtype=int64), array([129], dtype=int64), array([65], dtype=int64), array([169], dtype=int64), array([163], dtype=int64), array([104], dtype=int64), array([88], dtype=int64), array([53], dtype=int64), array([189], dtype=int64), array([36], dtype=int64), array([163], dtype=int64), array([203], dtype=int64), array([164], dtype=int64)]}",narrow-puzzle,,1.0,1.1918370687558242,8.544660805685808,6.8025340219595805
10.0,,,0,1.0112,[226  52 109 164 117  68  41 164],-1.1000000000000005,True,,10.0,1.0112,0,23,21,2.75,5,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([126], dtype=int64), array([88], dtype=int64), array([192], dtype=int64), array([125], dtype=int64), array([164], dtype=int64), array([104], dtype=int64), array([129], dtype=int64), array([164], dtype=int64), array([177], dtype=int64), array([85], dtype=int64), array([168], dtype=int64), array([268], dtype=int64), array([163], dtype=int64), array([129], dtype=int64), array([41], dtype=int64), array([164], dtype=int64), array([226], dtype=int64), array([52], dtype=int64), array([109], dtype=int64), array([164], dtype=int64), array([117], dtype=int64), array([68], dtype=int64)]}",narrow-puzzle,,1.0,1.135060504499998,1.0,-0.08152947695229877
3.0,,,0,1.0114,[ 65  36 163 282 104 126 177  36],-0.5000000000000002,True,,10.0,1.0114,0,25,16,2.75,6,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([104], dtype=int64), array([85], dtype=int64), array([42], dtype=int64), array([88], dtype=int64), array([123], dtype=int64), array([231], dtype=int64), array([104], dtype=int64), array([244], dtype=int64), array([65], dtype=int64), array([36], dtype=int64), array([163], dtype=int64), array([282], dtype=int64), array([104], dtype=int64), array([126], dtype=int64), array([177], dtype=int64), array([36], dtype=int64)]}",narrow-puzzle,,1.1456439237389602,1.1960916060237927,1.0,0.21227823722729977
9.0,,,0,8.643778871031763,[164 163  85  90 104 287 171 151],7.644660805685808,True,,50.0,1.0116,0,26,10,3.0,7,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([206], dtype=int64), array([104], dtype=int64), array([85], dtype=int64), array([90], dtype=int64), array([104], dtype=int64), array([287], dtype=int64), array([171], dtype=int64), array([151], dtype=int64), array([164], dtype=int64), array([163], dtype=int64)]}",narrow-puzzle,,1.4491376746189437,1.1780796027295077,8.544660805685808,7.732019859052291
6.0,,,0,8.645487803192902,[104 195 164  88  65  55 118 163],6.7446608056858075,True,,50.0,1.0118,0,45,19,3.0,8,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([151], dtype=int64), array([203], dtype=int64), array([118], dtype=int64), array([203], dtype=int64), array([164], dtype=int64), array([65], dtype=int64), array([65], dtype=int64), array([231], dtype=int64), array([174], dtype=int64), array([257], dtype=int64), array([68], dtype=int64), array([88], dtype=int64), array([65], dtype=int64), array([55], dtype=int64), array([118], dtype=int64), array([163], dtype=int64), array([104], dtype=int64), array([195], dtype=int64), array([164], dtype=int64)]}",narrow-puzzle,,1.0513149660756935,1.1701125640781824,8.544660805685808,6.966546886076954
9.0,,,0,1.012,[168 163 104 129 109 118 109 126],1.1102230246251565e-16,True,,10.0,1.012,0,51,11,2.75,9,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([41], dtype=int64), array([104], dtype=int64), array([213], dtype=int64), array([129], dtype=int64), array([109], dtype=int64), array([118], dtype=int64), array([109], dtype=int64), array([126], dtype=int64), array([168], dtype=int64), array([163], dtype=int64), array([104], dtype=int64)]}",narrow-puzzle,,1.381698559415515,1.1337590871019105,1.0,0.4661745741283555
6.0,,,0,8.648905667515175,[ 41 246 129 163 123 124 151 104],6.7446608056858075,True,,50.0,1.0122,0,52,19,3.0,10,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([67], dtype=int64), array([125], dtype=int64), array([257], dtype=int64), array([90], dtype=int64), array([68], dtype=int64), array([203], dtype=int64), array([104], dtype=int64), array([57], dtype=int64), array([90], dtype=int64), array([179], dtype=int64), array([163], dtype=int64), array([163], dtype=int64), array([123], dtype=int64), array([124], dtype=int64), array([151], dtype=int64), array([104], dtype=int64), array([41], dtype=int64), array([246], dtype=int64), array([129], dtype=int64)]}",narrow-puzzle,,1.0513149660756935,1.179332725254342,8.544660805685808,6.966546886076954
