#{"t_start": 1682658088.0875175, "env_id": null}
r,l,t
-2.1,21,1.472554
-2.1,21,2.850267
-2.1,21,4.273588
-2.1,21,5.648846
6.944661,17,6.916118
-2.1,21,8.314818
-2.1,21,9.751994
-2.1,21,11.159912
-2.1,21,12.57549
-2.1,21,13.990776
-2.1,21,15.385026
-2.1,21,16.794834
-2.1,21,18.198905
-2.1,21,19.583147
-2.1,21,21.007288
-2.1,21,22.469263
-2.1,21,23.874205
-2.1,21,25.283375
-0.8,19,26.633517
-2.1,21,28.030219
-0.2,13,29.034633
-2.1,21,30.440304
-2.1,21,31.845216
-2.1,21,33.259765
-2.1,21,34.680489
-0.9,20,36.130859
-2.1,21,37.535127
-2.1,21,38.975991
-2.1,21,40.329997
-2.1,21,41.791376
-2.1,21,43.213187
-2.1,21,44.577886
-2.1,21,46.015749
-2.1,21,47.449699
-2.1,21,48.83617
-2.1,21,50.226146
-2.1,21,51.623873
-2.1,21,53.043349
-2.1,21,54.439935
-2.1,21,55.868591
7.644661,10,56.775441
-2.1,21,58.191016
-2.1,21,59.59665
-2.1,21,60.965958
-2.1,21,62.333631
-2.1,21,63.732418
-2.1,21,65.124361
-2.1,21,66.493755
7.344661,13,67.485177
-0.1,12,68.423327
-2.1,21,69.817002
-2.1,21,71.224299
-2.1,21,72.6143
-2.1,21,74.037474
-2.1,21,75.421436
-0.5,16,76.61033
-2.1,21,78.025723
-2.1,21,79.444312
-2.1,21,80.844188
7.144661,15,81.955543
-2.1,21,83.36819
-2.1,21,84.78737
-2.1,21,86.193911
-2.1,21,87.614462
7.444661,12,88.573096
-2.1,21,89.997747
-2.1,21,91.410653
-2.1,21,92.829563
-2.1,21,94.224132
-2.1,21,95.613384
-2.1,21,97.055334
-2.1,21,98.486084
-2.1,21,99.892737
-2.1,21,101.296369
-2.1,21,102.718784
-2.1,21,104.102029
-2.1,21,105.540138
-2.1,21,106.972713
-2.1,21,108.336442
7.044661,16,109.547915
-2.1,21,110.977961
-2.1,21,112.385744
-2.1,21,113.798255
-2.1,21,115.222059
-2.1,21,116.704471
-2.1,21,118.165843
-2.1,21,119.546147
-2.1,21,120.95014
-2.1,21,122.373487
-2.1,21,123.769926
-2.1,21,125.121556
-2.1,21,126.513099
-2.1,21,127.882998
-0.5,16,129.045043
-2.1,21,130.471544
0.0,11,131.35639
-2.1,21,132.747754
-2.1,21,134.153692
-2.1,21,135.571811
-2.1,21,136.935273
-2.1,21,138.352513
-2.1,21,139.767733
-2.1,21,141.167358
-2.1,21,142.594787
-2.1,21,144.026988
-2.1,21,145.446758
-2.1,21,146.877728
7.344661,13,147.902753
-2.1,21,149.297602
-2.1,21,150.676346
-2.1,21,152.040349
-2.1,21,153.470815
-0.4,15,154.606183
-2.1,21,156.03933
-2.1,21,157.476882
-2.1,21,158.890949
-2.1,21,160.319427
-2.1,21,161.714788
-2.1,21,163.134344
-2.1,21,164.55086
-2.1,21,165.932777
-2.1,21,167.318697
-2.1,21,168.744657
-0.5,16,169.95284
7.644661,10,170.761734
-2.1,21,172.154148
-2.1,21,173.579763
-2.1,21,175.018855
-2.1,21,176.413997
-2.1,21,177.824565
-0.7,18,179.108104
-9.010052,19,180.487565
-2.1,21,181.914187
-2.1,21,183.301969
-2.1,21,184.690613
0.0,11,185.570979
-2.1,21,186.960303
-2.1,21,188.402676
-2.1,21,189.791893
-2.1,21,191.215756
-2.1,21,192.580098
7.544661,11,193.466071
6.944661,17,194.719148
-2.1,21,196.128724
-2.1,21,197.526667
-2.1,21,198.920857
-2.1,21,200.337388
-2.1,21,201.74224
-2.1,21,203.241959
-0.7,18,204.547679
-2.1,21,205.921366
-2.1,21,207.307837
-2.1,21,208.702876
-2.1,21,210.116563
-2.1,21,211.527829
-2.1,21,212.920305
-2.1,21,214.296425
0.2,9,215.070803
-2.1,21,216.467803
-2.1,21,217.837301
-2.1,21,219.228856
-2.1,21,220.640997
7.844661,8,221.355457
7.544661,11,222.217971
-2.1,21,223.605175
-2.1,21,224.998414
-2.1,21,226.40626
-2.1,21,227.803233
-2.1,21,229.235235
-2.1,21,230.681272
-2.1,21,232.09224
-2.1,21,233.511647
-2.1,21,234.904569
-2.1,21,236.28486
-2.1,21,237.683284
-2.1,21,239.127939
-2.1,21,240.546394
-2.1,21,241.939466
-2.1,21,243.29071
-2.1,21,244.670664
-2.1,21,246.074826
-2.1,21,247.419383
-2.1,21,248.783834
-2.1,21,250.163555
-2.1,21,251.566679
-2.1,21,252.993479
-2.1,21,254.407215
-2.1,21,255.817417
-2.1,21,257.221434
-2.1,21,258.632355
-2.1,21,260.02234
-2.1,21,261.429559
-2.1,21,262.92941
-2.1,21,264.297212
-2.1,21,265.704137
-2.1,21,267.120628
-2.1,21,268.523025
-2.1,21,269.914129
-2.1,21,271.298692
-2.1,21,272.693835
-2.1,21,274.116979
-2.1,21,275.493384
-2.1,21,276.871927
-2.1,21,278.267186
-2.1,21,279.711707
-2.1,21,281.070815
-2.1,21,282.47325
-2.1,21,283.852805
-2.1,21,285.248366
-2.1,21,286.640982
-2.1,21,288.06102
-2.1,21,289.486168
-2.1,21,290.89838
-2.1,21,292.291586
-2.1,21,293.672449
-2.1,21,295.094394
-2.1,21,296.473278
-2.1,21,297.921087
-2.1,21,299.325554
-2.1,21,300.747281
-2.1,21,302.143272
-2.1,21,303.515142
-2.1,21,304.8928
-0.5,16,306.078823
-2.1,21,307.477123
-2.1,21,308.875997
-2.1,21,310.228275
-2.1,21,311.622567
-2.1,21,313.014239
6.944661,17,314.216403
-2.1,21,315.623358
-2.1,21,317.021571
-2.1,21,318.435823
-2.1,21,319.829438
-2.1,21,321.229995
-2.1,21,322.662153
7.544661,11,323.576692
-2.1,21,325.022319
-2.1,21,326.425062
-2.1,21,327.880429
-2.1,21,329.28531
-2.1,21,330.729484
-2.1,21,332.127849
-2.1,21,333.52341
-2.1,21,334.943783
-2.1,21,336.350963
7.244661,14,337.405098
6.844661,18,338.719758
-2.1,21,340.134919
-1.0,21,341.60094
-2.1,21,342.992496
-2.1,21,344.363038
-2.1,21,345.795835
7.544661,11,346.688454
-2.1,21,348.097577
-2.1,21,349.457843
-2.1,21,350.892059
-2.1,21,352.276581
-2.1,21,353.669796
-2.1,21,355.053745
-2.1,21,356.469285
7.544661,11,357.370479
-2.1,21,358.814802
-2.1,21,360.265945
-2.1,21,361.643947
-2.1,21,363.028564
-2.1,21,364.457334
-2.1,21,365.854515
-2.1,21,367.247023
-2.1,21,368.647157
-2.1,21,370.015752
-2.1,21,371.394703
-0.3,14,372.439809
-2.1,21,373.865009
-2.1,21,375.278462
0.1,10,376.107024
-2.1,21,377.488497
-2.1,21,378.907187
-2.1,21,380.295173
-2.1,21,381.703494
-2.1,21,383.205662
-2.1,21,384.610434
-2.1,21,386.04881
-2.1,21,387.4254
-2.1,21,388.871644
-2.1,21,390.268384
-0.2,13,391.297761
-2.1,21,392.722261
-2.1,21,394.160188
6.644661,20,395.606768
-2.1,21,397.016897
6.944661,17,398.249615
-2.1,21,399.649177
7.844661,8,400.364532
-2.1,21,401.773327
-2.1,21,403.166397
-2.1,21,404.536781
-2.1,21,405.913722
-2.1,21,407.33922
-2.1,21,408.741061
-0.6,17,409.978349
-2.1,21,411.393084
-2.1,21,412.803982
-2.1,21,414.210323
-2.1,21,415.637765
-2.1,21,417.026963
-2.1,21,418.431987
-2.1,21,419.806227
-2.1,21,421.219789
-2.1,21,422.577112
-2.1,21,423.962808
-2.1,21,425.326592
-2.1,21,426.699674
-2.1,21,428.077531
-2.1,21,429.464097
7.744661,9,430.244736
-2.1,21,431.638014
-2.1,21,433.028325
-2.1,21,434.452332
-2.1,21,435.874241
-2.1,21,437.298997
-2.1,21,438.717869
-2.1,21,440.120825
-2.1,21,441.532846
-2.1,21,442.974504
-2.1,21,444.391726
-2.1,21,445.79155
7.044661,16,446.983032
-2.1,21,448.367712
-2.1,21,449.796351
-2.1,21,451.197236
-2.1,21,452.644187
-2.1,21,454.028467
-2.1,21,455.446536
-2.1,21,456.882198
-2.1,21,458.333767
-2.1,21,459.742752
-2.1,21,461.147692
-2.1,21,462.543984
