Episodes,Scores,Average,Total Rewards
0,-12.099999999999994,-12.099999999999994,-12.099999999999994
1,7.044660805685808,-2.527669597157093,-5.055339194314181
2,-6.3999999999999995,-3.818446398104728,-11.455339194314176
3,-5.9999999999999964,-4.363834798578545,-17.45533919431418
4,0.30000000000000004,-3.431067838862836,-17.15533919431419
5,-12.31005165025049,-4.910898474094112,-29.465390844564695
6,6.544660805685808,-3.2743900055541233,-22.920730038878915
7,-12.210051650250492,-4.391347711141169,-35.13078168912942
8,-4.1000000000000005,-4.358975743236595,-39.23078168912945
9,-2.6553391943141893,-4.188612088344354,-41.88612088344366
10,-4.199999999999999,-4.189647353040322,-46.08612088344368
11,-6.099999999999998,-4.348843406953628,-52.18612088344371
12,-2.1000000000000005,-4.17585545257258,-54.286120883443736
13,-23.13201470553748,-5.529866827784359,-77.41813558898124
14,2.9446608056858103,-4.9648983188863465,-74.47347478329534
15,-14.210051650250492,-5.542720402096606,-88.68352643354578
16,0.30000000000000004,-5.1990309666791585,-88.38352643354574
17,7.844660805685808,-4.474381423769994,-80.53886562785989
18,-10.099999999999996,-4.770466611992625,-90.63886562785977
19,3.4446608056858103,-4.359710241108703,-87.1942048221739
20,4.544660805685808,-3.935692572213727,-82.64954401648798
21,-2.1000000000000005,-3.8522520007494663,-84.74954401648786
22,-4.899999999999997,-3.8978062615864455,-89.64954401648775
23,-3.6999999999999993,-3.889564334020344,-93.34954401648771
24,5.344660805685807,-3.5201953284320977,-88.00488321080184
25,-18.41005165025049,-4.092882110040498,-106.41493486105226
26,-18.53201470553748,-4.627664798762608,-124.9469495665897
27,-21.223057751860154,-5.220357404230378,-146.1700073184498
28,-6.099999999999997,-5.250689907532779,-152.27000731844967
29,7.744660805685808,-4.817511550425492,-144.5253465127638
30,7.744660805685808,-4.4122801840993215,-136.78068570707796
31,-7.0,-4.4931464283462175,-143.78068570707785
32,7.844660805685808,-4.119273481860398,-135.936024901392
33,-2.5000000000000004,-4.071647791217446,-138.4360249013919
34,-13.910051650250491,-4.352745044332676,-152.34607655164234
35,-4.1000000000000005,-4.345724348656768,-156.44607655164222
36,0.30000000000000004,-4.220164231125503,-156.14607655164218
37,-2.5553391943141897,-4.176353045946259,-158.7014157459563
38,1.1446608056858087,-4.039916793340308,-157.55675494027042
39,-6.099999999999999,-4.0914188735068,-163.6567549402703
40,-1.9,-4.0379696326895615,-165.55675494027025
41,-4.3999999999999995,-4.04658940333981,-169.95675494027017
42,7.644660805685808,-3.774699863595028,-162.3120941345843
43,1.1102230246251565e-16,-3.6889112303315046,-162.31209413458424
44,-13.910051650250491,-3.916047684107482,-176.2221457848347
45,0.30000000000000004,-3.824394473583406,-175.92214578483467
46,-4.1000000000000005,-3.830258420953972,-180.02214578483455
47,7.844660805685808,-3.5870309370656432,-172.1774849791487
48,7.744660805685808,-3.35577192190745,-164.43282417346285
49,-1.8000000000000003,-3.3246564834693015,-166.2328241734628
50,-6.399999999999999,-3.3849573367346095,-172.63282417346272
51,-0.19999999999999996,-3.3237081571820206,-172.83282417346265
52,7.344660805685808,-3.122418176750552,-165.4881633677768
53,-2.4000000000000004,-3.1090400623662826,-167.8881633677767
54,-2.0000000000000004,-3.0888756975959866,-169.88816336777666
55,7.544660805685808,-2.8989911171802407,-162.3435025620908
56,-3.6999999999999984,-2.913043904598131,-166.04350256209077
57,-14.899999999999997,-3.1197155614154046,-180.94350256209066
58,-25.732014705537477,-3.5029748689428972,-206.67551726762804
59,-8.099999999999994,-3.5795919544605157,-214.77551726762792
60,7.844660805685808,-3.3923091223269695,-206.93085646194208
61,7.444660805685809,-3.2175192847783762,-199.4861956562562
62,-2.1,-3.1997808834326875,-201.58619565625614
63,-10.1,-3.307596807129052,-211.68619565625602
64,-26.932014705537483,-3.6710493901814893,-238.61821036179344
65,-2.0,-3.6457304600272242,-240.6182103617934
66,-4.1000000000000005,-3.6525106024148775,-244.71821036179327
67,-24.53201470553748,-3.959562133343151,-269.2502250673307
68,-1.7000000000000002,-3.9268148560483227,-270.95022506733085
69,-6.599999999999998,-3.9650032152476324,-277.5502250673312
70,7.644660805685808,-3.801486820586598,-269.9055642616456
71,2.844660805685809,-3.709179214666148,-267.0609034559602
72,-17.01005165025049,-3.891382946660454,-284.0709551062111
73,-12.099999999999996,-4.002310204138015,-296.1709551062116
74,-12.899999999999995,-4.120946068082842,-309.070955106212
75,-14.099999999999994,-4.252249409292278,-323.1709551062125
76,-6.099999999999995,-4.27624617021056,-329.27095510621297
77,-6.199999999999999,-4.3009096808488865,-335.47095510621324
78,-11.910051650250491,-4.397227933626121,-347.3810067564639
79,-21.110051650250483,-4.606138230083926,-368.4910584067148
80,-9.910051650250491,-4.671618642678574,-378.4011100569654
81,7.844660805685808,-4.518981088430228,-370.5564492512798
82,-3.6999999999999984,-4.509113846400948,-374.25644925127995
83,6.944660805685808,-4.372759386257058,-367.3117884455945
84,-8.1,-4.4166092758305044,-375.411788445595
85,-8.099999999999996,-4.45943940053015,-383.51178844559547
86,-6.099999999999994,-4.47829641891486,-389.61178844559595
