segments,segments
4,1
10,1
11,1
12,2
14,2
16,1
17,1
18,1
21,1
22,1
24,2
25,2
26,1
28,1
29,1
30,1
35,3
36,1
38,4
39,1
44,1
47,4
48,2
49,4
52,2
55,2
57,1
58,1
60,2
61,1
64,1
65,6
67,1
68,2
72,1
74,1
75,3
76,2
77,1
78,1
82,1
84,4
85,1
86,1
88,4
89,1
90,3
92,1
93,1
96,2
98,2
99,4
101,1
102,3
104,1
108,1
110,3
113,1
116,3
118,2
119,1
123,3
124,2
125,2
128,2
129,2
130,1
134,5
136,1
137,1
138,2
139,1
140,1
141,3
142,4
143,1
144,2
145,7
146,1
147,1
148,1
153,1
154,1
156,3
157,2
161,1
162,1
163,1
167,1
168,2
170,1
174,7
179,4
180,1
181,4
182,1
183,3
184,2
189,2
190,1
191,1
193,1
198,1
199,1
200,1
201,1
203,1
204,2
205,1
209,3
212,1
213,1
214,1
218,1
220,2
223,1
226,1
231,3
232,2
234,2
235,1
237,1
241,1
243,3
245,2
246,3
247,1
249,1
252,3
253,3
254,1
256,1
259,3
262,1
265,5
266,1
267,1
268,1
271,1
272,1
273,1
278,1
279,1
282,2
285,3
286,3
287,5
290,3
292,1
294,2
295,3
297,1
