segments,segments
0,3
2,3
4,1
7,7
8,3
11,2
13,2
16,2
18,3
19,1
20,4
21,2
22,5
25,3
26,1
27,3
28,3
29,1
30,4
31,3
32,2
33,1
34,3
35,1
36,9
37,1
38,1
39,1
40,3
41,3
42,5
43,3
44,2
45,2
46,1
48,4
49,8
50,6
52,1
54,1
55,2
57,1
58,1
61,4
62,1
64,1
65,6
67,1
68,2
69,1
70,2
71,1
72,1
74,2
75,2
76,6
77,5
79,2
80,5
81,1
82,2
83,8
84,3
85,7
87,1
88,4
89,2
90,5
91,6
92,1
93,1
94,3
95,9
97,6
98,1
99,2
100,5
101,1
103,1
104,2
106,2
107,1
110,4
112,1
113,1
115,4
116,3
117,2
118,2
119,8
121,6
124,3
126,1
127,2
128,7
129,1
131,1
132,5
133,2
135,2
138,1
139,7
140,4
143,1
144,2
145,3
148,4
149,1
