historical,done_penalty,bonus_factor,counter_done_max_changes,segments,rewards_sum,entropy_map,reward_game,agent,entropy,reward,is_done_success,changes_penalty,representation,counter_done_interations,discount_reward,done_bonus,reward_experience_bonus,discount_rewards,piece_penalty,experience_bonus,counter_changes,counter_done
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.1556390622295662], 'action': [array([30], dtype=int64), array([24], dtype=int64), array([32], dtype=int64), array([38], dtype=int64), array([14], dtype=int64), array([18], dtype=int64), array([24], dtype=int64), array([24], dtype=int64), array([38], dtype=int64)]}",,1.5275252316519468,0,[38 24 32 38 14 18 24 24],1.3556390622295664,0.9199211613283071,3.0,,2.1556390622295662,2.1556390622295662,True,,narrow-puzzle,0,,0.0,2.177626580664308,1.6805902744109664,0,1.0102,9,0
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.5], 'action': [array([14], dtype=int64), array([36], dtype=int64), array([1], dtype=int64), array([14], dtype=int64), array([39], dtype=int64), array([39], dtype=int64), array([31], dtype=int64), array([6], dtype=int64)]}",,1.620185174601965,0,[14 36  1 14 39 39 31  6],1.8,0.966177351388351,0.0,,2.5,2.5,True,,narrow-puzzle,0,,0.0,2.526,2.071141495637484,0,1.0104,8,1
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.5], 'action': [array([13], dtype=int64), array([6], dtype=int64), array([30], dtype=int64), array([9], dtype=int64), array([17], dtype=int64), array([9], dtype=int64), array([6], dtype=int64), array([24], dtype=int64)]}",,1.620185174601965,0,[13  6 30  9 17  9  6 24],1.8,0.9888470278883958,0.0,,2.5,2.5,True,,narrow-puzzle,0,,0.0,2.5265,2.071141495637484,0,1.0106,8,2
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.4056390622295662], 'action': [array([9], dtype=int64), array([17], dtype=int64), array([1], dtype=int64), array([17], dtype=int64), array([28], dtype=int64), array([38], dtype=int64), array([17], dtype=int64), array([39], dtype=int64)]}",,1.620185174601965,0,[ 9 17  1 17 28 38 17 39],1.7056390622295663,1.0,0.0,,2.4056390622295662,2.4056390622295662,True,,narrow-puzzle,0,,0.0,2.431619964101645,1.9800179571184482,0,1.0108,8,3
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.1556390622295662], 'action': [array([2], dtype=int64), array([23], dtype=int64), array([24], dtype=int64), array([5], dtype=int64), array([5], dtype=int64), array([24], dtype=int64), array([6], dtype=int64), array([24], dtype=int64)]}",,1.620185174601965,0,[ 2 23 24  5  5 24  6 24],1.4556390622295663,0.9562218181794737,0.0,,2.1556390622295662,2.1556390622295662,True,,narrow-puzzle,0,,0.0,2.179351091914091,1.7385951272056985,0,1.011,8,4
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.75], 'action': [array([32], dtype=int64), array([32], dtype=int64), array([23], dtype=int64), array([9], dtype=int64), array([39], dtype=int64), array([38], dtype=int64), array([16], dtype=int64), array([17], dtype=int64)]}",,1.620185174601965,0,[32 32 23  9 39 38 16 17],2.05,0.9630051719285936,0.0,,2.75,2.75,True,,narrow-puzzle,0,,10.0,2.7808,2.312564325550234,0,1.0112,8,5
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.1556390622295662], 'action': [array([29], dtype=int64), array([14], dtype=int64), array([1], dtype=int64), array([16], dtype=int64), array([16], dtype=int64), array([9], dtype=int64), array([16], dtype=int64), array([14], dtype=int64)]}",,1.620185174601965,0,[29 14  1 16 16  9 16 14],1.4556390622295663,0.9651361497799024,0.0,,2.1556390622295662,2.1556390622295662,True,,narrow-puzzle,0,,0.0,2.1802133475389835,1.7385951272056985,0,1.0114,8,6
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.75], 'action': [array([39], dtype=int64), array([28], dtype=int64), array([2], dtype=int64), array([39], dtype=int64), array([1], dtype=int64), array([24], dtype=int64), array([18], dtype=int64), array([29], dtype=int64)]}",,1.620185174601965,0,[39 28  2 39  1 24 18 29],2.05,0.9608092620634665,0.0,,2.75,2.75,True,,narrow-puzzle,0,,10.0,2.7819000000000003,2.312564325550234,0,1.0116,8,7
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.5], 'action': [array([9], dtype=int64), array([1], dtype=int64), array([14], dtype=int64), array([18], dtype=int64), array([14], dtype=int64), array([24], dtype=int64), array([18], dtype=int64), array([39], dtype=int64)]}",,1.620185174601965,0,[ 9  1 14 18 14 24 18 39],1.8,0.9672023937420983,0.0,,2.5,2.5,True,,narrow-puzzle,0,,0.0,2.5295,2.071141495637484,0,1.0118,8,8
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.5], 'action': [array([9], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([32], dtype=int64), array([38], dtype=int64), array([13], dtype=int64), array([9], dtype=int64), array([14], dtype=int64), array([24], dtype=int64), array([14], dtype=int64), array([9], dtype=int64), array([1], dtype=int64)]}",,1.3228756555322954,0,[24 14  9  1 38 13  9 14],1.4000000000000001,0.9814234468560465,3.0,,2.5,2.5,True,,narrow-puzzle,0,,0.0,2.5300000000000002,1.8349091962365327,0,1.012,12,9
