historical,done_penalty,bonus_factor,counter_done_max_changes,segments,rewards_sum,entropy_map,reward_game,agent,entropy,reward,is_done_success,changes_penalty,representation,counter_done_interations,discount_reward,done_bonus,reward_experience_bonus,discount_rewards,piece_penalty,experience_bonus,counter_changes,counter_done
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.1556390622295662], 'action': [array([3], dtype=int64), array([3], dtype=int64), array([49], dtype=int64), array([3], dtype=int64), array([26], dtype=int64), array([60], dtype=int64), array([9], dtype=int64), array([27], dtype=int64), array([27], dtype=int64), array([9], dtype=int64), array([9], dtype=int64), array([9], dtype=int64), array([12], dtype=int64), array([69], dtype=int64), array([27], dtype=int64), array([12], dtype=int64), array([35], dtype=int64)]}",,1.1114378604524227,0,[35  9  9  9 12 69 27 12],0.5556390622295659,1.0313131508907798,3.0,,2.1556390622295662,2.1556390622295662,True,,narrow-puzzle,0,,0.0,2.177626580664308,1.2301520793610194,0,1.0102,17,0
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.5], 'action': [array([36], dtype=int64), array([67], dtype=int64), array([28], dtype=int64), array([9], dtype=int64), array([68], dtype=int64), array([69], dtype=int64), array([68], dtype=int64), array([15], dtype=int64), array([69], dtype=int64), array([36], dtype=int64), array([12], dtype=int64), array([55], dtype=int64), array([34], dtype=int64), array([12], dtype=int64), array([36], dtype=int64), array([3], dtype=int64), array([28], dtype=int64)]}",,1.1114378604524227,0,[28 36 12 55 34 12 36  3],0.8999999999999997,1.0313131508907798,3.0,,2.5,2.5,True,,narrow-puzzle,0,,0.0,2.526,1.5482946041230226,0,1.0104,17,1
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.5], 'action': [array([49], dtype=int64), array([12], dtype=int64), array([12], dtype=int64), array([3], dtype=int64), array([41], dtype=int64), array([28], dtype=int64), array([27], dtype=int64), array([12], dtype=int64), array([15], dtype=int64), array([36], dtype=int64), array([12], dtype=int64), array([12], dtype=int64), array([9], dtype=int64), array([27], dtype=int64), array([3], dtype=int64), array([12], dtype=int64), array([3], dtype=int64), array([9], dtype=int64), array([9], dtype=int64), array([28], dtype=int64), array([36], dtype=int64), array([73], dtype=int64)]}",,1.0246950765959597,0,[ 3  9  9 28 36 73  3 12],0.39999999999999947,1.0301764888081681,6.0,,2.5,2.5,True,,narrow-puzzle,0,,0.0,2.5265,1.2709892307360233,0,1.0106,20,2
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.0], 'action': [array([9], dtype=int64), array([28], dtype=int64), array([69], dtype=int64), array([9], dtype=int64), array([9], dtype=int64), array([35], dtype=int64), array([12], dtype=int64), array([9], dtype=int64)]}",,1.620185174601965,0,[ 9 28 69  9  9 35 12  9],1.3,1.0310657652773902,0.0,,2.0,2.0,True,,narrow-puzzle,0,,0.0,2.0216,1.5882958358119847,0,1.0108,8,3
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.4056390622295662], 'action': [array([3], dtype=int64), array([54], dtype=int64), array([9], dtype=int64), array([12], dtype=int64), array([9], dtype=int64), array([28], dtype=int64), array([9], dtype=int64), array([35], dtype=int64)]}",,1.620185174601965,0,[ 3 54  9 12  9 28  9 35],1.7056390622295663,1.0307564933366784,0.0,,2.4056390622295662,2.4056390622295662,True,,narrow-puzzle,0,,0.0,2.4321010919140913,1.9800179571184482,0,1.011,8,4
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.1556390622295662], 'action': [array([3], dtype=int64), array([36], dtype=int64), array([69], dtype=int64), array([3], dtype=int64), array([36], dtype=int64), array([9], dtype=int64), array([12], dtype=int64), array([36], dtype=int64), array([9], dtype=int64), array([9], dtype=int64), array([28], dtype=int64), array([12], dtype=int64), array([36], dtype=int64), array([9], dtype=int64), array([66], dtype=int64)]}",,1.2709778186044849,0,[ 9  9 28 12 36  9 66 36],0.7556390622295661,1.0314986714773284,3.0,,2.1556390622295662,2.1556390622295662,True,,narrow-puzzle,0,,0.0,2.1797822197265377,1.3405342050335336,0,1.0112,13,5
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.75], 'action': [array([3], dtype=int64), array([35], dtype=int64), array([27], dtype=int64), array([12], dtype=int64), array([9], dtype=int64), array([36], dtype=int64), array([3], dtype=int64), array([60], dtype=int64)]}",,1.620185174601965,0,[ 3 35 27 12  9 36  3 60],2.05,1.0309188666379003,3.0,,2.75,2.75,True,,narrow-puzzle,0,,10.0,2.78135,2.312564325550234,0,1.0114,8,6
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.8112781244591327], 'action': [array([9], dtype=int64), array([15], dtype=int64), array([36], dtype=int64), array([6], dtype=int64), array([69], dtype=int64), array([12], dtype=int64), array([49], dtype=int64), array([15], dtype=int64), array([50], dtype=int64), array([69], dtype=int64), array([12], dtype=int64), array([36], dtype=int64), array([12], dtype=int64), array([27], dtype=int64), array([12], dtype=int64), array([36], dtype=int64), array([36], dtype=int64)]}",,1.1114378604524227,0,[36 69 12 36 12 27 12 36],0.2112781244591324,1.0316223430027769,3.0,,1.8112781244591327,1.8112781244591327,True,,narrow-puzzle,0,,0.0,1.8322889507028588,0.9120095545990159,0,1.0116,17,7
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.4056390622295662], 'action': [array([27], dtype=int64), array([28], dtype=int64), array([36], dtype=int64), array([27], dtype=int64), array([12], dtype=int64), array([60], dtype=int64), array([9], dtype=int64), array([35], dtype=int64), array([9], dtype=int64), array([9], dtype=int64)]}",,1.4491376746189437,0,[ 9  9 36 27 12 60  9 35],1.5056390622295663,1.0315682375829751,3.0,,2.4056390622295662,2.4056390622295662,True,,narrow-puzzle,0,,0.0,2.4340256031638754,1.862014653201117,0,1.0118,10,8
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.75], 'action': [array([27], dtype=int64), array([9], dtype=int64), array([12], dtype=int64), array([35], dtype=int64), array([28], dtype=int64), array([35], dtype=int64), array([9], dtype=int64), array([12], dtype=int64), array([27], dtype=int64), array([27], dtype=int64), array([9], dtype=int64), array([12], dtype=int64), array([15], dtype=int64), array([69], dtype=int64), array([6], dtype=int64), array([9], dtype=int64), array([36], dtype=int64)]}",,1.1456439237389602,0,[36 27  9 12 15 69  6  9],1.1499999999999997,1.0311971924185719,3.0,,2.75,2.75,True,,narrow-puzzle,0,,10.0,2.783,1.779260496205483,0,1.012,16,9
