entropy_map,done_bonus,reward_distance,discount_rewards,experience_bonus,piece_penalty,bonus_factor,rewards_sum,changes_penalty,is_done_success,reward_game,done_penalty,agent,reward,reward_neighbors,segments,entropy,historical,representation,counter_done,counter_done_interations,discount_reward,reward_experience_bonus,counter_done_max_changes,counter_changes
1.2070061477741942,10.0,-7.0,2.191285436377427,1.0102,0,1.4491376746189437,1.85,,True,3.0,,,2.75,0,[115 117  28  97  65 145 145  58],2.75,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.75], 'action': [array([48], dtype=int64), array([115], dtype=int64), array([28], dtype=int64), array([97], dtype=int64), array([65], dtype=int64), array([145], dtype=int64), array([145], dtype=int64), array([58], dtype=int64), array([115], dtype=int64), array([117], dtype=int64)]}",narrow-puzzle,0,0,,2.77805,3,10
1.1862955369492363,10.0,-7.0,1.779260496205483,1.0104,0,1.1114378604524227,1.1499999999999997,,True,9.0,,,2.75,0,[ 97  66  58 115  22  22  28  55],2.75,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.75], 'action': [array([48], dtype=int64), array([22], dtype=int64), array([145], dtype=int64), array([145], dtype=int64), array([55], dtype=int64), array([110], dtype=int64), array([22], dtype=int64), array([110], dtype=int64), array([37], dtype=int64), array([66], dtype=int64), array([58], dtype=int64), array([115], dtype=int64), array([22], dtype=int64), array([22], dtype=int64), array([28], dtype=int64), array([55], dtype=int64), array([97], dtype=int64)]}",narrow-puzzle,1,0,,2.7786,7,17
1.1673991626188218,10.0,-7.0,2.1312478018305936,1.0106,0,1.381698559415515,1.75,,True,11.0,,,2.75,0,[113  58  47  22 115  55 110  22],2.75,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.75], 'action': [array([27], dtype=int64), array([88], dtype=int64), array([19], dtype=int64), array([22], dtype=int64), array([115], dtype=int64), array([55], dtype=int64), array([110], dtype=int64), array([22], dtype=int64), array([113], dtype=int64), array([58], dtype=int64), array([47], dtype=int64)]}",narrow-puzzle,2,0,,2.77915,24,11
1.196475608361979,0.0,-13.0,1.60486163321284,1.0108,0,1.1456439237389602,0.9999999999999998,,True,3.0,,,2.5,-4,[145  74 145 110  58 115  22  22],2.5,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.5], 'action': [array([110], dtype=int64), array([120], dtype=int64), array([49], dtype=int64), array([110], dtype=int64), array([55], dtype=int64), array([38], dtype=int64), array([55], dtype=int64), array([110], dtype=int64), array([145], dtype=int64), array([74], dtype=int64), array([145], dtype=int64), array([110], dtype=int64), array([58], dtype=int64), array([115], dtype=int64), array([22], dtype=int64), array([22], dtype=int64)]}",narrow-puzzle,3,0,,2.5269999999999997,28,16
1.2288359767616581,50.0,0,1.8360490561799925,1.011,0,1.0246950765959597,1.0999999999999994,,True,3.0,,,3.0,0,[ 27  42  51  55 115  22  48 145],3.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([48], dtype=int64), array([145], dtype=int64), array([22], dtype=int64), array([145], dtype=int64), array([124], dtype=int64), array([145], dtype=int64), array([55], dtype=int64), array([37], dtype=int64), array([115], dtype=int64), array([27], dtype=int64), array([48], dtype=int64), array([58], dtype=int64), array([115], dtype=int64), array([22], dtype=int64), array([48], dtype=int64), array([145], dtype=int64), array([27], dtype=int64), array([42], dtype=int64), array([51], dtype=int64), array([55], dtype=int64)]}",narrow-puzzle,4,0,,3.0329999999999995,28,20
1.19221078154282,0.0,-12.171572875253808,0.978823757752416,1.0112,0,1.0513149660756935,0.1999999999999995,,True,3.0,,,2.0,0,[ 48  22  58 100  22  22  22  32],2.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.0], 'action': [array([58], dtype=int64), array([115], dtype=int64), array([28], dtype=int64), array([55], dtype=int64), array([37], dtype=int64), array([22], dtype=int64), array([100], dtype=int64), array([145], dtype=int64), array([22], dtype=int64), array([27], dtype=int64), array([46], dtype=int64), array([100], dtype=int64), array([22], dtype=int64), array([22], dtype=int64), array([22], dtype=int64), array([32], dtype=int64), array([48], dtype=int64), array([22], dtype=int64), array([58], dtype=int64)]}",narrow-puzzle,5,0,,2.0224,29,19
1.167345952783931,10.0,-7.0,1.5522365722807292,1.0114,0,1.0,0.7499999999999996,,True,6.0,,,2.75,0,[139 110  22  22 100  58 115  47],2.75,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.75], 'action': [array([30], dtype=int64), array([115], dtype=int64), array([115], dtype=int64), array([47], dtype=int64), array([115], dtype=int64), array([19], dtype=int64), array([22], dtype=int64), array([110], dtype=int64), array([115], dtype=int64), array([48], dtype=int64), array([115], dtype=int64), array([58], dtype=int64), array([55], dtype=int64), array([58], dtype=int64), array([115], dtype=int64), array([47], dtype=int64), array([139], dtype=int64), array([110], dtype=int64), array([22], dtype=int64), array([22], dtype=int64), array([100], dtype=int64)]}",narrow-puzzle,6,0,,2.78135,35,21
1.1941929811372314,50.0,0,2.187888814309156,1.0116,0,1.224744871391589,1.7,,True,3.0,,,3.0,0,[ 80  58 125  43  55 115  28  22],3.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([145], dtype=int64), array([115], dtype=int64), array([115], dtype=int64), array([145], dtype=int64), array([22], dtype=int64), array([90], dtype=int64), array([28], dtype=int64), array([22], dtype=int64), array([80], dtype=int64), array([58], dtype=int64), array([125], dtype=int64), array([43], dtype=int64), array([55], dtype=int64), array([115], dtype=int64)]}",narrow-puzzle,7,0,,3.0348,36,14
1.1976456254506673,10.0,-4.83772233983162,1.7219418972854599,1.0118,0,1.0801234497346435,1.0499999999999996,,True,18.0,,,2.75,0,[ 22 110  28 115  80  58  19  22],2.75,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.75], 'action': [array([115], dtype=int64), array([91], dtype=int64), array([110], dtype=int64), array([115], dtype=int64), array([110], dtype=int64), array([22], dtype=int64), array([145], dtype=int64), array([58], dtype=int64), array([96], dtype=int64), array([58], dtype=int64), array([28], dtype=int64), array([115], dtype=int64), array([80], dtype=int64), array([58], dtype=int64), array([19], dtype=int64), array([22], dtype=int64), array([22], dtype=int64), array([110], dtype=int64)]}",narrow-puzzle,8,0,,2.78245,37,18
1.1808756296280902,0.0,-8.0,1.630657658531113,1.012,0,1.224744871391589,1.1056390622295662,,True,6.0,,,2.4056390622295662,-4,[ 97 100 115  58  22  22  55  22],2.4056390622295662,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.4056390622295662], 'action': [array([115], dtype=int64), array([115], dtype=int64), array([95], dtype=int64), array([70], dtype=int64), array([115], dtype=int64), array([113], dtype=int64), array([55], dtype=int64), array([22], dtype=int64), array([97], dtype=int64), array([100], dtype=int64), array([115], dtype=int64), array([58], dtype=int64), array([22], dtype=int64), array([22], dtype=int64)]}",narrow-puzzle,9,0,,2.434506730976321,38,14
1.2048192143193166,10.0,-7.0,2.1312478018305936,1.0122,0,1.381698559415515,1.75,,True,6.0,,,2.75,0,[ 91  42 115 130 117  22  22 145],2.75,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.75], 'action': [array([28], dtype=int64), array([70], dtype=int64), array([97], dtype=int64), array([130], dtype=int64), array([117], dtype=int64), array([22], dtype=int64), array([22], dtype=int64), array([145], dtype=int64), array([91], dtype=int64), array([42], dtype=int64), array([115], dtype=int64)]}",narrow-puzzle,10,0,,2.78355,41,11
1.2013272159174622,50.0,0,2.187888814309156,1.0124,0,1.224744871391589,1.7,,True,3.0,,,3.0,0,[ 27 110 113  55  22 115  19 145],3.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([145], dtype=int64), array([97], dtype=int64), array([27], dtype=int64), array([120], dtype=int64), array([65], dtype=int64), array([145], dtype=int64), array([19], dtype=int64), array([145], dtype=int64), array([27], dtype=int64), array([110], dtype=int64), array([113], dtype=int64), array([55], dtype=int64), array([22], dtype=int64), array([115], dtype=int64)]}",narrow-puzzle,11,0,,3.0372,77,14
1.210118449534828,50.0,0,2.369115405788056,1.0126,0,1.381698559415515,2.0,,True,6.0,,,3.0,0,[ 22  28  37 145  55  97  19  95],3.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([65], dtype=int64), array([119], dtype=int64), array([145], dtype=int64), array([145], dtype=int64), array([55], dtype=int64), array([97], dtype=int64), array([19], dtype=int64), array([95], dtype=int64), array([22], dtype=int64), array([28], dtype=int64), array([37], dtype=int64)]}",narrow-puzzle,12,0,,3.0378,77,11
1.1744510854270307,10.0,-7.0,2.1312478018305936,1.0128,0,1.381698559415515,1.75,,True,9.0,,,2.75,0,[ 22  22  28 115 145  27 125  55],2.75,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.75], 'action': [array([145], dtype=int64), array([145], dtype=int64), array([115], dtype=int64), array([115], dtype=int64), array([145], dtype=int64), array([27], dtype=int64), array([125], dtype=int64), array([55], dtype=int64), array([22], dtype=int64), array([22], dtype=int64), array([28], dtype=int64)]}",narrow-puzzle,13,0,,2.7851999999999997,83,11
