reward,is_done_success,entropy,experience_bonus,entropy_map,done_penalty,agent,done_bonus,counter_changes,changes_penalty,bonus_factor,historical,counter_done_max_changes,counter_done,representation,discount_rewards,rewards_sum,reward_game,discount_reward,piece_penalty,segments,counter_done_interations,reward_experience_bonus
3.0,True,1.5487949406953985,1.0102,0.9692040949598235,,,0.0,8,,1.620185174601965,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([18], dtype=int64), array([18], dtype=int64), array([20], dtype=int64), array([24], dtype=int64), array([17], dtype=int64), array([18], dtype=int64), array([18], dtype=int64), array([18], dtype=int64)]}",0,0,narrow-puzzle,2.553987155462983,2.3,0.0,,0,[18 18 20 24 17 18 18 18],0,3.0305999999999997
3.0,True,2.25,1.0104,0.9730145995120817,,,0.0,8,,1.620185174601965,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([24], dtype=int64), array([17], dtype=int64), array([29], dtype=int64), array([9], dtype=int64), array([17], dtype=int64), array([38], dtype=int64), array([29], dtype=int64), array([24], dtype=int64)]}",0,1,narrow-puzzle,2.553987155462983,2.3,0.0,,0,[24 17 29  9 17 38 29 24],0,3.0312
3.0,True,0.8112781244591328,1.0106,0.9863676072907088,,,0.0,8,,1.620185174601965,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([17], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([18], dtype=int64), array([17], dtype=int64), array([18], dtype=int64), array([17], dtype=int64), array([17], dtype=int64)]}",0,2,narrow-puzzle,2.553987155462983,2.3,0.0,,0,[17 17 17 18 17 18 17 17],0,3.0317999999999996
3.0,True,1.75,1.0108,0.9998073978964301,,,0.0,8,,1.620185174601965,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([17], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([16], dtype=int64), array([17], dtype=int64), array([18], dtype=int64), array([24], dtype=int64), array([18], dtype=int64)]}",0,3,narrow-puzzle,2.553987155462983,2.3,0.0,,0,[17 17 17 16 17 18 24 18],0,3.0324
3.0,True,2.1556390622295662,1.011,0.9955580843959542,,,0.0,8,,1.620185174601965,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([39], dtype=int64), array([10], dtype=int64), array([17], dtype=int64), array([18], dtype=int64), array([17], dtype=int64), array([16], dtype=int64), array([18], dtype=int64), array([17], dtype=int64)]}",0,4,narrow-puzzle,2.553987155462983,2.3,0.0,,0,[39 10 17 18 17 16 18 17],0,3.0329999999999995
3.0,True,1.9056390622295662,1.0112,0.9915942879960173,,,0.0,8,,1.620185174601965,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([17], dtype=int64), array([24], dtype=int64), array([18], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([39], dtype=int64), array([24], dtype=int64), array([18], dtype=int64)]}",0,5,narrow-puzzle,2.553987155462983,2.3,0.0,,0,[17 24 18 17 17 39 24 18],0,3.0336000000000003
3.0,True,1.2987949406953985,1.0114,0.9969163057678958,,,0.0,8,,1.620185174601965,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([17], dtype=int64), array([18], dtype=int64), array([17], dtype=int64), array([16], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([18], dtype=int64)]}",0,6,narrow-puzzle,2.553987155462983,2.3,0.0,,0,[17 18 17 16 17 17 17 18],0,3.0342000000000002
3.0,True,2.1556390622295662,1.0116,0.9863676072907088,,,0.0,8,,1.620185174601965,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([17], dtype=int64), array([39], dtype=int64), array([18], dtype=int64), array([17], dtype=int64), array([24], dtype=int64), array([9], dtype=int64), array([18], dtype=int64), array([18], dtype=int64)]}",0,7,narrow-puzzle,2.553987155462983,2.3,0.0,,0,[17 39 18 17 24  9 18 18],0,3.0348
3.0,True,1.4056390622295662,1.0118,1.0,,,0.0,8,,1.620185174601965,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([18], dtype=int64), array([17], dtype=int64), array([16], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([18], dtype=int64), array([18], dtype=int64)]}",0,8,narrow-puzzle,2.553987155462983,2.3,0.0,,0,[18 17 16 17 17 17 18 18],0,3.0354
3.0,True,2.0,1.012,0.9999306652175606,,,0.0,8,,1.620185174601965,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([29], dtype=int64), array([17], dtype=int64), array([9], dtype=int64), array([17], dtype=int64), array([18], dtype=int64), array([24], dtype=int64), array([17], dtype=int64), array([17], dtype=int64)]}",0,9,narrow-puzzle,2.553987155462983,2.3,0.0,,0,[29 17  9 17 18 24 17 17],0,3.036
