reward,is_done_success,entropy,experience_bonus,entropy_map,done_penalty,agent,done_bonus,counter_changes,changes_penalty,bonus_factor,historical,counter_done_max_changes,counter_done,representation,discount_rewards,rewards_sum,reward_game,discount_reward,piece_penalty,segments,counter_done_interations,reward_experience_bonus
3.0,True,2.4056390622295662,1.0102,1.0421553822651266,,,0.0,8,,1.620185174601965,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([4], dtype=int64), array([4], dtype=int64), array([49], dtype=int64), array([4], dtype=int64), array([35], dtype=int64), array([60], dtype=int64), array([9], dtype=int64), array([28], dtype=int64)]}",0,0,narrow-puzzle,2.553987155462983,2.3,3.0,,0,[ 4  4 49  4 35 60  9 28],0,3.0305999999999997
3.0,True,2.0,1.0104,1.044215704122686,,,0.0,12,,1.3228756555322954,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([36], dtype=int64), array([9], dtype=int64), array([12], dtype=int64), array([15], dtype=int64), array([28], dtype=int64), array([69], dtype=int64), array([36], dtype=int64), array([27], dtype=int64), array([36], dtype=int64), array([36], dtype=int64), array([60], dtype=int64), array([36], dtype=int64), array([9], dtype=int64)]}",0,1,narrow-puzzle,2.2478977001032003,1.8,3.0,,0,[36 36 60 36  9 69 36 27],0,3.0312
3.0,True,1.9056390622295662,1.0106,1.04341039959807,,,0.0,17,,1.1114378604524227,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([36], dtype=int64), array([27], dtype=int64), array([15], dtype=int64), array([9], dtype=int64), array([36], dtype=int64), array([4], dtype=int64), array([15], dtype=int64), array([4], dtype=int64), array([9], dtype=int64), array([9], dtype=int64), array([36], dtype=int64), array([36], dtype=int64), array([69], dtype=int64), array([9], dtype=int64), array([36], dtype=int64), array([69], dtype=int64), array([9], dtype=int64), array([9], dtype=int64), array([36], dtype=int64), array([27], dtype=int64)]}",1,2,narrow-puzzle,1.8360490561799925,1.0999999999999994,3.0,,0,[ 9  9 36 27 69  9 36 69],0,3.0317999999999996
3.0,True,2.4056390622295662,1.0108,1.0314136431896277,,,0.0,8,,1.620185174601965,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([12], dtype=int64), array([4], dtype=int64), array([60], dtype=int64), array([9], dtype=int64), array([27], dtype=int64), array([9], dtype=int64), array([36], dtype=int64), array([9], dtype=int64)]}",1,3,narrow-puzzle,2.553987155462983,2.3,0.0,,0,[12  4 60  9 27  9 36  9],0,3.0324
3.0,True,2.1556390622295662,1.011,1.0310657652773902,,,0.0,14,,1.224744871391589,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([36], dtype=int64), array([4], dtype=int64), array([36], dtype=int64), array([68], dtype=int64), array([4], dtype=int64), array([36], dtype=int64), array([9], dtype=int64), array([15], dtype=int64), array([36], dtype=int64), array([9], dtype=int64), array([9], dtype=int64), array([36], dtype=int64), array([27], dtype=int64), array([38], dtype=int64), array([9], dtype=int64), array([62], dtype=int64)]}",1,4,narrow-puzzle,2.0690560985413535,1.4999999999999998,3.0,,0,[36  9  9 36 27 38  9 62],0,3.0329999999999995
3.0,True,2.1556390622295662,1.0112,1.0313131508907798,,,0.0,8,,1.620185174601965,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([4], dtype=int64), array([36], dtype=int64), array([36], dtype=int64), array([28], dtype=int64), array([9], dtype=int64), array([36], dtype=int64), array([4], dtype=int64), array([60], dtype=int64)]}",1,5,narrow-puzzle,2.553987155462983,2.3,3.0,,0,[ 4 36 36 28  9 36  4 60],0,3.0336000000000003
3.0,True,2.4056390622295662,1.0114,1.0442466713589007,,,0.0,16,,1.1456439237389602,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([12], dtype=int64), array([28], dtype=int64), array([36], dtype=int64), array([9], dtype=int64), array([67], dtype=int64), array([14], dtype=int64), array([47], dtype=int64), array([33], dtype=int64), array([60], dtype=int64), array([69], dtype=int64), array([27], dtype=int64), array([36], dtype=int64), array([12], dtype=int64), array([36], dtype=int64), array([15], dtype=int64), array([36], dtype=int64)]}",1,6,narrow-puzzle,2.0690560985413535,1.4999999999999998,3.0,,0,[60 69 27 36 12 36 15 36],0,3.0342000000000002
3.0,True,2.25,1.0116,1.0316223430027769,,,0.0,11,,1.381698559415515,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([36], dtype=int64), array([36], dtype=int64), array([36], dtype=int64), array([36], dtype=int64), array([36], dtype=int64), array([12], dtype=int64), array([60], dtype=int64), array([9], dtype=int64), array([36], dtype=int64), array([12], dtype=int64), array([9], dtype=int64), array([28], dtype=int64)]}",1,7,narrow-puzzle,2.3083055640859937,1.9000000000000001,3.0,,0,[36 12  9 28 36 12 60  9],0,3.0348
3.0,True,2.5,1.0118,1.0421553822651266,,,0.0,19,,1.0513149660756935,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([10], dtype=int64), array([28], dtype=int64), array([36], dtype=int64), array([36], dtype=int64), array([36], dtype=int64), array([9], dtype=int64), array([27], dtype=int64), array([36], dtype=int64), array([36], dtype=int64), array([9], dtype=int64), array([27], dtype=int64), array([28], dtype=int64), array([69], dtype=int64), array([4], dtype=int64), array([9], dtype=int64), array([47], dtype=int64), array([9], dtype=int64), array([12], dtype=int64), array([69], dtype=int64)]}",1,8,narrow-puzzle,1.8937257375651166,1.1999999999999995,3.0,,0,[ 9 12 69 28 69  4  9 47],0,3.0354
3.0,True,2.5,1.012,1.0315682375829751,,,0.0,15,,1.1832159566199232,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([9], dtype=int64), array([27], dtype=int64), array([9], dtype=int64), array([36], dtype=int64), array([36], dtype=int64), array([9], dtype=int64), array([4], dtype=int64), array([36], dtype=int64), array([9], dtype=int64), array([4], dtype=int64), array([12], dtype=int64), array([12], dtype=int64), array([9], dtype=int64), array([36], dtype=int64), array([67], dtype=int64), array([36], dtype=int64), array([27], dtype=int64)]}",1,9,narrow-puzzle,2.0102263882879434,1.3999999999999997,3.0,,0,[27  4 12 12  9 36 67 36],0,3.036
