reward,is_done_success,entropy,experience_bonus,entropy_map,done_penalty,agent,done_bonus,counter_changes,changes_penalty,bonus_factor,historical,counter_done_max_changes,counter_done,representation,discount_rewards,rewards_sum,reward_game,discount_reward,piece_penalty,segments,counter_done_interations,reward_experience_bonus
3.0,True,3.0,1.0102,1.1856674384782184,,,50.0,12,,1.3228756555322954,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([239], dtype=int64), array([163], dtype=int64), array([226], dtype=int64), array([104], dtype=int64), array([151], dtype=int64), array([190], dtype=int64), array([104], dtype=int64), array([163], dtype=int64), array([114], dtype=int64), array([177], dtype=int64), array([160], dtype=int64), array([136], dtype=int64)]}",2,0,narrow-puzzle,2.3083055640859937,1.9000000000000001,3.0,,0,[114 177 160 136 151 190 104 163],0,3.0305999999999997
3.0,True,2.75,1.0104,1.1470330000252384,,,10.0,11,,1.381698559415515,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([55], dtype=int64), array([104], dtype=int64), array([180], dtype=int64), array([179], dtype=int64), array([104], dtype=int64), array([179], dtype=int64), array([177], dtype=int64), array([226], dtype=int64), array([151], dtype=int64), array([70], dtype=int64), array([163], dtype=int64)]}",3,1,narrow-puzzle,2.369115405788056,2.0,12.0,,0,[151  70 163 179 104 179 177 226],0,3.0312
3.0,True,2.75,1.0106,1.1866784812538136,,,10.0,21,,1.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([123], dtype=int64), array([190], dtype=int64), array([161], dtype=int64), array([151], dtype=int64), array([49], dtype=int64), array([179], dtype=int64), array([55], dtype=int64), array([138], dtype=int64), array([138], dtype=int64), array([151], dtype=int64), array([136], dtype=int64), array([151], dtype=int64), array([55], dtype=int64), array([177], dtype=int64), array([226], dtype=int64), array([260], dtype=int64), array([239], dtype=int64), array([151], dtype=int64), array([114], dtype=int64), array([138], dtype=int64), array([190], dtype=int64), array([177], dtype=int64), array([138], dtype=int64), array([163], dtype=int64)]}",5,2,narrow-puzzle,1.6091007062756386,0.6999999999999993,18.0,,0,[239 151 114 138 190 177 138 163],0,3.0317999999999996
3.0,True,2.75,1.0108,1.1437756913213404,,,10.0,14,,1.224744871391589,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([226], dtype=int64), array([77], dtype=int64), array([163], dtype=int64), array([141], dtype=int64), array([123], dtype=int64), array([265], dtype=int64), array([100], dtype=int64), array([182], dtype=int64), array([55], dtype=int64), array([55], dtype=int64), array([226], dtype=int64), array([179], dtype=int64), array([199], dtype=int64), array([163], dtype=int64)]}",10,3,narrow-puzzle,2.187888814309156,1.7,6.0,,0,[ 55  55 226 179 199 163 100 182],0,3.0324
3.0,True,2.75,1.011,1.1902531163144505,,,10.0,15,,1.1832159566199232,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([55], dtype=int64), array([88], dtype=int64), array([136], dtype=int64), array([202], dtype=int64), array([138], dtype=int64), array([226], dtype=int64), array([70], dtype=int64), array([38], dtype=int64), array([177], dtype=int64), array([271], dtype=int64), array([138], dtype=int64), array([156], dtype=int64), array([179], dtype=int64), array([38], dtype=int64), array([163], dtype=int64)]}",25,4,narrow-puzzle,2.128275931088327,1.5999999999999999,13.0,,0,[177 271 138 156 179  38 163  38],0,3.0329999999999995
3.0,True,2.75,1.0112,1.1744792893410059,,,10.0,13,,1.2709778186044849,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([82], dtype=int64), array([104], dtype=int64), array([164], dtype=int64), array([179], dtype=int64), array([199], dtype=int64), array([177], dtype=int64), array([55], dtype=int64), array([123], dtype=int64), array([82], dtype=int64), array([179], dtype=int64), array([100], dtype=int64), array([123], dtype=int64), array([238], dtype=int64), array([163], dtype=int64)]}",29,5,narrow-puzzle,2.187888814309156,1.7,12.0,,0,[ 82 179 100 123 238 163  55 123],0,3.0336000000000003
3.0,True,2.4056390622295662,1.0114,1.1902148113045874,,,0.0,12,,1.3228756555322954,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([104], dtype=int64), array([102], dtype=int64), array([177], dtype=int64), array([280], dtype=int64), array([177], dtype=int64), array([151], dtype=int64), array([151], dtype=int64), array([49], dtype=int64), array([151], dtype=int64), array([103], dtype=int64), array([163], dtype=int64), array([182], dtype=int64)]}",38,6,narrow-puzzle,2.3083055640859937,1.9000000000000001,15.0,,0,[151 103 163 182 177 151 151  49],0,3.0342000000000002
3.0,True,2.0,1.0116,1.1434330017198069,,,0.0,16,,1.1456439237389602,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([138], dtype=int64), array([226], dtype=int64), array([125], dtype=int64), array([163], dtype=int64), array([55], dtype=int64), array([179], dtype=int64), array([163], dtype=int64), array([70], dtype=int64), array([226], dtype=int64), array([179], dtype=int64), array([151], dtype=int64), array([179], dtype=int64), array([104], dtype=int64), array([179], dtype=int64), array([179], dtype=int64), array([170], dtype=int64), array([163], dtype=int64)]}",40,7,narrow-puzzle,2.0102263882879434,1.3999999999999997,6.0,,0,[163 179 151 179 104 179 179 170],0,3.0348
3.0,True,2.4056390622295662,1.0118,1.1383968508724922,,,0.0,10,,1.4491376746189437,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([179], dtype=int64), array([163], dtype=int64), array([163], dtype=int64), array([80], dtype=int64), array([49], dtype=int64), array([123], dtype=int64), array([179], dtype=int64), array([129], dtype=int64), array([179], dtype=int64), array([163], dtype=int64), array([179], dtype=int64), array([177], dtype=int64)]}",44,8,narrow-puzzle,2.3083055640859937,1.9000000000000001,6.0,,0,[179 163 179 177  49 123 179 129],0,3.0354
3.0,True,2.75,1.012,1.1918310799974305,,,10.0,13,,1.2709778186044849,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([199], dtype=int64), array([104], dtype=int64), array([272], dtype=int64), array([179], dtype=int64), array([138], dtype=int64), array([151], dtype=int64), array([104], dtype=int64), array([116], dtype=int64), array([163], dtype=int64), array([80], dtype=int64), array([179], dtype=int64), array([151], dtype=int64), array([15], dtype=int64)]}",47,9,narrow-puzzle,2.2478977001032003,1.8,6.0,,0,[163  80 179 151  15 151 104 116],0,3.036
