agent,reward_experience_bonus,bonus_factor,historical,counter_changes,segments,rewards_sum,reward,entropy,discount_reward,changes_penalty,done_bonus,is_done_success,experience_bonus,counter_done_max_changes,piece_penalty,reward_game,counter_done,done_penalty,representation,entropy_map,discount_rewards,counter_done_interations
,8.631816345903804,1.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([278], dtype=int64), array([289], dtype=int64), array([288], dtype=int64), array([143], dtype=int64), array([91], dtype=int64), array([118], dtype=int64), array([263], dtype=int64), array([239], dtype=int64), array([118], dtype=int64), array([163], dtype=int64), array([182], dtype=int64), array([278], dtype=int64), array([240], dtype=int64), array([100], dtype=int64), array([78], dtype=int64), array([225], dtype=int64), array([118], dtype=int64), array([253], dtype=int64), array([288], dtype=int64), array([263], dtype=int64), array([217], dtype=int64), array([196], dtype=int64), array([264], dtype=int64), array([278], dtype=int64), array([262], dtype=int64), array([268], dtype=int64), array([258], dtype=int64)]}",26,[262 268 258 263 217 196 264 278],5.944660805685807,8.544660805685808,3.0,,,50.0,True,1.0102,2,0,6.0,0,,narrow-puzzle,1.17526196040337,6.323236112714601,0
,8.63352527806494,1.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([184], dtype=int64), array([104], dtype=int64), array([16], dtype=int64), array([258], dtype=int64), array([241], dtype=int64), array([116], dtype=int64), array([225], dtype=int64), array([52], dtype=int64), array([104], dtype=int64), array([118], dtype=int64), array([115], dtype=int64), array([116], dtype=int64), array([183], dtype=int64), array([240], dtype=int64), array([11], dtype=int64), array([233], dtype=int64), array([240], dtype=int64), array([118], dtype=int64), array([36], dtype=int64), array([52], dtype=int64), array([241], dtype=int64), array([151], dtype=int64), array([288], dtype=int64), array([262], dtype=int64), array([125], dtype=int64)]}",24,[125 118  36  52 241 151 288 262],6.144660805685808,8.544660805685808,3.0,,,50.0,True,1.0104,7,0,3.0,1,,narrow-puzzle,1.1824334988257355,6.48091011284479,0
,8.635234210226077,1.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([258], dtype=int64), array([201], dtype=int64), array([36], dtype=int64), array([0], dtype=int64), array([151], dtype=int64), array([118], dtype=int64), array([263], dtype=int64), array([258], dtype=int64), array([278], dtype=int64), array([146], dtype=int64), array([236], dtype=int64), array([59], dtype=int64), array([104], dtype=int64), array([118], dtype=int64), array([246], dtype=int64), array([235], dtype=int64), array([258], dtype=int64), array([241], dtype=int64), array([288], dtype=int64), array([118], dtype=int64), array([11], dtype=int64), array([164], dtype=int64), array([116], dtype=int64), array([156], dtype=int64), array([245], dtype=int64), array([284], dtype=int64), array([287], dtype=int64), array([289], dtype=int64)]}",27,[245 284 287 289  11 164 116 156],5.844660805685807,8.544660805685808,3.0,,,50.0,True,1.0106,8,0,6.0,2,,narrow-puzzle,1.1855779834819753,6.245170074948111,0
,8.636943142387214,2.016597794967223,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([139], dtype=int64), array([143], dtype=int64), array([145], dtype=int64), array([22], dtype=int64), array([118], dtype=int64), array([104], dtype=int64), array([118], dtype=int64), array([288], dtype=int64), array([156], dtype=int64), array([118], dtype=int64), array([285], dtype=int64), array([116], dtype=int64), array([52], dtype=int64), array([36], dtype=int64), array([78], dtype=int64)]}",15,[156 118 285 116  52  36  78 288],7.144660805685808,8.544660805685808,3.0,,,50.0,True,1.0108,8,0,9.0,3,,narrow-puzzle,1.1787714767339177,7.301135638445869,0
,1.011,1.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([258], dtype=int64), array([241], dtype=int64), array([289], dtype=int64), array([263], dtype=int64), array([221], dtype=int64), array([262], dtype=int64), array([99], dtype=int64), array([253], dtype=int64), array([288], dtype=int64), array([268], dtype=int64), array([233], dtype=int64), array([262], dtype=int64), array([264], dtype=int64), array([288], dtype=int64), array([90], dtype=int64), array([258], dtype=int64), array([36], dtype=int64), array([104], dtype=int64), array([267], dtype=int64), array([268], dtype=int64), array([271], dtype=int64), array([183], dtype=int64), array([288], dtype=int64), array([275], dtype=int64), array([0], dtype=int64), array([196], dtype=int64), array([118], dtype=int64), array([271], dtype=int64), array([258], dtype=int64), array([85], dtype=int64), array([71], dtype=int64), array([155], dtype=int64), array([86], dtype=int64), array([205], dtype=int64), array([271], dtype=int64)]}",35,[ 86 205 271 271 258  85  71 155],-2.4000000000000017,1.0,2.75,,,10.0,True,1.011,10,0,6.0,4,,narrow-puzzle,1.1721850364925324,-0.6797846999864682,0
,1.0112,2.469817807045694,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([0], dtype=int64), array([251], dtype=int64), array([285], dtype=int64), array([36], dtype=int64), array([264], dtype=int64), array([36], dtype=int64), array([104], dtype=int64), array([155], dtype=int64), array([78], dtype=int64), array([289], dtype=int64)]}",10,[ 78 289 285  36 264  36 104 155],0.10000000000000009,1.0,2.75,,,10.0,True,1.0112,16,0,4.0,5,,narrow-puzzle,1.1877605646489746,0.5179717490315061,0
,8.642069938870627,1.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([151], dtype=int64), array([146], dtype=int64), array([289], dtype=int64), array([35], dtype=int64), array([271], dtype=int64), array([116], dtype=int64), array([289], dtype=int64), array([253], dtype=int64), array([126], dtype=int64), array([156], dtype=int64), array([99], dtype=int64), array([104], dtype=int64), array([164], dtype=int64), array([52], dtype=int64), array([240], dtype=int64), array([129], dtype=int64), array([0], dtype=int64), array([118], dtype=int64), array([239], dtype=int64), array([85], dtype=int64), array([118], dtype=int64), array([289], dtype=int64), array([229], dtype=int64), array([232], dtype=int64), array([278], dtype=int64), array([59], dtype=int64), array([190], dtype=int64), array([193], dtype=int64), array([52], dtype=int64), array([271], dtype=int64), array([36], dtype=int64), array([187], dtype=int64), array([155], dtype=int64), array([139], dtype=int64), array([118], dtype=int64), array([288], dtype=int64), array([151], dtype=int64), array([258], dtype=int64), array([85], dtype=int64), array([285], dtype=int64), array([288], dtype=int64), array([63], dtype=int64), array([263], dtype=int64), array([155], dtype=int64), array([240], dtype=int64), array([278], dtype=int64), array([278], dtype=int64), array([164], dtype=int64), array([262], dtype=int64), array([134], dtype=int64), array([278], dtype=int64), array([164], dtype=int64), array([118], dtype=int64), array([156], dtype=int64), array([64], dtype=int64), array([36], dtype=int64), array([52], dtype=int64)]}",57,[ 52 134 278 164 118 156  64  36],2.944660805685812,8.544660805685808,3.0,,,50.0,True,1.0114,16,0,3.0,6,,narrow-puzzle,1.178273126049243,4.188123372246707,0
,8.643778871031763,1.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([115], dtype=int64), array([240], dtype=int64), array([278], dtype=int64), array([118], dtype=int64), array([225], dtype=int64), array([78], dtype=int64), array([58], dtype=int64), array([118], dtype=int64), array([52], dtype=int64), array([36], dtype=int64), array([143], dtype=int64), array([28], dtype=int64), array([271], dtype=int64), array([27], dtype=int64), array([271], dtype=int64), array([118], dtype=int64), array([102], dtype=int64), array([164], dtype=int64), array([258], dtype=int64), array([221], dtype=int64), array([143], dtype=int64), array([262], dtype=int64), array([151], dtype=int64), array([288], dtype=int64), array([258], dtype=int64), array([155], dtype=int64), array([156], dtype=int64), array([192], dtype=int64), array([166], dtype=int64), array([289], dtype=int64), array([289], dtype=int64), array([114], dtype=int64), array([271], dtype=int64), array([46], dtype=int64), array([271], dtype=int64), array([78], dtype=int64), array([258], dtype=int64), array([241], dtype=int64), array([212], dtype=int64), array([26], dtype=int64), array([183], dtype=int64), array([263], dtype=int64), array([95], dtype=int64), array([181], dtype=int64), array([164], dtype=int64), array([116], dtype=int64)]}",45,[183 263  95 181 164 116 212  26],4.044660805685808,8.544660805685808,3.0,,,50.0,True,1.0116,18,0,3.0,7,,narrow-puzzle,1.1986424154211972,4.92346782090546,0
,8.645487803192902,1.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([104], dtype=int64), array([289], dtype=int64), array([116], dtype=int64), array([289], dtype=int64), array([278], dtype=int64), array([262], dtype=int64), array([278], dtype=int64), array([268], dtype=int64), array([225], dtype=int64), array([278], dtype=int64), array([251], dtype=int64), array([155], dtype=int64), array([264], dtype=int64), array([125], dtype=int64), array([225], dtype=int64), array([253], dtype=int64), array([118], dtype=int64), array([151], dtype=int64), array([271], dtype=int64), array([78], dtype=int64), array([183], dtype=int64), array([143], dtype=int64), array([118], dtype=int64), array([192], dtype=int64), array([246], dtype=int64), array([251], dtype=int64), array([225], dtype=int64), array([220], dtype=int64), array([187], dtype=int64), array([135], dtype=int64), array([258], dtype=int64), array([99], dtype=int64), array([36], dtype=int64), array([183], dtype=int64), array([289], dtype=int64), array([275], dtype=int64), array([164], dtype=int64), array([118], dtype=int64), array([52], dtype=int64), array([4], dtype=int64)]}",40,[ 36 183 289 275 164 118  52   4],4.644660805685806,8.544660805685808,3.0,,,50.0,True,1.0118,18,0,3.0,8,,narrow-puzzle,1.208720147591,5.3470161360698665,0
,8.647196735354038,2.6034165586355513,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([284], dtype=int64), array([78], dtype=int64), array([289], dtype=int64), array([146], dtype=int64), array([258], dtype=int64), array([155], dtype=int64), array([261], dtype=int64), array([182], dtype=int64), array([271], dtype=int64)]}",9,[271  78 289 146 258 155 261 182],7.744660805685808,8.544660805685808,3.0,,,50.0,True,1.012,19,0,6.0,9,,narrow-puzzle,1.1900140978954217,7.81992567731056,0
