reward_experience_bonus,changes_penalty,segments,entropy_map,counter_done_max_changes,piece_penalty,reward_neighbors,discount_reward,done_penalty,counter_done,historical,reward_game,agent,discount_rewards,reward,entropy,representation,counter_changes,counter_done_interations,experience_bonus,reward_distance,done_bonus,rewards_sum,is_done_success,bonus_factor
-1.0102,,[15 35 49 75 12 33 35 28],1.04341039959807,7,0,-2,,,0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -1.0], 'action': [array([65], dtype=int64), array([35], dtype=int64), array([9], dtype=int64), array([70], dtype=int64), array([61], dtype=int64), array([71], dtype=int64), array([8], dtype=int64), array([24], dtype=int64), array([40], dtype=int64), array([17], dtype=int64), array([49], dtype=int64), array([75], dtype=int64), array([12], dtype=int64), array([33], dtype=int64), array([35], dtype=int64), array([28], dtype=int64), array([15], dtype=int64), array([35], dtype=int64)]}",4.0,,-1.7256880725043813,-1.0,2.75,narrow-puzzle,18,0,1.0102,-6.585786437626905,10.0,-2.7,True,1.8408935028645435
8.63352527806494,,[15 62  7 27 46  6 76 14],1.0430541110796498,9,0,0,,,1,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -2.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -2.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([28], dtype=int64), array([34], dtype=int64), array([35], dtype=int64), array([64], dtype=int64), array([34], dtype=int64), array([47], dtype=int64), array([1], dtype=int64), array([15], dtype=int64), array([32], dtype=int64), array([3], dtype=int64), array([51], dtype=int64), array([49], dtype=int64), array([27], dtype=int64), array([11], dtype=int64), array([28], dtype=int64), array([10], dtype=int64), array([47], dtype=int64), array([27], dtype=int64), array([57], dtype=int64), array([19], dtype=int64), array([43], dtype=int64), array([11], dtype=int64), array([30], dtype=int64), array([72], dtype=int64), array([15], dtype=int64), array([62], dtype=int64), array([7], dtype=int64), array([27], dtype=int64), array([46], dtype=int64), array([6], dtype=int64), array([76], dtype=int64), array([14], dtype=int64)]}",9.0,,4.597356272673269,8.544660805685808,3.0,narrow-puzzle,32,0,1.0104,0,50.0,1.4446608056858121,True,1.0
8.635234210226077,,[14 36  9  5 73 27  3 57],1.0410081825423736,10,0,0,,,2,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -4.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([11], dtype=int64), array([0], dtype=int64), array([23], dtype=int64), array([7], dtype=int64), array([7], dtype=int64), array([69], dtype=int64), array([4], dtype=int64), array([21], dtype=int64), array([21], dtype=int64), array([62], dtype=int64), array([76], dtype=int64), array([34], dtype=int64), array([73], dtype=int64), array([11], dtype=int64), array([21], dtype=int64), array([57], dtype=int64), array([14], dtype=int64), array([36], dtype=int64), array([9], dtype=int64), array([5], dtype=int64), array([73], dtype=int64), array([27], dtype=int64), array([3], dtype=int64)]}",4.0,,4.206897928400194,8.544660805685808,3.0,narrow-puzzle,23,0,1.0106,0,50.0,2.3446608056858107,True,1.0
8.636943142387214,,[ 3  7 51  9 46 27 16 12],1.041318296917377,10,0,0,,,3,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -4.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([19], dtype=int64), array([67], dtype=int64), array([49], dtype=int64), array([14], dtype=int64), array([19], dtype=int64), array([16], dtype=int64), array([62], dtype=int64), array([32], dtype=int64), array([49], dtype=int64), array([59], dtype=int64), array([67], dtype=int64), array([15], dtype=int64), array([67], dtype=int64), array([72], dtype=int64), array([68], dtype=int64), array([41], dtype=int64), array([35], dtype=int64), array([38], dtype=int64), array([71], dtype=int64), array([9], dtype=int64), array([46], dtype=int64), array([27], dtype=int64), array([16], dtype=int64), array([12], dtype=int64), array([3], dtype=int64), array([7], dtype=int64), array([51], dtype=int64)]}",3.0,,5.5971627778997854,8.544660805685808,3.0,narrow-puzzle,27,0,1.0108,0,50.0,1.9446608056858157,True,1.0
1.011,,[ 9 34  9 10 27 41 35 57],1.027947818739554,23,0,0,,,4,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -2.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -4.1, -4.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([45], dtype=int64), array([48], dtype=int64), array([36], dtype=int64), array([47], dtype=int64), array([18], dtype=int64), array([63], dtype=int64), array([17], dtype=int64), array([67], dtype=int64), array([44], dtype=int64), array([17], dtype=int64), array([10], dtype=int64), array([74], dtype=int64), array([55], dtype=int64), array([1], dtype=int64), array([22], dtype=int64), array([73], dtype=int64), array([73], dtype=int64), array([69], dtype=int64), array([44], dtype=int64), array([48], dtype=int64), array([58], dtype=int64), array([47], dtype=int64), array([73], dtype=int64), array([73], dtype=int64), array([71], dtype=int64), array([3], dtype=int64), array([43], dtype=int64), array([2], dtype=int64), array([20], dtype=int64), array([41], dtype=int64), array([35], dtype=int64), array([57], dtype=int64), array([9], dtype=int64), array([34], dtype=int64), array([9], dtype=int64), array([10], dtype=int64), array([27], dtype=int64)]}",7.0,,-5.8324489101047305,1.0,2.75,narrow-puzzle,37,0,1.011,-6.0,10.0,-12.599999999999996,True,1.0
8.64036100670949,,[78  9  2  7 21 28 36  4],1.041612864122787,26,0,0,,,5,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([59], dtype=int64), array([38], dtype=int64), array([30], dtype=int64), array([26], dtype=int64), array([39], dtype=int64), array([35], dtype=int64), array([55], dtype=int64), array([28], dtype=int64), array([28], dtype=int64), array([46], dtype=int64), array([36], dtype=int64), array([46], dtype=int64), array([71], dtype=int64), array([10], dtype=int64), array([71], dtype=int64), array([4], dtype=int64), array([78], dtype=int64), array([9], dtype=int64), array([2], dtype=int64), array([7], dtype=int64), array([21], dtype=int64), array([28], dtype=int64), array([36], dtype=int64)]}",7.0,,6.64066567376909,8.544660805685808,3.0,narrow-puzzle,23,0,1.0112,0,50.0,6.344660805685807,True,1.0
1.0114,,[33 12 25 15  1  1 37 48],1.0282807181523559,37,0,0,,,6,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -4.1, 1.0], 'action': [array([9], dtype=int64), array([12], dtype=int64), array([27], dtype=int64), array([73], dtype=int64), array([73], dtype=int64), array([34], dtype=int64), array([67], dtype=int64), array([38], dtype=int64), array([49], dtype=int64), array([59], dtype=int64), array([50], dtype=int64), array([54], dtype=int64), array([19], dtype=int64), array([27], dtype=int64), array([65], dtype=int64), array([48], dtype=int64), array([33], dtype=int64), array([12], dtype=int64), array([25], dtype=int64), array([15], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([37], dtype=int64)]}",7.0,,-3.5792815735827253,1.0,2.75,narrow-puzzle,23,0,1.0114,-7.0,10.0,-5.2,True,1.0
1.0116,,[55  9 28 36 76  9 35 12],1.0439369789535315,41,0,0,,,7,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -2.1, -0.1, -0.1, 1.0], 'action': [array([2], dtype=int64), array([71], dtype=int64), array([24], dtype=int64), array([22], dtype=int64), array([16], dtype=int64), array([38], dtype=int64), array([41], dtype=int64), array([12], dtype=int64), array([77], dtype=int64), array([40], dtype=int64), array([58], dtype=int64), array([35], dtype=int64), array([51], dtype=int64), array([9], dtype=int64), array([14], dtype=int64), array([37], dtype=int64), array([7], dtype=int64), array([60], dtype=int64), array([59], dtype=int64), array([15], dtype=int64), array([73], dtype=int64), array([9], dtype=int64), array([35], dtype=int64), array([12], dtype=int64), array([55], dtype=int64), array([9], dtype=int64), array([28], dtype=int64), array([36], dtype=int64), array([76], dtype=int64)]}",3.0,,-1.9958853311629308,1.0,2.75,narrow-puzzle,29,0,1.0116,-7.0,10.0,-3.8000000000000007,True,1.0
8.645487803192902,,[17 37 12 15 36 26  4 74],1.041891890554042,42,0,0,,,8,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -4.1, -4.1, -0.1, -0.1, -4.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -4.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([64], dtype=int64), array([73], dtype=int64), array([18], dtype=int64), array([3], dtype=int64), array([20], dtype=int64), array([2], dtype=int64), array([37], dtype=int64), array([51], dtype=int64), array([7], dtype=int64), array([18], dtype=int64), array([18], dtype=int64), array([65], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([30], dtype=int64), array([53], dtype=int64), array([19], dtype=int64), array([21], dtype=int64), array([19], dtype=int64), array([26], dtype=int64), array([10], dtype=int64), array([1], dtype=int64), array([44], dtype=int64), array([46], dtype=int64), array([34], dtype=int64), array([24], dtype=int64), array([12], dtype=int64), array([4], dtype=int64), array([69], dtype=int64), array([1], dtype=int64), array([43], dtype=int64), array([15], dtype=int64), array([41], dtype=int64), array([51], dtype=int64), array([73], dtype=int64), array([15], dtype=int64), array([36], dtype=int64), array([26], dtype=int64), array([4], dtype=int64), array([74], dtype=int64), array([17], dtype=int64), array([37], dtype=int64), array([12], dtype=int64)]}",4.0,,-0.7749065700954717,8.544660805685808,3.0,narrow-puzzle,43,0,1.0118,0,50.0,-11.655339194314191,True,1.0
8.647196735354038,,[36  7 41 59 51 47 44 27],1.0365686375867968,42,0,0,,,9,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -2.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([19], dtype=int64), array([67], dtype=int64), array([26], dtype=int64), array([33], dtype=int64), array([24], dtype=int64), array([56], dtype=int64), array([57], dtype=int64), array([32], dtype=int64), array([12], dtype=int64), array([33], dtype=int64), array([47], dtype=int64), array([5], dtype=int64), array([78], dtype=int64), array([34], dtype=int64), array([13], dtype=int64), array([16], dtype=int64), array([43], dtype=int64), array([32], dtype=int64), array([7], dtype=int64), array([54], dtype=int64), array([61], dtype=int64), array([26], dtype=int64), array([42], dtype=int64), array([36], dtype=int64), array([27], dtype=int64), array([73], dtype=int64), array([36], dtype=int64), array([2], dtype=int64), array([51], dtype=int64), array([19], dtype=int64), array([57], dtype=int64), array([45], dtype=int64), array([36], dtype=int64), array([7], dtype=int64), array([41], dtype=int64), array([59], dtype=int64), array([51], dtype=int64), array([47], dtype=int64), array([44], dtype=int64), array([27], dtype=int64)]}",6.0,,4.158729707805383,8.544660805685808,3.0,narrow-puzzle,40,0,1.012,0,50.0,2.6446608056858114,True,1.0
