reward_experience_bonus,changes_penalty,segments,entropy_map,counter_done_max_changes,piece_penalty,reward_neighbors,discount_reward,done_penalty,counter_done,historical,reward_game,agent,discount_rewards,reward,entropy,representation,counter_changes,counter_done_interations,experience_bonus,reward_distance,done_bonus,rewards_sum,is_done_success,bonus_factor
8.631816345903804,,[246 173 271 202 136 245 113 163],1.1655315378369924,22,0,0,,,0,"{'rewards': [-0.1, -4.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -2.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([287], dtype=int64), array([287], dtype=int64), array([94], dtype=int64), array([259], dtype=int64), array([40], dtype=int64), array([264], dtype=int64), array([68], dtype=int64), array([212], dtype=int64), array([198], dtype=int64), array([161], dtype=int64), array([13], dtype=int64), array([148], dtype=int64), array([242], dtype=int64), array([76], dtype=int64), array([145], dtype=int64), array([140], dtype=int64), array([98], dtype=int64), array([86], dtype=int64), array([290], dtype=int64), array([96], dtype=int64), array([287], dtype=int64), array([267], dtype=int64), array([231], dtype=int64), array([271], dtype=int64), array([246], dtype=int64), array([173], dtype=int64), array([271], dtype=int64), array([202], dtype=int64), array([136], dtype=int64), array([245], dtype=int64), array([113], dtype=int64), array([163], dtype=int64)]}",6.0,,4.203849416404621,8.544660805685808,3.0,narrow-puzzle,32,0,1.0102,0,50.0,-0.5553391943141808,True,1.0
8.63352527806494,,[122 287  13  64   7 106  98  32],1.21441049511345,26,0,0,,,1,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -2.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([136], dtype=int64), array([99], dtype=int64), array([227], dtype=int64), array([12], dtype=int64), array([150], dtype=int64), array([233], dtype=int64), array([15], dtype=int64), array([90], dtype=int64), array([49], dtype=int64), array([145], dtype=int64), array([134], dtype=int64), array([96], dtype=int64), array([235], dtype=int64), array([118], dtype=int64), array([134], dtype=int64), array([214], dtype=int64), array([276], dtype=int64), array([161], dtype=int64), array([282], dtype=int64), array([104], dtype=int64), array([138], dtype=int64), array([99], dtype=int64), array([98], dtype=int64), array([133], dtype=int64), array([190], dtype=int64), array([49], dtype=int64), array([50], dtype=int64), array([245], dtype=int64), array([221], dtype=int64), array([109], dtype=int64), array([206], dtype=int64), array([39], dtype=int64), array([290], dtype=int64), array([126], dtype=int64), array([13], dtype=int64), array([64], dtype=int64), array([7], dtype=int64), array([106], dtype=int64), array([98], dtype=int64), array([32], dtype=int64), array([122], dtype=int64), array([287], dtype=int64)]}",14.0,,4.5376182507156075,8.544660805685808,3.0,narrow-puzzle,42,0,1.0104,0,50.0,2.4446608056858157,True,1.0
8.635234210226077,,[ 12  76 142 239 168 106  44 245],1.195470001973812,26,0,0,,,2,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([106], dtype=int64), array([289], dtype=int64), array([119], dtype=int64), array([264], dtype=int64), array([189], dtype=int64), array([102], dtype=int64), array([44], dtype=int64), array([245], dtype=int64), array([12], dtype=int64), array([76], dtype=int64), array([142], dtype=int64), array([239], dtype=int64), array([168], dtype=int64), array([106], dtype=int64)]}",3.0,,7.386174153751964,8.544660805685808,3.0,narrow-puzzle,14,0,1.0106,0,50.0,7.244660805685808,True,2.0873770280289223
8.636943142387214,,[118 145  76 245 203 290 113 163],1.1482788130732284,27,0,0,,,3,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -4.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -2.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([150], dtype=int64), array([228], dtype=int64), array([21], dtype=int64), array([161], dtype=int64), array([281], dtype=int64), array([281], dtype=int64), array([11], dtype=int64), array([51], dtype=int64), array([36], dtype=int64), array([151], dtype=int64), array([168], dtype=int64), array([76], dtype=int64), array([146], dtype=int64), array([88], dtype=int64), array([271], dtype=int64), array([246], dtype=int64), array([169], dtype=int64), array([88], dtype=int64), array([187], dtype=int64), array([138], dtype=int64), array([146], dtype=int64), array([259], dtype=int64), array([130], dtype=int64), array([281], dtype=int64), array([38], dtype=int64), array([111], dtype=int64), array([267], dtype=int64), array([255], dtype=int64), array([37], dtype=int64), array([88], dtype=int64), array([118], dtype=int64), array([213], dtype=int64), array([206], dtype=int64), array([145], dtype=int64), array([76], dtype=int64), array([245], dtype=int64), array([203], dtype=int64), array([290], dtype=int64), array([113], dtype=int64), array([163], dtype=int64), array([118], dtype=int64)]}",6.0,,3.897105166938294,8.544660805685808,3.0,narrow-puzzle,41,0,1.0108,0,50.0,-1.4553391943141794,True,1.0
1.011,,[243 255 281  52 282 240 282 228],1.204113200646801,27,0,0,,,4,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -4.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([214], dtype=int64), array([189], dtype=int64), array([106], dtype=int64), array([195], dtype=int64), array([100], dtype=int64), array([143], dtype=int64), array([55], dtype=int64), array([60], dtype=int64), array([113], dtype=int64), array([27], dtype=int64), array([31], dtype=int64), array([96], dtype=int64), array([72], dtype=int64), array([44], dtype=int64), array([134], dtype=int64), array([269], dtype=int64), array([228], dtype=int64), array([228], dtype=int64), array([118], dtype=int64), array([91], dtype=int64), array([282], dtype=int64), array([240], dtype=int64), array([282], dtype=int64), array([228], dtype=int64), array([243], dtype=int64), array([255], dtype=int64), array([281], dtype=int64), array([52], dtype=int64)]}",3.0,,-2.728061119427174,1.0,2.75,narrow-puzzle,28,0,1.011,-6.0,10.0,-5.699999999999997,True,1.0
1.0112,,[ 88  27 168 295  89 267  88 282],1.1921136502269944,35,0,0,,,5,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -2.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -2.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([130], dtype=int64), array([129], dtype=int64), array([11], dtype=int64), array([281], dtype=int64), array([71], dtype=int64), array([199], dtype=int64), array([287], dtype=int64), array([86], dtype=int64), array([276], dtype=int64), array([116], dtype=int64), array([136], dtype=int64), array([287], dtype=int64), array([190], dtype=int64), array([31], dtype=int64), array([51], dtype=int64), array([180], dtype=int64), array([88], dtype=int64), array([102], dtype=int64), array([203], dtype=int64), array([206], dtype=int64), array([282], dtype=int64), array([206], dtype=int64), array([71], dtype=int64), array([221], dtype=int64), array([206], dtype=int64), array([70], dtype=int64), array([168], dtype=int64), array([295], dtype=int64), array([89], dtype=int64), array([267], dtype=int64), array([88], dtype=int64), array([282], dtype=int64), array([88], dtype=int64), array([27], dtype=int64)]}",3.0,,-2.610803052249011,1.0,2.75,narrow-puzzle,34,0,1.0112,-5.76393202250021,10.0,-6.299999999999997,True,1.0
8.642069938870627,,[ 66 171  90 113 232  42 119  40],1.2029674693402648,35,0,0,,,6,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -4.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([221], dtype=int64), array([203], dtype=int64), array([106], dtype=int64), array([240], dtype=int64), array([147], dtype=int64), array([281], dtype=int64), array([123], dtype=int64), array([290], dtype=int64), array([113], dtype=int64), array([206], dtype=int64), array([237], dtype=int64), array([205], dtype=int64), array([113], dtype=int64), array([255], dtype=int64), array([86], dtype=int64), array([118], dtype=int64), array([50], dtype=int64), array([18], dtype=int64), array([226], dtype=int64), array([102], dtype=int64), array([119], dtype=int64), array([202], dtype=int64), array([65], dtype=int64), array([227], dtype=int64), array([71], dtype=int64), array([251], dtype=int64), array([247], dtype=int64), array([142], dtype=int64), array([57], dtype=int64), array([211], dtype=int64), array([121], dtype=int64), array([38], dtype=int64), array([119], dtype=int64), array([130], dtype=int64), array([99], dtype=int64), array([235], dtype=int64), array([151], dtype=int64), array([134], dtype=int64), array([138], dtype=int64), array([113], dtype=int64), array([180], dtype=int64), array([125], dtype=int64), array([273], dtype=int64), array([161], dtype=int64), array([127], dtype=int64), array([55], dtype=int64), array([119], dtype=int64), array([40], dtype=int64), array([66], dtype=int64), array([171], dtype=int64), array([90], dtype=int64), array([113], dtype=int64), array([232], dtype=int64), array([42], dtype=int64)]}",6.0,,3.476316437415934,8.544660805685808,3.0,narrow-puzzle,54,0,1.0114,0,50.0,-0.7553391943141783,True,1.0
8.643778871031763,,[271 111   0   4  96 255 281  58],1.2188391076722518,35,0,0,,,7,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([187], dtype=int64), array([151], dtype=int64), array([195], dtype=int64), array([153], dtype=int64), array([99], dtype=int64), array([113], dtype=int64), array([137], dtype=int64), array([11], dtype=int64), array([212], dtype=int64), array([150], dtype=int64), array([255], dtype=int64), array([271], dtype=int64), array([12], dtype=int64), array([147], dtype=int64), array([75], dtype=int64), array([243], dtype=int64), array([290], dtype=int64), array([52], dtype=int64), array([161], dtype=int64), array([201], dtype=int64), array([285], dtype=int64), array([139], dtype=int64), array([257], dtype=int64), array([168], dtype=int64), array([70], dtype=int64), array([134], dtype=int64), array([44], dtype=int64), array([271], dtype=int64), array([31], dtype=int64), array([240], dtype=int64), array([96], dtype=int64), array([236], dtype=int64), array([203], dtype=int64), array([26], dtype=int64), array([287], dtype=int64), array([4], dtype=int64), array([96], dtype=int64), array([255], dtype=int64), array([281], dtype=int64), array([58], dtype=int64), array([271], dtype=int64), array([111], dtype=int64), array([0], dtype=int64)]}",12.0,,5.133192405848039,8.544660805685808,3.0,narrow-puzzle,43,0,1.0116,0,50.0,4.344660805685807,True,1.0
8.645487803192902,,[  4 150 228  55 104 234 100  52],1.2042493135086685,35,0,0,,,8,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -2.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([23], dtype=int64), array([158], dtype=int64), array([157], dtype=int64), array([160], dtype=int64), array([199], dtype=int64), array([55], dtype=int64), array([40], dtype=int64), array([106], dtype=int64), array([173], dtype=int64), array([221], dtype=int64), array([161], dtype=int64), array([190], dtype=int64), array([98], dtype=int64), array([150], dtype=int64), array([161], dtype=int64), array([90], dtype=int64), array([123], dtype=int64), array([220], dtype=int64), array([54], dtype=int64), array([30], dtype=int64), array([31], dtype=int64), array([40], dtype=int64), array([294], dtype=int64), array([40], dtype=int64), array([26], dtype=int64), array([55], dtype=int64), array([65], dtype=int64), array([221], dtype=int64), array([51], dtype=int64), array([68], dtype=int64), array([16], dtype=int64), array([63], dtype=int64), array([96], dtype=int64), array([243], dtype=int64), array([30], dtype=int64), array([184], dtype=int64), array([202], dtype=int64), array([116], dtype=int64), array([40], dtype=int64), array([145], dtype=int64), array([203], dtype=int64), array([45], dtype=int64), array([32], dtype=int64), array([99], dtype=int64), array([230], dtype=int64), array([12], dtype=int64), array([100], dtype=int64), array([52], dtype=int64), array([4], dtype=int64), array([150], dtype=int64), array([228], dtype=int64), array([55], dtype=int64), array([104], dtype=int64), array([234], dtype=int64)]}",3.0,,3.8652657286876098,8.544660805685808,3.0,narrow-puzzle,54,0,1.0118,0,50.0,1.24466080568582,True,1.0
-1.012,,[240  95  88 104 207 271  91  88],1.1964633820791466,36,0,-2,,,9,"{'rewards': [-0.1, -0.1, -4.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -1.0], 'action': [array([152], dtype=int64), array([130], dtype=int64), array([130], dtype=int64), array([113], dtype=int64), array([99], dtype=int64), array([86], dtype=int64), array([278], dtype=int64), array([255], dtype=int64), array([57], dtype=int64), array([136], dtype=int64), array([126], dtype=int64), array([96], dtype=int64), array([226], dtype=int64), array([182], dtype=int64), array([272], dtype=int64), array([136], dtype=int64), array([255], dtype=int64), array([250], dtype=int64), array([99], dtype=int64), array([221], dtype=int64), array([88], dtype=int64), array([106], dtype=int64), array([190], dtype=int64), array([206], dtype=int64), array([72], dtype=int64), array([102], dtype=int64), array([39], dtype=int64), array([226], dtype=int64), array([277], dtype=int64), array([73], dtype=int64), array([228], dtype=int64), array([276], dtype=int64), array([32], dtype=int64), array([11], dtype=int64), array([287], dtype=int64), array([255], dtype=int64), array([99], dtype=int64), array([57], dtype=int64), array([259], dtype=int64), array([103], dtype=int64), array([240], dtype=int64), array([95], dtype=int64), array([88], dtype=int64), array([104], dtype=int64), array([207], dtype=int64), array([271], dtype=int64), array([91], dtype=int64), array([88], dtype=int64)]}",3.0,,-3.0716984760012385,-1.0,2.75,narrow-puzzle,48,0,1.012,-6.585786437626905,10.0,-9.699999999999985,True,1.0
