#{"t_start": 1682695392.1259959, "env_id": null}
r,l,t
-12.1,61,3.85598
-16.1,61,7.550895
-8.1,61,11.350051
0.2,9,12.170673
3.744661,29,14.104637
-20.1,61,17.84483
-20.1,61,21.544209
-2.855339,55,25.001031
-6.1,61,28.735715
-16.1,61,32.405026
-5.3,24,34.025454
-16.1,61,37.83425
-18.1,61,41.562466
-14.1,61,45.426458
-20.1,61,49.194107
-12.1,61,52.92677
-20.1,61,56.754076
-16.1,61,60.488645
-16.1,61,64.2019
-12.1,61,67.950921
-16.1,61,71.696235
-11.5,26,73.4988
-16.1,61,77.222818
-16.1,61,80.931662
7.444661,12,81.883602
-17.3,44,84.711616
-20.1,61,88.49302
4.744661,19,89.846476
-16.1,61,93.485537
-14.1,61,97.209793
-12.1,61,100.951033
-10.1,61,104.760083
-6.1,61,108.584082
-14.1,61,112.318053
-6.1,61,116.05447
-0.055339,27,117.873221
-3.8,9,118.640971
-14.1,61,122.335189
7.344661,13,123.368861
5.444661,32,125.483316
-8.1,61,129.213564
-18.1,61,132.987471
-3.855339,45,135.82333
5.844661,28,137.682498
-10.1,61,141.377434
-14.1,61,145.134532
-12.1,61,148.879638
-10.1,61,152.613535
-16.1,61,156.354393
-16.1,61,160.061685
-2.855339,35,162.383264
-20.1,61,166.248015
-12.1,61,170.006524
3.544661,51,173.269134
1.844661,48,176.351936
-18.1,61,180.078657
1.244661,34,182.328245
-22.1,61,186.057496
-6.1,61,189.783498
-22.1,61,193.545925
-14.1,61,197.193084
-1.955339,46,200.124554
-5.755339,44,202.936182
-14.1,61,206.661336
-10.1,61,210.380766
-8.1,61,214.121606
-22.1,61,217.889103
-12.1,61,221.640176
-10.1,61,225.440933
-14.1,61,229.267035
-20.1,61,233.076811
-8.1,61,236.816705
-10.1,61,240.53966
-14.1,61,244.285249
-12.1,61,248.014615
-16.1,61,251.762591
6.044661,26,253.509429
-28.1,61,257.166295
-12.1,61,260.917385
2.744661,19,262.238038
-16.1,61,265.949113
-20.1,61,269.723292
-8.1,61,273.45644
-20.1,61,277.249541
-18.1,61,281.020077
-16.1,61,284.820426
-14.1,61,288.663475
-20.1,61,292.368304
-16.1,61,296.145719
-20.1,61,299.86871
-18.1,61,303.58644
-14.1,61,307.306663
-16.1,61,311.087487
-6.1,61,314.847362
-12.1,61,318.522652
-18.1,61,322.366479
-20.1,61,326.139292
-20.1,61,329.9373
6.144661,25,331.650395
-14.1,61,335.456647
-14.1,61,339.239887
-10.1,61,342.993359
-14.1,61,346.857052
1.044661,56,350.379112
1.144661,55,353.821588
-12.1,61,357.593492
6.644661,20,359.010222
-14.1,61,362.70838
-16.1,61,366.546006
-6.1,61,370.30906
-14.1,61,374.020254
-10.1,61,377.716409
-8.1,61,381.486675
-12.1,61,385.22054
-8.1,61,388.966653
-16.1,61,392.710318
-8.1,61,396.487107
-18.1,61,400.308853
-8.1,61,404.133725
-18.1,61,407.862386
-16.1,61,411.689409
-20.1,61,415.428769
-14.1,61,419.18803
7.244661,14,420.251679
-10.1,61,424.012141
-16.1,61,427.764564
-12.1,61,431.48328
-12.1,61,435.227173
-20.1,61,438.909782
-12.1,61,442.59993
0.0,11,443.476989
-12.1,61,447.286552
6.944661,17,448.515594
-16.1,61,452.258859
-18.1,61,456.094373
-6.1,61,459.890553
-24.1,61,463.758768
-16.355339,50,466.951336
-10.1,61,470.735652
-14.1,61,474.51109
-14.1,61,478.246697
-8.1,61,482.028478
7.844661,8,482.787585
-12.1,61,486.57745
2.944661,57,490.136101
-8.1,61,493.891311
6.544661,21,495.327523
-10.1,61,498.996633
-16.1,61,502.773628
7.144661,15,503.896287
-12.1,61,507.693141
-18.1,61,511.424153
-16.1,61,515.168787
-10.1,61,519.022757
-8.1,32,521.14244
-18.1,61,524.976654
-12.1,61,528.745727
-22.1,61,532.479336
-10.1,61,536.257561
-20.1,61,540.022601
-0.155339,48,543.11809
-12.1,61,546.819711
-18.1,61,550.601043
-8.1,61,554.39416
-12.1,61,558.194177
3.044661,16,559.365904
-10.1,61,563.116771
-3.055339,37,565.522195
1.844661,48,568.590866
-8.1,61,572.354383
-10.1,61,576.162762
6.744661,19,577.520718
0.2,9,578.28762
7.644661,10,579.164857
-12.1,61,582.956054
-6.1,61,586.752691
-8.1,61,590.509179
-14.1,61,594.255835
-3.355339,60,598.059383
-12.1,61,601.814219
-8.1,61,605.600957
-6.1,61,609.368317
-14.1,61,613.122437
-12.1,61,616.783159
-20.1,61,620.506361
-14.1,61,624.187053
-10.1,61,627.863106
-14.1,61,631.508407
-12.1,61,635.221909
-16.1,61,639.001139
-10.1,61,642.805948
-20.1,61,646.634413
-22.1,61,650.432309
-20.1,61,654.17607
-20.1,61,657.944168
-16.1,61,661.697539
-12.1,61,665.435261
-10.1,61,669.167377
7.444661,12,670.123169
-18.1,61,673.89812
-24.1,61,677.613305
-17.0,61,681.464142
-20.1,61,685.196896
-10.1,61,688.907566
-14.1,61,692.624859
-18.1,61,696.388496
-10.1,61,700.162787
-10.1,61,703.953445
5.044661,36,706.306269
-8.1,61,710.088641
-10.1,61,713.866446
-16.1,61,717.641827
-10.1,61,721.35232
-20.1,61,725.15621
-14.1,61,728.875788
4.744661,19,730.236375
-16.1,61,734.001573
-12.1,61,737.72225
4.444661,42,740.418997
-8.1,61,744.203336
-20.1,61,747.999126
-8.1,61,751.763857
-14.1,61,755.541767
-10.1,61,759.367447
-18.1,61,763.151429
-8.555339,32,765.337111
-10.1,61,769.129501
-8.1,61,772.879341
-24.1,61,776.728508
-8.1,61,780.462073
-14.1,61,784.218716
-18.1,61,787.925638
-18.1,61,791.661584
-14.1,61,795.36074
-8.1,61,799.015297
-10.1,61,802.742961
-18.1,61,806.519648
-10.3,34,808.765609
5.344661,13,809.76641
-8.1,61,813.482397
-14.1,61,817.272336
-12.1,61,821.011487
-32.1,61,824.81527
2.744661,19,826.178311
-14.1,61,829.972046
-12.1,61,833.756031
0.244661,44,836.583839
-0.155339,28,838.442485
-6.1,61,842.139473
6.544661,21,843.615951
-18.1,61,847.32447
5.644661,30,849.343396
-16.1,61,853.105728
-8.1,61,856.814432
-6.1,61,860.53934
-26.1,61,864.287719
-10.1,61,868.085476
-14.1,61,871.834081
-2.755339,34,874.07973
-2.455339,51,877.368251
-8.1,61,881.123014
-12.1,61,884.997223
-12.1,61,888.754925
-12.1,61,892.563683
-24.1,61,896.265345
-10.1,61,900.043641
-14.1,61,903.81901
-10.1,61,907.540931
7.044661,16,908.738075
-10.1,61,912.497231
-10.1,61,916.135756
-14.1,61,919.879597
-0.355339,50,923.058689
-28.1,61,926.764192
-6.1,61,930.478955
5.544661,31,932.524283
-8.1,61,936.314391
-28.1,61,940.079475
-16.1,61,944.087242
-12.1,61,947.882782
-12.1,61,951.693736
-10.1,61,955.486621
-22.1,61,959.274009
-10.1,61,962.972242
-12.1,61,966.679011
-18.1,61,970.412795
-14.1,61,974.191744
-12.1,61,977.87106
-24.1,61,981.604589
4.944661,37,983.960479
-16.1,61,987.714572
-18.1,61,991.447996
-12.1,61,995.185485
-16.1,61,998.874163
5.144661,15,1000.00398
-14.1,61,1003.862244
-16.1,61,1007.676783
7.144661,15,1008.787206
-26.1,61,1012.596341
-16.1,61,1016.357357
-8.1,61,1020.161758
-16.1,61,1023.946263
-20.1,61,1027.696688
-12.1,61,1031.507836
-20.1,61,1035.185713
6.644661,20,1036.576631
-9.8,49,1039.695127
-26.1,61,1043.41134
-12.1,61,1047.154701
-0.055339,47,1050.160736
-12.1,61,1053.868
5.044661,16,1055.037466
-8.1,61,1058.798681
-10.1,61,1062.525793
-16.1,61,1066.300439
-8.1,61,1070.058911
5.744661,29,1072.028625
-12.855339,55,1075.543021
