agent,reward_experience_bonus,bonus_factor,historical,counter_changes,segments,rewards_sum,reward,entropy,discount_reward,changes_penalty,done_bonus,is_done_success,experience_bonus,counter_done_max_changes,piece_penalty,reward_game,counter_done,done_penalty,representation,entropy_map,discount_rewards,counter_done_interations
,2.5255,2.016597794967223,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.5], 'action': [array([1], dtype=int64), array([1], dtype=int64), array([52], dtype=int64), array([1], dtype=int64), array([27], dtype=int64), array([60], dtype=int64), array([4], dtype=int64), array([28], dtype=int64), array([35], dtype=int64), array([4], dtype=int64), array([4], dtype=int64), array([12], dtype=int64), array([27], dtype=int64), array([76], dtype=int64), array([35], dtype=int64), array([15], dtype=int64)]}",15,[35  4  4 12 27 76 35 15],0.9999999999999998,2.5,2.5,,,0.0,True,1.0102,0,0,3.0,0,,narrow-puzzle,1.0303853084224066,1.60486163321284,0
,2.1780577084767536,1.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.1556390622295662], 'action': [array([36], dtype=int64), array([41], dtype=int64), array([60], dtype=int64), array([36], dtype=int64), array([3], dtype=int64), array([60], dtype=int64), array([75], dtype=int64), array([60], dtype=int64), array([28], dtype=int64), array([75], dtype=int64), array([49], dtype=int64), array([27], dtype=int64), array([60], dtype=int64), array([36], dtype=int64), array([26], dtype=int64), array([41], dtype=int64), array([1], dtype=int64), array([36], dtype=int64), array([47], dtype=int64), array([4], dtype=int64), array([17], dtype=int64), array([1], dtype=int64), array([47], dtype=int64), array([36], dtype=int64), array([35], dtype=int64), array([27], dtype=int64), array([28], dtype=int64), array([41], dtype=int64), array([15], dtype=int64), array([9], dtype=int64), array([4], dtype=int64), array([35], dtype=int64), array([1], dtype=int64), array([12], dtype=int64), array([1], dtype=int64), array([4], dtype=int64), array([3], dtype=int64), array([36], dtype=int64), array([41], dtype=int64), array([76], dtype=int64), array([4], dtype=int64), array([35], dtype=int64), array([76], dtype=int64), array([4], dtype=int64), array([4], dtype=int64), array([36], dtype=int64), array([27], dtype=int64)]}",45,[ 4 35 76  4  4 36 27 76],-2.4443609377704334,2.1556390622295662,2.1556390622295662,,,0.0,True,1.0104,0,0,3.0,1,,narrow-puzzle,1.042635784040161,-0.26321400894047353,0
,2.4311388362891995,1.7043362064926932,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.4056390622295662], 'action': [array([9], dtype=int64), array([1], dtype=int64), array([60], dtype=int64), array([1], dtype=int64), array([15], dtype=int64), array([4], dtype=int64), array([36], dtype=int64), array([4], dtype=int64), array([36], dtype=int64), array([1], dtype=int64), array([41], dtype=int64), array([66], dtype=int64), array([1], dtype=int64), array([41], dtype=int64), array([4], dtype=int64), array([14], dtype=int64), array([41], dtype=int64), array([4], dtype=int64), array([4], dtype=int64), array([36], dtype=int64), array([27], dtype=int64), array([48], dtype=int64)]}",21,[41  4  4 36 27 48  4 14],0.3056390622295657,2.4056390622295662,2.4056390622295662,,,0.0,True,1.0106,0,0,3.0,2,,narrow-puzzle,1.02685585667025,1.185905941663007,0
,2.7796999999999996,2.7613402542968153,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.75], 'action': [array([4], dtype=int64), array([63], dtype=int64), array([1], dtype=int64), array([36], dtype=int64), array([35], dtype=int64), array([27], dtype=int64), array([4], dtype=int64), array([47], dtype=int64)]}",8,[ 4 63  1 36 35 27  4 47],2.05,2.75,2.75,,,10.0,True,1.0108,0,0,0.0,3,,narrow-puzzle,1.029457066273873,2.312564325550234,0
,2.7802499999999997,2.7613402542968153,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.75], 'action': [array([1], dtype=int64), array([60], dtype=int64), array([4], dtype=int64), array([27], dtype=int64), array([41], dtype=int64), array([1], dtype=int64), array([63], dtype=int64), array([12], dtype=int64)]}",8,[ 1 60  4 27 41  1 63 12],2.05,2.75,2.75,,,10.0,True,1.011,0,0,0.0,4,,narrow-puzzle,1.043565289252315,2.312564325550234,0
,2.7808,2.6034165586355513,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.75], 'action': [array([60], dtype=int64), array([35], dtype=int64), array([60], dtype=int64), array([76], dtype=int64), array([27], dtype=int64), array([41], dtype=int64), array([12], dtype=int64), array([35], dtype=int64), array([14], dtype=int64)]}",9,[14 35 60 76 27 41 12 35],1.9500000000000002,2.75,2.75,,,10.0,True,1.0112,0,0,4.0,5,,narrow-puzzle,1.0437046804114773,2.2517232731508723,0
,2.5285,2.1661735138967266,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.5], 'action': [array([41], dtype=int64), array([41], dtype=int64), array([35], dtype=int64), array([35], dtype=int64), array([47], dtype=int64), array([34], dtype=int64), array([9], dtype=int64), array([60], dtype=int64), array([4], dtype=int64), array([36], dtype=int64), array([9], dtype=int64), array([4], dtype=int64), array([27], dtype=int64)]}",13,[ 4 36  9  4 27 34  9 60],1.3,2.5,2.5,,,0.0,True,1.0114,0,0,6.0,6,,narrow-puzzle,1.0301764888081681,1.776824711637693,0
,2.7819000000000003,1.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.75], 'action': [array([4], dtype=int64), array([27], dtype=int64), array([36], dtype=int64), array([36], dtype=int64), array([36], dtype=int64), array([4], dtype=int64), array([15], dtype=int64), array([35], dtype=int64), array([35], dtype=int64), array([4], dtype=int64), array([27], dtype=int64), array([27], dtype=int64), array([76], dtype=int64), array([1], dtype=int64), array([4], dtype=int64), array([49], dtype=int64), array([4], dtype=int64), array([9], dtype=int64), array([75], dtype=int64), array([1], dtype=int64), array([14], dtype=int64), array([1], dtype=int64), array([36], dtype=int64), array([35], dtype=int64), array([4], dtype=int64), array([1], dtype=int64), array([47], dtype=int64), array([4], dtype=int64), array([1], dtype=int64), array([14], dtype=int64), array([13], dtype=int64), array([4], dtype=int64), array([36], dtype=int64), array([62], dtype=int64), array([36], dtype=int64), array([27], dtype=int64)]}",34,[36 62 36 27  1 14 13  4],-0.7500000000000018,2.75,2.75,,,10.0,True,1.0116,0,0,3.0,7,,narrow-puzzle,1.0309188666379003,0.7520318607442624,0
,2.4340256031638754,2.254624876411447,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.4056390622295662], 'action': [array([27], dtype=int64), array([27], dtype=int64), array([59], dtype=int64), array([27], dtype=int64), array([36], dtype=int64), array([27], dtype=int64), array([41], dtype=int64), array([4], dtype=int64), array([9], dtype=int64), array([4], dtype=int64), array([4], dtype=int64), array([60], dtype=int64)]}",12,[ 9  4  4 60 36 27 41  4],1.3056390622295664,2.4056390622295662,2.4056390622295662,,,0.0,True,1.0118,0,0,6.0,8,,narrow-puzzle,1.0291862536043181,1.7455689458217485,0
,2.783,2.7613402542968153,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.75], 'action': [array([27], dtype=int64), array([75], dtype=int64), array([1], dtype=int64), array([9], dtype=int64), array([35], dtype=int64), array([36], dtype=int64), array([4], dtype=int64), array([4], dtype=int64)]}",8,[27 75  1  9 35 36  4  4],2.05,2.75,2.75,,,10.0,True,1.012,0,0,0.0,9,,narrow-puzzle,1.0303853084224066,2.312564325550234,0
