Episodes,Scores,Average,Total Rewards
0,-6.099999999999994,-6.099999999999994,-6.099999999999994
1,-6.5999999999999925,-6.349999999999993,-12.69999999999997
2,0.9999999999999996,-3.8999999999999955,-11.699999999999964
3,-6.199999999999994,-4.474999999999995,-17.899999999999974
4,-6.299999999999994,-4.8399999999999945,-24.200000000000063
5,-6.299999999999994,-5.083333333333328,-30.500000000000153
6,-6.499999999999993,-5.285714285714279,-37.00000000000024
7,-1.8499999999999996,-4.856249999999995,-38.85000000000031
8,-6.199999999999994,-5.00555555555555,-45.050000000000395
9,-6.299999999999994,-5.134999999999995,-51.350000000000485
10,-6.399999999999993,-5.249999999999995,-57.750000000000576
11,2.3,-4.620833333333329,-55.450000000000585
12,-6.099999999999994,-4.73461538461538,-61.55000000000067
13,-1.799999999999999,-4.524999999999996,-63.35000000000058
14,2.3,-4.069999999999996,-61.05000000000058
15,-3.199999999999994,-4.015624999999996,-64.25000000000044
16,-6.099999999999994,-4.138235294117642,-70.3500000000001
17,-6.299999999999994,-4.258333333333329,-76.64999999999974
18,-6.5999999999999925,-4.381578947368417,-83.24999999999936
19,-6.499999999999993,-4.487499999999995,-89.74999999999899
20,-6.199999999999994,-4.569047619047614,-95.94999999999864
21,-6.099999999999994,-4.638636363636359,-102.04999999999829
22,-6.399999999999993,-4.715217391304343,-108.44999999999793
23,-6.199999999999994,-4.777083333333328,-114.64999999999758
24,-6.299999999999994,-4.837999999999995,-120.94999999999722
25,-6.099999999999994,-4.886538461538456,-127.04999999999687
26,-6.299999999999994,-4.938888888888884,-133.34999999999653
27,-6.299999999999994,-4.9874999999999945,-139.64999999999617
28,-6.299999999999994,-5.032758620689649,-145.9499999999958
29,-3.199999999999994,-4.9716666666666605,-149.14999999999546
30,-1.6999999999999993,-4.8661290322580575,-150.8499999999952
31,-6.499999999999993,-4.917187499999994,-157.34999999999482
32,-6.099999999999994,-4.953030303030297,-163.44999999999447
33,-6.199999999999994,-4.9897058823529346,-169.64999999999412
34,-6.199999999999994,-5.024285714285708,-175.84999999999377
35,-6.699999999999992,-5.070833333333327,-182.5499999999934
36,-6.299999999999994,-5.104054054054047,-188.84999999999303
37,-1.1943609377704356,-5.001167393099215,-190.04436093776326
38,-0.5000000000000018,-4.885752844558209,-190.54436093776306
39,-6.699999999999992,-4.931109023444254,-197.24436093776268
40,0.7999999999999994,-4.791325876530979,-196.44436093776255
41,-6.299999999999994,-4.827246688994527,-202.7443609377622
42,-6.299999999999994,-4.861496765994653,-209.04436093776184
43,-6.199999999999994,-4.89191729404023,-215.24436093776148
44,-6.099999999999994,-4.918763576394891,-221.34436093776114
45,-6.199999999999994,-4.946616542125437,-227.54436093776079
46,-6.399999999999993,-4.97753959442064,-233.94436093776042
47,-0.25000000000000133,-4.879049186203543,-234.19436093776025
48,-1.1000000000000019,-4.801925733423879,-235.29436093776005
49,-6.299999999999994,-4.831887218755401,-241.5943609377597
50,0.29999999999999893,-4.731261979171962,-241.29436093775954
51,-6.199999999999994,-4.7595069411109625,-247.49436093775918
52,-6.199999999999994,-4.786686055429623,-253.69436093775883
53,-0.8500000000000019,-4.7137844618105555,-254.544360937759
54,-6.199999999999994,-4.740806562504909,-260.74436093776
55,-6.199999999999994,-4.7668635881744645,-266.9443609377614
56,-6.399999999999993,-4.795515104171403,-273.3443609377629
57,1.3999999999999997,-4.6886958782374135,-271.94436093776324
58,2.1,-4.573633236233389,-269.84436093776344
59,-6.199999999999994,-4.600739348962833,-276.04436093776485
60,-6.399999999999993,-4.630235425209343,-282.4443609377663
61,-6.399999999999993,-4.658780015125322,-288.84436093776776
62,-6.399999999999993,-4.686418427583649,-295.2443609377692
63,-6.299999999999994,-4.711630639652655,-301.54436093777065
64,-6.399999999999993,-4.737605552888767,-307.9443609377721
65,-6.099999999999994,-4.758247892996513,-314.0443609377735
66,1.8,-4.660363596086117,-312.24436093777376
67,-6.199999999999994,-4.68300530790838,-318.4443609377752
68,-2.4499999999999975,-4.650642912141592,-320.89436093777636
69,-6.499999999999993,-4.677062299110998,-327.39436093777783
70,-6.399999999999993,-4.701329027292532,-333.7943609377793
71,-6.099999999999994,-4.72075501302458,-339.8943609377807
72,-6.199999999999994,-4.741018642983147,-346.0943609377821
73,-6.5999999999999925,-4.7661400126725635,-352.6943609377836
74,-6.199999999999994,-4.785258145836929,-358.894360937785
75,-1.799999999999999,-4.7459784333917066,-360.6943609377861
76,-6.199999999999994,-4.764861830360646,-366.8943609377875
77,-6.699999999999992,-4.789671294073971,-373.594360937789
78,-6.199999999999994,-4.8075235561743,-379.79436093779043
79,-6.199999999999994,-4.824929511722121,-385.99436093779184
80,-6.299999999999994,-4.843140258490983,-392.2943609377933
