agent,reward_experience_bonus,bonus_factor,historical,counter_changes,segments,rewards_sum,reward,entropy,discount_reward,changes_penalty,done_bonus,is_done_success,experience_bonus,counter_done_max_changes,piece_penalty,reward_game,counter_done,done_penalty,representation,entropy_map,discount_rewards,counter_done_interations
,3.0305999999999997,2.016597794967223,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([3], dtype=int64), array([2], dtype=int64), array([47], dtype=int64), array([9], dtype=int64), array([12], dtype=int64), array([62], dtype=int64), array([12], dtype=int64), array([12], dtype=int64), array([12], dtype=int64), array([9], dtype=int64), array([12], dtype=int64), array([12], dtype=int64), array([12], dtype=int64), array([69], dtype=int64), array([14], dtype=int64), array([12], dtype=int64), array([28], dtype=int64)]}",15,[28  9 12 12 12 69 14 12],1.3999999999999997,3.0,2.0,,,0.0,True,1.0102,0,0,3.0,0,,narrow-puzzle,1.0316841761063746,2.0102263882879434,0
,3.0312,2.016597794967223,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([33], dtype=int64), array([62], dtype=int64), array([23], dtype=int64), array([9], dtype=int64), array([62], dtype=int64), array([69], dtype=int64), array([63], dtype=int64), array([12], dtype=int64), array([69], dtype=int64), array([41], dtype=int64), array([12], dtype=int64), array([62], dtype=int64), array([28], dtype=int64), array([12], dtype=int64), array([36], dtype=int64)]}",15,[69 41 12 62 28 12 36 12],1.5999999999999999,3.0,2.4056390622295662,,,0.0,True,1.0104,0,0,4.0,1,,narrow-puzzle,1.044215704122686,2.128275931088327,0
,3.0317999999999996,1.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([4], dtype=int64), array([28], dtype=int64), array([43], dtype=int64), array([12], dtype=int64), array([12], dtype=int64), array([1], dtype=int64), array([46], dtype=int64), array([28], dtype=int64), array([15], dtype=int64), array([12], dtype=int64), array([12], dtype=int64), array([28], dtype=int64), array([12], dtype=int64), array([12], dtype=int64), array([9], dtype=int64), array([27], dtype=int64), array([9], dtype=int64), array([12], dtype=int64), array([3], dtype=int64), array([9], dtype=int64), array([9], dtype=int64), array([28], dtype=int64), array([36], dtype=int64), array([75], dtype=int64)]}",22,[ 9 12  3  9  9 28 36 75],0.6999999999999993,3.0,2.4056390622295662,,,0.0,True,1.0106,0,0,6.0,2,,narrow-puzzle,1.0314136431896277,1.6091007062756386,0
,3.0324,2.7613402542968153,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([9], dtype=int64), array([23], dtype=int64), array([69], dtype=int64), array([9], dtype=int64), array([9], dtype=int64), array([28], dtype=int64), array([12], dtype=int64), array([12], dtype=int64)]}",8,[ 9 23 69  9  9 28 12 12],2.3,3.0,2.1556390622295662,,,0.0,True,1.0108,0,0,0.0,3,,narrow-puzzle,1.0437046804114773,2.553987155462983,0
,3.0329999999999995,2.0873770280289223,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([8], dtype=int64), array([49], dtype=int64), array([9], dtype=int64), array([12], dtype=int64), array([12], dtype=int64), array([28], dtype=int64), array([9], dtype=int64), array([28], dtype=int64), array([1], dtype=int64), array([36], dtype=int64), array([67], dtype=int64), array([9], dtype=int64), array([36], dtype=int64), array([9], dtype=int64)]}",14,[ 1 36 67  9 36  9  9 28],1.7,3.0,2.1556390622295662,,,0.0,True,1.011,0,0,3.0,4,,narrow-puzzle,1.0314986714773284,2.187888814309156,0
,3.0336000000000003,2.6034165586355513,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([12], dtype=int64), array([36], dtype=int64), array([12], dtype=int64), array([12], dtype=int64), array([28], dtype=int64), array([12], dtype=int64), array([43], dtype=int64), array([9], dtype=int64), array([62], dtype=int64)]}",9,[62 36 12 12 28 12 43  9],2.2,3.0,2.4056390622295662,,,0.0,True,1.0112,0,0,3.0,5,,narrow-puzzle,1.0316223430027769,2.4919531412518694,0
,3.0342000000000002,2.6034165586355513,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([7], dtype=int64), array([28], dtype=int64), array([15], dtype=int64), array([12], dtype=int64), array([9], dtype=int64), array([41], dtype=int64), array([9], dtype=int64), array([62], dtype=int64), array([12], dtype=int64)]}",9,[12 28 15 12  9 41  9 62],2.2,3.0,2.5,,,0.0,True,1.0114,0,0,3.0,6,,narrow-puzzle,1.0314986714773284,2.4919531412518694,0
,3.0348,1.9525624189766635,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([12], dtype=int64), array([28], dtype=int64), array([9], dtype=int64), array([64], dtype=int64), array([12], dtype=int64), array([60], dtype=int64), array([12], dtype=int64), array([62], dtype=int64), array([69], dtype=int64), array([12], dtype=int64), array([36], dtype=int64), array([12], dtype=int64), array([14], dtype=int64), array([12], dtype=int64), array([36], dtype=int64), array([28], dtype=int64)]}",16,[69 12 36 12 14 12 36 28],1.4999999999999998,3.0,2.1556390622295662,,,0.0,True,1.0116,0,0,3.0,7,,narrow-puzzle,1.031660988900251,2.0690560985413535,0
,3.0354,2.7613402542968153,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([15], dtype=int64), array([15], dtype=int64), array([36], dtype=int64), array([12], dtype=int64), array([12], dtype=int64), array([62], dtype=int64), array([9], dtype=int64), array([28], dtype=int64)]}",8,[15 15 36 12 12 62  9 28],2.3,3.0,2.5,,,0.0,True,1.0118,0,0,3.0,8,,narrow-puzzle,1.0316919051196913,2.553987155462983,0
,3.036,2.254624876411447,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([12], dtype=int64), array([12], dtype=int64), array([12], dtype=int64), array([9], dtype=int64), array([12], dtype=int64), array([28], dtype=int64), array([23], dtype=int64), array([28], dtype=int64), array([9], dtype=int64), array([12], dtype=int64), array([15], dtype=int64), array([17], dtype=int64), array([12], dtype=int64), array([12], dtype=int64)]}",12,[ 9 12 15 17 12 12 23 28],1.7,3.0,2.4056390622295662,,,0.0,True,1.012,0,0,3.0,9,,narrow-puzzle,1.0439369789535315,2.187888814309156,0
