agent,reward_experience_bonus,bonus_factor,historical,counter_changes,segments,rewards_sum,reward,entropy,discount_reward,changes_penalty,done_bonus,is_done_success,experience_bonus,counter_done_max_changes,piece_penalty,reward_game,counter_done,done_penalty,representation,entropy_map,discount_rewards,counter_done_interations
,3.0305999999999997,1.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([87], dtype=int64), array([265], dtype=int64), array([26], dtype=int64), array([138], dtype=int64), array([231], dtype=int64), array([226], dtype=int64), array([34], dtype=int64), array([52], dtype=int64), array([183], dtype=int64), array([17], dtype=int64), array([167], dtype=int64), array([226], dtype=int64), array([42], dtype=int64), array([180], dtype=int64), array([265], dtype=int64), array([17], dtype=int64), array([212], dtype=int64), array([49], dtype=int64), array([104], dtype=int64), array([32], dtype=int64), array([226], dtype=int64), array([97], dtype=int64), array([195], dtype=int64), array([126], dtype=int64), array([47], dtype=int64), array([226], dtype=int64), array([170], dtype=int64), array([180], dtype=int64), array([143], dtype=int64), array([42], dtype=int64), array([215], dtype=int64), array([226], dtype=int64), array([273], dtype=int64), array([41], dtype=int64), array([205], dtype=int64), array([254], dtype=int64), array([226], dtype=int64), array([196], dtype=int64), array([170], dtype=int64), array([42], dtype=int64), array([256], dtype=int64), array([42], dtype=int64), array([226], dtype=int64), array([265], dtype=int64), array([199], dtype=int64), array([264], dtype=int64), array([87], dtype=int64), array([174], dtype=int64), array([241], dtype=int64), array([104], dtype=int64), array([176], dtype=int64), array([102], dtype=int64), array([199], dtype=int64), array([152], dtype=int64), array([126], dtype=int64), array([169], dtype=int64), array([170], dtype=int64), array([226], dtype=int64), array([226], dtype=int64)]}",58,[170 226 226 102 199 152 126 169],-2.7999999999999954,3.0,2.75,,,10.0,True,1.0102,0,0,3.0,0,,narrow-puzzle,1.1461359862917777,-0.14387322561188165,0
,3.0312,1.746424919657298,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([136], dtype=int64), array([285], dtype=int64), array([84], dtype=int64), array([228], dtype=int64), array([42], dtype=int64), array([42], dtype=int64), array([254], dtype=int64), array([226], dtype=int64), array([241], dtype=int64), array([180], dtype=int64), array([136], dtype=int64), array([89], dtype=int64), array([77], dtype=int64), array([65], dtype=int64), array([265], dtype=int64), array([174], dtype=int64), array([41], dtype=int64), array([43], dtype=int64), array([289], dtype=int64), array([275], dtype=int64)]}",20,[ 41  43 289 275  77  65 265 174],1.0999999999999994,3.0,3.0,,,50.0,True,1.0104,3,0,11.0,1,,narrow-puzzle,1.2027208278566626,1.8360490561799925,0
,3.0317999999999996,1.746424919657298,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([183], dtype=int64), array([228], dtype=int64), array([293], dtype=int64), array([262], dtype=int64), array([170], dtype=int64), array([211], dtype=int64), array([146], dtype=int64), array([68], dtype=int64), array([42], dtype=int64), array([298], dtype=int64), array([226], dtype=int64), array([48], dtype=int64), array([142], dtype=int64), array([68], dtype=int64), array([230], dtype=int64), array([211], dtype=int64), array([126], dtype=int64), array([126], dtype=int64), array([136], dtype=int64), array([265], dtype=int64)]}",20,[126 126 136 265 142  68 230 211],1.0999999999999994,3.0,2.75,,,10.0,True,1.0106,4,0,12.0,2,,narrow-puzzle,1.2045942290826532,1.8360490561799925,0
,3.0324,1.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([226], dtype=int64), array([265], dtype=int64), array([265], dtype=int64), array([199], dtype=int64), array([212], dtype=int64), array([226], dtype=int64), array([126], dtype=int64), array([293], dtype=int64), array([265], dtype=int64), array([230], dtype=int64), array([2], dtype=int64), array([65], dtype=int64), array([86], dtype=int64), array([55], dtype=int64), array([113], dtype=int64), array([298], dtype=int64), array([42], dtype=int64), array([126], dtype=int64), array([126], dtype=int64), array([159], dtype=int64), array([75], dtype=int64), array([101], dtype=int64), array([68], dtype=int64), array([179], dtype=int64), array([78], dtype=int64), array([104], dtype=int64), array([199], dtype=int64), array([226], dtype=int64), array([254], dtype=int64), array([195], dtype=int64), array([42], dtype=int64), array([125], dtype=int64), array([65], dtype=int64), array([211], dtype=int64), array([68], dtype=int64), array([104], dtype=int64), array([265], dtype=int64), array([179], dtype=int64), array([65], dtype=int64), array([102], dtype=int64), array([55], dtype=int64), array([212], dtype=int64), array([104], dtype=int64), array([180], dtype=int64), array([183], dtype=int64)]}",45,[ 55 212 104 180 183 179  65 102],-1.4000000000000004,3.0,3.0,,,50.0,True,1.0108,9,0,3.0,3,,narrow-puzzle,1.1618923048878027,0.5101970692659411,0
,3.0329999999999995,1.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([17], dtype=int64), array([42], dtype=int64), array([226], dtype=int64), array([179], dtype=int64), array([17], dtype=int64), array([226], dtype=int64), array([42], dtype=int64), array([195], dtype=int64), array([75], dtype=int64), array([196], dtype=int64), array([59], dtype=int64), array([226], dtype=int64), array([54], dtype=int64), array([143], dtype=int64), array([265], dtype=int64), array([102], dtype=int64), array([52], dtype=int64), array([226], dtype=int64), array([130], dtype=int64), array([42], dtype=int64), array([103], dtype=int64), array([226], dtype=int64), array([195], dtype=int64), array([195], dtype=int64), array([136], dtype=int64), array([136], dtype=int64), array([174], dtype=int64), array([126], dtype=int64), array([34], dtype=int64), array([262], dtype=int64), array([170], dtype=int64), array([211], dtype=int64), array([126], dtype=int64), array([221], dtype=int64), array([298], dtype=int64), array([86], dtype=int64)]}",36,[126 221 298  86  34 262 170 211],-0.5000000000000018,3.0,3.0,,,50.0,True,1.011,17,0,3.0,4,,narrow-puzzle,1.1724221529882917,0.9628560148765027,0
,3.0336000000000003,1.7917941611104424,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([264], dtype=int64), array([136], dtype=int64), array([195], dtype=int64), array([86], dtype=int64), array([65], dtype=int64), array([130], dtype=int64), array([47], dtype=int64), array([38], dtype=int64), array([136], dtype=int64), array([26], dtype=int64), array([254], dtype=int64), array([26], dtype=int64), array([254], dtype=int64), array([130], dtype=int64), array([104], dtype=int64), array([174], dtype=int64), array([226], dtype=int64), array([195], dtype=int64), array([139], dtype=int64), array([226], dtype=int64)]}",19,[226 195 139 226 254 130 104 174],1.0999999999999994,3.0,2.75,,,10.0,True,1.0112,18,0,6.0,5,,narrow-puzzle,1.1817334355129596,1.8360490561799925,0
,3.0342000000000002,1.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([157], dtype=int64), array([265], dtype=int64), array([226], dtype=int64), array([164], dtype=int64), array([170], dtype=int64), array([183], dtype=int64), array([177], dtype=int64), array([279], dtype=int64), array([285], dtype=int64), array([126], dtype=int64), array([254], dtype=int64), array([42], dtype=int64), array([254], dtype=int64), array([86], dtype=int64), array([226], dtype=int64), array([205], dtype=int64), array([195], dtype=int64), array([26], dtype=int64), array([180], dtype=int64), array([228], dtype=int64), array([97], dtype=int64), array([179], dtype=int64), array([174], dtype=int64), array([126], dtype=int64), array([104], dtype=int64), array([293], dtype=int64), array([126], dtype=int64), array([285], dtype=int64), array([254], dtype=int64), array([226], dtype=int64), array([257], dtype=int64), array([242], dtype=int64), array([195], dtype=int64), array([262], dtype=int64), array([211], dtype=int64), array([170], dtype=int64), array([238], dtype=int64)]}",37,[195 262 211 170 238 226 257 242],-0.6000000000000019,3.0,3.0,,,50.0,True,1.0114,18,0,3.0,6,,narrow-puzzle,1.1627840440582624,0.9112483343296905,0
,3.0348,1.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([226], dtype=int64), array([285], dtype=int64), array([78], dtype=int64), array([42], dtype=int64), array([28], dtype=int64), array([126], dtype=int64), array([126], dtype=int64), array([143], dtype=int64), array([298], dtype=int64), array([183], dtype=int64), array([254], dtype=int64), array([228], dtype=int64), array([205], dtype=int64), array([179], dtype=int64), array([128], dtype=int64), array([254], dtype=int64), array([199], dtype=int64), array([88], dtype=int64), array([42], dtype=int64), array([16], dtype=int64), array([205], dtype=int64), array([142], dtype=int64), array([126], dtype=int64), array([164], dtype=int64), array([102], dtype=int64), array([214], dtype=int64), array([226], dtype=int64), array([254], dtype=int64), array([212], dtype=int64), array([42], dtype=int64), array([264], dtype=int64), array([86], dtype=int64), array([298], dtype=int64), array([151], dtype=int64), array([226], dtype=int64), array([170], dtype=int64), array([226], dtype=int64), array([179], dtype=int64), array([254], dtype=int64), array([200], dtype=int64), array([183], dtype=int64), array([126], dtype=int64), array([145], dtype=int64), array([174], dtype=int64), array([136], dtype=int64), array([228], dtype=int64), array([60], dtype=int64), array([42], dtype=int64), array([161], dtype=int64), array([42], dtype=int64), array([86], dtype=int64), array([136], dtype=int64), array([183], dtype=int64), array([226], dtype=int64), array([56], dtype=int64), array([139], dtype=int64), array([226], dtype=int64), array([113], dtype=int64), array([55], dtype=int64), array([262], dtype=int64), array([136], dtype=int64)]}",59,[226 113  55 262 136 226  56 139],-2.9999999999999947,3.0,2.75,,,10.0,True,1.0116,19,0,3.0,7,,narrow-puzzle,1.16431519688948,-0.23263276650672315,0
,3.0354,2.7613402542968153,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([228], dtype=int64), array([195], dtype=int64), array([199], dtype=int64), array([254], dtype=int64), array([195], dtype=int64), array([226], dtype=int64), array([143], dtype=int64), array([274], dtype=int64)]}",8,[228 195 199 254 195 226 143 274],2.3,3.0,2.75,,,10.0,True,1.0118,20,0,6.0,8,,narrow-puzzle,1.2029058884390231,2.553987155462983,0
,3.036,1.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([147], dtype=int64), array([164], dtype=int64), array([161], dtype=int64), array([13], dtype=int64), array([195], dtype=int64), array([87], dtype=int64), array([206], dtype=int64), array([97], dtype=int64), array([254], dtype=int64), array([205], dtype=int64), array([252], dtype=int64), array([161], dtype=int64), array([93], dtype=int64), array([136], dtype=int64), array([24], dtype=int64), array([226], dtype=int64), array([117], dtype=int64), array([217], dtype=int64), array([174], dtype=int64), array([224], dtype=int64), array([195], dtype=int64), array([65], dtype=int64), array([179], dtype=int64), array([66], dtype=int64), array([254], dtype=int64), array([126], dtype=int64), array([209], dtype=int64), array([76], dtype=int64), array([265], dtype=int64), array([40], dtype=int64), array([298], dtype=int64), array([299], dtype=int64), array([211], dtype=int64), array([138], dtype=int64), array([226], dtype=int64), array([32], dtype=int64), array([42], dtype=int64), array([42], dtype=int64), array([130], dtype=int64), array([195], dtype=int64), array([195], dtype=int64), array([226], dtype=int64), array([226], dtype=int64), array([226], dtype=int64), array([145], dtype=int64), array([211], dtype=int64), array([179], dtype=int64), array([180], dtype=int64), array([143], dtype=int64), array([183], dtype=int64), array([179], dtype=int64), array([170], dtype=int64), array([126], dtype=int64), array([226], dtype=int64), array([23], dtype=int64), array([180], dtype=int64), array([226], dtype=int64), array([26], dtype=int64), array([110], dtype=int64), array([52], dtype=int64)]}",58,[226  26 110  52 126 226  23 180],-2.899999999999995,3.0,2.75,,,10.0,True,1.012,20,0,6.0,9,,narrow-puzzle,1.1299064211931873,-0.18839391846650017,0
